exportsimports,direction,country_grouping,product_simplification,quantity_unit_ortho,quantity_unit_ajustees,u_conv,q_conv,remarques
Imports,Bordeaux,Hollande,,baril de 3,,,,
Imports,Bordeaux,Hollande,Hollande,baril de 3,,,,
Imports,Bordeaux,Hollande,boulettes de marbre,baril de 3,,,,Aucune information trouvée
Exports,Bayonne,Outre-mers,,barillets,,,,
Exports,Bordeaux,Outre-mers,,barillets,,,,
Exports,Nantes,Outre-mers,,barillets,,,,
Imports,Bordeaux,Angleterre,,barillets,,,,
Imports,Bordeaux,Hollande,,barillets,,,,
Imports,Bordeaux,Nord,,barillets,,,,
Imports,La Rochelle,Nord,,barillets,,,,
Imports,Marseille,Nord,,barillets,,,,
Imports,Nantes,Hollande,,barillets,,,,
Imports,Nantes,Nord,,barillets,,,,
Imports,Rennes,Hollande,,barillets,,,,
Imports,Rouen,Nord,,barillets,,,,
Imports,Bordeaux,Angleterre,Angleterre,barillets,,,,
Imports,La Rochelle,Nord,Danemark,barillets,,,,
Imports,Bordeaux,Hollande,Hollande,barillets,,,,
Imports,Nantes,Hollande,Hollande,barillets,,,,
Imports,Rennes,Hollande,Hollande,barillets,,,,
Imports,Bordeaux,Nord,Nord,barillets,,,,
Imports,Marseille,Nord,Nord,barillets,,,,
Imports,Nantes,Nord,Nord,barillets,,,,
Imports,Rouen,Nord,Nord,barillets,,,,
Imports,Bordeaux,Nord,Nord (Hanse et Russie),barillets,,,,
Imports,Nantes,Nord,Nord (Hanse et Russie),barillets,,,,
Imports,Bordeaux,Nord,Suède,barillets,,,,
Exports,Nantes,Colonies françaises,cuisses d'oie,barillets,,,,Aucune information trouvée
Exports,Nantes,Outre-mers,cuisses d'oie,barillets,,,,
Imports,Nantes,Hollande,esturgeon,barillets,barils,kg,18.356249625,"Savary page 995 : les esturgeons sont conservés dans de petits barils de 25 à 50 livres pesant (on prend ici 37,5 livres)"
Imports,Bordeaux,Angleterre,farine,barillets,,,,"Doursther page 60 : 1 baril de farine = 88,9kg mais ici c'est un barillet"
Exports,Bayonne,Colonies françaises,noir de fumée,barillets,,,,Aucune information trouvée
Exports,Bayonne,Outre-mers,noir de fumée,barillets,,,,
Exports,Bordeaux,Outre-mers,noir de fumée,barillets,,,,
Imports,Bordeaux,Hollande,noir de fumée,barillets,,,,
Imports,Bordeaux,Nord,noir de fumée,barillets,,,,
Imports,La Rochelle,Nord,noir de fumée,barillets,,,,
Imports,Marseille,Nord,noir de fumée,barillets,,,,
Imports,Nantes,,noir de fumée,barillets,,,,
Imports,Nantes,Hollande,noir de fumée,barillets,,,,
Imports,Nantes,Nord,noir de fumée,barillets,,,,
Imports,Rennes,Hollande,noir de fumée,barillets,,,,
Imports,Rouen,Nord,noir de fumée,barillets,,,,
Imports,Bordeaux,Hollande,noir pour noircir,barillets,,,,
Imports,Bordeaux,Nord,noir pour noircir,barillets,,,,
Exports,Bayonne,Outre-mers,Îles françaises de l'Amérique,barillets,,,,
Exports,Bordeaux,Outre-mers,Îles françaises de l'Amérique,barillets,,,,
Exports,Nantes,Outre-mers,Îles françaises de l'Amérique,barillets,,,,
1753,,Angleterre,,barils,,,,
1753,,Espagne,,barils,,,,
1753,,Hollande,,barils,,,,
1753,,Italie,,barils,,,,
1753,,Nord,,barils,,,,
Exports,,Allemagne,,barils,,,,
Exports,,Angleterre,,barils,,,,
