goods_simpl_classification,nbr_occurences_simpl,grains_classification,obsolete,nbr_occurences_grains
,3043,Pas grain (0),non,539069
???,90,Pas grain (0),non,539069
??? blanc,2,Pas grain (0),non,539069
??? brun,2,Pas grain (0),non,539069
??? d'Anjou et de Touraine,1,Pas grain (0),non,539069
??? d'argent,1,,non,1391
??? d'une valeur moindre de deux mille francs chacun,473,Pas grain (0),non,539069
??? de boutard,1,Pas grain (0),non,539069
??? de fer,2,,non,1391
??? de morue,1,,non,1391
??? de nacre de perle,1,,non,1391
??? des ci-devant provinces d'Alsace,1,Pas grain (0),non,539069
??? des ci-devant provinces de Bourgogne,1,Pas grain (0),non,539069
??? des ci-devant provinces de Provence,2,Pas grain (0),non,539069
??? des ci-devant provinces du Languedoc,1,Pas grain (0),non,539069
??? diverses,4,Pas grain (0),non,539069
??? fer,1,Pas grain (0),non,539069
??? forts de fer,1,,non,1391
??? gras,1,,non,1391
??? particulièrement en chevaux,6,Pas grain (0),non,539069
??? pieds,1,,non,1391
??? pruneaux,1,,non,1391
??? raisins secs,1,,non,1391
???sse,1,Pas grain (0),non,539069
?ufs,1,Pas grain (0),non,539069
à jamis,276,Pas grain (0),non,539069
abassis,4,Pas grain (0),non,539069
abats,2,Pas grain (0),non,539069
abattis de morue,1,Pas grain (0),non,539069
abricots confits,1,Pas grain (0),non,539069
absinthe,19,Pas grain (0),non,539069
acacia,5,Pas grain (0),non,539069
acacia germanica,1,Pas grain (0),non,539069
acacia vera,1,Pas grain (0),non,539069
acajou,1,Pas grain (0),non,539069
acétate d'étain,0,Pas grain (0),oui,539069
acétate de fer,0,Pas grain (0),oui,539069
acétates d'étain,1,Pas grain (0),non,539069
acétates de fer,3,Pas grain (0),non,539069
acétates de plomb,29,Pas grain (0),non,539069
acétates de plomb sel de Saturne,2,Pas grain (0),non,539069
acétates de potasse et de soude,2,Pas grain (0),non,539069
acétates de sel d'étain,1,Pas grain (0),non,539069
achia,7,Pas grain (0),non,539069
acide arsénieux,8,Pas grain (0),non,539069
acide benzoïque,1,Pas grain (0),non,539069
acide benzoïque et phosphorique,2,Pas grain (0),non,539069
acide borique,3,Pas grain (0),non,539069
acide borique et benzoïque,2,Pas grain (0),non,539069
acide citrique,2,Pas grain (0),non,539069
acide citrique et muriatique et phosphorique,2,Pas grain (0),non,539069
acide citrique et oxalique et tartrique,2,Pas grain (0),non,539069
acide de potasse crème de tartre,5,Pas grain (0),non,539069
acide de potasse crème de tartre et tartrate,0,Pas grain (0),oui,539069
acide de potasse lie de vin desséché et liquide,4,Pas grain (0),non,539069
acide de potasse lie de vin desséché et liquide et tartrate,0,Pas grain (0),oui,539069
acide de potasse lie de vin desséchée,3,Pas grain (0),non,539069
acide de potasse lie de vin desséchée et tartrate,0,Pas grain (0),oui,539069
acide de potasse lie de vin liquide,2,Pas grain (0),non,539069
acide de potasse lie de vin liquide et tartrate,0,Pas grain (0),oui,539069
acide de potasse tartre brut impur,2,Pas grain (0),non,539069
acide de potasse tartre brut impur et tartrate,0,Pas grain (0),oui,539069
acide muriatique,1,Pas grain (0),non,539069
acide muriatique et nitrique et phosphorique,3,Pas grain (0),non,539069
acide muriatique et nitro-muriatique,2,Pas grain (0),non,539069
acide nitrique,4,Pas grain (0),non,539069
acide oxalique,2,Pas grain (0),non,539069
acide phosphorique,2,Pas grain (0),non,539069
acide succinique,1,Pas grain (0),non,539069
acide tartrique,2,Pas grain (0),non,539069
acide vitriolique,4,Pas grain (0),non,539069
acide vitriolique et huile de vitriol,109,Pas grain (0),non,539069
acide vitrioliques et huile de vitriol,0,Pas grain (0),oui,539069
acier,1679,Pas grain (0),non,539069
acier battu forgé ou laminé,1,Pas grain (0),non,539069
acier battu forgé ou laminé et fer carbonaté,0,Pas grain (0),oui,539069
acier brun,1,Pas grain (0),non,539069
acier brut,10,Pas grain (0),non,539069
acier commun,1,Pas grain (0),non,539069
acier en barres,6,Pas grain (0),non,539069
acier en bottes pour la Compagnie des Indes,1,Pas grain (0),non,539069
acier et clous,1,Pas grain (0),non,539069
acier et fer,356,Pas grain (0),non,539069
acier filé et fer carburé,0,Pas grain (0),oui,539069
acier fondu en carreaux ou en tôle,5,Pas grain (0),non,539069
acier fondu en carreaux ou en tôle et fer carburé,0,Pas grain (0),oui,539069
acier fondu forgé,1,Pas grain (0),non,539069
acier fondu forgé et fer carbonaté,0,Pas grain (0),oui,539069
acier forgé,7,Pas grain (0),non,539069
acier forgé et fer carburé,0,Pas grain (0),oui,539069
acons,1,Pas grain (0),non,539069
acons démontés,20,Pas grain (0),non,539069
acons démontés en gabare,2,Pas grain (0),non,539069
acorus,5,Pas grain (0),non,539069
acuirson,1,Pas grain (0),non,539069
acume de cuivre,1,Pas grain (0),non,539069
adatais,3,Pas grain (0),non,539069
affûts,2,Pas grain (0),non,539069
affûts de bois,1,,non,1391
affûts de canons,11,Pas grain (0),non,539069
affûts de fer,1,,non,1391
affûts de fusils,1,Pas grain (0),non,539069
affûts de fûts à canons,1,Pas grain (0),non,539069
affûts et canons,1,Pas grain (0),non,539069
agaric,138,Pas grain (0),non,539069
agaric amadouvier,6,Pas grain (0),non,539069
agaric amadouvier brut,4,Pas grain (0),non,539069
agaric amadouvier brut et préparé,12,Pas grain (0),non,539069
agaric amadouvier préparé,6,Pas grain (0),non,539069
agaric brut et préparé,6,Pas grain (0),non,539069
agaric de mélèze,4,Pas grain (0),non,539069
agaric et amadouvier,0,Pas grain (0),oui,539069
agaric fin,1,Pas grain (0),non,539069
agaric gros,2,Pas grain (0),non,539069
agate,11,Pas grain (0),non,539069
agate autre que chique et ouvrages,2,,non,1391
agate autre que chique et ouvrée,0,Pas grain (0),oui,539069
agate brute,4,Pas grain (0),non,539069
agate chique et ouvrée,0,Pas grain (0),oui,539069
agate en pierres,1,,non,1391
agate fine,1,Pas grain (0),non,539069
agate montée,1,Pas grain (0),non,539069
agate ouvrée,0,Pas grain (0),oui,539069
agneaux,117,Pas grain (0),non,539069
agneaux communs,8,Pas grain (0),non,539069
agneaux en vie,5,Pas grain (0),non,539069
agneaux et cabris,1,Pas grain (0),non,539069
agneaux mérinos et métis,7,Pas grain (0),non,539069
agnelines et crottelins,1,Pas grain (0),non,539069
agobille,1,,non,1391
agoutals,4,Pas grain (0),non,539069
agoutals de bois,5,Pas grain (0),non,539069
agrément,15,Pas grain (0),non,539069
agrément au quart,3,Pas grain (0),non,539069
agrément d'argent,2,Pas grain (0),non,539069
agrément d'or,1,Pas grain (0),non,539069
agrément d'or et d'argent,5,Pas grain (0),non,539069
agrément de fil,9,Pas grain (0),non,539069
agrément de fil et de soie,3,Pas grain (0),non,539069
agrément de fleur,1,Pas grain (0),non,539069
agrément de soie,57,Pas grain (0),non,539069
agrément de soie et d'argent,1,Pas grain (0),non,539069
agrément de soie et fil,0,Pas grain (0),oui,539069
agrément de soie or et argent faux,1,Pas grain (0),non,539069
agréments de soie et milleret,1,Pas grain (0),non,539069
agréments et milleret,1,Pas grain (0),non,539069
agrès,12,Pas grain (0),non,539069
agrès apparaux de navire et embarcations,6,Pas grain (0),non,539069
agrès apparaux et embarcations,2,Pas grain (0),non,539069
agrès de navire,0,Pas grain (0),oui,539069
agrès de navire en voile,0,Pas grain (0),oui,539069
agrès de navire et jeux de voile,10,Pas grain (0),non,539069
agrès et apparaux,1,Pas grain (0),non,539069
agrès et apparaux d'or navire,1,,non,1391
agrès et bâtiments de mer,10,Pas grain (0),non,539069
agrès et embarcations,8,Pas grain (0),non,539069
agrès et voile de navire,1,Pas grain (0),non,539069
agrès et voiles de navire,0,Pas grain (0),oui,539069
aigles,1,Pas grain (0),non,539069
aigre de cèdre,9,Pas grain (0),non,539069
aigre de cidre,5,Pas grain (0),non,539069
aigre de vitriol,17,Pas grain (0),non,539069
aigrettes,10,Pas grain (0),non,539069
aigrettes de fil d'or et d'argent,1,Pas grain (0),non,539069
aigrettes de soie,1,Pas grain (0),non,539069
aigrettes de soie et argent,1,Pas grain (0),non,539069
aigrettes et bavolets,1,Pas grain (0),non,539069
aiguières d'étain,1,Pas grain (0),non,539069
aiguilles,209,Pas grain (0),non,539069
aiguilles à boîtes,1,Pas grain (0),non,539069
aiguilles à coudre,61,Pas grain (0),non,539069
aiguilles à coudre voiles,1,Pas grain (0),non,539069
aiguilles à ralingue,1,Pas grain (0),non,539069
aiguilles à tabac,1,Pas grain (0),non,539069
aiguilles à toile,1,Pas grain (0),non,539069
aiguilles d'emballage,2,Pas grain (0),non,539069
aiguilles de mercerie fine,1,Pas grain (0),non,539069
aiguilles epars de sapin,1,Pas grain (0),non,539069
aiguilles et épingles,1,Pas grain (0),non,539069
aiguilles et épingles de mercerie fine,3,Pas grain (0),non,539069
aiguilles et mercerie fine,2,Pas grain (0),non,539069
aiguilles grosses,1,Pas grain (0),non,539069
aiguilles pour voile,37,Pas grain (0),non,539069
aiguillettes,1,Pas grain (0),non,539069
ail,2,Pas grain (0),non,539069
ailes,4,Pas grain (0),non,539069
ailes de fléaux,1,Pas grain (0),non,539069
ailes de moulins,1,Pas grain (0),non,539069
ailor,1,Pas grain (0),non,539069
ails,204,Pas grain (0),non,539069
ails à fauches,1,Pas grain (0),non,539069
ails blancs à casser,1,Pas grain (0),non,539069
aimant,1,Pas grain (0),non,539069
ains à pêcher,43,Pas grain (0),non,539069
ains et lignes à pêcher,2,Pas grain (0),non,539069
airain,6,Pas grain (0),non,539069
airain non ouvré,4,Pas grain (0),non,539069
ajustements,37,Pas grain (0),non,539069
ajustements de femme,5,Pas grain (0),non,539069
ajustements de soie,2,Pas grain (0),non,539069
alambics,17,Pas grain (0),non,539069
alambics d'étain,17,Pas grain (0),non,539069
alambics de cuivre,2,Pas grain (0),non,539069
alambics de terre,1,Pas grain (0),non,539069
alana,2,Pas grain (0),non,539069
alazar,2,Pas grain (0),non,539069
albâtre,5,Pas grain (0),non,539069
albâtre brut,3,Pas grain (0),non,539069
albâtre et marbre brut et poli,21,Pas grain (0),non,539069
albâtre moulé poli ou sculpté,6,Pas grain (0),non,539069
alcalis autre que natron et soude,2,Pas grain (0),non,539069
alcalis salin,1,Pas grain (0),non,539069
alènes,5,Pas grain (0),non,539069
alibanies,97,Pas grain (0),non,539069
alizari,16,Pas grain (0),non,539069
alizari et garance,165,Pas grain (0),non,539069
alizari sèche,7,Pas grain (0),non,539069
alkermés,1,Pas grain (0),non,539069
