marchandises,orthographic_normalization_class,état_du_travail,nbr_occurences_source,nbr_occurences_ortho
///Drogues diverses///Huile et essence de térébenthine,drogues diverses huile et essence de térébenthine,,18,24
///Drogues diverses///Huile et essence de Térébenthine,drogues diverses huile et essence de térébenthine,,6,24
///Drogues diverses///Sels chimiques,drogues diverses sel chimique,,9,15
///Drogues Diverses///Sels chimiques,drogues diverses sel chimique,,6,15
///Drogues médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,,29,46
///Drogues Médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,,17,46
///Drogues médicinales///Drogues réunies,drogues médicinales drogues réunies,,12,39
///Drogues Médicinales///Drogues réunies,drogues médicinales drogues réunies,,16,39
///Drogues médicinales///Ipécacuanha,drogues médicinales ipécacuanha,,1,17
///Drogues Médicinales///Ipécacuanha,drogues médicinales ipécacuanha,,4,17
///Drogues médicinales///Jus de réglisse,drogues médicinales jus de réglisse,,5,34
///Drogues Médicinales///Jus de réglisse,drogues médicinales jus de réglisse,,5,34
///Drogues médicinales///Manne,drogues médicinales manne,,3,56
///Drogues Médicinales///Manne,drogues médicinales manne,,4,56
///Drogues médicinales///Quinquina,drogues médicinales quinquina,,10,48
///Drogues Médicinales///Quinquina,drogues médicinales quinquina,,6,48
///Drogues médicinales///Safran,drogues médicinales safran,,16,55
///Drogues Médicinales///Safran,drogues médicinales safran,,5,55
///Drogues médicinales///Salsepareille,drogues médicinales salsepareille,,2,21
///Drogues Médicinales///Salsepareille,drogues médicinales salsepareille,,2,21
///Drogues médicinales///Séné,drogues médicinales séné,,3,37
///Drogues Médicinales///Séné,drogues médicinales séné,,4,37
///Drogues midicinales///Drogues réunies,drogues médicinales drogues réunies,,11,39
///Drogues midicinales///Ipécacuanha,drogues médicinales ipécacuanha,,1,17
///Drogues midicinales///Jus de réglisse,drogues médicinales jus de réglisse,,3,34
///Drogues midicinales///Manne,drogues médicinales manne,,3,56
///Drogues midicinales///Quinquina,drogues médicinales quinquina,,2,48
///Drogues midicinales///Safran,drogues médicinales safran,,2,55
///Drogues midicinales///Salsepareille,drogues médicinales salsepareille,,2,21
///Drogues midicinales///Sené,drogues médicinales sené,,4,4
///Industrie Etrangère///Articles réunis,industrie étrangère articles réunis,,18,54
///Industrie étrangère///Articles réunis,industrie étrangère articles réunis,,36,54
///Industrie Etrangère///Bouchons de liège,industrie étrangère bouchons de liège,,1,3
///Industrie étrangère///Bouchons de liége,industrie étrangère bouchons de liège,,2,3
///Industrie étrangère///Cauris,industrie étrangère cauris,,1,1
///Industrie étrangère///Colle de toute sorte,industrie étrangère colle de toute sorte,,3,16
