marchandises,orthographic_normalization_class,état_du_travail,nbr_occurences_source,nbr_occurences_ortho
chapeaux brodés d'or,chapeaux brodés d'or,,1,5
Chapeaux brodés d'or,chapeaux brodés d'or,,4,5
chapeaux castor,chapeaux castor,,4,465
Chapeaux castor,chapeaux castor,,125,465
Chapeaux Castor,chapeaux castor,,3,465
Chapeaux castor ; brodé d'argent,chapeaux castor brodés d'argent,,1,3
Chapeaux castor ; brodé d'or,chapeaux castor brodés d'or,,1,3
Chapeaux castor ; varier divers,chapeaux castor variés divers,,1,1
Chapeaux castor blanc,chapeaux castor,,2,465
Chapeaux Castor bordé d'argent,chapeaux castor brodés d'argent,,1,3
Chapeaux castor bordés,chapeaux castor bordés,,9,11
Chapeaux castor bordés d'or,chapeaux castor bordés d'or,,1,4
chapeaux castor bordés d'or et d'argent,chapeaux castor bordés d'or et d'argent,,1,7
Chapeaux castor bordés d'or et d'argent,chapeaux castor bordés d'or et d'argent,,2,7
Chapeaux castor bordés or et argent,chapeaux castor bordés d'or et d'argent,,1,7
Chapeaux castor brodé d'or,chapeaux castor bordés d'or,,1,4
Chapeaux castor brodé d'or et argent,chapeaux castor bordés d'or et d'argent,,1,7
Chapeaux castor brodée d'argent,chapeaux castor brodés d'argent,,1,3
Chapeaux castor brodés d'or et argent,chapeaux castor bordés d'or et d'argent,,1,7
Chapeaux castor brodez en or,chapeaux castor bordés en or,,1,1
Chapeaux castor noir,chapeaux castor noir,,1,1
Chapeaux Castor non bordé,chapeaux castor non bordés,,1,2
Chapeaux Castor non bordées,chapeaux castor non bordés,,1,2
Chapeaux castor unis,chapeaux castor unis,,3,7
Chapeaux castor vernis,chapeaux castor vernis,,3,4
"Chapeaux castor, bordez d'or et d'argent",chapeaux castor bordés d'or et d'argent,,1,7
chapeaux castors,chapeaux castor,,7,465
Chapeaux castors,chapeaux castor,,28,465
Chapeaux castors brodé d'or,chapeaux castor bordés d'or,,1,4
Chapeaux castors brodés or,chapeaux castor brodés d'or,,1,3
chapeaux castors demy,chapeaux castor demi,,1,1
chapeaux castors unis,chapeaux castor unis,,1,7
Chapeaux castors unis,chapeaux castor unis,,1,7
Chapeaux castors vernies,chapeaux castor vernis,,1,4
Chapeaux cirés,chapeaux cirés,,1,1
Chapeaux commun,chapeaux communs,,8,244
Chapeaux commune,chapeaux communs,,1,244
Chapeaux Commune,chapeaux communs,,1,244
chapeaux communs,chapeaux communs,,9,244
Chapeaux communs,chapeaux communs,,116,244
chapeaux communs bordés d'or et d'argent faux,chapeaux communs bordés d'or et d'argent faux,,1,1
chapeaux communs de pailles,chapeaux communs de paille,,1,1
Chapeaux comuns,chapeaux communs,,8,244
Chapeaux d'ourson,chapeaux d'ourson,,1,1
chapeaux d'ozier,chapeaux d'osier,,1,1
chapeaux de bois,chapeaux de bois,,2,10
Chapeaux de bois,chapeaux de bois,,1,10
Chapeaux de casor,chapeaux de casor,,1,1
Chapeaux de castor,chapeaux de castor,,40,92
Chapeaux de castor borde d'or,chapeaux de castor bordés d'or,,1,1
Chapeaux de castor borde or et argent,chapeaux de castor bordés or et argent,,1,2
Chapeaux de castor brodé,chapeaux de castor brodé,,1,1
Chapeaux de castor tins,chapeaux de castor fins,,1,1
Chapeaux de castor unis,chapeaux de castor unis,,1,1
Chapeaux de castors,chapeaux de castor,,3,92
Chapeaux de Castors,chapeaux de castor,,2,92
Chapeaux de Cigogne,chapeaux de vigogne,,1,17
Chapeaux de crin,chapeaux de crin,,1,1
Chapeaux de cuir,chapeaux de cuir,,1,7
Chapeaux de demi-castor,chapeaux de demi-castor,,3,3
Chapeaux de demi-castor bords en or,chapeaux de demi-castor bords en or,,1,1
chapeaux de femme,chapeaux de femme,,1,3
chapeaux de feutre,chapeaux de feutre,,1,43
Chapeaux de feutre,chapeaux de feutre,,15,43
Chapeaux de Feutre,chapeaux de feutre,,2,43
Chapeaux de feutre communs,chapeaux de feutre communs,,3,3
chapeaux de laine,chapeaux de laine,,6,325
Chapeaux de laine,chapeaux de laine,,178,325
Chapeaux de laine bordés d'or faux,chapeaux de laine bordés d'or faux,,2,2
Chapeaux de laine communs,chapeaux de laine communs,,10,14
Chapeaux de laine pour nègres,chapeaux de laine pour nègre,,5,10
Chapeaux de laine unis,chapeaux de laine unis,,1,1
Chapeaux de laines bordés en faux,chapeaux de laine bordés en faux,,1,1
Chapeaux de laines pour nègres,chapeaux de laine pour nègre,,5,10
Chapeaux de leine,chapeaux de laine,,1,325
Chapeaux de loutre,chapeaux de loutre,,1,4
Chapeaux de mi-castor,chapeaux de mi castor,,1,3
Chapeaux de mi-castors,chapeaux de mi castor,,1,3
Chapeaux de my castor,chapeaux de mi castor,,1,3
Chapeaux de negre,chapeaux de nègre,,1,2
Chapeaux de negres,chapeaux de nègre,,1,2
chapeaux de paille,chapeaux de paille,,31,308
Chapeaux de paille,chapeaux de paille,,124,308
chapeaux de paille dits garde soleil,chapeaux de paille dits garde-soleils,,1,1
Chapeaux de paille et d'écorce,chapeaux de paille et d'écorce,,15,21
Chapeaux de paille et d'écorce de bois,chapeaux de paille et d'écorce de bois,,146,151
Chapeaux de paille et d'écorces,chapeaux de paille et d'écorce,,6,21
Chapeaux de paille faconnés,chapeaux de paille façonnés,,1,1
"Chapeaux de paille, d'écorce, de sparte ; fins",chapeaux de paille d'écorce et de sparte grossiers,,5,10
"Chapeaux de paille, d'écorce, de sparte ; grossiers",chapeaux de paille d'écorce et de sparte grossiers,,5,10
"Chapeaux de pailles ou d'écorces, fins et grossiers",chapeaux de paille d'écorce et de sparte fins et grossiers,,1,1
chapeaux de poil,chapeaux de poil,,1,58
Chapeaux de poil,chapeaux de poil,,22,58
Chapeaux de Poil,chapeaux de poil,,1,58
Chapeaux de poil borde or et argeant,chapeaux de poil bordés or et argent,,1,1
Chapeaux de poil et de laine,chapeaux de poil et de laine,,18,18
Chapeaux de poil et laine,chapeaux de poil et laine,,62,91
Chapeaux de poiles laines,chapeaux de poil et laine,,1,91
Chapeaux de prises,chapeaux des prises,,1,3
chapeaux de satin,chapeaux de satin,,1,2
chapeaux de soye,chapeaux de soie,,1,8
Chapeaux de soye,chapeaux de soie,,2,8
Chapeaux de taffetas,chapeaux de taffetas,,1,1
chapeaux de toutes sortes,chapeaux de toute sorte,,1,2
Chapeaux de toutes sortes,chapeaux de toute sorte,,1,2
Chapeaux de vigagne,chapeaux de vigogne,,1,17
Chapeaux de vigogne,chapeaux de vigogne,,1,17
Chapeaux dely castor,chapeaux demi castor,,1,149
Chapeaux demi casrtor,chapeaux demi castor,,2,149
chapeaux demi castor,chapeaux demi castor,,1,149
Chapeaux demi castor,chapeaux demi castor,,33,149
Chapeaux demi Castor,chapeaux demi castor,,1,149
Chapeaux demi castor ; bordés d'or,chapeaux demi castor bordés d'or,,1,1
Chapeaux demi castors,chapeaux demi castor,,3,149
Chapeaux demi Castors,chapeaux demi castor,,1,149
Chapeaux demi vigogne,chapeaux demi vigogne,,3,15
chapeaux demi vigognes,chapeaux demi vigogne,,1,15
Chapeaux demi vigognes,chapeaux demi vigogne,,3,15
Chapeaux demi-castor,chapeaux demi castor,,9,149
Chapeaux demicastor,chapeaux demi castor,,1,149
Chapeaux demicastors,chapeaux demi castor,,1,149
Chapeaux demis castor,chapeaux demi castor,,2,149
Chapeaux demivigognes,chapeaux demi vigogne,,1,15
Chapeaux demy caspor,chapeaux demi castor,,1,149
chapeaux demy castor,chapeaux demi castor,,2,149
Chapeaux demy castor,chapeaux demi castor,,18,149
Chapeaux demy Castor,chapeaux demi castor,,2,149
Chapeaux Demy Castor,chapeaux demi castor,,1,149
ChaPeaux demy castor,chapeaux demi castor,,7,149
Chapeaux demy vigogne,chapeaux demi vigogne,,2,15
Chapeaux demy vigognes,chapeaux demi vigogne,,1,15
chapeaux des prises,chapeaux des prises,,1,3
Chapeaux des prises,chapeaux des prises,,1,3
Chapeaux divers,chapeaux divers,,36,84
Chapeaux divers communs,chapeaux divers,,3,84
Chapeaux en laine,chapeaux en laine,,2,3
chapeaux en paille,chapeaux en paille,,1,3
Chapeaux en poil,chapeaux en poil,,1,1
Chapeaux en poil et laine,chapeaux en poil et laine,,1,1
Chapeaux en vigogne,chapeaux en vigogne,,1,1
Chapeaux finis,chapeaux finis,,1,1
chapeaux fins,chapeaux fins,,1,8
Chapeaux fins,chapeaux fins,,5,8
Chapeaux fins des prises,chapeaux fins des prises,,1,1
chapeaux garnis,chapeaux garnis,,1,2
Chapeaux garnis,chapeaux garnis,,1,2
Chapeaux gris,chapeaux gris,,1,1
Chapeaux grossier,chapeaux grossiers,,1,7
Chapeaux grossiers,chapeaux grossiers,,6,7
Chapeaux laine,chapeaux laine,,4,5
Chapeaux laine des prises,chapeaux laine des prises,,3,3
Chapeaux maine,chapeaux Maine,,1,2
Chapeaux Maine,chapeaux Maine,,1,2
Chapeaux melés,chapeaux mêlés,,1,2
chapeaux mi castor,chapeaux mi castor,,5,389
Chapeaux mi castor,chapeaux mi castor,,45,389
Chapeaux mi Castor,chapeaux mi castor,,5,389
Chapeaux mi castors,chapeaux mi castor,,1,389
Chapeaux mi vigogne,chapeaux mi vigogne,,4,43
Chapeaux mi vogogne,chapeaux mi vigogne,,1,43
chapeaux mi-castor,chapeaux mi castor,,1,389
Chapeaux mi-castor,chapeaux mi castor,,14,389
chapeaux mi-castors,chapeaux mi castor,,2,389
Chapeaux mi-castors,chapeaux mi castor,,1,389
Chapeaux mi-vigogne,chapeaux mi vigogne,,1,43
Chapeaux micastors,chapeaux mi castor,,1,389
Chapeaux my castor,chapeaux mi castor,,5,389
Chapeaux my castors,chapeaux mi castor,,1,389
chapeaux my-castors,chapeaux mi castor,,1,389
Chapeaux my-castors,chapeaux mi castor,,1,389
Chapeaux mycastor,chapeaux mi castor,,1,389
Chapeaux negres,chapeaux nègre,,1,2
Chapeaux nègres,chapeaux nègre,,1,2
chapeaux neufs,chapeaux neufs,,1,1
Chapeaux ordinaires,chapeaux ordinaires,,1,2
Chapeaux perle,chapeaux perle,,1,1
Chapeaux perse,chapeaux perse,,1,3
Chapeaux poil,chapeaux poil,,2,2
Chapeaux poil a laine,chapeaux poil à laine,,1,25
Chapeaux poil de laine,chapeaux poil de laine,,1,1
Chapeaux poil Eclayre,,,1,2599
Chapeaux poil en laine,chapeaux poil en laine,,18,29
Chapeaux Poil en laine,chapeaux poil en laine,,1,29
Chapeaux poil estain,chapeaux poil estain,,1,1
Chapeaux poil et castor,chapeaux poil et castor,,1,1
chapeaux poil et laine,chapeaux poil et laine,,8,605
Chapeaux poil et laine,chapeaux poil et laine,,279,605
Chapeaux Poil et Laine,chapeaux poil et laine,,2,605
Chapeaux poil et laines,chapeaux poil et laine,,1,605
Chapeaux poil et laisne,chapeaux poil et laine,,1,605
Chapeaux poil laine,chapeaux poil et laine,,3,605
Chapeaux pour laine,chapeaux pour laine,,1,1
Chapeaux pour nègres,chapeaux pour nègre,,1,1
Chapeaux unis demi forme,chapeaux unis demi forme,,2,2
Chapeaux velours,chapeaux velours,,1,1
chapeaux vieux,chapeaux vieux,,1,3
Chapeaux vieux,chapeaux vieux,,2,3
Chapeaux vigogne,chapeaux vigogne,,16,81
Chapeaux Vigogne,chapeaux vigogne,,1,81
chapeaux vigognes,chapeaux vigogne,,1,81
Chapeaux vigognes,chapeaux vigogne,,8,81
Chapeaux Vigognes,chapeaux vigogne,,1,81
Chapeaux vigonnes,chapeaux vigogne,,1,81
Chapeaux; castor,chapeaux castor,,14,465
Chapeaux; de laine,chapeaux de laine,,1,325
Chapelet,chapelets,,5,35
Chapelet ; de Jerusalem,chapelets de Jérusalem,,1,1
Chapelet de bois,chapelets de bois,,1,23
Chapelet de verre,chapelets de verre,,1,5
Chapelets,chapelets,,27,35
Chapelets ; commun,chapelets communs,,1,1
Chapelets ; de bois,chapelets de bois,,8,23
Chapelets ; de coco,chapelets de coco,,1,6
Chapelets ; de cocos,chapelets de coco,,5,6
Chapelets ; de verre,chapelets de verre,,2,5
Chapelets de bois,chapelets de bois,,14,23
Chapelets de verre,chapelets de verre,,2,5
Chapelets en bois,chapelets en bois,,1,1
Chapelieres de castor,chapelière de castor,,2,2
Chapellerie,chapellerie,,201,205
"Chapellerie ; commune, de poil ou de laine",chapellerie commune de poil ou de laine,,1,1
Chapellerie commune de laine,chapellerie commune de laine,,1,1
"Chapellerie de feutre ; fine, de laine ou de castor",chapellerie de feutre fine de laine ou de castor,,1,1
Chapellerie de toute sorte,chapellerie de toute sorte,,50,50
Chapellerie en paille et sparterie,chapellerie en paille et sparterie,,31,31
Chapellerie en poil et laine,chapellerie en poil et laine,,36,36
Chapelleries,chapellerie,,2,205
Chapelleries de castor,chapellerie,,2,205
Chapellieres de castor,chapellerie de castor,,1,1
Chapepeaux Castor,chapeaux castor,,1,465
Chapeuax de poil et laine,chapeaux de poil et laine,,1,91
Chapilas,chaplas,,1,2
Chaplas,chaplas,,1,2
Chaplelets,chapelets,,3,35
Chapon gras,chapons gras,,1,4
chapons,chapons,,1,6
Chapons,chapons,,5,6
Chapons gras,chapons gras,,3,4
Chappeaux à negres,chapeaux à nègre,,1,186
Chappeaux Castor,chapeaux castor,,1,465
Chappeaux communs,chapeaux communs,,1,244
Chapreeaux de paille de ris,chapeaux de paille de riz,,1,2
Chaquelas,chaquelas,,3,3
Charanis,chavonis,,1,3
charbon,charbon,,2,199
Charbon,charbon,,2,199
Charbon ; à drapier,charbon à drapier,,1,19
charbon ; de bois,charbon de bois,,4,326
Charbon ; de bois,charbon de bois,,209,326
Charbon ; de Bois,charbon de bois,,2,326
Charbon ; De bois,charbon de bois,,7,326
Charbon ; de boulanger,charbon de boulanger,,1,1
Charbon ; de pierre,charbon de pierre,,11,32
Charbon ; De pierre,charbon de pierre,,3,32
Charbon ; De Pierre,charbon de pierre,,1,32
Charbon ; De pièrre,charbon de pierre,,2,32
Charbon ; de pin,charbon de pin,,1,8
Charbon ; de terre,charbon de terre,,421,1357
Charbon ; de Terre,charbon de terre,,4,1357
Charbon ; De terre,charbon de terre,,9,1357
Charbon ; De Terre,charbon de terre,,8,1357
Charbon ;de bois,charbon de bois,,1,326
Charbon à drapier,charbon à drapier,,7,19
Charbon à terre,charbon de terre,,1,1357
charbon de bois,charbon de bois,,16,326
Charbon de bois,charbon de bois,,77,326
Charbon de bois et de chenevotte,charbon de bois et chènevotte,,1,1
Charbon de bois et de terre,charbon de bois et de terre,,34,34
Charbon de bois ou de chenevotte ; en hectolitres,charbon de bois ou de chènevotte en hectolitres,,2,2
Charbon de bois ou de chenevotte ; en kilogrammes,charbon de bois ou de chènevotte en kilogrammes,,2,2
Charbon de bois ou de chevenotte,charbon de bois ou de chènevotte,,2,2
charbon de pierre,charbon de pierre,,1,32
Charbon de pierre,charbon de pierre,,10,32
Charbon de pierres,charbon de pierre,,2,32
charbon de pin,charbon de pin,,3,8
Charbon de pin,charbon de pin,,4,8
charbon de terre,charbon de terre,,103,1357
Charbon de terre,charbon de terre,,555,1357
Charbon de Terre,charbon de terre,,232,1357
charbon de terre à cuir chaux,charbon de terre à cuire chaux,,1,1
Charbon de terre et de bois,charbon de terre et de bois,,120,129
Charbon en terre,charbon de terre,,1,1357
Charbon terre,charbon terre,,2,2
Charbons,charbon,,195,199
Charbons ; de bois,charbon de bois,,1,326
Charbons ; De bois,charbon de bois,,4,326
Charbons ; De pierre,charbon de pierre,,2,32
Charbons ; de terre,charbon de terre,,2,1357
Charbons ; De terre,charbon de terre,,4,1357
Charbons à drapier,charbon à drapier,,11,19
Charbons cardiers,charbon cardier,,12,12
charbons de bois,charbon de bois,,1,326
Charbons de bois,charbon de bois,,4,326
charbons de boulanger et bresette,charbon de boulanger et braisette,,1,1
charbons de terre,charbon de terre,,1,1357
Charbons de terre,charbon de terre,,4,1357
charbons de terre d'Angleterre,charbon de terre d'Angleterre,,1,1
Charbons de terre et de bois,charbon de terre et de bois,,9,129
charbons de terre ou de pierre dits houille,charbon de terre ou de pierre dit houille,,1,1
Charbons/houilles,charbon houille,,1,1
Chardon,chardons,,1,13
Chardon ; A ampier,chardons à drapier,,2,78
Chardon ; a drapier,chardons à drapier,,1,78
Chardon ; à drapier,chardons à drapier,,6,78
Chardon ; à drappier,chardons à drapier,,3,78
chardon a drapier,chardons à drapier,,1,78
Chardon a drapier,chardons à drapier,,1,78
chardon de terre,charbon de terre,,5,1357
Chardons,chardons,,12,13
Chardons ; a drapier,chardons à drapier,,1,78
Chardons ; à drapier,chardons à drapier,,24,78
Chardons ; a drapiers,chardons à drapier,,1,78
Chardons ; à drapiers,chardons à drapier,,1,78
Chardons a drapier,chardons à drapier,,10,78
Chardons à drapier,chardons à drapier,,24,78
Chardons a drapiers,chardons à drapier,,2,78
Chardons à rapier,chardons à drapier,,1,78
Chardons cardières,chardons cardère,,7,18
Chardons cardiers,chardons cardère,,11,18
Chardons de drapier,chardons de drapiers,,1,1
chardons de terre,charbon de terre,,1,1357
charettes,charrettes,,1,5
Charettes,charrettes,,3,5
Charettes neuves,charrettes neuvres,,1,1
Charettes vieilles,charrettes vieilles,,1,1
Charfarcani,chafarcani,,1,1
charge en Fer ; blanc,charge en fer-blanc,,1,1
Chari ; salée,chair salée,,1,714
chariot a feu,chariots à feu,,1,1
Chariots,chariots,,11,11
Chariots Neufs,chariots neufs,,1,1
Charloronne,charlotonne,,1,3
charlotonne,charlotonne,,1,3
Charlotonne,charlotonne,,1,3
Charnières de marbre,charnière de marbre,,1,1
Charonies,charonies,,1,1
Charonin,charonin,,1,1
Charpente démontée,charpente démontée,,1,1
charpie,charpie,,1,1
Charrée,charrée,,4,4
Charrée (cendre de bois lessivée),charrée (cendre de bois lessivée),,2,2
Charrette,charrettes,,1,5
Charrue,charrues,,1,16
Charruë,charrues,,1,16
charrues,charrues,,1,16
Charrues,charrues,,1,16
Charrües,charrues,,2,16
Charue,charrues,,1,16
Charuë,charrues,,1,16
Charues,charrues,,3,16
Charuës,charrues,,3,16
Charües,charrues,,2,16
chaselade,chasselas,,1,150
chaselar,chasselas,,1,150
chaselas,chasselas,,1,150
Chaselas,chasselas,,4,150
Chaselat,chasselas,,1,150
Chaselats,chasselas,,1,150
chasselas,chasselas,,22,150
Chasselas,chasselas,,106,150
chasselat,chasselas,,1,150
Chasselat,chasselas,,2,150
Chasselats,chasselas,,7,150
Chassemouches,chasse-mouches,,1,1
Chassis de bois,châssis de bois,,1,1
Chasuble,chasuble,,3,8
Chasubles,chasuble,,5,8
Chatagnes,châtaignes,,1,557
chataigne,châtaignes,,1,557
Chataigne,châtaignes,,47,557
Chataigners,châtaigners,,1,1
chataignes,châtaignes,,29,557
Chataignes,châtaignes,,462,557
Chataîgnes,châtaignes,,1,557
Châtaignes,châtaignes,,2,557
chataignes biscotes,châtaignes biscuites,,6,11
Chataignes biscotes,châtaignes biscuites,,3,11
chataignes biscuites,châtaignes biscuites,,1,11
chataignes blanche,châtaignes blanches,,1,10
chataignes blanches,châtaignes blanches,,4,10
Chataignes blanches,châtaignes blanches,,4,10
Châtaignes et marrons,châtaignes et marrons,,1,1
Chataîgnes et noix,châtaignes et noix,,1,1
chataignes fraiches,châtaignes fraîches,,8,21
Chataignes fraiches,châtaignes fraîches,,7,21
chataignes fraisches,châtaignes fraîches,,3,21
Chataignes fraisches,châtaignes fraîches,,2,21
chataignes freches,châtaignes fraîches,,1,21
chataignes seches,châtaignes sèches,,14,37
Chataignes seches,châtaignes sèches,,13,37
Chataignes seiches,châtaignes sèches,,8,37
Chataine,châtaignes,,1,557
Chateigne,châtaignes,,2,557
Chateignes,châtaignes,,11,557
chateignes blanches,châtaignes blanches,,1,10
chateignes seches,châtaignes sèches,,1,37
Chateignes seches,châtaignes sèches,,1,37
Chateis,chateis,,1,1
Chatons,chatons,,1,1
Chau ?,chau ???,,1,1
chaucolat,chocolat,,1,887
Chaud,chaud,,1,1
Chauderie de fer,chauderie de fer,,1,2
Chauderies de fer,chauderie de fer,,1,2
Chaudière ; de cuivre,chaudière de cuivre,,1,8
Chaudière à guildives,chaudière à guildives,,1,3
Chaudiere a sucre,chaudière à sucre,,2,2
Chaudiere de cuivre,chaudière de cuivre,,2,8
Chaudière de cuivre,chaudière de cuivre,,2,8
Chaudière de cuivre ; grande,chaudière de cuivre grande,,1,1
Chaudière de cuivre à sucre,chaudière de cuivre à sucre,,1,1
Chaudiere de cuivre avec sa Serpentine,chaudière de cuivre avec sa Serpentine,,1,1
Chaudiere de cuivre et ustenciles,chaudière de cuivre et ustensiles,,1,1
chaudiere de cuivre jaune,chaudière de cuivre jaune,,1,1
Chaudiere de fer,chaudière de fer,,3,20
Chaudiére de fer,chaudière de fer,,1,20
chaudière de fer,chaudière de fer,,1,20
Chaudiere de fer de fonte,chaudière de fer de fonte,,1,1
Chaudiere de fonte,chaudière de fonte,,1,4
Chaudiere de fonte de fer,chaudière de fonte de fer,,1,3
Chaudière en cuivre,chaudière en cuivre,,1,1
Chaudieres a distilles,chaudière à distiller,,1,1
Chaudieres a Guildives,chaudière à guildives,,2,3
Chaudieres a negres,chaudière à nègre,,1,1
Chaudieres a rafiné,chaudière à raffiner,,1,1
Chaudieres de cuivre,chaudière de cuivre,,1,8
Chaudières de cuivre,chaudière de cuivre,,1,8
chaudieres de fer,chaudière de fer,,1,20
Chaudieres de fer,chaudière de fer,,5,20
Chaudières de fer,chaudière de fer,,3,20
Chaudieres de fert,chaudière de fer,,1,20
Chaudières de fert,chaudière de fer,,1,20
chaudieres de fonte,chaudière de fonte,,1,4
Chaudieres de fonte,chaudière de fonte,,1,4
Chaudières de fonte,chaudière de fonte,,1,4
Chaudieres de fonte de fer,chaudière de fonte de fer,,1,3
Chaudières de fonte de fer,chaudière de fonte de fer,,1,3
Chaudieres de patine,chaudières de patine,,1,1
chaudières de potier,chaudière de potier,,1,1
Chaudieres de potin,chaudière de potin,,1,2
Chaudières de potin,chaudière de potin,,1,2
Chaudières en marmites de potin,chaudière en marmites de potin,,2,2
Chaudières et marmites de ???,chaudières et marmites de ???,,4,4
Chaudieries de cuivres,chaudière de cuivre,,1,8
Chaudierres de fer,chaudière de fer,,1,20
Chaudiers de Fer,chaudière de fer,,1,20
Chaudon s de Cuivre,chaudrons de cuivre,,1,2
chaudons de cuivre,cuivre en chaudrons,,1,4
Chaudriéres a bray,chaudière à brai,,1,1
Chaudrieres de fer,chaudière de fer,,1,20
Chaudron,chaudron,,2,3
Chaudron d'airain,chaudron d'airain,,1,2
Chaudron d'airin,chaudron d'airain,,1,2
Chaudron de cuivre,chaudron de cuivre,,1,25
Chaudron de Cuivre,chaudron de cuivre,,8,25
Chaudron de cuivre pour l´entrepot de la Compagnie de Guinée,chaudron de cuivre pour l'entrepôt de la Compagnie de Guinée,,1,1
Chaudron de fer,chaudron de fer,,1,3
Chaudron en cuivre,chaudron en cuivre,,1,1
Chaudrons,chaudron,,1,3
Chaudrons Basin de Cuivre,chaudron bassin de cuivre,,1,1
chaudrons de cuivre,chaudron de cuivre,,1,25
Chaudrons de cuivre,chaudron de cuivre,,12,25
Chaudrons de Cuivre,chaudron de cuivre,,1,25
Chaudrons de cuivre jaune,chaudron de cuivre jaune,,2,3
Chaudrons de Cuivre jaune,chaudron de cuivre jaune,,1,3
Chaudrons de Cuivres,chaudron de cuivre,,2,25
Chaudrons de fer,chaudron de fer,,2,3
Chaudrons de potin,chaudron de potin,,1,1
chaufepieds,chauffe-pieds,,1,26
Chauffe ; pieds,chauffe-pieds,,1,26
chauffe pied,chauffe-pieds,,1,26
Chauffe pied,chauffe-pieds,,1,26
chauffe pied garnis,chauffe-pieds garnis,,1,1
chauffe pieds,chauffe-pieds,,6,26
Chauffe pieds,chauffe-pieds,,4,26
chauffe pieds et terracons,chauffe-pieds,,1,26
Chauffepied,chauffe-pieds,,1,26
chauffepieds,chauffe-pieds,,1,26
Chauffepieds,chauffe-pieds,,6,26
Chauffes ; pieds,chauffe-pieds,,2,26
chauffes pieds,chauffe-pieds,,1,26
Chauffete,chaufferettes,,1,1
Chauffeur,,,1,2599
Chauffrettes ; de bois,chaufferettes de bois,,1,1
chause pied,chausse-pieds,,1,34
chause pieds,chausse-pieds,,1,34
Chause pieds,chausse-pieds,,15,34
Chausettes,chaussettes,,1,10
Chausettes de fil,chaussettes de fil,,1,103
Chausettes de toile,chaussettes de toile,,1,2
Chausse pied,chausse-pieds,,5,34
Chausse pieds,chausse-pieds,,9,34
Chausse pieds avec leurs terrases,chausse-pieds avec leurs terrasses,,1,1
Chausse piés,chausse-pieds,,1,34
Chausses ; pieds,chausse-pieds,,1,34
Chausses pieds,chausse-pieds,,1,34
Chausseterie,chausseterie,,1,1
chaussetes de fil,chaussettes de fil,,1,103
Chaussetes de fil,chaussettes de fil,,3,103
Chaussette,chaussettes,,1,10
chaussette de fil,chaussettes de fil,,1,103
chaussettes,chaussettes,,3,10
Chaussettes,chaussettes,,5,10
Chaussettes ; de coton,chaussettes de coton,,1,2
Chaussettes ; de fil,chaussettes de fil,,21,103
chaussettes de coton,chaussettes de coton,,1,2
chaussettes de fil,chaussettes de fil,,14,103
Chaussettes de fil,chaussettes de fil,,61,103
Chaussettes de fil par paires,chaussettes de fil par paires,,1,1
Chaussettes de fils,chaussettes de fil,,1,103
Chaussettes de toille,chaussettes de toile,,1,2
Chaussons,chaussons,,5,5
Chaussons ; de fil,chaussons de fil,,1,2
Chaussons ; de laine,chaussons de laine,,2,3
chaussons de carisee et drap à laver maisons,chaussons de carisé et drap à laver maisons,,1,1
chaussons de fil,chaussons de fil,,1,2
chaussons de laine,chaussons de laine,,1,3
Chaussons de laine de Segovie,chaussons de laine de Ségovie,,1,1
Chaussures pour tisserand,chaussures pour tisserand,,1,1
chaux,chaux,,2,229
Chaux,chaux,,227,229
Chaux ; à bâtir,chaux à bâtir,,2,3
Chaux ; éteinte,chaux éteinte,,1,14
Chaux ; vive,chaux vive,,3,6
Chaux à batir,chaux à bâtir,,1,3
Chaux calcinée ou cuite,chaux calcinée ou cuite,,2,2
Chaux en pierres ou éteinte,chaux en pierre ou éteinte,,1,1
Chaux et cendres,chaux et cendre,,1,1
chaux et cendres de chaux mellés,chaux et cendre de chaux mêlées,,1,1
Chaux éteinte,chaux éteinte,,13,14
chaux fondu,chaux fondue,,1,1
Chaux pour batir,chaux pour bâtir,,1,1
Chaux vive,chaux vive,,3,6
"Chaux, plâtre et ciment",chaux plâtre et ciment,,35,35
Chazelas,chasselas,,1,150
Chazetas,chasselas,,1,150
Chcocolat,chocolat,,1,887
Chcolat,chocolat,,1,887
Chcoloat,chocolat,,1,887
Cheloës,chelöes,,1,2
Chelöes,chelöes,,1,2
Chemiese garnies,chemises garnies,,1,196
Chemilles de chesne,chenille de chêne,,1,3
Cheminée ; de marbre,cheminée de marbre,,1,5
Cheminée ; de pierre ; de liere,cheminée de pierre de lierre,,1,1
Cheminée de marbre,cheminée de marbre,,1,5
Cheminées ; de marbre,cheminée de marbre,,3,5
cheminées. statues. etc,cheminée statues etc.,,1,1
Chemise,chemises,,2,124
Chemise ; de Toile ; de lin,chemises de toile de lin,,2,9
Chemise ; Toile ; de lin,chemises toile de lin,,2,4
Chemise brodé,chemises brodées,,1,2
Chemise de lin garnies unies,chemises de lin garnies unies,,1,3
"Chemise de lin garnies, unies",chemises de lin garnies unies,,1,3
Chemise de lin garnis unies,chemises de lin garnies unies,,1,3
Chemise de toile de lin,chemises de toile de lin,,1,9
Chemise de toile de lin garni,chemises de lin garnies,,1,2
Chemise de toile de lin garnies,chemises de lin garnies,,1,2
Chemise de toile de lin garnies de batiste,chemises de lin garnies de batiste,,1,1
Chemise de toile de lin$,chemises de toile de lin,,1,9
Chemise de toille de lin garnies,chemises de toile de lin garnies,,1,5
Chemise garnies,chemises garnies,,1,196
chemises,chemises,,11,124
