revolutionempire,obsolete,nbr_occurences_revolutionempire,agricultural,nbr_occurences_agricultural
Huile d'olive à manger,non,3400,Agricultural,221043
Huile d'olive pour fabrique,non,313,Agricultural,221043
Huile de poisson,non,1788,Agricultural,221043
Huiles diverses,non,4750,Agricultural,221043
Indigo,non,6521,Non-agricultural or unknown,597572
Laines non transformées diverses,non,4744,Non-agricultural or unknown,597572
Légumes,non,2004,Agricultural,221043
Librairie,non,3577,Non-agricultural or unknown,597572
Lin,non,2764,Non-agricultural or unknown,597572
Manne et médicaments,non,1373,Non-agricultural or unknown,597572
Marbre brut et ouvré,non,1555,Non-agricultural or unknown,597572
Matières brutes et transformées pour teinture,non,16697,Non-agricultural or unknown,597572
Matières premières diverses,non,14770,Non-agricultural or unknown,597572
Mercerie,non,6992,Non-agricultural or unknown,597572
Mercure,non,641,Non-agricultural or unknown,597572
Métaux divers et mélangés,non,1718,Non-agricultural or unknown,597572
"Meubles, glaces et miroirs",non,3749,Non-agricultural or unknown,597572
Miel,non,1359,Agricultural,221043
Monnaies et métaux précieux,non,947,Non-agricultural or unknown,597572
"Mousseline, basin et nankin",non,2604,Non-agricultural or unknown,597572
Muscades,non,704,Agricultural,221043
Objets d'art et d'histoire naturelle,non,2285,Non-agricultural or unknown,597572
"Ouvrages de bois, liège et jonc",non,31602,Non-agricultural or unknown,597572
Ouvrages divers et mélangés,non,16017,Non-agricultural or unknown,597572
Ouvrages métalliques,non,20070,Non-agricultural or unknown,597572
Papier,non,6599,Non-agricultural or unknown,597572
Parfumerie et toilette,non,3542,Non-agricultural or unknown,597572
Pêche et fruits de mer,non,13436,Agricultural,221043
Plomb,non,454,Non-agricultural or unknown,597572
Plumes brutes,non,1777,Agricultural,221043
Plumes ouvrées,non,1168,Non-agricultural or unknown,597572
Poils et crin,non,3027,Agricultural,221043
Poivre et piment,non,2660,Agricultural,221043
"Porcelaine, poterie, faïence et ouvrages de terre",non,7555,Non-agricultural or unknown,597572
Produits inconnus,non,9741,Non-agricultural or unknown,597572
Provisions diverses,non,2109,Agricultural,221043
Quincaillerie,non,8268,Non-agricultural or unknown,597572
Quinquina,non,1007,Non-agricultural or unknown,597572
Réglisse,non,1582,Non-agricultural or unknown,597572
Riz,non,2511,Agricultural,221043
Rocou,non,1645,Non-agricultural or unknown,597572
Rubanerie et passementerie de soie,non,1831,Non-agricultural or unknown,597572
Rubanerie et passementerie diverse,non,1800,Non-agricultural or unknown,597572
Safran,non,1982,Non-agricultural or unknown,597572
Salpêtre et soufre,non,1996,Non-agricultural or unknown,597572
Salsepareille,non,830,Non-agricultural or unknown,597572
Savon,non,3058,Non-agricultural or unknown,597572
Sel,non,9704,Agricultural,221043
Sels chimiques,non,1937,Non-agricultural or unknown,597572
Séné,non,1067,Non-agricultural or unknown,597572
Sirop et mélasse,non,3347,Agricultural,221043
Soie,non,2086,Non-agricultural or unknown,597572
Soieries diverses,non,3385,Non-agricultural or unknown,597572
