goods_simpl_classification,nbr_occurences_simpl,sitc_classification,imprimatur,obsolete,nbr_occurences_sitc
,9860,,,non,9874
???,90,???,x,non,4790
??? blanc,2,???,x,non,4790
??? brun,2,???,x,non,4790
??? d'Anjou et de Touraine,1,???,x,non,4790
??? d'argent,1,???,,non,4790
??? d'une valeur moindre de deux mille francs chacun,473,???,x,non,4790
??? de boutard,1,???,x,non,4790
??? de fer,2,???,,non,4790
??? de morue,1,???,,non,4790
??? de nacre de perle,1,???,,non,4790
??? des ci-devant provinces d'Alsace,1,???,x,non,4790
??? des ci-devant provinces de Bourgogne,1,???,x,non,4790
??? des ci-devant provinces de Provence,2,???,x,non,4790
??? des ci-devant provinces du Languedoc,1,???,x,non,4790
??? diverses,4,???,x,non,4790
??? fer,1,???,x,non,4790
??? forts de fer,1,???,,non,4790
??? gras,1,???,,non,4790
??? particulièrement en chevaux,6,???,x,non,4790
??? pieds,1,???,,non,4790
??? pruneaux,1,???,,non,4790
??? raisins secs,1,???,,non,4790
???sse,1,???,,non,4790
?ufs,1,???,,non,4790
à jamis,276,6g,,non,11410
abassis,4,9a,x,non,1068
abats,2,0a,x,non,80056
abattis de morue,1,0a,x,non,80056
abricots confits,1,0a,x,non,80056
absinthe,19,1,x,non,29116
acacia,5,2,x,non,73883
acacia germanica,1,2,x,non,73883
acacia vera,1,2,x,non,73883
acajou,1,6b,,non,17579
acétates d'étain,1,5,x,non,49562
acétates de fer,3,5,x,non,49562
acétates de plomb,29,5,x,non,49562
acétates de plomb sel de Saturne,2,5,x,non,49562
acétates de potasse et de soude,2,5,x,non,49562
acétates de sel d'étain,1,5,x,non,49562
achia,7,0b,x,non,24735
acide arsénieux,8,5,x,non,49562
acide benzoïque,1,5,x,non,49562
acide benzoïque et phosphorique,2,5,x,non,49562
acide borique,3,5,x,non,49562
acide borique et benzoïque,2,5,x,non,49562
acide citrique,2,5,x,non,49562
acide citrique et muriatique et phosphorique,2,5,x,non,49562
acide citrique et oxalique et tartrique,2,5,x,non,49562
acide de potasse crème de tartre,5,5,,non,49562
acide de potasse lie de vin desséché et liquide,4,5,,non,49562
acide de potasse lie de vin desséchée,3,5,,non,49562
acide de potasse lie de vin liquide,2,5,,non,49562
acide de potasse tartre brut impur,2,5,,non,49562
acide muriatique,1,5,x,non,49562
