marchandises_norm_ortho,marchandises_simplification
???,???
??? blanc,??? blanc
??? brun,??? brun
??? d'Anjou et de Touraine,??? d'Anjou et de Touraine
??? d'une valeur moindre de deux mille francs chacun,??? d'une valeur moindre de deux mille francs chacun
??? des ci-devant provinces d'Alsace,??? des ci-devant provinces d'Alsace
??? des ci-devant provinces de Bourgogne,??? des ci-devant provinces de Bourgogne
??? des ci-devant provinces de Provence,??? des ci-devant provinces de Provence
??? des ci-devant provinces du Languedoc,??? des ci-devant provinces du Languedoc
??? diverses,??? diverses
??? particulièrement en chevaux,???? particulièrement en cheval
abassis,abassis
abats,abats
abattis de morue,abattis de morue
abricots confits,abricots confits
acacia,acacia
acacia germanica,acacia germanica
acétates de plomb,acétates de plomb
achia,achia
achia espèce de salade,achia
acier,acier
acier brun,acier brun
acier brut,acier brut
acier commun,
acier en barres,barres d'acier
acier ouvré,ouvrages d'acier
acons,acons
acons démontés,acons démontés
acons en gabares démontés,acons démontés en gabare
acons gabares démontés,acons démontés en gabare
acorus,acorus
acuirson,acuirson
affûts de canons,affûts de canons
affûts de fusils,affûts de fusils
affûts de fûts à canons,affûts de fûts à canons
agaric,agaric
agaric amadouvier,agaric et amadouvier
agaric amadouvier brut et préparé,agaric et amadouvier
agaric brut et préparé,agaric
agate,agate
agate fine,agate fine
agate montée,agate montée
agneaux,agneaux
agneaux et cabris,agneaux et cabris
agnelines et crottelins,agnelines et crottelins
agoutals,agoutals
agoutals de bois,agoutals de bois
agrément,agrément
agrément au quart,agrément au quart
agrément d'argent,agrément d'argent
agrément d'or,agrément d'or
agrément de fil,agrément de fil
agrément de fleur,agrément de fleur
agrément de soie,agrément de soie
agrément de soie et d'argent,agrément de soie et d'argent
agrément de soie et fil,agrément de soie et fil
agrément de soie or et argent faux,agrément de soie or et argent faux
agrément or et argent,agrément d'or et d'argent
agrément soie et fil,agrément de fil et de soie
agrès,agrès
agrès de navire,agrès de navire
agrès de navire en voile,agrès de navire en voile
agrès de navire et jeux de voile,agrès de navire et jeux de voile
agrès de navire jeux de voile,agrès de navire et jeux de voile
agrès de vaisseaux,agrès de navire
agrès et apparaux,agrès et apparaux
agrès et voiles de navire,agrès et voiles de navire
aigles,aigles
aigre de cèdre,
aigre de cidre,aigre de cidre
aigre de vitriol,aigre de vitriol
aigrettes,aigrettes
aigrettes de fil or et argent,aigrettes de fil d'or et d'argent
aigrettes de soie,aigrettes de soie
aigrettes de soie et argent,aigrettes de soie et argent
aiguières d'étain,aiguières d'étain
aiguilles,aiguilles
aiguilles à boîtes,aiguilles à boîtes
aiguilles à coudre,aiguilles à coudre
aiguilles à ralingue,aiguilles à ralingue
aiguilles à tabac,aiguilles à tabac
aiguilles à toile,aiguilles à toile
aiguilles à voile,aiguilles à voile
aiguilles d'emballage,aiguilles d'emballage
aiguilles d'emballeur,aiguilles d'emballage
aiguilles espars de sapin,aiguilles epars de sapin
aiguilles grosses,aiguilles grosses
ailes,ailes
ailes de fléaux,ailes de fléaux
ailes de moulins,ailes de moulins
ailor,ailor
ails,ails
ails à fauches,ails à fauches
ails blancs à casser,ails blancs à casser
aimant,aimant
ains à pêcher,ains à pêcher
ains et lignes à pêcher,ains et lignes à pêcher
airain,airain
airain en batterie,batterie d'airain
airain non ouvré,airain non ouvré
airain ouvré,ouvrages d'airain
ajustements,ajustements
ajustements de femme,ajustements de femme
ajustements de soie,ajustements de soie
alambics,alambics
alambics d'étain,alambics d'étain
alambics de terre,alambics de terre
alambics en cuivre,alambics de cuivre
albâtre,albâtre
albâtre et marbre ouvrés,ouvrages de marbre et ouvrages d'albâtre
alènes,alènes
alènes de cordonnier,alènes
alibanies,alibanies
alkermés,alkermés
allaya,allaya
alleaux,alleaux
allumettes,allumettes
allumettes à vin,allumettes à vin
allumettes de coton,allumettes de coton
allumettes de mêche soufrée,allumettes de mêche soufrée
allumettes droguées,allumettes droguée
allumettes épicées,allumettes épicée
allumettes opérées et soufrées,allumettes opérées et soufrées
allumettes soufrées,allumettes soufrées
almagro ou crayon rouge,almagro ou crayon rouge
almanachs,almanachs
almanachs enjolivés,almanachs enjolivés
aloès,aloès
aloès cabalin,aloès cabalin
aloès commun,aloès commun
aloès moyen,aloès moyen
aloiset,aloiset
alose,alose
alose dite elft,alose
alose fumée,alose fumée
alose salée,alose salée
alouettes,alouettes
alpargate,alpargate
alphabets,alphabets
alpiste,alpiste
alquifoux,alquifoux
alquifoux et mine de plomb,alquifoux et mine de plomb
alquifoux mine de plomb ou graphite,alquifoux et mine de plomb ou graphite
alquifoux ou mine de plomb,alquifoux ou mine de plomb
alquitra,alquitra
aluchiabanis,aluchiabanis
alun,alun
alun de Rome,alun de Rome
alun gâté,alun gâté
alvés,alvés
amadou,amadou
amadou et agaric amadouvier,amadou et agaric amadouvier
amandes,amandes
amandes à la praline,amandes à la praline
amandes amères,amandes amère
amandes cassées,amandes cassée
amandes courtes,amandes courte
amandes diverses,amandes
amandes douces,amandes douce
amandes en coque,amandes en coque
amandes et pruneaux,amandes et pruneau
amandes et raisin sec,amandes et raisin sec
amandes et savon,amandes et savon
amandes et vert-de-gris,amandes et vert-de-gris
amandes longues,amandes longues
amandes raisin sec et savon,amandes et raisin sec et savon
amaril,amaril
ambrain à grande barrique,ambrain à grande barrique
ambre,ambre
ambre brut,ambre brut
ambre carabé,ambre carabé
ambre et corail,ambre et corail
ambre gris,ambre gris
ambre jaune,ambre jaune
ambre jaune travaillé,ouvrages d'ambre jaune
ambre moulu,ambre moulu
ambre ouvré,ouvrages d'ambre
amer,amer
amertis,amertis
ami de toilé,ami de toillé
amidon,amidon
amidon en grains,amidon en grains
amidon et poudre à poudrer,amidon et poudre à poudrer
ammonium,ammonium
ammonium verum,amomum verum
anabasse,anabasse
anacardes,anacardes
anacoste,anacoste
ananas,ananas
ananas confit,ananas confit
ananas planté,ananas planté
