product,orthographic,note,sourceFR,sourceFR_nbr,sourceBEL,sourceBEL_nbr,sourceSUND,sourceSUND_nbr,sourceNAVIGO,sourceNAVIGO_nbr,nbr_source,nbr_occurence_ttesources
,[vide],,1,6144,1,96,1,3,0,0,3,6243
?,???,,1,11,0,0,0,0,0,0,1,11
? ; blanc,??? blanc,,1,2,0,0,0,0,0,0,1,2
? ; brun,??? brun,,1,2,0,0,0,0,0,0,1,2
? ; diverses,??? diverses,,1,4,0,0,0,0,0,0,1,4
? De fer,??? de fer,,1,2,0,0,0,0,0,0,1,2
? De morue,??? de morue,,1,1,0,0,0,0,0,0,1,1
? De nacre de perle,??? de nacre de perle,,1,1,0,0,0,0,0,0,1,1
? Forts de fer,??? forts de fer,,1,1,0,0,0,0,0,0,1,1
? Gras,??? gras,,1,1,0,0,0,0,0,0,1,1
? Pieds,??? pieds,,1,1,0,0,0,0,0,0,1,1
? Pruneaux,??? pruneaux,,1,1,0,0,0,0,0,0,1,1
? Raisin sec,??? raisins secs,,1,1,0,0,0,0,0,0,1,1
??,???,,1,4,0,0,1,10,0,0,2,14
???,???,,1,1,0,0,1,3091,0,0,2,3092
??? de boutard,??? de boutard,,0,0,0,0,0,0,0,0,0,0
??? fer...,??? fer,,1,1,0,0,0,0,0,0,1,1
??? Ferre en carte,???,,0,0,0,0,0,0,0,0,0,0
?sse,???sse,,1,1,0,0,0,0,0,0,1,1
?ufs,?ufs,,0,0,0,0,0,0,0,0,0,0
... d'Argents,... d'argent,,1,1,0,0,0,0,0,0,1,1
...caille de Tortue,écaille de tortue,,1,6,0,0,0,0,0,0,1,6
...copes,écope,,0,0,0,0,0,0,0,0,0,0
...gouttoir à Fondre,égouttoirs à fondre,,1,1,0,0,0,0,0,0,1,1
...Licanes,licanias,,1,1,0,0,0,0,0,0,1,1
...pars,espars,,1,5,0,0,0,0,0,0,1,5
...pars de Sapin,espars de sapin,,1,1,0,0,0,0,0,0,1,1
...parts,espars,,1,1,0,0,0,0,0,0,1,1
...pice,épice,,1,1,0,0,0,0,0,0,1,1
...pice de Curons,épice de Curons,,1,1,0,0,0,0,0,0,1,1
...pice Douce,épice douce,,1,1,0,0,0,0,0,0,1,1
...tain,étain,,1,2,0,0,0,0,0,0,1,2
...tain en bloc,étain en bloc,,1,2,0,0,0,0,0,0,1,2
...tain Ouvre,étain ouvré,,1,2,0,0,0,0,0,0,1,2
...tain vieux,étain vieux,,1,2,0,0,0,0,0,0,1,2
...tains vieux,étain vieux,,1,1,0,0,0,0,0,0,1,1
...tamine,étamine,,1,1,0,0,0,0,0,0,1,1
...toupe,étoupes,,1,2,0,0,0,0,0,0,1,2
(empty),,,0,0,0,0,0,0,1,0,1,0
),,,0,0,1,0,0,0,0,0,1,0
[¨Pêche aux huitres],pêches aux huitres,,0,0,0,0,0,0,1,2,1,2
[Huile de] vitriol,huile de vitriol,,0,0,0,0,0,0,1,1,1,1
[Illegible],illisible,,0,0,0,0,0,0,1,2,1,2
[Illisible],illisible,,0,0,0,0,0,0,1,1,1,1
[Morue en pacotille],morue en pacotille,,0,0,0,0,0,0,1,1,1,1
[Morue en] pacotille,morue en pacotille,,0,0,0,0,0,0,1,1,1,1
[Morue] en pacotille,morue en pacotille,,0,0,0,0,0,0,1,1,1,1
[Morues],morue,,0,0,0,0,0,0,1,1,1,1
[Pêche à la morue de Terre Neuve],pêche à la morue de Terre Neuve,,0,0,0,0,0,0,1,4,1,4
[Pêche à la morue],pêche à la morue,,0,0,0,0,0,0,1,115,1,115
[Pêche aux huitres],pêche aux huitres,,0,0,0,0,0,0,1,36,1,36
[Pêche aux] Huitres,pêche aux huitres,,0,0,0,0,0,0,1,57,1,57
[Pêche du poisson frais],pêche du poisson frais,,0,0,0,0,0,0,1,1,1,1
[Pêche],pêche (poisson),,0,0,0,0,0,0,1,110,1,110
[Pour la pêche],pour la pêche,,0,0,0,0,0,0,1,13,1,13
[Sel en tonnes],sel en tonnes,,0,0,0,0,0,0,1,2,1,2
"//////Betes de somme, principalement en mules et mulets",bêtes de somme principalement en mules et mulets,,1,5,0,0,0,0,0,0,1,5
"//////Betes,principalement en mules et mulets",bêtes principalement en mules et mulets,,1,6,0,0,0,0,0,0,1,6
//////Passementerie,passementerie,,1,1,0,0,0,0,0,0,1,1
///Articles réunis///D'une valeur moindre de 2000 fr chacun,articles réunis d'une valeur moindre de 2000 francs chacun,,1,63,0,0,0,0,0,0,1,63
///Articles réunis///D'une valeur moindre de 2000 francs chacun,articles réunis d'une valeur moindre de 2000 francs chacun,,1,42,0,0,0,0,0,0,1,42
///Betes de somme///Anes,bêtes de somme ânes,,1,1,0,0,0,0,0,0,1,1
///Betes de somme///Chevaux,bêtes de somme chevaux,,1,8,0,0,0,0,0,0,1,8
///Bêtes de Somme///Chevaux,bêtes de somme chevaux,,1,6,0,0,0,0,0,0,1,6
///Betes de somme///Cheveaux,bêtes de somme chevaux,,1,7,0,0,0,0,0,0,1,7
"///Bêtes de Somme///Mules, mulets et chevaux",bêtes de somme mules mulets et chevaux,,1,4,0,0,0,0,0,0,1,4
///Betes de somme///Mulets,bêtes de somme mulets,,1,3,0,0,0,0,0,0,1,3
///Bêtes de Somme///Mulets,bêtes de somme mulets,,1,1,0,0,0,0,0,0,1,1
///Drogues diverses///Drogues diverses réunies,drogues diverses drogues diverses réunies,,1,45,0,0,0,0,0,0,1,45
///Drogues diverses///Drogues réunies,drogues diverses drogues réunies,,1,16,0,0,0,0,0,0,1,16
///Drogues Diverses///Drogues réunies,drogues diverses drogues réunies,,1,17,0,0,0,0,0,0,1,17
///Drogues diverses///Gommes diverses,drogues diverses gomme diverse,,1,43,0,0,0,0,0,0,1,43
///Drogues Diverses///Gommes diverses,drogues diverses gommes diverses,,1,12,0,0,0,0,0,0,1,12
///Drogues diverses///Huile et essence de térébenthine,drogues diverses huile et essence de térébenthine,,1,18,0,0,0,0,0,0,1,18
///Drogues diverses///Huile et essence de Térébenthine,drogues diverses huile et essence de térébenthine,,1,6,0,0,0,0,0,0,1,6
///Drogues diverses///Sels chimiques,drogues diverses sel chimique,,1,9,0,0,0,0,0,0,1,9
///Drogues Diverses///Sels chimiques,drogues diverses sel chimique,,1,6,0,0,0,0,0,0,1,6
///Drogues médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,,1,29,0,0,0,0,0,0,1,29
///Drogues Médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,,1,17,0,0,0,0,0,0,1,17
///Drogues médicinales///Drogues réunies,drogues médicinales drogues réunies,,1,12,0,0,0,0,0,0,1,12
///Drogues Médicinales///Drogues réunies,drogues médicinales drogues réunies,,1,16,0,0,0,0,0,0,1,16
///Drogues médicinales///Ipécacuanha,drogues médicinales ipécacuanha,,1,1,0,0,0,0,0,0,1,1
///Drogues Médicinales///Ipécacuanha,drogues médicinales ipécacuanha,,1,4,0,0,0,0,0,0,1,4
///Drogues médicinales///Jus de réglisse,drogues médicinales jus de réglisse,,1,5,0,0,0,0,0,0,1,5
///Drogues Médicinales///Jus de réglisse,drogues médicinales jus de réglisse,,1,5,0,0,0,0,0,0,1,5
///Drogues médicinales///Manne,drogues médicinales manne,,1,3,0,0,0,0,0,0,1,3
///Drogues Médicinales///Manne,drogues médicinales manne,,1,4,0,0,0,0,0,0,1,4
///Drogues médicinales///Quinquina,drogues médicinales quinquina,,1,10,0,0,0,0,0,0,1,10
///Drogues Médicinales///Quinquina,drogues médicinales quinquina,,1,6,0,0,0,0,0,0,1,6
///Drogues médicinales///Safran,drogues médicinales safran,,1,16,0,0,0,0,0,0,1,16
///Drogues Médicinales///Safran,drogues médicinales safran,,1,5,0,0,0,0,0,0,1,5
