simplification,nbr_occurences_simpl,coton,obsolete,nbr_occurences_coton
agrément d'argent,2,not raw cotton,non,817071
agrément d'or,1,not raw cotton,non,817071
agrément d'or et d'argent,5,not raw cotton,non,817071
agrément de fil,9,not raw cotton,non,817071
agrément de fil et de soie,3,not raw cotton,non,817071
agrément de fleur,1,not raw cotton,non,817071
agrément de soie,57,not raw cotton,non,817071
agrément de soie et d'argent,1,not raw cotton,non,817071
agrément de soie or et argent faux,1,not raw cotton,non,817071
agréments de soie et milleret,13,not raw cotton,non,817071
agréments et milleret,38,not raw cotton,non,817071
agrès,29,not raw cotton,non,817071
agrès apparaux de navire et embarcations,6,not raw cotton,non,817071
agrès apparaux et embarcations,2,not raw cotton,non,817071
agrès de navire et jeux de voile,14,not raw cotton,non,817071
agrès et apparaux,2,not raw cotton,non,817071
agrès et apparaux d'or navire,1,,non,38841
agrès et bâtiments de mer,10,not raw cotton,non,817071
agrès et embarcations,8,not raw cotton,non,817071
agrès et voile de navire,1,not raw cotton,oui,817071
aigles,4,not raw cotton,non,817071
aigre de cèdre,9,not raw cotton,non,817071
aigre de cidre,5,not raw cotton,non,817071
aigre de vitriol,17,not raw cotton,non,817071
aigrettes,10,not raw cotton,non,817071
aigrettes de fil d'or et d'argent,1,not raw cotton,non,817071
aigrettes de soie,1,not raw cotton,non,817071
aigrettes de soie et argent,1,not raw cotton,non,817071
aigrettes et bavolets,1,not raw cotton,non,817071
aiguières d'étain,1,not raw cotton,non,817071
aiguilles,349,not raw cotton,non,817071
aiguilles à boîtes,1,not raw cotton,non,817071
aiguilles à coudre,59,not raw cotton,non,817071
aiguilles à coudre voiles,1,not raw cotton,non,817071
aiguilles à ralingue,1,not raw cotton,non,817071
aiguilles à tabac,1,not raw cotton,non,817071
aiguilles à toile,1,not raw cotton,non,817071
aiguilles d'emballage,2,not raw cotton,non,817071
aiguilles de mercerie fine,4,not raw cotton,non,817071
aiguilles epars de sapin,1,not raw cotton,non,817071
aiguilles et épingles,1,not raw cotton,non,817071
aiguilles et épingles de mercerie fine,3,not raw cotton,non,817071
aiguilles et mercerie fine,2,not raw cotton,non,817071
aiguilles grosses,1,not raw cotton,non,817071
aiguilles pour voile,38,not raw cotton,non,817071
aiguillettes,1,not raw cotton,non,817071
ail,2,not raw cotton,oui,817071
ailes,17,not raw cotton,non,817071
ailes de fléaux,3,not raw cotton,non,817071
ailes de moulins,6,not raw cotton,non,817071
ailor,0,not raw cotton,non,817071
ails,266,not raw cotton,non,817071
ails à fauches,1,not raw cotton,non,817071
ails blancs à casser,1,not raw cotton,non,817071
aimant,1,not raw cotton,non,817071
ains à pêcher,43,not raw cotton,non,817071
ains et lignes à pêcher,2,not raw cotton,non,817071
airain,6,not raw cotton,non,817071
airain non ouvré,4,not raw cotton,non,817071
ajamis,281,not raw cotton,non,817071
ajustements,37,not raw cotton,non,817071
ajustements de femme,5,not raw cotton,non,817071
ajustements de soie,2,not raw cotton,non,817071
alambics,17,not raw cotton,non,817071
alambics d'étain,17,not raw cotton,non,817071
alambics de cuivre,2,not raw cotton,non,817071
alambics de terre,1,not raw cotton,non,817071
alana,2,not raw cotton,non,817071
alazar,2,not raw cotton,non,817071
albâtre,5,not raw cotton,non,817071
albâtre brut,3,not raw cotton,non,817071
albâtre et marbre brut et poli,21,not raw cotton,non,817071
albâtre moulé poli ou sculpté,6,not raw cotton,non,817071
alcalis autre que natron et soude,2,not raw cotton,oui,817071
alcalis autre que natron et soudes,2,,non,38841
alcalis salin,1,not raw cotton,non,817071
aleine à cordonnier en acier et en fer,1,,non,38841
alènes,5,not raw cotton,non,817071
alènes à cordonnier en acier et en fer,1,,oui,38841
algue marine,1,,non,38841
ali,0,,non,38841
alibanies,110,not raw cotton,non,817071
alibanis,14,,oui,38841
alicot,0,,non,38841
alizari,31,not raw cotton,non,817071
alizari et garance,165,not raw cotton,non,817071
alizari sèche,7,not raw cotton,non,817071
alkermés,1,not raw cotton,non,817071
alkermès en grains,23,not raw cotton,non,817071
allaya,88,not raw cotton,non,817071
alleaux,1,not raw cotton,non,817071
allemande de poil,10,not raw cotton,oui,817071
allumettes,135,not raw cotton,non,817071
allumettes à vin,30,not raw cotton,non,817071
allumettes de coton,1,not raw cotton,non,817071
allumettes de mêche soufrée,1,not raw cotton,non,817071
allumettes droguées,3,not raw cotton,non,817071
allumettes épicée,2,not raw cotton,non,817071
allumettes opérées et soufrées,1,not raw cotton,non,817071
allumettes soufrées,13,not raw cotton,non,817071
almagro ou crayons rouges,2,not raw cotton,non,817071
almanachs,1,not raw cotton,non,817071
almanachs brochés,2,not raw cotton,non,817071
almanachs en blancs,1,not raw cotton,non,817071
almanachs enjolivés,2,not raw cotton,non,817071
almanachs reliés,1,not raw cotton,non,817071
aloès,257,not raw cotton,non,817071
aloès cabalin,5,not raw cotton,non,817071
aloès commun,1,not raw cotton,non,817071
aloès et opium,2,not raw cotton,non,817071
aloès hépatique,1,not raw cotton,non,817071
aloès moyen,2,not raw cotton,non,817071
aloiset,1,not raw cotton,non,817071
alose,8,not raw cotton,non,817071
alose fumée,4,not raw cotton,non,817071
alose salée,5,not raw cotton,non,817071
aloues,1,not raw cotton,non,817071
alouettes,5,not raw cotton,non,817071
alpargate,36,not raw cotton,non,817071
alphabets,1,not raw cotton,non,817071
alpiste,21,not raw cotton,non,817071
alpiste et millet,9,not raw cotton,non,817071
alquifoux,495,not raw cotton,non,817071
alquifoux en galène,2,not raw cotton,non,817071
alquifoux et mine de plomb,36,not raw cotton,non,817071
alquifoux mine de plomb ou graphite,23,not raw cotton,non,817071
alquifoux ou mine de plomb,1,not raw cotton,non,817071
alquifoux sable plombifère,1,not raw cotton,non,817071
alquitra,3,not raw cotton,non,817071
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,not raw cotton,non,817071
alto basses contrebasses guitare lyres violes violons,2,not raw cotton,non,817071
alto bassons guitare violons,3,not raw cotton,non,817071
aluchiabanis,3,not raw cotton,oui,817071
alun,2475,not raw cotton,non,817071
alun à cordonnier,1,not raw cotton,non,817071
alun autre que brûlé ou calciné,2,not raw cotton,non,817071
alun bon,2,not raw cotton,non,817071
alun brûlé,1,not raw cotton,non,817071
alun commun,1,not raw cotton,non,817071
alun de glace,1,not raw cotton,non,817071
alun de roche,5,not raw cotton,non,817071
alun de Rome,3,not raw cotton,non,817071
alun de Rome fin rosé,1,not raw cotton,non,817071
alun de Rouen,2,not raw cotton,non,817071
alun de Surde,2,not raw cotton,non,817071
alun du Levant,1,not raw cotton,non,817071
alun en dracy,1,not raw cotton,non,817071
alun en rame,1,,non,38841
alun gâté,1,not raw cotton,non,817071
alun ordinaire,1,not raw cotton,non,817071
alvés,0,not raw cotton,non,817071
amadou,335,not raw cotton,non,817071
amadou et agaric amadouvier,7,not raw cotton,non,817071
amandes,2218,not raw cotton,non,817071
amandes à la praline,4,not raw cotton,non,817071
amandes amères,1,not raw cotton,non,817071
amandes arachis noisettes noix noyaux,2,not raw cotton,non,817071
amandes cassée,7,not raw cotton,oui,817071
amandes cassées,419,not raw cotton,non,817071
amandes cassées ou en coque,3,not raw cotton,oui,817071
amandes cassées ou en coques,3,,non,38841
amandes courtes,102,not raw cotton,non,817071
amandes douces,5,not raw cotton,non,817071
amandes en coque,438,not raw cotton,oui,817071
amandes en coques,441,,non,38841
amandes et figue et raisin,33,not raw cotton,non,817071
amandes et noix et noisettes,100,,non,38841
amandes et pelures et prunes et raisin,0,not raw cotton,non,817071
amandes et pruneaux,82,not raw cotton,non,817071
amandes et raisin sec,15,not raw cotton,non,817071
amandes et raisin sec et savon,1,not raw cotton,non,817071
amandes et savon,13,not raw cotton,non,817071
amandes et sucre,25,not raw cotton,non,817071
amandes et verdet,33,not raw cotton,non,817071
amandes fraîches,1,not raw cotton,non,817071
amandes longues,65,not raw cotton,non,817071
amandes mondées,2,not raw cotton,non,817071
amandes sèches,64,not raw cotton,non,817071
amandes sèches et figue sèche et ???,0,not raw cotton,non,817071
amandes sèches et figue sèche et raisin sec,135,not raw cotton,non,817071
amaril,1,not raw cotton,oui,817071
amarinage,10,,non,38841
amarine,1,not raw cotton,non,817071
ambrain à grande barrique,1,not raw cotton,non,817071
ambre,43,not raw cotton,non,817071
ambre blanc,1,not raw cotton,non,817071
ambre brut,19,not raw cotton,non,817071
ambre carabé,21,not raw cotton,non,817071
ambre carabé jaune,2,not raw cotton,non,817071
ambre en grains,1,,non,38841
ambre et corail,1,not raw cotton,non,817071
ambre gris,38,not raw cotton,non,817071
ambre jaune,87,not raw cotton,non,817071
ambre moulu,3,not raw cotton,non,817071
ameny,1,not raw cotton,oui,817071
amer,3,not raw cotton,non,817071
amer de laine,1,not raw cotton,non,817071
amertis,4,not raw cotton,non,817071
ameublement,2,not raw cotton,non,817071
ameublement de chitte,1,not raw cotton,non,817071
ami de toilé,1,not raw cotton,non,817071
amidon,1287,not raw cotton,non,817071
amidon alun,1,,non,38841
amidon en grains,1,not raw cotton,non,817071
amidon en poudre,1,,non,38841
amidon et poudre à poudrer,132,not raw cotton,non,817071
ammoniac,7,not raw cotton,non,817071
ammoniac et sel,26,not raw cotton,non,817071
ammonium,1,not raw cotton,non,817071
amomum,16,not raw cotton,non,817071
amomum et fèves de tonka et noix de ravensara,2,not raw cotton,non,817071
amomum verum,2,not raw cotton,non,817071
amurca,4,not raw cotton,non,817071
anabasse,121,not raw cotton,non,817071
anabasse bajutapau,3,,non,38841
anabasse corat nicaneas platille,2,,non,38841
anacardes,2,not raw cotton,non,817071
anacoste,3,not raw cotton,non,817071
ananas,12,not raw cotton,non,817071
ananas confit,2,not raw cotton,non,817071
ananas et pommes de grenade,8,not raw cotton,non,817071
