simplification,nbr_occurences_simpl,coton,obsolete,nbr_occurences_coton
calotte de peaux divine,1,,non,38841
calotte de prêtre,2,not raw cotton,non,817071
calotte et sacs de papier,2,not raw cotton,non,817071
calotte hollandaise,1,not raw cotton,non,817071
calpo baljainum,1,not raw cotton,non,817071
cam... ??,1,,non,38841
cambaye,3,not raw cotton,non,817071
cambaye à grands carreaux,1,not raw cotton,non,817071
cambouis,1,not raw cotton,non,817071
camelles,2,,oui,38841
camelot,419,not raw cotton,non,817071
camelot à mi soie,6,,non,38841
camelot à mi-soie,6,not raw cotton,oui,817071
camelot à peu de soie,15,not raw cotton,non,817071
camelot au quart,3,not raw cotton,non,817071
camelot au sixième de soie,3,not raw cotton,non,817071
camelot au-dessous du sixième de soie,1,not raw cotton,non,817071
camelot aune,1,not raw cotton,oui,817071
camelot avec soie,4,not raw cotton,non,817071
camelot burail,6,not raw cotton,non,817071
camelot d'Amiens,24,not raw cotton,non,817071
camelot d'Angleterre,1,not raw cotton,non,817071
camelot d'Angleterre et de Hollande,12,not raw cotton,non,817071
camelot d'angora,1,not raw cotton,non,817071
camelot d'Auvergne,12,not raw cotton,non,817071
camelot de Bruxelles,5,not raw cotton,non,817071
camelot de burail,1,not raw cotton,non,817071
camelot de Chine,2,not raw cotton,non,817071
camelot de coton,1,not raw cotton,non,817071
camelot de Douai,4,not raw cotton,non,817071
camelot de France,5,not raw cotton,non,817071
camelot de Hollande,5,not raw cotton,non,817071
camelot de laine,245,not raw cotton,non,817071
camelot de laine écru,1,not raw cotton,non,817071
camelot de laine et de poil,2,not raw cotton,non,817071
camelot de laine et de soie,28,not raw cotton,non,817071
camelot de laine et soie,2,not raw cotton,non,817071
camelot de laine étroit,7,not raw cotton,non,817071
camelot de laine faille,4,not raw cotton,non,817071
camelot de laine large,8,not raw cotton,non,817071
camelot de laine petit dit de Berlin,16,not raw cotton,non,817071
camelot de Lille,13,not raw cotton,non,817071
camelot de Lille de soie,1,not raw cotton,non,817071
camelot de Lille et autres,8,not raw cotton,non,817071
camelot de poil,185,not raw cotton,non,817071
camelot de poil de chèvre,2,not raw cotton,non,817071
camelot de poil de laine,12,not raw cotton,non,817071
camelot de poil et de soie,11,not raw cotton,non,817071
camelot de poil fin,2,not raw cotton,non,817071
camelot de Smyrne,4,not raw cotton,non,817071
camelot de soie,42,not raw cotton,non,817071
camelot de terrine,0,not raw cotton,non,817071
camelot des Indes,4,not raw cotton,non,817071
camelot écarlate,11,not raw cotton,non,817071
camelot et burail de laine,2,not raw cotton,non,817071
camelot et étamine,1,not raw cotton,non,817071
camelot et panne de laine,1,not raw cotton,non,817071
camelot fil et soie,1,not raw cotton,non,817071
camelot fin,2,not raw cotton,non,817071
camelot gaufré,1,,non,38841
camelot jaspé,1,not raw cotton,non,817071
camelot petit dit Berlin,10,not raw cotton,non,817071
camelot rayé,0,not raw cotton,non,817071
cameramain,0,not raw cotton,non,817071
camion à garnir voiture,1,not raw cotton,non,817071
camisoles,13,not raw cotton,non,817071
camisoles de laine,3,not raw cotton,non,817071
camisoles de toile,1,,non,38841
camisoles et casaques,2,not raw cotton,non,817071
camisoles et redingotes,7,not raw cotton,non,817071
camisoles pour nègre,1,not raw cotton,non,817071
camomille,1,not raw cotton,non,817071
Campêche,2,not raw cotton,non,817071
camphre,318,not raw cotton,non,817071
camphre brut,21,not raw cotton,non,817071
camphre brut et raffiné,2,not raw cotton,non,817071
camphre raffiné,44,not raw cotton,non,817071
canades,1,not raw cotton,non,817071
canapé,10,not raw cotton,non,817071
canapé de canne,1,not raw cotton,non,817071
canapé de cuir de Russie,1,not raw cotton,non,817071
canapé de maroquin et tables à jouer,1,not raw cotton,non,817071
canapé de taffetas,1,,non,38841
canardières,1,not raw cotton,non,817071
canards,16,not raw cotton,non,817071
canards en vie,1,not raw cotton,non,817071
canaris,1,not raw cotton,non,817071
canaris ou serins,195,not raw cotton,non,817071
canaux,1,not raw cotton,non,817071
candetas,0,not raw cotton,non,817071
cane,1,not raw cotton,non,817071
cane garnie,2,not raw cotton,non,817071
caneffas,1,not raw cotton,non,817071
canefice,636,not raw cotton,non,817071
canefice des prises,1,not raw cotton,non,817071
canefice en café,1,not raw cotton,non,817071
canefice en grabeau,12,,non,38841
canefice raffiné,1,not raw cotton,non,817071
caneficier,1,not raw cotton,non,817071
canelle (étoffe),1,not raw cotton,non,817071
canena,1,not raw cotton,non,817071
canepre,0,not raw cotton,non,817071
canerelles,1,not raw cotton,non,817071
canettes des Indes,1,not raw cotton,non,817071
canevas,74,not raw cotton,oui,817071
canevas à 15 sols l'aune,1,not raw cotton,oui,817071
canevas de fil,2,not raw cotton,oui,817071
canevas gommée,3,not raw cotton,oui,817071
canevas tracé,7,not raw cotton,oui,817071
canevettes,43,not raw cotton,non,817071
canevettes à flacons,1,not raw cotton,non,817071
canevettes de grès,14,not raw cotton,non,817071
canevettes de grès de 6 flacons,1,not raw cotton,non,817071
canevettes ou caisse de 6 flacons pour la traite,2,not raw cotton,non,817071
canevettes vides,2,not raw cotton,non,817071
canifs,2,not raw cotton,non,817071
caniques,1,not raw cotton,non,817071
cann ??,1,,non,38841
canne ou roseaux en fanon,1,,non,38841
cannelle,1494,not raw cotton,non,817071
cannelle à tonneaux,1,,non,38841
cannelle commune,18,not raw cotton,non,817071
cannelle commune des entrepôts,0,not raw cotton,non,817071
cannelle commune et cassia,1,not raw cotton,non,817071
cannelle commune hors d'Europe,0,not raw cotton,non,817071
cannelle de bois,4,not raw cotton,non,817071
cannelle de bois pour tamis,1,not raw cotton,non,817071
cannelle de Chine,1,not raw cotton,non,817071
cannelle de fleurs,1,not raw cotton,non,817071
cannelle de grès,1,,non,38841
cannelle des Indes,2,not raw cotton,non,817071
cannelle et girofle et poivre,1,not raw cotton,non,817071
cannelle et girofle et poivre etc,1,not raw cotton,non,817071
cannelle et poivre,1,not raw cotton,non,817071
cannelle fine,9,not raw cotton,non,817071
cannelle fine des entrepôts,0,not raw cotton,non,817071
cannelle giroflée,11,not raw cotton,non,817071
cannelle malte,4,not raw cotton,non,817071
cannelle ocyrez,0,not raw cotton,non,817071
cannelle ordinaire,3,not raw cotton,non,817071
cannelle sauvage,6,not raw cotton,non,817071
cannelles de cuivre pour tonneaux,1,,non,38841
cannes,34,not raw cotton,non,817071
cannes à faire chaise,1,not raw cotton,non,817071
cannes à main,100,not raw cotton,non,817071
cannes à pêcher,1,not raw cotton,non,817071
cannes à pommes d'argent,1,,non,38841
cannes à pommes d'or,12,not raw cotton,non,817071
cannes à pommes d'or ayant servi,1,not raw cotton,non,817071
cannes d'Indes,1,,non,38841
cannes de bambous,4,not raw cotton,non,817071
cannes de bois,4,not raw cotton,non,817071
cannes de bois montées et non montées,79,not raw cotton,non,817071
cannes de bois vernis,1,not raw cotton,non,817071
cannes de jonc,104,not raw cotton,non,817071
cannes de jonc ou roseaux,5,not raw cotton,non,817071
cannes de roseaux,8,not raw cotton,non,817071
cannes de terre,2,not raw cotton,non,817071
cannes dites genettes,4,not raw cotton,non,817071
cannes en brochettes,1,not raw cotton,non,817071
cannes en canon,1,not raw cotton,non,817071
cannes et bâtons vernis,80,not raw cotton,non,817071
cannes garnies,1,not raw cotton,non,817071
cannes vernies,2,not raw cotton,non,817071
cannetilles,3,not raw cotton,non,817071
cannetilles d'argent et d'or,1,not raw cotton,non,817071
cannetilles d'or faux,1,not raw cotton,non,817071
cannette de grès et de terre,1,not raw cotton,non,817071
cannette de terre,1,,non,38841
cannettes,13,not raw cotton,non,817071
cannettes à faïence,1,not raw cotton,non,817071
cannettes d'étain,16,not raw cotton,non,817071
cannettes de ???,1,not raw cotton,non,817071
cannettes de faïence,3,not raw cotton,non,817071
cannettes de grès,170,not raw cotton,non,817071
cannettes de grès couvertes d'étain,2,not raw cotton,non,817071
cannettes de marbre,1,,non,38841
cannettes de sapin,1,not raw cotton,non,817071
cannettes de terre,37,not raw cotton,non,817071
cannettes et leurs flacons,1,not raw cotton,non,817071
cannettes ocyrez,0,not raw cotton,non,817071
cannettes ou marbre,1,not raw cotton,non,817071
cannettes ou marbre pour la Compagnie des Indes,1,not raw cotton,non,817071
canonnières de cantil,2,not raw cotton,non,817071
canons,85,not raw cotton,non,817071
canons de 12 livres,3,,non,38841
canons de 18 livres,1,not raw cotton,non,817071
canons de 2 livres,1,not raw cotton,non,817071
canons de 3 livres,2,not raw cotton,non,817071
canons de 4 livres,6,not raw cotton,non,817071
canons de 6 livres,2,,non,38841
canons de 6 pieds,1,not raw cotton,oui,817071
canons de bronze,2,not raw cotton,non,817071
canons de bronze d'une demi livre,1,,non,38841
canons de différents calibres,1,not raw cotton,non,817071
canons de fer,316,not raw cotton,non,817071
canons de fer avec leurs affûts,2,not raw cotton,non,817071
canons de fer brisés et rompus,1,not raw cotton,non,817071
canons de fer de 12 livres,3,not raw cotton,non,817071
canons de fer de 18 à 24 livres,4,not raw cotton,non,817071
canons de fer de 18 et 30 livres,1,not raw cotton,non,817071
canons de fer de 18 livres,1,not raw cotton,non,817071
canons de fer de 2 livres,5,not raw cotton,non,817071
canons de fer de 3 à 4 livres,1,not raw cotton,non,817071
canons de fer de 3 livres,4,not raw cotton,non,817071
canons de fer de 3 livres de balle,0,not raw cotton,oui,817071
canons de fer de 4 livres,16,not raw cotton,non,817071
canons de fer de 6 livres,6,not raw cotton,non,817071
canons de fer de 8 livres,2,not raw cotton,non,817071
canons de fer de 9 livres,1,not raw cotton,non,817071
canons de fer et balles de fer,1,not raw cotton,non,817071
canons de fer petits,2,not raw cotton,non,817071
canons de fer vieux,3,not raw cotton,non,817071
canons de feu de 4 livres,1,not raw cotton,non,817071
canons de filoselle,2,not raw cotton,non,817071
canons de fonte,19,not raw cotton,non,817071
canons de fonte petit,1,not raw cotton,non,817071
canons de fusils,29,not raw cotton,non,817071
canons de fusils vieux,2,,non,38841
canons de métal,3,not raw cotton,non,817071
canons de métal de 12 livres,0,not raw cotton,oui,817071
canons de vieux mousquets,1,not raw cotton,non,817071
canons et affûts,1,not raw cotton,non,817071
canons vieux,3,,non,38841
canot neuf,1,not raw cotton,non,817071
cantharides,355,not raw cotton,non,817071
cantharides et cloportes,2,not raw cotton,non,817071
cantharides ou mouches d'Espagne,28,not raw cotton,non,817071
cantines,3,not raw cotton,non,817071
cantines de cuir,1,not raw cotton,non,817071
canules,1,not raw cotton,non,817071
canyolore,3,not raw cotton,non,817071
caoutchouc,29,not raw cotton,non,817071
capalme,1,not raw cotton,non,817071
caparaçons,6,not raw cotton,non,817071
caparaçons de peau,3,not raw cotton,non,817071
capeabas,1,not raw cotton,non,817071
caperies,1,,non,38841
capes,9,not raw cotton,non,817071
capes cabas,1,not raw cotton,non,817071
capes de camelot,3,not raw cotton,non,817071
capes du Béarn,1,not raw cotton,non,817071
capies,3,not raw cotton,non,817071
capillaire,30,not raw cotton,non,817071
capillaire du Canada,1,not raw cotton,non,817071
capillaire en herbes,138,not raw cotton,non,817071
capillaire verte,1,not raw cotton,non,817071
capiton,10,not raw cotton,non,817071
capiton de soie,1,not raw cotton,non,817071
capons,2,not raw cotton,non,817071
capot,3,not raw cotton,non,817071
capot et casaques,2,not raw cotton,non,817071
capotes,13,not raw cotton,non,817071
capotes de drap,1,not raw cotton,non,817071
capotes de drap gros,1,not raw cotton,non,817071
capotes de marrègue,1,not raw cotton,non,817071
capotes et chemises casaques,1,not raw cotton,non,817071
capots,141,not raw cotton,non,817071
capots (drap),1,not raw cotton,oui,817071
capots (draps),1,,non,38841
capots à nègre,1,not raw cotton,non,817071
capots de laine,2,not raw cotton,non,817071
câpres,959,not raw cotton,non,817071
câpres au vinaigre,4,not raw cotton,non,817071
câpres communes,3,not raw cotton,non,817071
câpres communes confits,1,not raw cotton,non,817071
câpres confits,3,not raw cotton,non,817071
câpres confits au vinaigre,3,not raw cotton,non,817071
câpres cornichons et olives,10,not raw cotton,non,817071
câpres d'Espagne,84,not raw cotton,non,817071
câpres et cornichons au vinaigre,5,not raw cotton,non,817071
câpres et olive,4,not raw cotton,non,817071
câpres et olives,1,not raw cotton,non,817071
câpres et olives confits,2,,non,38841
câpres fines,4,not raw cotton,non,817071
câpres gousses,1,not raw cotton,non,817071
câpres grosses,1,not raw cotton,non,817071
câpres marinées,5,not raw cotton,non,817071
câpres non marinées,4,not raw cotton,non,817071
câpres salées et au vinaigre,0,not raw cotton,non,817071
capris,4,not raw cotton,non,817071
capsliattes,4,not raw cotton,non,817071
caput mortum,2,not raw cotton,non,817071
carabé,37,not raw cotton,non,817071
carabé jaune,1,not raw cotton,non,817071
carabine à air comprimé,3,not raw cotton,non,817071
caractères à imprimerie,221,not raw cotton,non,817071
caractères à imprimerie de plomb,4,not raw cotton,non,817071
caractères à imprimerie en langue allemande,2,not raw cotton,non,817071
caractères à imprimerie en langue française,2,not raw cotton,non,817071
caractères à imprimerie hors d'usage,5,not raw cotton,non,817071
caractères à imprimerie neufs,4,not raw cotton,non,817071
carafes de verre,1,not raw cotton,non,817071
carafes de verre blanc,1,not raw cotton,non,817071
caramel,1,not raw cotton,non,817071
carants et lanjents,1,not raw cotton,non,817071
caraterie,1,not raw cotton,non,817071
carbonate d'ammoniaque,4,not raw cotton,non,817071
carbonate de magnésie,7,not raw cotton,non,817071
carbonate de plomb mélangé ou pur,5,not raw cotton,non,817071
carbonate de plomb très pur,3,not raw cotton,non,817071
carcajou,1,not raw cotton,non,817071
carcasse,107,not raw cotton,non,817071
carcasse à peu de soie,2,not raw cotton,non,817071
cardage,2,not raw cotton,non,817071
cardamome,64,not raw cotton,non,817071
cardes,9,not raw cotton,non,817071
cardes à carder,331,not raw cotton,non,817071
cardes à carder neuves,2,not raw cotton,non,817071
cardes à carder vieilles,1,not raw cotton,non,817071
cardes à drapier,1,not raw cotton,non,817071
cardes de bois et de fil de fer,117,not raw cotton,non,817071
cardes de chanvre,1,not raw cotton,non,817071
cardes et cardons champêtres,97,not raw cotton,non,817071
cardes neuves,7,not raw cotton,non,817071
cardes vieilles,18,not raw cotton,non,817071
cardilletrie,3,not raw cotton,non,817071
cardines,10,not raw cotton,non,817071
cardines de bois,5,not raw cotton,non,817071
cardines de sapin,1,not raw cotton,non,817071
cardon,7,not raw cotton,non,817071
cards à carder,0,not raw cotton,oui,817071
caret,49,not raw cotton,non,817071
cargaison,2,not raw cotton,oui,817071
caril,2,not raw cotton,non,817071
carillon de fer,4,not raw cotton,non,817071
carisé,1,not raw cotton,non,817071
carisé blanc,2,not raw cotton,oui,817071
carisé des prises,1,not raw cotton,non,817071
carisé teint,2,not raw cotton,oui,817071
carisel,28,not raw cotton,non,817071
carisel blanc,143,,non,38841
carisel ou creseau,1,not raw cotton,oui,817071
carisel teint,130,,non,38841
carives vieilles,2,not raw cotton,non,817071
carlé,2,not raw cotton,non,817071
carmin,10,not raw cotton,non,817071
carmin commun,3,not raw cotton,non,817071
carmin fin,2,not raw cotton,non,817071
carnasse,16,not raw cotton,non,817071
carnifié,1,not raw cotton,non,817071
carny,2,not raw cotton,non,817071
carols,1,not raw cotton,non,817071
caroots,2,not raw cotton,non,817071
carotte,13,not raw cotton,non,817071
carotte d'enfant,1,not raw cotton,non,817071
carottes,4,not raw cotton,oui,817071
carou,1,not raw cotton,non,817071
carouge,144,not raw cotton,non,817071
carpe,8,,non,38841
carpe et tanche,1,not raw cotton,non,817071
carpeaux alevins,5,not raw cotton,non,817071
carpes,28,not raw cotton,non,817071
carpes de stockfish,1,not raw cotton,non,817071
carpes et brochets,115,not raw cotton,non,817071
carpette,4,not raw cotton,non,817071
carrabe,2,not raw cotton,non,817071
carré,61,not raw cotton,non,817071
carré de fer plat,12,not raw cotton,non,817071
carreaux,10,not raw cotton,non,817071
carreaux ???,1,not raw cotton,non,817071
carreaux à dentelle,4,not raw cotton,non,817071
carreaux à paver,20,not raw cotton,non,817071
carreaux à paver de pierre,7,not raw cotton,non,817071
carreaux à paver de terre,133,not raw cotton,non,817071
carreaux à vitres,1,not raw cotton,non,817071
carreaux bleus,2,not raw cotton,non,817071
carreaux briques et tuiles,2,not raw cotton,non,817071
carreaux d'ardoise,6,not raw cotton,non,817071
carreaux d'Île de France,1,not raw cotton,non,817071
carreaux de Bidache,16,not raw cotton,non,817071
carreaux de Bidache de pierre,9,not raw cotton,non,817071
carreaux de brique,42,not raw cotton,non,817071
carreaux de dentelle,1,not raw cotton,non,817071
carreaux de faïence,94,not raw cotton,non,817071
carreaux de genièvre,1,not raw cotton,non,817071
carreaux de marbre,202,not raw cotton,non,817071
carreaux de marbre à paver,71,not raw cotton,non,817071
carreaux de marbre bâtard,4,not raw cotton,non,817071
carreaux de marbre gros,1,not raw cotton,non,817071
carreaux de marbre ouvrés,4,not raw cotton,non,817071
carreaux de marbre pour le Roi,1,not raw cotton,non,817071
carreaux de moulage,1,not raw cotton,non,817071
carreaux de pierre,50,not raw cotton,non,817071
carreaux de pierre de Bidache,1,not raw cotton,non,817071
carreaux de pierre de terre,1,not raw cotton,non,817071
carreaux de pierre noire,1,not raw cotton,non,817071
carreaux de pierres bâtir,1,,non,38841
carreaux de sera,2,not raw cotton,non,817071
carreaux de Suède,1,not raw cotton,non,817071
carreaux de terre,349,not raw cotton,oui,817071
carreaux de terre cuite,367,not raw cotton,non,817071
carreaux de terre d'or pied demi en carré,1,not raw cotton,non,817071
carreaux de terre et tuiles bombées,8,not raw cotton,non,817071
carreaux de terre grands,1,,non,38841
carreaux de verre,16,not raw cotton,non,817071
carreaux de verre à vitre,40,not raw cotton,non,817071
carreaux démoulés,1,not raw cotton,non,817071
carreaux des prises,1,not raw cotton,non,817071
carreaux en nombre,1,not raw cotton,non,817071
carreaux et ouvrages de terre cuite,0,,non,38841
carreaux marbre chaux pierres à bâtir,6,,non,38841
carreaux meulage de Brie,1,not raw cotton,non,817071
carreaux meulage de France,2,not raw cotton,non,817071
carreaux moulage,4,not raw cotton,non,817071
carreaux moulage de Brie,7,not raw cotton,non,817071
carreaux moulage de France,8,not raw cotton,non,817071
carreaux noirs,3,not raw cotton,non,817071
carreaux rouges,10,not raw cotton,non,817071
carrelet,1,not raw cotton,non,817071
carres,2,not raw cotton,non,817071
carriole d'enfant,1,not raw cotton,non,817071
carrole et crouge,1,not raw cotton,non,817071
carrosses,202,not raw cotton,non,817071
carrosses et harnais,1,not raw cotton,non,817071
carrosses grands montés sur leur train et harnais riche,1,not raw cotton,non,817071
carrosses neufs,15,not raw cotton,non,817071
carrosses usés,1,not raw cotton,non,817071
carrosses vieux,21,not raw cotton,non,817071
carrue,1,not raw cotton,non,817071
cartager,1,not raw cotton,non,817071
cartame,1,not raw cotton,non,817071
cartes,8,not raw cotton,non,817071
cartes à chaperonier,1,not raw cotton,non,817071
cartes à jouer,805,not raw cotton,non,817071
cartes de géographie sur toile,1,not raw cotton,non,817071
cartes de la Martinique,1,not raw cotton,non,817071
cartes des côtes d'Angleterre,1,not raw cotton,non,817071
cartes géographiques,96,not raw cotton,non,817071
cartes géographiques de la Chine,1,not raw cotton,non,817071
cartes géométriques,1,not raw cotton,non,817071
cartes marines,36,not raw cotton,non,817071
cartes marines de pêches,1,not raw cotton,non,817071
carthame,7,not raw cotton,non,817071
cartignette,1,not raw cotton,non,817071
carton,236,not raw cotton,non,817071
carton à drapier,1,not raw cotton,non,817071
carton assemblé et coupé,2,not raw cotton,non,817071
carton en feuilles et lustré à presser le drap,2,,non,38841
carton gracé,1,,non,38841
carton gris,1,,non,38841
carton lustré à presser le drap,2,,non,38841
carton lustré pour presser les drap,0,not raw cotton,oui,817071
carton moulé,6,not raw cotton,non,817071
carton peint,1,not raw cotton,non,817071
cartouches,1,not raw cotton,non,817071
caruane,1,not raw cotton,non,817071
carubis,70,not raw cotton,non,817071
carvi,1,not raw cotton,non,817071
carzé,0,not raw cotton,non,817071
casaques,15,not raw cotton,non,817071
casaques à nègre,14,not raw cotton,non,817071
casaques de froc,1,not raw cotton,non,817071
casaques de laine,1,,non,38841
casaques de peau,2,not raw cotton,non,817071
casaques du cuir,1,,non,38841
casaques pour matelot,1,not raw cotton,non,817071
casaquin,3,not raw cotton,non,817071
cascarilles,43,not raw cotton,non,817071
casely,1,,non,38841
casimir,8,not raw cotton,non,817071
casimir de laine,11,not raw cotton,non,817071
casimir de laine et mérinos,1,not raw cotton,non,817071
casimir et mérinos fin de laine,23,not raw cotton,non,817071
casimir fin de laine,10,not raw cotton,non,817071
casimirs et mérinos de laine,1,not raw cotton,non,817071
casques,5,not raw cotton,non,817071
casques à nègre,1,not raw cotton,non,817071
casques et cuirasses,2,not raw cotton,non,817071
cassave,4,not raw cotton,non,817071
casse,104,not raw cotton,non,817071
casse de fer,3,not raw cotton,non,817071
casse de laiton,1,not raw cotton,non,817071
casse des entrepôts,0,not raw cotton,non,817071
casse en baton,2,not raw cotton,oui,817071
casse en bâton,3,,non,38841
casse étoffe,4,not raw cotton,non,817071
casse garnie,1,not raw cotton,non,817071
cassedis,1,not raw cotton,non,817071
casseroles de fer,1,not raw cotton,non,817071
cassi matia,1,not raw cotton,non,817071
cassia fistula,3,not raw cotton,non,817071
cassia lignea,156,not raw cotton,non,817071
cassia sèche,1,not raw cotton,non,817071
cassin bazas,1,not raw cotton,non,817071
cassis,2,not raw cotton,non,817071
cassoles,2,not raw cotton,non,817071
cassonade,208,not raw cotton,non,817071
cassonade des Îles,14,not raw cotton,non,817071
cassonade et sucre,7,,non,38841
cassube,2,not raw cotton,non,817071
castalogne,19,not raw cotton,non,817071
castine et spath,2,not raw cotton,non,817071
castor,50,not raw cotton,non,817071
castor blanc,1,not raw cotton,non,817071
castor bordé d'argent et d'or,1,not raw cotton,non,817071
castor gras,25,not raw cotton,non,817071
castor sec,27,not raw cotton,non,817071
castoreum,30,not raw cotton,non,817071
castoreum du ???,1,not raw cotton,non,817071
castus doux,1,not raw cotton,non,817071
catadarits,0,not raw cotton,non,817071
Catalogne de laine,1,not raw cotton,non,817071
Catalogne de poil,2,not raw cotton,non,817071
catéchismes,1,not raw cotton,non,817071
catequin,2,not raw cotton,non,817071
catlas,2,not raw cotton,non,817071
caubrune,1,not raw cotton,non,817071
cauride,0,not raw cotton,non,817071
caurie,1,not raw cotton,non,817071
caurier,1,not raw cotton,non,817071
cauris,327,not raw cotton,non,817071
cauris de retour,1,,non,38841
cauris des Indes,1,not raw cotton,non,817071
cauris en sac,1,,non,38841
cauris pour la traite,1,not raw cotton,non,817071
cauris salés et verts,1,not raw cotton,non,817071
cauris vernis,1,not raw cotton,non,817071
causels de bar,10,not raw cotton,non,817071
causels de bois,2,not raw cotton,non,817071
causse de cordes,1,not raw cotton,non,817071
cautardes,1,not raw cotton,non,817071
cavelle,12,not raw cotton,non,817071
cavelle de bois,2,not raw cotton,non,817071
cavelle pour tonneaux,1,,non,38841
caves,14,not raw cotton,non,817071
caves à main,1,,non,38841
caves à tabac,2,not raw cotton,non,817071
caves de ??? flacons,1,not raw cotton,non,817071
caves de 10 flacons,1,not raw cotton,non,817071
caves de 12 flacons,40,not raw cotton,non,817071
caves de 15 flacons,8,not raw cotton,non,817071
caves de 21 flacons,1,not raw cotton,non,817071
caves de 29 flacons,1,not raw cotton,non,817071
caves de 6 flacons,105,not raw cotton,non,817071
caves de 6 flacons pour eau-de-vie,1,not raw cotton,non,817071
caves de 7 flacons,1,not raw cotton,non,817071
caves de 8 flacons,2,not raw cotton,non,817071
caves de 9 flacons,64,not raw cotton,non,817071
caves de flacons,13,not raw cotton,non,817071
caves et canevettes avec leurs flacons,1,,non,38841
caves et canevettes de 6 flacons,3,not raw cotton,non,817071
caves files,1,not raw cotton,non,817071
caves garnies,123,not raw cotton,non,817071
caves garnies de flacons,5,not raw cotton,non,817071
caves garnies de flacons de cristal,1,not raw cotton,non,817071
caves garnies de leurs flacons,4,not raw cotton,non,817071
caves non garnies de flacons,1,not raw cotton,non,817071
caves ou flacons,1,,non,38841
cavettes de bois,3,not raw cotton,non,817071
cavettes de grès,4,not raw cotton,non,817071
cavial,4,not raw cotton,non,817071
caviers de terre,0,not raw cotton,non,817071
cavizé,0,not raw cotton,non,817071
cayette,1,not raw cotton,non,817071
cazé,0,not raw cotton,non,817071
cazin bazar,1,not raw cotton,non,817071
ceaustatille étoffe,1,not raw cotton,non,817071
cédrat,108,not raw cotton,non,817071
cédrat frais,0,not raw cotton,non,817071
cédrat zestes confits,26,not raw cotton,non,817071
cèdre,7,not raw cotton,non,817071
ceintures,12,not raw cotton,non,817071
ceintures brodées,1,,non,38841
ceintures brodées de soie,1,not raw cotton,non,817071
ceintures d'argent et d'or,1,not raw cotton,non,817071
ceintures d'argent fin,1,not raw cotton,non,817071
ceintures d'épée,1,not raw cotton,non,817071
ceintures de coton,7,not raw cotton,non,817071
ceintures de cuir,1,not raw cotton,non,817071
ceintures de laine,37,not raw cotton,non,817071
ceintures de laine et de fil,1,not raw cotton,non,817071
ceintures de robe de chambre,4,not raw cotton,non,817071
ceintures de soie,19,not raw cotton,non,817071
ceintures marines,1,not raw cotton,non,817071
ceintures pour matelot,1,not raw cotton,non,817071
ceintures pour prêtre,9,not raw cotton,non,817071
ceinturons,27,not raw cotton,non,817071
ceinturons brodés,1,not raw cotton,non,817071
ceinturons brodés d'argent,1,not raw cotton,non,817071
ceinturons brodés d'or,1,not raw cotton,non,817071
ceinturons de buffle,3,not raw cotton,non,817071
ceinturons de chamois,1,not raw cotton,non,817071
ceinturons de coton,1,not raw cotton,non,817071
ceinturons de cuir,1,not raw cotton,non,817071
ceinturons de laine,1,not raw cotton,non,817071
ceinturons de peau,1,not raw cotton,non,817071
ceinturons de soie,8,not raw cotton,non,817071
ceinturons et bandoulières,65,not raw cotton,non,817071
ceinturons et bandoulières et gibernes,19,not raw cotton,non,817071
ceinturons piqués,1,not raw cotton,non,817071
ceinturons pour épée,1,not raw cotton,non,817071
ceinturons unis,2,not raw cotton,non,817071
céleris,35,not raw cotton,non,817071
cendaline,3,not raw cotton,non,817071
cendre,440,not raw cotton,non,817071
cendre ???,2,not raw cotton,non,817071
cendre à engraisser,16,not raw cotton,non,817071
cendre à fumer,5,not raw cotton,non,817071
cendre à fumer terre,29,not raw cotton,non,817071
cendre à houille,1,not raw cotton,non,817071
cendre à orfèvre,24,not raw cotton,non,817071
cendre à savon,1,not raw cotton,non,817071
cendre barille,3,not raw cotton,non,817071
cendre barille de soudes,4,,non,38841
cendre blanche,1,not raw cotton,non,817071
cendre bleue,77,not raw cotton,non,817071
cendre bleue et verte,5,not raw cotton,non,817071
cendre bourde,320,not raw cotton,non,817071
cendre bourre de soudes,4,,non,38841
cendre broyée à l'huile,1,not raw cotton,non,817071
cendre calcinée,2,not raw cotton,non,817071
cendre cassant,8,not raw cotton,non,817071
cendre casseaux,31,not raw cotton,non,817071
cendre commune,266,not raw cotton,non,817071
cendre d'Angleterre,6,not raw cotton,non,817071
cendre d'Égypte,1,not raw cotton,non,817071
cendre d'os,1,not raw cotton,non,817071
cendre de barille,18,not raw cotton,non,817071
cendre de barille en pierre,2,not raw cotton,non,817071
cendre de barille et fonde,1,not raw cotton,non,817071
cendre de bois,436,not raw cotton,non,817071
cendre de bois commune,127,not raw cotton,non,817071
cendre de bois vive,3,not raw cotton,non,817071
cendre de chaux,82,not raw cotton,non,817071
cendre de courbe,3,not raw cotton,oui,817071
cendre de cuivre,1,not raw cotton,non,817071
cendre de Damas,1,not raw cotton,non,817071
cendre de fonde,6,not raw cotton,non,817071
cendre de frène,14,not raw cotton,non,817071
cendre de goëmon,2,,non,38841
cendre de goëmon ou soudes,1,,non,38841
cendre de grignon,4,not raw cotton,non,817071
cendre de griguonia,3,not raw cotton,non,817071
cendre de houille,125,not raw cotton,non,817071
cendre de lessive,51,not raw cotton,non,817071
cendre de Lyon,1,not raw cotton,non,817071
