goods_simpl_classification,nbr_occurences_simpl,ulrich_classification,obsolete,nbr_occurences_ulrich
,9860,,non,9860
???,90,out,non,483657
??? blanc,2,out,non,483657
??? brun,2,out,non,483657
??? d'Anjou et de Touraine,1,out,non,483657
??? d'argent,1,out,non,483657
??? d'une valeur moindre de deux mille francs chacun,473,out,non,483657
??? de boutard,1,out,non,483657
??? de fer,2,out,non,483657
??? de morue,1,out,non,483657
??? de nacre de perle,1,out,non,483657
??? des ci-devant provinces d'Alsace,1,out,non,483657
??? des ci-devant provinces de Bourgogne,1,out,non,483657
??? des ci-devant provinces de Provence,2,out,non,483657
??? des ci-devant provinces du Languedoc,1,out,non,483657
??? diverses,4,out,non,483657
??? fer,1,out,non,483657
??? forts de fer,1,out,non,483657
??? gras,1,out,non,483657
??? particulièrement en chevaux,6,out,non,483657
??? pieds,1,out,non,483657
??? pruneaux,1,out,non,483657
??? raisins secs,1,out,non,483657
???sse,1,out,non,483657
?ufs,1,out,non,483657
à jamis,276,cotton goods,non,14779
abassis,4,out,non,483657
abats,2,out,non,483657
abattis de morue,1,out,non,483657
abricots confits,1,out,non,483657
absinthe,19,out,non,483657
acacia,5,out,non,483657
acacia germanica,1,out,non,483657
acacia vera,1,out,non,483657
acajou,1,out,non,483657
acétates d'étain,1,out,non,483657
acétates de fer,3,out,non,483657
acétates de plomb,29,out,non,483657
acétates de plomb sel de Saturne,2,out,non,483657
acétates de potasse et de soude,2,out,non,483657
acétates de sel d'étain,1,out,non,483657
achia,7,out,non,483657
acide arsénieux,8,out,non,483657
acide benzoïque,1,out,non,483657
acide benzoïque et phosphorique,2,out,non,483657
acide borique,3,out,non,483657
acide borique et benzoïque,2,out,non,483657
acide citrique,2,out,non,483657
acide citrique et muriatique et phosphorique,2,out,non,483657
acide citrique et oxalique et tartrique,2,out,non,483657
acide de potasse crème de tartre,5,out,non,483657
acide de potasse lie de vin desséché et liquide,4,out,non,483657
acide de potasse lie de vin desséchée,3,out,non,483657
acide de potasse lie de vin liquide,2,out,non,483657
acide de potasse tartre brut impur,2,out,non,483657
acide muriatique,1,out,non,483657
acide muriatique et nitrique et phosphorique,3,out,non,483657
acide muriatique et nitro-muriatique,2,out,non,483657
acide nitrique,4,out,non,483657
acide oxalique,2,out,non,483657
acide phosphorique,2,out,non,483657
acide succinique,1,out,non,483657
acide tartrique,2,out,non,483657
acide vitriolique,4,out,non,483657
acide vitriolique et huile de vitriol,109,out,non,483657
acier,1679,out,non,483657
acier battu forgé ou laminé,1,out,non,483657
acier brun,1,out,non,483657
acier brut,10,out,non,483657
acier commun,1,out,non,483657
acier en barres,6,out,non,483657
acier en bottes pour la Compagnie des Indes,1,out,non,483657
acier et clous,1,out,non,483657
acier et fer,356,out,non,483657
acier fondu en carreaux ou en tôle,5,out,non,483657
acier fondu forgé,1,out,non,483657
acier forgé,7,out,non,483657
acons,1,out,non,483657
acons démontés,20,out,non,483657
acons démontés en gabare,2,out,non,483657
acorus,5,out,non,483657
acuirson,1,out,non,483657
acume de cuivre,1,out,non,483657
adatais,3,out,non,483657
affûts,2,out,non,483657
affûts de bois,1,out,non,483657
affûts de canons,11,out,non,483657
affûts de fer,1,out,non,483657
affûts de fusils,1,out,non,483657
affûts de fûts à canons,1,out,non,483657
affûts et canons,1,out,non,483657
agaric,138,out,non,483657
agaric amadouvier,6,out,non,483657
agaric amadouvier brut,4,out,non,483657
agaric amadouvier brut et préparé,12,out,non,483657
agaric amadouvier préparé,6,out,non,483657
agaric brut et préparé,6,out,non,483657
agaric de mélèze,4,out,non,483657
agaric fin,1,out,non,483657
agaric gros,2,out,non,483657
agate,11,out,non,483657
agate autre que chique et ouvrages,2,out,non,483657
agate brute,4,out,non,483657
agate en pierres,1,out,non,483657
agate fine,1,out,non,483657
agate montée,1,out,non,483657
agneaux,117,out,non,483657
agneaux communs,8,out,non,483657
agneaux en vie,5,out,non,483657
agneaux et cabris,1,out,non,483657
agneaux mérinos et métis,7,out,non,483657
agnelines et crottelins,1,out,non,483657
agobille,2,out,non,483657
agoutals,4,out,non,483657
agoutals de bois,5,out,non,483657
agrément,15,out,non,483657
agrément au quart,3,out,non,483657
agrément d'argent,2,out,non,483657
agrément d'or,1,out,non,483657
agrément d'or et d'argent,5,out,non,483657
agrément de fil,9,out,non,483657
agrément de fil et de soie,3,out,non,483657
agrément de fleur,1,out,non,483657
agrément de soie,57,out,non,483657
agrément de soie et d'argent,1,out,non,483657
agrément de soie or et argent faux,1,out,non,483657
agréments de soie et milleret,1,out,non,483657
agréments et milleret,1,out,non,483657
agrès,15,out,non,483657
agrès apparaux de navire et embarcations,6,out,non,483657
agrès apparaux et embarcations,2,out,non,483657
agrès de navire et jeux de voile,10,out,non,483657
agrès et apparaux,2,out,non,483657
agrès et apparaux d'or navire,1,out,non,483657
agrès et bâtiments de mer,10,out,non,483657
agrès et embarcations,8,out,non,483657
agrès et voile de navire,1,out,non,483657
aigles,1,out,non,483657
aigre de cèdre,9,out,non,483657
aigre de cidre,5,out,non,483657
aigre de vitriol,17,out,non,483657
aigrettes,10,out,non,483657
aigrettes de fil d'or et d'argent,1,out,non,483657
aigrettes de soie,1,out,non,483657
aigrettes de soie et argent,1,out,non,483657
aigrettes et bavolets,1,out,non,483657
aiguières d'étain,1,out,non,483657
aiguilles,209,out,non,483657
aiguilles à boîtes,1,out,non,483657
aiguilles à coudre,61,out,non,483657
aiguilles à coudre voiles,1,out,non,483657
aiguilles à ralingue,1,out,non,483657
aiguilles à tabac,1,out,non,483657
