partners_simpl_classificationifi,nbr_occurences_simpl,wars_classification,note,nbr_occurences_wars
,2614,,,2645
?,12,???,,208
???,196,???,,208
Afrique,46,Afrique,,80
Afrique occidentale,34,Afrique,,80
Alexandrette,37,Levant,,25322
Alger,46,Levant,,25322
Aligre de Marans ou Marennes,1,France,,5629
Allemagne,20070,Allemagne,,22957
Allemagne et Lorraine,125,Allemagne,,22957
Allemagne et Pologne,1208,Allemagne,,22957
"Allemagne, Lorraine et Pays de Liège",1554,Allemagne,,22957
Alsace,359,France,,5629
Alsace et les Trois Évêchés,3,France,,5629
Alsace et Lorraine,4,France,,5629
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,France,,5629
Amérique et Inde,1,Amérique et Inde,,3710
"Amérique, colonies françaises et Inde",1,Amérique et Inde,,3710
"Amérique, Inde et Turquie",2,Amérique et Inde,,3710
Amériques,39,Amérique et Inde,,3710
Amiens,2,France,,5629
Angleterre,25618,Angleterre et ses colonies,,25887
Angleterre et Cologne,1,Angleterre et ses colonies,,25887
Angleterre et flotte anglaise,49,Angleterre et ses colonies,,25887
Angleterre et Irlande,1,Angleterre et ses colonies,,25887
Antilles et Colonies Françaises,105,Colonies françaises,,28575
Archipel,5,Levant,,25322
Asie,79,Asie,,84
Autriche,2035,Autriche,,2035
Barbarie,470,Levant,,25322
Barbarie dans l'Océan,4,Levant,,25322
Barbarie dans l'Océan et Îles françaises d'Amérique,31,Levant,,25322
Barbarie et Levant,34,Levant,,25322
"Barbarie, Empire Ottoman et Levant",123,Levant,,25322
Bayonne,379,France,,5629
Bayonne et ?,1,France,,5629
Bayonne et Dunkerque,3,France,,5629
Bayonne et Lorient,3,France,,5629
Bayonne et Marseille,3,France,,5629
Bayonne et Petites Îles,4,France,,5629
"Bayonne, Dunkerque et Marseille",11,France,,5629
"Bayonne, Dunkerque, Lorient et Petites Îles",3,France,,5629
"Bayonne, Lorient et Petites Îles",1,France,,5629
Belgique,67,Belgique,,83
Besançon,2,France,,5629
Bilbao,10,Espagne et ses colonies,,63252
Bilbao et Cadix,3,Espagne et ses colonies,,63252
Brême,9,Villes hanséatiques,,4873
"Brême, Lubeck, Norvège et villes hanséatiques",1,Villes hanséatiques,,4873
Brésil,30,Amérique et Inde,,3710
Bruges,16,Belgique,,83
Cadix,6,France,,5629
Candie,5,Levant,,25322
Cayenne et Guyane,1065,Colonies françaises,,28575
Cayenne et Île Bourbon,1,Colonies françaises,,28575
Chili,15,Amérique et Inde,,3710
Chine,5,Asie,,84
Chypre,17,Levant,,25322
Clermontois,71,France,,5629
Colonies anglaises,132,Angleterre et ses colonies,,25887
Colonies danoises,90,Danemark et ses colonies,,12658
Colonies des États-Unis d'Amérique,143,États-Unis d'Amérique et ses colonies,,6414
Colonies espagnoles,153,Espagne et ses colonies,,63252
Colonies françaises,2198,Colonies françaises,,28575
Colonies françaises au-delà du Cap,4,Colonies françaises,,28575
Colonies françaises d'Amérique,358,Colonies françaises,,28575
Colonies françaises en-deça du Cap,4,Colonies françaises,,28575
Colonies françaises et colonies hollandaises,20,Colonies françaises,,28575
Colonies françaises et Inde,1,Colonies françaises,,28575
Colonies françaises et Saint-Domingue,1,Colonies françaises,,28575
Colonies françaises hors Guyane et Sénégal,3,Colonies françaises,,28575
Colonies hollandaises,142,Hollande et ses colonies,,76700
Colonies portugaises,27,Portugal et ses colonies,,14969
Colonies suédoises,57,Suède et ses colonies,,11268
Commerce de la Compagnie des Indes,133,Amérique et Inde,,3710
Constantinople,22,Levant,,25322
Corse,123,Divers,,6635
Courlande et Russie,143,Nord,,32575
Cuba et Porto Rico,20,Amérique et Inde,,3710
Danemark,12176,Danemark et ses colonies,,12658
Danemark et Norvège,392,Danemark et ses colonies,,12658
Duché de Bouillon,108,Duché de Bouillon,,108
Dunkerque,722,France,,5629
Dunkerque et Lorient,2,France,,5629
Dunkerque et Marseille,2,France,,5629
Dunkerque et Petites Îles,4,France,,5629
"Dunkerque, Lorient et Petites Îles",3,France,,5629
Égypte,53,Levant,,25322
Empire Ottoman,1480,Levant,,25322
Empire Ottoman et Barbarie,2217,Levant,,25322
Empire Ottoman et Levant,98,Levant,,25322
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,Divers,,6635
Entrepôt,87,Divers,,6635
Épaves et échouements,56,Épaves et échouements,,56
Espagne,59626,Espagne et ses colonies,,63252
Espagne et Portugal,1,Divers,,6635
Espagne et ses colonies,3430,Espagne et ses colonies,,63252
Espagne par mer,2,Espagne et ses colonies,,63252
Espagne par terre,2,Espagne et ses colonies,,63252
États ?,17,Divers,,6635
États de l'Empereur,4462,États de l'Empereur,,4466
États de l'Empereur par mer,2,États de l'Empereur,,4466
États de l'Empereur par terre,2,États de l'Empereur,,4466
États du roi,1,États du roi,,1
États ecclésiastiques,1620,États ecclésiastiques,,1738
États ecclésiastiques et Venise,52,États ecclésiastiques,,1738
États romains,64,États ecclésiastiques,,1738
États-Unis d'Amérique,6271,États-Unis d'Amérique et ses colonies,,6414
Europe,16,Divers,,6635
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,Divers,,6635
Flandre,18700,Flandre,,18701
France,16,France,,5629
Franche Comté,8,France,,5629
Gênes,15327,Gênes,,15331
"Gênes, Milan, Toscane et Lucques",4,Gênes,,15331
Genève,3105,Genève et Suisse,,20365
Genève et Piémont,604,Divers,,6635
Genève et Suisse,2510,Genève et Suisse,,20365
"Genève, Suisse et ses alliés",949,Genève et Suisse,,20365
Gibraltar,1,Angleterre et ses colonies,,25887
Gothembourg,10,Suède et ses colonies,,11268
Guadeloupe,2190,Colonies françaises,,28575
Guatemala,2,Colonies françaises,,28575
Guernesey,2,Angleterre et ses colonies,,25887
Guernesey et Dumbarton,1,Angleterre et ses colonies,,25887
Guinée,10256,Colonies françaises,,28575
Guinée et Sénégal,2992,Colonies françaises,,28575
Guyane,11,Colonies françaises,,28575
Guyane anglaise,4,Angleterre et ses colonies,,25887
Guyane et Sénégal,2,Colonies françaises,,28575
Guyane française,2,Colonies françaises,,28575
Haïti,10,Colonies françaises,,28575
Hambourg,112,Villes hanséatiques,,4873
"Hambourg, Hollande et Livourne",1,Divers,,6635
Hollande,74106,Hollande et ses colonies,,76700
Hollande et Villes hanséatiques,223,Divers,,6635
Île Bourbon,53,Îles,,50996
Île Bourbon et Inde,3,Îles,,50996
Île de Ré,1,Îles,,50996
Île Maurice,22,Îles,,50996
Îles,7104,Îles,,50996
Îles de France et de Bourbon,163,Îles,,50996
Îles de l'Amérique,134,Îles,,50996
Îles et Guinée,2,Îles,,50996
Îles françaises,1967,Îles,,50996
Îles françaises de l'Amérique,41083,Îles,,50996
Inconnu,209,Divers,,6635
Inde étrangère,18,Divers,,6635
Indes,3429,Amérique et Inde,,3710
Indes anglaises,16,Angleterre et ses colonies,,25887
Indes françaises,22,Colonies françaises,,28575
Indes hollandaises,6,Hollande et ses colonies,,76700
Irlande,62,Angleterre et ses colonies,,25887
Italie,38456,Italie,,38456
Levant,20585,Levant,,25322
Levant et Toscane,1,Levant,,25322
Lisbonne,11,Portugal et ses colonies,,14969
Livourne,254,Livourne,,254
Lorient,227,France,,5629
Lorient et Marseille,1,France,,5629
Lorient et Petites Îles,2,France,,5629
Lorraine,555,France,,5629
Lorraine et Trois Évêchés,1,France,,5629
Louisiane,7,Colonies françaises,,28575
