partners_simpl_classificationifi,nbr_occurences_simpl,wars_classification,note,nbr_occurences_wars
Lübeck en Norvège,1,Villes hanséatiques,,4873
Marseille,2576,France,,5629
Marseille et Petites Îles,1,France,,5629
Martinique,2777,Colonies françaises,,28575
Mecklembourg-Schwerin,4,Nord,,32575
Mexique,9,Amérique et Inde,,3710
Milanais,4,"Milanais, Toscane et Lucques",,1714
Milanais et Toscane,602,"Milanais, Toscane et Lucques",,1714
"Milanais, Toscane et Lucques",1108,"Milanais, Toscane et Lucques",,1714
Milddelbourg,1,Hollande et ses colonies,,76700
Monde,4400,Divers,,6635
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,Divers,,6635
Monde hors Amérique,1,Divers,,6635
Monde hors Amérique et hors Inde,5,Divers,,6635
Monde hors Amérique et hors Inde et hors Piémont,1,Divers,,6635
Monde hors colonies,385,Divers,,6635
Monde hors Europe,52,Divers,,6635
Monde hors Europe et hors colonies,1,Divers,,6635
Monde hors Europe et hors colonies françaises et hors Inde,1,Divers,,6635
Monde hors Europe et hors Sénégal français,2,Divers,,6635
Monde hors Guyanne française,2,Divers,,6635
Monde hors Pays de Gex,1,Divers,,6635
Monds hors Ports de la Baltique,1,Divers,,6635
Morée,11,France,,5629
Nancy,2,France,,5629
Nantes,1,France,,5629
Naples,5517,Naples,,10981
Naples et Sicile,5018,Naples,,10981
"Naples, Sicile et Palerme",52,Naples,,10981
"Naples, Sicile et Parme",394,Naples,,10981
Nord,21933,Nord,,32575
Nord (Hanse et Russie),3881,Nord,,32575
Norvège,80,Nord,,32575
Nouvelle-Grenade,3,Espagne et ses colonies,,63252
Pays d'Aunis,1,France,,5629
Pays de Gex,20,France,,5629
Pays de Labour,31,,,2645
Pays-Bas,1031,Hollande et ses colonies,,76700
Pays-Bas et ses colonies,1408,Hollande et ses colonies,,76700
Pêches à la Baleine,2,Pêches,,69
Pêches à la Morue à Terre-Neuve,2,Pêches,,69
Pêches à la Morue en Islande,1,Pêches,,69
Pêches côtières (Hareng),2,Pêches,,69
Pêches côtières (Maquereaux),2,Pêches,,69
Pêches côtières (Sardines),1,Pêches,,69
Pêches étrangères,17,Pêches,,69
Pêches françaises,42,Pêches,,69
Pérou,6,Amérique et Inde,,3710
Petites Îles,464,Îles,,50996
Philippines,1,Divers,,6635
Piémont,1590,Royaume de Piemont et Sardaigne,,32980
Piémont et Savoie,340,Royaume de Piemont et Sardaigne,,32980
Piémont par mer,1,Royaume de Piemont et Sardaigne,,32980
Piémont par terre,1,Royaume de Piemont et Sardaigne,,32980
Poitou,1,France,,5629
Pologne,305,Pologne,,306
Pologne-Genève,1,Pologne,,306
Ports de la Baltique,1,Pays Baltique,,4
Portugal,14931,Portugal et ses colonies,,14969
Prises et saisies,1305,Prises et saisies,,1305
Prusse,4649,Prusse,,4651
Prusse – par mer,2,Prusse,,4651
Riga,3,Pays Baltique,,4
Rio de la Plata,14,Espagne et ses colonies,,63252
Rome et Venise,2,États ecclésiastiques,,1738
Rotterdam,6,Hollande et ses colonies,,76700
Rouen,1,France,,5629
Royaume d'Étrurie,1153,Royaume d'Étrurie,,1153
Royaume de Sardaigne,5658,Royaume de Piemont et Sardaigne,,32980
Royaume de Sardaigne – par mer,2,Royaume de Piemont et Sardaigne,,32980
Royaume de Sardaigne – par terre,2,Royaume de Piemont et Sardaigne,,32980
Russie,6534,Nord,,32575
Saint-Domingue,5564,Colonies françaises,,28575
Saint-Jean de Luz,9,Espagne et ses colonies,,63252
Saint-Thomas,11,Amérique et Inde,,3710
Salonique,5,Levant,,25322
Sardaigne,2040,Royaume de Piemont et Sardaigne,,32980
Savoie,12043,Royaume de Piemont et Sardaigne,,32980
Savoie et Piémont,11303,Royaume de Piemont et Sardaigne,,32980
Sénégal,229,Colonies françaises,,28575
Sénégal français,9,Colonies françaises,,28575
Sidon,5,Levant,,25322
Smyrne,35,Levant,,25322
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,Suède et ses colonies,,11268
Strasbourg,1,France,,5629
Suède,11026,Suède et ses colonies,,11268
Suède et ses colonies,173,Suède et ses colonies,,11268
Suisse,13801,Genève et Suisse,,20365
Tobago,740,Colonies françaises,,28575
Tobago et Sainte-Lucie,2,Colonies françaises,,28575
Toscane,636,Toscane,,636
Tripoli de Syrie,15,Levant,,25322
Trois Évêchés,614,France,,5629
Turquie,34,Levant,,25322
Vénézuela,14,Amérique et Inde,,3710
Venise,1912,Venise,,1912
Villes hanséatiques,4750,Villes hanséatiques,,4873
Voitures diverses,2,Divers,,6635
Ypres,1,Flandre,,18701
