simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
aiguilles à ralingue,1,7,x,non,14031
aiguilles à tabac,1,6j,x,non,52338
aiguilles à toile,1,6j,x,non,52338
aiguilles d'emballage,2,6j,x,non,52338
aiguilles de mercerie fine,1,6j,x,non,52338
aiguilles epars de sapin,1,9b,x,non,61966
aiguilles et épingles,1,6j,x,non,52338
aiguilles et épingles de mercerie fine,3,6j,x,non,52338
aiguilles et mercerie fine,2,6j,x,non,52338
aiguilles grosses,1,6j,x,non,52338
aiguilles pour voile,37,7,x,non,14031
aiguillettes,1,8,,non,73824
ail,2,0a,x,oui,122047
ailes,17,9c,x,non,13242
ailes de fléaux,3,6j,x,non,52338
ailes de moulins,6,7,x,non,14031
ailor,0,9c,x,non,13242
ails,243,0a,x,non,122047
ails à fauches,1,9c,x,non,13242
ails blancs à casser,1,0a,x,non,122047
aimant,1,6j,x,non,52338
ains à pêcher,43,8,x,non,73824
ains et lignes à pêcher,2,8,x,non,73824
airain,6,6j,x,non,52338
airain non ouvré,4,6j,x,non,52338
ajamis,279,6g,,non,16886
ajustements,37,8,x,non,73824
ajustements de femme,5,8,x,non,73824
ajustements de soie,2,8,x,non,73824
alambics,17,7,x,non,14031
alambics d'étain,17,7,x,non,14031
alambics de cuivre,2,7,x,non,14031
alambics de terre,1,7,x,non,14031
alana,2,9c,,non,13242
alazar,2,9c,,non,13242
albâtre,5,2,x,non,131731
albâtre brut,3,2,x,non,131731
albâtre et marbre brut et poli,21,9b,x,non,61966
albâtre moulé poli ou sculpté,6,8,,non,73824
alcalis autre que natron et soudes,2,5,x,non,61910
alcalis salin,1,5,,non,61910
alènes,5,6j,x,non,52338
ali,1,9c,,non,13242
alibanies,110,6f,x,non,16662
alicot,1,9c,,non,13242
alizari,20,2,x,non,131731
alizari et garance,165,2,x,non,131731
alizari sèche,7,2,x,non,131731
alkermés,1,2,x,non,131731
alkermès en grains,23,2,x,non,131731
allaya,86,6i,x,non,9168
alleaux,1,9c,,non,13242
allumettes,134,8,x,non,73824
allumettes à vin,30,8,x,non,73824
allumettes de coton,1,8,x,non,73824
allumettes de mêche soufrée,1,8,x,non,73824
allumettes droguées,3,8,,non,73824
allumettes épicée,2,8,x,non,73824
allumettes opérées et soufrées,1,8,x,non,73824
allumettes soufrées,12,8,x,non,73824
almagro ou crayon rouge,93,8,x,non,73824
almanachs,1,8,x,non,73824
almanachs brochés,2,8,,non,73824
almanachs en blancs,1,6c,,non,7807
almanachs enjolivés,2,8,x,non,73824
almanachs reliés,1,8,,non,73824
aloès,254,2,x,non,131731
aloès cabalin,5,2,x,non,131731
aloès commun,1,2,x,non,131731
aloès et opium,2,2,x,non,131731
aloès hépatique,1,2,x,non,131731
aloès moyen,2,2,x,non,131731
aloiset,1,9c,,non,13242
alose,8,0a,x,non,122047
alose fumée,4,0a,x,non,122047
alose salée,5,0a,x,non,122047
aloues,1,9c,,non,13242
alouettes,5,0a,x,non,122047
alpargate,36,8,x,non,73824
alphabets,1,8,x,non,73824
alpiste,21,2,x,non,131731
alpiste et millet,9,9b,,non,61966
alquifoux,483,2,x,non,131731
alquifoux en galène,2,2,x,non,131731
alquifoux et mine de plomb,36,2,x,non,131731
alquifoux mine de plomb ou graphite,23,2,,non,131731
alquifoux ou mine de plomb,1,2,x,non,131731
alquifoux sable plombifère,1,2,x,non,131731
alquitra,3,2,x,non,131731
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,8,,non,73824
alto basses contrebasses guitare lyres violes violons,2,8,,non,73824
alto bassons guitare violons,3,8,,non,73824
alun,2426,5,x,non,61910
alun à cordonnier,1,5,,non,61910
alun autre que brûlé ou calciné,2,5,x,non,61910
alun bon,2,5,x,non,61910
alun brûlé,1,5,x,non,61910
alun commun,1,5,x,non,61910
alun de glace,1,5,,non,61910
alun de roche,5,5,x,non,61910
alun de Rome,3,5,x,non,61910
alun de Rome fin rosé,1,5,x,non,61910
alun de Rouen,2,5,x,non,61910
alun de Surde,2,5,x,non,61910
alun du Levant,1,5,x,non,61910
alun en dracy,1,5,x,non,61910
alun en rame,1,5,,non,61910
alun gâté,1,5,x,non,61910
alun ordinaire,1,5,x,non,61910
alvés,0,9c,,non,13242
amadou,326,2,x,non,131731
amadou et agaric amadouvier,7,2,x,non,131731
amandes,2177,0a,x,non,122047
amandes à la praline,4,0a,x,non,122047
amandes amères,1,0a,x,non,122047
amandes arachis noisettes noix noyaux,2,0a,x,non,122047
amandes cassée,6,0a,x,non,122047
amandes cassées,401,0a,x,non,122047
amandes cassées ou en coque,3,0a,x,non,122047
amandes courtes,102,0a,x,non,122047
amandes douces,5,0a,x,non,122047
amandes en coque,436,0a,x,non,122047
amandes et figue et raisin,33,0a,x,non,122047
amandes et pelures et prunes et raisin,0,0a,x,non,122047
amandes et pruneaux,82,0a,x,non,122047
amandes et raisin sec,15,0a,x,non,122047
amandes et raisin sec et savon,1,0a,x,non,122047
amandes et savon,13,0a,x,non,122047
amandes et sucre,25,0a,x,non,122047
amandes et verdet,33,0a,x,non,122047
amandes fraîches,0,0a,x,non,122047
amandes longues,65,0a,x,non,122047
amandes mondées,2,0a,x,non,122047
amandes sèches,64,0a,x,non,122047
amandes sèches et figue sèche et ???,0,0a,x,non,122047
amandes sèches et figue sèche et raisin sec,135,0a,x,non,122047
amarinage,10,9c,,non,13242
amarine,1,2,,non,131731
ambrain à grande barrique,1,9c,,non,13242
ambre,43,2,x,non,131731
ambre blanc,1,2,,non,131731
ambre brut,19,2,x,non,131731
ambre carabé,21,2,x,non,131731
ambre carabé jaune,2,2,x,non,131731
ambre en grains,1,2,,non,131731
ambre et corail,1,2,x,non,131731
ambre gris,38,2,x,non,131731
ambre jaune,87,2,x,non,131731
ambre moulu,2,2,x,non,131731
amer,3,0a,x,non,122047
amer de laine,1,6e,x,non,20927
amertis,4,6g,x,non,16886
ameublement,2,8,,non,73824
ameublement de chitte,1,8,,non,73824
ami de toilé,1,9c,,non,13242
amidon,1271,5,x,non,61910
amidon alun,1,5,,non,61910
amidon en grains,1,5,x,non,61910
amidon en poudre,1,5,,non,61910
amidon et poudre à poudrer,132,5,x,non,61910
ammoniac,7,2,x,non,131731
ammoniac et sel,22,2,x,non,131731
ammonium,1,2,x,non,131731
amomum,16,2,x,non,131731
amomum et fèves de tonka et noix de ravensara,2,2,x,non,131731
amomum verum,2,2,x,non,131731
amurca,4,9c,,non,13242
anabasse,121,6h,,non,15105
anabasse bajutapau,3,6h,,non,15105
anabasse corat nicaneas platille,2,6h,,non,15105
anacardes,2,2,x,non,131731
anacoste,3,6e,x,non,20927
ananas,11,0b,x,non,34395
ananas confit,2,0b,x,non,34395
ananas et pommes de grenade,8,0b,,non,34395
ananas planté,1,2,x,non,131731
anatomie,1,8,x,non,73824
anatose,3,9c,,non,13242
anches de tonneaux,2,6b,x,non,36431
anchois,1015,0a,x,non,122047
anchois câpres et olives,10,0a,x,non,122047
anchois câpres etc.,1,0a,x,non,122047
anchois câpres olives,1,0a,x,non,122047
anchois et boutargue,13,0a,x,non,122047
anchois et câpres,5,0a,x,non,122047
anchois et sardes,1,0a,x,non,122047
anchois et sardines,5,0a,x,non,122047
anchois mariné,10,0a,x,non,122047
anchois mariné et salé,39,0a,x,non,122047
anchois salé,2,,,non,295
anchois salé et mariné,2,0a,x,non,122047
anchois salés,4,0a,,non,122047
anchois salés et marinés,9,0a,,non,122047
ancres,53,7,x,non,14031
ancres de chaudon,1,9c,x,non,13242
ancres de fer,571,7,x,non,14031
ancres de fer à chaudrons,1,9c,,non,13242
ancres de fer au-dessus de 250 kilogrammes,1,7,x,non,14031
ancres de fer de 250 kilogrammes et au-dessous,1,7,x,non,14031
ancres de fer et embarcations,2,7,x,non,14031
ancres et embarcations,5,7,x,non,14031
ancres et grappins de fer,1,9b,x,non,61966
ancres gravelées,1,9c,,non,13242
ancres neuves,3,7,,non,14031
ancres vides,4,9c,,non,13242
ancres vieilles,1,7,,non,14031
ancres vieilles vides,1,6j,,non,52338
andolium,5,0a,x,non,122047
andouilles,43,0a,x,non,122047
andouillette,1,0a,x,non,122047
ânes,175,0a,x,non,122047
ânes et ânesses,97,0a,x,non,122047
ânes et mulets,11,0a,x,non,122047
ânesses,1,0a,,non,122047
angélique,28,2,x,non,131731
angélique du Rozème,1,2,x,non,131731
anguilles,25,0a,x,non,122047
anguilles et truites,118,0a,x,non,122047
anguilles fraîches,1,0a,x,non,122047
anguilles marinées,1,0a,,non,122047
anguilles salées,22,0a,x,non,122047
anille,1,6j,x,non,52338
animaux,5,0a,x,non,122047
anis,556,0a,x,non,122047
anis et rac et rhum etc.,101,1,x,non,58464
anis et sucre,1,0a,x,non,122047
anis vert,93,0a,x,non,122047
anis vert à distiller,2,0a,,non,122047
anisette,112,1,x,non,58464
anisette au fiasque,6,1,x,non,58464
anisette de Bordeaux,2,1,x,non,58464
anneau de cuivre,1,6j,,non,52338
anneau de fer,2,6j,x,non,52338
anneaux de cuivre,1,6j,x,non,52338
anneaux de fer,1,6j,,non,52338
ânon,2,0a,x,non,122047
anspects,128,7,x,non,14031
anspects de 3 à 4 pieds,1,7,,non,14031
anspects de bois,26,7,x,non,14031
anspects de sapin,1,7,x,non,14031
antale,3,9c,,non,13242
