simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
drogues fines,14,5,,non,61910
drogues galle,1,2,x,non,131731
drogues gomme médicinales diverses,1,5,x,non,61910
drogues gomme métalliques diverses,1,5,x,non,61910
drogues médicales naturelles,15,2,,non,131731
drogues médicinales,253,5,x,non,61910
drogues médicinales ???,1,5,x,non,61910
drogues médicinales casse en ???,0,5,x,non,61910
drogues médicinales en plantes diverses,11,2,x,non,131731
drogues médicinales en rhubarbe composée,3,5,,non,61910
drogues métalliques,8,5,x,non,61910
drogues métalliques ???,8,5,x,non,61910
drogues métalliques et chimiques,3,5,,non,61910
drogues odorantes,1,5,,non,61910
drogues pour la Compagnie des Indes,1,5,,non,61910
drogues pour la médecine,1,5,x,non,61910
drogues pour la teinture,12,5,x,non,61910
drogues pour les peintures et la teinture fnée platte,3,5,,non,61910
drogues pour les peintures et teinture gande,2,5,,non,61910
drogues pour peintures,25,5,,non,61910
drogues pour peintures et coiffures,5,5,,non,61910
drogues pour peintures et la teinture,6,5,,non,61910
drogues pour peintures et teinture,168,5,x,non,61910
drogues pour peintures et teinture ???,3,5,x,non,61910
drogues pour peintures et teinture composite,1,5,,non,61910
drogues pour peintures et teinture diverses,12,5,,non,61910
drogues pour peintures et teinture pae ???,1,5,,non,61910
drogues pour peintures et teinture semence,2,9b,,non,61966
drogues pour teinture,1,5,,non,61910
droguet,6,6e,x,non,20927
droguet d'Angleterre,2,6e,x,non,20927
droguet de castor,2,6e,,non,20927
droguet de coton et de soie,1,6f,,non,16662
droguet de fil de laine,3,6e,x,non,20927
droguet de fil et de laine,21,6i,x,non,9168
droguet de Hollande,8,6e,x,non,20927
droguet de laine,134,6e,x,non,20927
droguet de laine des prises,1,6e,x,non,20927
droguet de milan,1,6e,x,non,20927
droguet de soie,23,6f,x,non,16662
droguet des prises,1,6e,x,non,20927
droguet en fil,1,6e,,non,20927
droguet en laine,1,6e,,non,20927
droguet et raze de Maroc,36,6e,,non,20927
droit sur vin de Blaye,1,9c,x,non,13242
droit sur vinaigre,2,9c,x,non,13242
drol et drouel,67,9c,,non,13242
duc-d'Albe,6,7,,non,14031
duc-d'Albe de grés,1,7,,non,14031
duc-d'Albe de terre,1,7,,non,14031
ducatons,1,9a,,non,1579
duffel,10,6e,x,non,20927
duffel teint,68,6e,x,non,20927
durance grosse étoffe de laine,1,,,non,295
duves,1,2,,non,131731
duvet,25,2,x,non,131731
duvet de plume,2,2,,non,131731
duvet de plume de canard cygne et oie,5,2,,non,131731
duvet fin,1,2,,non,131731
duyvelsteen,1,9c,,non,13242
duyvelsterck,20,9c,,non,13242
e ???,2,9c,,non,13242
eau,22,5,x,non,61910
eau à noirir tabac,7,5,x,non,61910
eau citronnelle,2,5,x,non,61910
eau coclearia,1,5,x,non,61910
eau cordiale,7,5,x,non,61910
eau d'anis,9,5,x,non,61910
eau d'arc,1,5,x,non,61910
eau d'arquebusade,32,5,x,non,61910
eau d'aspic,1,5,,non,61910
eau d'Esquebat,2,5,x,non,61910
eau d'odeur,2,5,x,non,61910
eau d'orange,1,5,,non,61910
eau de balaruc,78,5,,non,61910
eau de Barbade,15,5,x,non,61910
eau de bergamote,3,5,x,non,61910
eau de Bristol,6,5,x,non,61910
eau de Bristol des prises,1,5,,non,61910
eau de bronze,1,5,x,non,61910
eau de Bussang,1,5,,non,61910
eau de Bussingue,8,5,x,non,61910
eau de cannelle,4,5,x,non,61910
eau de Carmes,3,5,x,non,61910
eau de cédrat,1,5,x,non,61910
eau de cèdre,7,5,x,non,61910
eau de cerise,25,5,x,non,61910
eau de Charente,2,5,x,non,61910
eau de citron,45,5,x,non,61910
eau de citron distillée,1,5,,non,61910
eau de citronnelle,30,5,x,non,61910
eau de coclearia,6,5,x,non,61910
eau de Cologne,21,5,x,non,61910
eau de composition,1,5,x,non,61910
eau de Cordoue,4,5,x,non,61910
eau de feuilles d'orange,2,5,x,non,61910
eau de fleurs,1,5,,non,61910
eau de fleurs d'oranger,511,5,,non,61910
eau de fleurs de myrte,2,5,,non,61910
eau de fleurs de senteur,1,5,,non,61910
eau de fleurs fortes,1,5,,non,61910
eau de garance,2,5,,non,61910
eau de genièvre,11,5,x,non,61910
eau de grain,1,5,,non,61910
eau de hongrie,2,5,,non,61910
eau de Hongrie,7,5,,non,61910
eau de jasmin,1,5,,non,61910
eau de la Côte,1,5,x,non,61910
eau de la reine de Hongrie,28,5,,oui,61910
eau de lavande,165,5,x,non,61910
eau de limon,1,5,x,non,61910
eau de liqueur,1,1,,non,58464
eau de Marquette,2,5,x,non,61910
eau de mélisse,159,5,x,non,61910
eau de mer,1,1,x,non,58464
eau de miel,1,5,x,non,61910
eau de myrrhe,1,5,x,non,61910
eau de naphe,2,5,x,non,61910
eau de nard,2,5,x,non,61910
eau de nard et de naphe,1,,,non,295
eau de Philippine,1,5,,non,61910
eau de pin,23,5,x,non,61910
eau de Plombières,2,5,x,non,61910
eau de poix,6,5,x,non,61910
eau de poix raze,1,5,x,non,61910
eau de raisin,70,5,x,non,61910
eau de raison,1,5,x,non,61910
eau de rave,2,5,,non,61910
eau de raze,4,5,x,non,61910
eau de résine,8,5,,non,61910
eau de Rochefort,1,5,x,non,61910
eau de romarin,4,5,,non,61910
eau de rose,146,5,x,non,61910
eau de rose essence de térébenthine,2,5,,non,61910
eau de Seltzer,7,5,x,non,61910
eau de senlaw,11,5,x,non,61910
eau de senteur,451,5,x,non,61910
eau de senteur alcoolique,3,5,,non,61910
eau de senteur alcoolique autre que Cologne et lavande,2,5,,non,61910
eau de senteur de bergamote,1,5,x,non,61910
eau de senteur de citron,1,5,x,non,61910
eau de senteur de la reine de Hongrie,543,5,x,non,61910
eau de senteur de lavande,7,5,x,non,61910
eau de senteur de nard,1,5,x,oui,61910
eau de senteur en flacons,1,5,x,non,61910
eau de senteur et quintessence,123,5,x,non,61910
eau de senteur rose,2,5,x,non,61910
eau de senteur sans alcool,3,5,,non,61910
eau de senteur sans alcool autre que fleurs d'oranger,2,5,,non,61910
eau de senteur sans pareille,2,5,x,non,61910
eau de Spa,26,5,x,non,61910
eau de tartre,6,5,x,non,61910
eau de térébenthine,1,5,x,non,61910
eau de toilette,11,5,x,non,61910
eau de vertu,1,5,,non,61910
eau des Carmes,36,5,,non,61910
eau des cavernes,5,1,,non,58464
eau des cavernes en fiole,0,5,,non,61910
eau des farmes,3,5,,non,61910
eau distillée,12,5,x,non,61910
eau distillée alcoolique,2,5,,non,61910
eau distillée sans alcool,10,5,x,non,61910
eau distillée sans alcool autres que fleurs d'oranger,2,5,,non,61910
eau diverse,7,5,x,non,61910
eau divine,6,5,x,non,61910
eau du Rhône,1,1,x,non,58464
eau et essence,5,5,x,non,61910
eau et essence spiritueuse,1,5,x,non,61910
eau et huile spiritueuse,62,5,x,non,61910
eau ferrée,2,5,x,non,61910
eau gazeuse,1,9c,x,non,13242
eau médicinale,94,5,x,non,61910
eau médicinale cordiale,1,5,x,non,61910
eau médicinale d'arquebusan,2,5,x,non,61910
eau médicinale de cannelle,1,5,x,non,61910
eau médicinale de Chypre,1,5,x,non,61910
eau médicinale de coclearia,1,5,x,non,61910
eau médicinale de genièvre,1,5,x,non,61910
eau médicinale de marquette,1,5,x,non,61910
eau médicinale de mélisse,10,5,x,non,61910
eau médicinale de pin,1,5,x,non,61910
eau médicinale de raisin,2,5,x,non,61910
eau médicinale de Seltzer,1,5,x,non,61910
eau médicinale et minérale,24,5,x,non,61910
eau mélisse,3,5,,non,61910
eau minérale,202,5,x,non,61910
eau minérale de Bristol,1,5,x,non,61910
eau ocgeniente,1,5,x,non,61910
eau octaze,3,5,x,non,61910
eau Plombières,1,5,x,oui,61910
eau pour la goutte,1,5,x,non,61910
eau pour remède,1,5,,non,61910
eau royale,1,5,x,non,61910
eau sans pareille,7,5,x,non,61910
eau sederale,1,5,x,non,61910
eau spiritueuse,14,9c,x,non,13242
eau spiritueuse et essence,9,9b,x,non,61966
eau vulnéraire,21,5,x,non,61910
eau-de-vie,10923,1,x,non,58464
eau-de-vie anisette,1,1,,non,58464
eau-de-vie antiscorbutique,1,5,,non,61910
eau-de-vie commune,18,1,x,non,58464
eau-de-vie composée,1,1,,non,58464
eau-de-vie d'Espagne,2,1,,non,58464
eau-de-vie d'Hendaye,57,1,x,non,58464
eau-de-vie d'Hendaye et simple,2,1,x,non,58464
eau-de-vie d'Oléron,3,1,,non,58464
"eau-de-vie de ""?"" en pots",3,1,,non,58464
eau-de-vie de Charente,89,1,,non,58464
eau-de-vie de cidre,6,1,x,non,58464
eau-de-vie de Cognac,13,1,,non,58464
eau-de-vie de Dantzig,5,1,x,non,58464
eau-de-vie de genièvre,58,1,,non,58464
eau-de-vie de genièvre et de grains,3,1,x,non,58464
eau-de-vie de genièvre simple,5,1,x,non,58464
eau-de-vie de grains,5,1,,non,58464
eau-de-vie de grains autre que genièvre,1,1,,non,58464
eau-de-vie de grains et simple,1,1,x,non,58464
eau-de-vie de lavande et simple,1,1,x,non,58464
eau-de-vie de Marennes,3,1,,non,58464
eau-de-vie de mélasse rhum et tafia,3,1,,non,58464
eau-de-vie de Ré,79,1,,non,58464
eau-de-vie de Rochefort,20,1,,non,58464
eau-de-vie de vin,42,1,,non,58464
eau-de-vie de vin au-dessus de 32 degrés,3,1,,non,58464
eau-de-vie de vin de 22 degrés à 32,3,1,,non,58464
eau-de-vie de vin de 22 degrés ou moins,3,1,,non,58464
eau-de-vie de vin par Marseille,1,1,x,non,58464
eau-de-vie des prises,1,1,x,non,58464
eau-de-vie diverse,3,1,,non,58464
eau-de-vie double,67,1,,non,58464
eau-de-vie en bouteille simple,1,1,,non,58464
eau-de-vie et liqueurs,35,1,,non,58464
eau-de-vie et rhum,6,1,,non,58464
eau-de-vie et rhum et tafia,13,1,,non,58464
eau-de-vie par Marseille,1,1,x,non,58464
eau-de-vie raffinée,10,1,x,non,58464
eau-de-vie rectifiée,5,1,,non,58464
eau-de-vie royale,4,1,x,non,58464
eau-de-vie scorbutique,1,1,x,non,58464
eau-de-vie simple,314,1,,non,58464
eau-de-vie simple de vin,1,1,x,non,58464
eau-de-vie spiritueuse,1,1,x,non,58464
eau-de-vie triple,2,1,,non,58464
eau-forte,514,5,x,non,61910
eau-forte huile de vitriol le dania,1,9c,,non,13242
ébénisterie,1,6b,,non,36431
écaille,113,2,x,non,131731
écaille ???,4,2,x,non,131731
écaille au caret,1,2,x,oui,131731
écaille cahouanne,1,2,x,non,131731
écaille d'ablette,1,2,,non,131731
écaille de ???,1,2,x,non,131731
écaille de cahouanne,38,2,x,non,131731
écaille de caret,14,2,x,non,131731
écaille de poisson,4,2,x,non,131731
écaille de tortue,425,2,x,non,131731
écaille de tortue caret,1,2,,non,131731
écaille de tortue en carapace,7,2,,non,131731
écaille de tortue en carapace de l'étranger,1,2,,non,131731
écaille de tortue et nacre de perle,12,2,,non,131731
écaille de tortue onglons,3,2,,non,131731
écaille de tortue onglons et rognures,2,2,,non,131731
écaille de tortue rognures,3,2,,non,131731
écaille octomie,4,2,,non,131731
écaille ou caret,4,2,x,non,131731
écarlate,1,5,,non,61910
écarlatine,20,6e,x,non,20927
écarlatine de Beauvais,1,6e,x,non,20927
écarlatine du Languedoc,2,6e,,non,20927
écarts de bœuf,2,2,,non,131731
échalas,32,6b,x,non,36431
échalote,55,0a,,non,122047
échantillons et morceaux de soie,76,6f,,non,16662
écharpe de soie,2,8,x,non,73824
écharpe de taffetas,1,8,x,non,73824
écharpe et gaze,1,9b,x,non,61966
écharpe pour femme,1,8,,non,73824
échaussillons,1,9c,,non,13242
échelles,5,6b,,non,36431
échelles anglaises,1,6b,,non,36431
échelles de 8 pieds,0,6b,,non,36431
échelles de bois,2,6b,,non,36431
échelles de bois de 10 pieds,0,6b,,non,36431
échelles de route,1,9c,,non,13242
échouements et prises,2,9b,x,oui,61966
éclisses de bois,6,6b,,non,36431
écluses de fer,1,7,,non,14031
écope,0,6b,x,non,36431
écopes,47,6b,x,non,36431
écopes de sapin,2,6b,x,non,36431
écorce,62,2,x,non,131731
écorce à tan moulue,4,2,,non,131731
écorce à tan non moulue,7,2,,non,131731
écorce à tanner,62,2,x,non,131731
écorce autre que citron orange et leurs variété et quinquina,2,2,,non,131731
écorce d'arbre,42,2,x,non,131731
écorce d'arbre de gaïac,1,2,,non,131731
écorce d'arbre étoffe,4,9b,x,non,61966
écorce d'arbre rayée,2,2,x,non,131731
écorce d'orange,105,0a,x,non,122047
écorce d'orange et de citron,3,0a,x,non,122047
écorce d'orange séchée,116,0a,x,non,122047
écorce d'orange sergal,3,0a,x,non,122047
écorce de bergamote,9,0a,x,non,122047
écorce de bois,11,2,x,non,131731
écorce de bois de fer,3,2,x,non,131731
écorce de boutard,1,2,,non,131731
écorce de cacao,144,0b,x,non,34395
écorce de câpres,1,0a,x,non,122047
écorce de cédrat,6,2,,non,131731
écorce de cèdre,3,2,x,non,131731
écorce de chanvre,4,2,x,non,131731
écorce de chêne,218,2,x,non,131731
écorce de chêne moulue,96,2,,non,131731
écorce de citron,99,0a,x,non,122047
écorce de citron confite,12,0a,x,non,122047
écorce de citron et d'orange,16,0a,x,non,122047
écorce de citron et d'orange et de leurs variétés,44,0a,x,non,122047
écorce de citron non épluché,1,0a,x,non,122047
écorce de citron sèche,2,0a,,non,122047
écorce de gaïac,23,2,,non,131731
écorce de grande d'aulne et de bourdaine,5,2,,non,131731
écorce de grenade,13,0a,x,non,122047
écorce de limon,1,0a,x,non,122047
écorce de limons sec,1,0a,x,non,122047
écorce de Magellan,2,2,x,non,131731
écorce de mandragore,1,2,x,non,131731
écorce de mélisse,1,2,,non,131731
écorce de pin,2,2,x,non,131731
écorce de pin en poussière,0,2,x,non,131731
écorce de pin moulue,7,2,,non,131731
écorce de quinquina,58,2,x,non,131731
écorce de simarouba,1,2,,non,131731
écorce de soie,2,2,x,non,131731
écorce de tilleul,52,2,x,non,131731
écorce de tilleul pour cordages,2,2,,non,131731
écorce pour tanner,19,2,x,non,131731
écorce rayée,1,2,,non,131731
écorce unie,1,2,,non,131731
ecouette,1,9c,,non,13242
ecouette de nattes,2,9c,,non,13242
écouvillons,1,9c,,non,13242
écrans,3,9c,,non,13242
écrelet,1,0a,,non,122047
écrevisses,2,0a,,non,122047
écrevisses de mer,98,0a,,non,122047
écrevisses de rivière,133,0a,,non,122047
écritoire,7,8,,non,73824
écritoire de chagrin,1,8,x,non,73824
écritoire de corne,1,8,,non,73824
écritoire de maroquin,1,8,x,non,73824
écritoire garni d'or,2,8,,non,73824
écru de cerise,1,9c,,non,13242
écuelles de terre,1,6k,,non,22524
écuelles de vermillon,3,6k,,non,22524
écume de verre,1,9c,,non,13242
écumoires à sucre,2,6j,x,non,52338
écus à palmes,6,9a,x,non,1579
édredon,1,8,,non,73824
édredon de plume,7,8,,non,73824
effets de troupes,1,9a,x,non,1579
effilé de fil,14,6i,x,non,9168
effilé de soie,5,6f,x,non,16662
effilé or fil,1,9b,,non,61966
efforces à tondre,99,6j,,non,52338
églefins,82,0a,,non,122047
églefins salés,51,0a,,non,122047
egoutals,1,8,x,non,73824
egoutals de bois,1,6b,x,non,36431
égouttoirs,51,8,,non,73824
égouttoirs à fondre,1,8,,non,73824
égouttoirs de bois,2,8,x,non,73824
egrat,1,9c,,non,13242
elatches,18,9c,,non,13242
elbots,83,0a,,non,122047
elbots salés,53,0a,,non,122047
elegias,2,9c,,non,13242
élixir,63,5,,non,61910
élixir de garus,4,5,x,non,61910
élixir purgatif,1,5,x,non,61910
ellébore,8,2,x,non,131731
ellébore blanc,1,2,x,non,131731
élocs de fer,2,9c,x,non,13242
émail,64,6k,x,non,22524
émail brut,2,6k,x,non,22524
émail en grabeau,1,2,,non,131731
emballage,1,9c,,non,13242
embarcations à dépecer,5,7,,non,14031
embarcations avec agrès,20,7,x,non,14031
embarcations en état de servir,2,7,,non,14031
embarcations et autres objets de marine,44,7,x,non,14031
embarcations et voiles de navire,3,7,,non,14031
émeraudes brutes,1,6k,,non,22524
émeraudes et opales taillées,1,6k,,non,22524
émeraudes taillés,2,6k,,non,22524
émeri,161,2,x,non,131731
émeri en pierre,2,2,,non,131731
émeri en pierres,9,2,,non,131731
émeri en poudre,14,2,x,non,131731
empeignes,5,8,x,non,73824
empeignes brodées,1,8,,non,73824
empeignes brodées pour souliers,8,8,,non,73824
empeignes coupées pour empeignes,3,8,x,non,73824
empeignes de souliers,11,8,,non,73824
empeignes de souliers brodés,1,8,x,non,73824
empeignes de souliers imprimées,5,8,x,non,73824
empeignes de toile,12,8,,non,73824
empeignes et talons de cuir coupés,2,8,,non,73824
empeignes peintes pour souliers,67,8,,non,73824
en bâtiments de mer,1,7,x,non,14031
en pain,1,9c,x,non,13242
enamitte,1,9c,,non,13242
encens,626,5,x,non,61910
encens commun,4,5,x,non,61910
encens des Indes,1,5,x,non,61910
encens en grabeau,121,5,x,non,61910
encens en poudre,1,5,x,non,61910
encens en poussière,4,5,x,non,61910
enclumes,5,6j,,non,52338
enclumes de fer,118,6j,x,non,52338
enclumes de fer et étaux de fer,1,6j,,non,52338
encoignement,1,9c,x,non,13242
encoignures,5,6b,x,non,36431
encoignures de bois vernissé,1,6b,x,non,36431
encre,37,5,x,non,61910
encre à dessiner en tablettes,3,5,,non,61910
encre à écrire,53,5,x,non,61910
encre à écrire et à imprimer,13,5,x,non,61910
encre à imprimer,3,5,x,non,61910
encre commune,22,5,x,non,61910
encre d'imprimerie,90,5,x,non,61910
encre de la Chine,58,5,,non,61910
encre de la petite vertu,1,5,x,non,61910
encre de Nankin,2,5,,non,61910
encre glassine,1,5,,non,61910
encre liquide à écrire ou à imprimer,4,5,,non,61910
encre odorante,1,5,,non,61910
encre rouge,4,5,x,non,61910
encrin,0,9c,,non,13242
endives,2,0a,,non,122047
engins,16,8,,non,73824
engrais,49,2,x,non,131731
engrais colombine,15,2,x,non,131731
engrais divers,1,2,x,non,131731
engrais en court fumier,1,2,,non,131731
engrais en fournelle,1,2,,non,131731
engrais en fumier de rue,1,2,,non,131731
engrais en pourette,1,2,,non,131731
engrais gru,1,2,x,non,131731
entenolles,1,9c,,non,13242
épagnolette simple,0,9c,,non,13242
épaulettes,1,6i,x,non,9168
épaulettes d'argent,1,6i,x,non,9168
épeautre,118,0a,x,non,122047
épeautre en gerbes,23,0a,x,non,122047
épée,31,8,x,non,73824
épée à garde d'argent,4,8,x,non,73824
épée à garde de cuivre doré,1,8,x,non,73824
épée argentée,1,8,x,non,73824
épée d'acier,2,8,x,non,73824
épée d'argent,33,8,x,non,73824
épée d'argent doré,1,8,x,non,73824
épée d'argent et de cuivre,2,8,x,non,73824
épée d'argent et de cuivre doré,1,8,x,non,73824
épée de cuivre,5,8,x,non,73824
épée de cuivre doré,5,8,x,non,73824
épée masquinée,14,8,x,non,73824
épée montée en acier,98,8,x,non,73824
épée montée en argent,48,8,x,non,73824
éperons,6,7,x,non,14031
éperons et étriers,84,7,x,non,14031
éperviers,1,9c,,non,13242
épice,1,0a,x,non,122047
épice de Curons,3,9c,x,non,13242
épicerie,1085,9b,x,non,61966
épicerie commune,13,0a,x,non,122047
épicerie douce,9,9b,x,non,61966
épicerie fine,61,0a,,non,122047
épices,1,9b,,non,61966
épices préparées,2,9b,,non,61966
épices préparées autres que moutarde et poudre de kari,1,9b,,non,61966
épices préparées autres que moutarde et sauces épicées,2,9b,,non,61966
epinelle,1,8,x,non,73824
épines à planter,1,9c,,non,13242
épinettes,9,8,x,non,73824
épingles,428,6j,x,non,52338
épingles communes,3,6j,,non,52338
épingles de laiton,4,6j,,non,52338
épingles de mercerie fine,17,6j,,non,52338
épingles en cuivre,2,6j,,non,52338
épingoles,3,9c,,non,13242
epiterie,7,9c,x,non,13242
éponges,692,2,x,non,131731
éponges brutes,1,,,non,295
éponges communes,65,2,x,non,131731
éponges communes et fines,6,2,,non,131731
éponges et tournesol,1,9b,x,non,61966
éponges fines,67,2,x,non,131731
éponges grosses,1,2,,non,131731
épousterie,45,9c,,non,13242
éprouvette de cuivre,1,8,,non,73824
équerre,2,8,,non,73824
equeurs,0,9c,,non,13242
équille,2,9c,,non,13242
équille pour voile pour la Compagnie de Guinée,2,9c,,non,13242
equine,2,9c,,non,13242
ergots de bœuf,14,2,x,non,131731
ergots de caret,1,2,x,non,131731
érnail,1,6k,x,non,22524
escabelles,2,8,x,non,73824
escamitte,102,6g,x,non,16886
escamotte,4,9c,,non,13242
escaralles,1,9c,,non,13242
escarasse,29,9c,,non,13242
escarbille,9,3,x,non,5173
escargots,3,0a,,non,122047
escargots et crekels,13,9c,x,non,13242
escarpins,1,8,x,non,73824
escarpins de chambre,1,8,x,non,73824
escayolles,315,2,,non,131731
esclapes,1,9c,,non,13242
esclapes de bois,2,6b,,non,36431
escope,21,6j,x,non,52338
escortines,5,9c,,non,13242
escortines à huile,1,9c,,non,13242
escortines d'espars,5,9c,,non,13242
escortines de jonc,1,9c,,non,13242
escosses,1,9c,,non,13242
escot,7,6e,,non,20927
escot de bois,1,6b,,non,36431
escot de fer,6,6j,,non,52338
escot de laine,3,6e,,non,20927
escotins de bois,1,9c,,non,13242
espadrilles,4,8,,non,73824
espagnolette,264,6e,x,non,20927
espagnolette à fleurs,1,6e,x,non,20927
espagnolette croisée,119,6e,x,non,20927
espagnolette croisée et simple,3,6e,,non,20927
espagnolette de laine,18,6e,x,non,20927
espagnolette de laine croisée,4,6e,x,non,20927
espagnolette de laine lisse,2,6e,x,non,20927
espagnolette de laine simple,1,6e,x,non,20927
espagnolette des prises,2,6e,x,non,20927
espagnolette simple,83,6e,x,non,20927
espars,465,7,x,non,14031
espars de 10 à 15 pieds,2,7,x,non,14031
espars de 10 pieds,1,7,x,non,14031
espars de 11 à 20 pieds,2,7,,non,14031
espars de 12 à 15 pieds,1,7,x,non,14031
espars de 14 à 16 pieds,1,7,x,non,14031
espars de 14 pieds,1,7,x,non,14031
espars de 15 à 16 pieds,1,7,,non,14031
espars de 15 à 20 pieds,3,7,x,non,14031
espars de 15 à 25 centimètres,3,7,,non,14031
espars de 15 centimètres inclusivement à 25 exclusivement,5,7,,non,14031
espars de 16 à 36 pieds,1,7,,non,14031
espars de 17 pieds,1,7,,non,14031
espars de 18 à 20 pieds,4,7,x,non,14031
espars de 18 à 36 pieds,1,7,x,non,14031
espars de 18 pieds,7,7,x,non,14031
espars de 20 à 22 pieds,2,7,x,non,14031
espars de 20 à 25 pieds,4,7,x,non,14031
espars de 20 à 25 pieds de long,3,7,,non,14031
espars de 20 à 26 pieds,1,7,x,non,14031
espars de 20 à 30 pieds,1,7,x,non,14031
espars de 20 pieds,3,7,x,non,14031
espars de 24 à 36 pieds,1,7,x,non,14031
espars de 24 pieds,2,7,,non,14031
espars de 25 à 26 pieds,1,7,x,non,14031
espars de 25 à 30 pieds,5,7,x,non,14031
espars de 26 à 28 pieds,1,7,x,non,14031
espars de 26 pieds,2,7,x,non,14031
espars de 27 pieds,1,7,x,non,14031
espars de 28 à 30 pieds,1,7,x,non,14031
espars de 28 à 36 pieds,1,7,x,non,14031
espars de 28 pieds,1,7,x,non,14031
espars de 3 à 4 pieds,1,7,,non,14031
espars de 30 à 35 pieds,1,7,,non,14031
espars de 30 à 40 pieds,2,7,x,non,14031
espars de 30 pieds,8,7,x,non,14031
espars de 35 à 46,1,7,x,non,14031
espars de 35 pieds,2,7,x,non,14031
espars de 36 à 40 pieds,1,7,,non,14031
espars de 4 à 5 pieds,1,7,,non,14031
espars de 40 à 45 pieds,1,7,x,non,14031
espars de 40 à 50 pieds,3,7,x,non,14031
espars de 40 pieds,1,7,x,non,14031
espars de 45 pieds,2,7,x,non,14031
espars de 5 à 6 pieds,1,7,,non,14031
espars de 55 pieds,1,7,x,non,14031
espars de 56 à 61 pieds,1,7,,non,14031
espars de 8 à 9 pieds,1,7,x,non,14031
espars de différente longueur,5,7,x,non,14031
espars de sapin,31,7,x,non,14031
espars de sapin de 15 pieds,1,7,x,non,14031
espars de sapin de 18 pieds,1,7,x,non,14031
espars de sapin de 20 pieds,1,7,x,non,14031
espars de sapin de 24 pieds,1,7,,non,14031
espars de sapin de 25 pieds,1,7,x,non,14031
espars de sapin de 30 pieds,1,7,x,non,14031
espars de sapin de 37 pieds,0,7,,non,14031
espars de sapin de 45 pieds,1,7,x,non,14031
espars divers,1,7,x,non,14031
espars doubles,9,7,x,non,14031
espars marmoyées en argent,1,7,x,non,14031
espars petit,2,7,x,non,14031
espars petits,1,7,x,non,14031
espars pour construction,2,7,,non,14031
espars simple,3,7,x,non,14031
espars simples,3,7,x,non,14031
espèce monnayée ???,1,9a,x,non,1579
espèces,42,9a,,non,1579
espèces d'argent,1,9a,,non,1579
espingole,2,9c,,non,13242
esponton,5,8,x,non,73824
esprit,0,5,x,non,61910
esprit d'absinthe,1,5,x,non,61910
esprit de bergamote,150,5,x,non,61910
esprit de cédrat,2,5,,non,61910
esprit de citron,128,5,x,non,61910
esprit de coclearia,9,5,x,non,61910
esprit de corne de cerf,3,5,x,non,61910
esprit de coton,1,5,x,non,61910
esprit de feuilles d'orange,1,5,,non,61910
esprit de fil,1,5,x,non,61910
esprit de fleurs d'oranger,9,5,,non,61910
esprit de lavande,1,5,x,non,61910
esprit de limon,4,5,x,non,61910
esprit de miroly,1,5,,non,61910
esprit de myrrhe,1,5,x,non,61910
esprit de myrthe,1,5,,non,61910
esprit de nitre,12,5,x,non,61910
esprit de romarin,4,5,x,non,61910
esprit de sel,13,5,x,non,61910
esprit de sel ammoniac,2,5,x,non,61910
esprit de sel marin,1,5,x,non,61910
esprit de soufre,10,5,x,non,61910
esprit de taffia,2,5,,non,61910
esprit de tamarin,1,5,,non,61910
esprit de vitriol,56,5,x,non,61910
esprit-de-vin,157,5,x,non,61910
esprots,3,0a,,non,122047
esprots fumés,7,0a,,non,122047
espuirie,0,9c,,non,13242
esquine,29,2,x,non,131731
essandoles,1,6b,,non,36431
essence,318,5,x,non,61910
essence aromatique,11,5,,non,61910
essence au bruit aromatique,1,5,x,non,61910
essence d'anis,1,5,x,non,61910
essence de bergamote,5,5,x,non,61910
essence de cannelle,6,5,x,non,61910
essence de cendre de bois,38,5,x,non,61910
essence de citron,47,5,x,non,61910
essence de fleurs d'orange,1,5,,non,61910
essence de girofle,6,5,x,non,61910
essence de jasmin,10,5,x,non,61910
essence de lavande,2,5,,non,61910
essence de limon,5,5,x,non,61910
essence de muscade,1,5,,non,61910
essence de paruce,1,5,x,non,61910
essence de pommade,1,5,,non,61910
essence de romarin,1,5,,non,61910
essence de rose,8,5,x,non,61910
essence de soie,1,5,,non,61910
essence de térébenthine,36,5,x,non,61910
essence de térébenthine et huile de térébenthine,85,5,x,non,61910
essence de thym,1,5,x,non,61910
essence de vitriol,15,5,x,non,61910
essence et huile de térébenthine,184,5,,non,61910
essence et pommade,3,5,x,non,61910
essence odorante,2,,,non,295
essence odoriférante,1,5,x,non,61910
essence ou esprit de citron,1,5,,non,61910
essence vitriolique et vitriol huile,9,5,,non,61910
essieux,93,7,,non,14031
essieux à cabrouets,2,7,x,non,14031
essieux de fer,71,7,x,non,14031
estagnons,4,6j,,non,52338
estagnons de cuivre allié,1,6j,,non,52338
estampes,331,8,x,non,73824
estampes en feuilles,1,8,,non,73824
estampes encadrées,2,8,x,non,73824
estampes et cartes géographiques,14,8,,non,73824
estampes et gravures,43,8,x,non,73824
estampes et images,1,8,,non,73824
estampes et librairie,13,8,,non,73824
estampes et tableaux,336,8,x,non,73824
estampes sur papier,1,8,x,non,73824
estampes sur toile,1,8,x,non,73824
estères,2,8,x,non,73824
estères de jonc,4,8,x,non,73824
estrasse de cocons,1,2,x,non,131731
estrasse de Savoie,1,2,x,non,131731
estrasse de soie,66,2,x,oui,131731
esturgeon,114,0a,x,non,122047
