marchandises_simplification,provenance_nord_américaine,details_provenance
bœuf illinois,Exclusivement Amérique du Nord,Illinois
bois de Sainte-Marthe,Exclusivement Amérique du Nord,Québec
castor,Exclusivement Amérique du Nord,
castor gras,Exclusivement Amérique du Nord,
castor sec,Exclusivement Amérique du Nord,
cuirs de bœuf d'Illinois,Exclusivement Amérique du Nord,
dent de vache marine,Exclusivement Amérique du Nord,
graisse d'ours,Exclusivement Amérique du Nord,
harengs,Exclusivement Amérique du Nord,
harengs blanc,Exclusivement Amérique du Nord,
huile d'ours,Exclusivement Amérique du Nord,
huile de loup marin,Exclusivement Amérique du Nord,
huile de morue,Exclusivement Amérique du Nord,
langues de morue,Exclusivement Amérique du Nord,
langues et noix de morue,Exclusivement Amérique du Nord,
morue,Exclusivement Amérique du Nord,
morue avariée,Exclusivement Amérique du Nord,
morue en saumure,Exclusivement Amérique du Nord,
morue et stockfish,Exclusivement Amérique du Nord,
morue et stokfisch,Exclusivement Amérique du Nord,
morue verte,Exclusivement Amérique du Nord,
morue verte cap et queues,Exclusivement Amérique du Nord,
nots et langues de morue,Exclusivement Amérique du Nord,
peaux d'écureuil,Exclusivement Amérique du Nord,
peaux d'orignal,Exclusivement Amérique du Nord,Québec
peaux d'ours,Exclusivement Amérique du Nord,
peaux d'ours l'ourson,Exclusivement Amérique du Nord,
peaux de bœuf,Exclusivement Amérique du Nord,
peaux de bœuf en poil,Exclusivement Amérique du Nord,
peaux de biche,Exclusivement Amérique du Nord,
peaux de caribou,Exclusivement Amérique du Nord,
peaux de castor,Exclusivement Amérique du Nord,
peaux de castor gras,Exclusivement Amérique du Nord,
peaux de castor gras et sec,Exclusivement Amérique du Nord,
peaux de castor sec,Exclusivement Amérique du Nord,
peaux de cerf,Exclusivement Amérique du Nord,
peaux de cerf et chevreuil,Exclusivement Amérique du Nord,
peaux de chevreuil,Exclusivement Amérique du Nord,
peaux de chevreuil apprêtée,Exclusivement Amérique du Nord,
peaux de chevreuil en parchemin,Exclusivement Amérique du Nord,
peaux de chevreuil passée,Exclusivement Amérique du Nord,
peaux de la Louisiane,Exclusivement Amérique du Nord,Louisiane
peaux de loup,Exclusivement Amérique du Nord,
peaux de loup cervier,Exclusivement Amérique du Nord,
peaux de loup des bois,Exclusivement Amérique du Nord,
peaux de loup marin,Exclusivement Amérique du Nord,
peaux de loutre,Exclusivement Amérique du Nord,
peaux de martre,Exclusivement Amérique du Nord,
peaux de vache marine,Exclusivement Amérique du Nord,
peaux de vison,Exclusivement Amérique du Nord,
peaux en poil de veau,Exclusivement Amérique du Nord,
peaux musqué et de rat,Exclusivement Amérique du Nord,
pelleterie commune du Canada,Exclusivement Amérique du Nord,Canada
pelleterie du Canada,Exclusivement Amérique du Nord,Canada
pelleterie du Canada à passée,Exclusivement Amérique du Nord,Canada
poil de castor,Exclusivement Amérique du Nord,
poisson de mer salé morue,Exclusivement Amérique du Nord,
