simplification,nbr_occurences_simpl,grouping,note,nbr_occurences_grouping
,1028,,,1028
?,12,????,,226
???,196,????,,226
Afrique,46,Outre-mers,,83748
Afrique occidentale,34,Outre-mers,,83748
Alexandrette,32,Levant et Barbarie,,25274
Alger,46,Levant et Barbarie,,25274
Aligre de Marans ou Marennes,1,France,,5684
Allemagne,20070,Allemagne,,23818
Allemagne et Lorraine,125,Allemagne,,23818
Allemagne et Pologne,1208,Allemagne,,23818
"Allemagne, Lorraine et Pays de Liège",1554,Allemagne,,23818
Alsace,359,France,,5684
Alsace et les Trois Évêchés,3,France,,5684
Alsace et Lorraine,4,France,,5684
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",1,France,,5684
Amérique et Inde,1,Outre-mers,,83748
"Amérique, colonies françaises et Inde",1,Outre-mers,,83748
"Amérique, Inde et Turquie",2,Divers,,2350
Amériques,39,Outre-mers,,83748
Amiens,2,France,,5684
Angleterre,25343,Angleterre,,25399
Angleterre et Cologne,1,Angleterre,,25399
Angleterre et flotte anglaise,49,Angleterre,,25399
Angleterre et Irlande,1,Angleterre,,25399
Antilles et Colonies Françaises,105,Outre-mers,,83748
Archipel,1,Levant et Barbarie,,25274
Asie,79,Outre-mers,,83748
Autriche,2035,Flandre et autres états de l'Empereur,,25234
Barbarie,465,Levant et Barbarie,,25274
Barbarie dans l'Océan,4,Levant et Barbarie,,25274
Barbarie dans l'Océan et Îles françaises d'Amérique,28,Levant et Barbarie,,25274
Barbarie et Levant,34,Levant et Barbarie,,25274
"Barbarie, Empire Ottoman et Levant",123,Levant et Barbarie,,25274
Bayonne,379,France,,5684
Bayonne et ?,1,France,,5684
Bayonne et Dunkerque,3,France,,5684
Bayonne et Lorient,3,France,,5684
Bayonne et Marseille,3,France,,5684
Bayonne et Petites Îles,4,France,,5684
"Bayonne, Dunkerque et Marseille",11,France,,5684
"Bayonne, Dunkerque, Lorient et Petites Îles",3,France,,5684
"Bayonne, Lorient et Petites Îles",1,France,,5684
Belgique,67,Flandre et autres états de l'Empereur,,25234
Besançon,1,France,,5684
Bilbao,1,Espagne,,62794
Bilbao et Cadix,1,Espagne,,62794
Brême,2,Nord,,65513
"Brême, Lubeck, Norvège et villes hanséatiques",1,Nord,,65513
Brésil,30,Outre-mers,,83748
Bruges,1,Flandre et autres états de l'Empereur,,25234
Cadix,1,Espagne,,62794
Candie,1,Levant et Barbarie,,25274
Cayenne et Guyane,1065,Outre-mers,,83748
Cayenne et Île Bourbon,1,Outre-mers,,83748
Chili,15,Outre-mers,,83748
Chine,5,Outre-mers,,83748
Chypre,12,Levant et Barbarie,,25274
Clermontois,71,France,,5684
Colonies anglaises,132,Outre-mers,,83748
Colonies danoises,90,Outre-mers,,83748
