sitc,sitc_FR
0a,Autres produits alimentaires et animaux
0b,Produits agricoles alimentaires des régions de colonisation européenne
1,Boissons et tabac
2,Matières brutes non-comestibles non transformées n.d.a.
3,Combustibles
4,"Huiles, graisses et cires d'origine animale et végétale"
5,Produits chimiques transformés n.d.a.
6a,"Cuirs, peaux et produits dérivés hors sellerie"
6b,"Produits du bois, liège, jonc"
6c,Papier
6d,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)"
6e,Filés ou tissés de laine et de poil
6f,Filés ou tissés de soie et soie mélangée 
6g,Filés ou tissés de coton
6h,Autres filés ou tissés mélangés de fibres végétales dont toiles
6i,Autres filés ou tissés
6j,"Métaux, produits métalliques et outils"
6k,"Articles minéraux non métalliques manufacturés, n.d.a."
7,Machines et moyens de transport y compris sellerie
8,Articles manufacturés divers n.d.a
9a,Monnaies et métaux précieux
9b,Divers mélangés
9c,Divers incertains
???,Produits inconnus
