marchandises_norm_ortho,marchandises_simplification
agate ouvrée et autre que chique,agate autre que chique et ouvrée
agate ouvrée et chique,agate chique et ouvrée
agneaux,agneaux
agneaux en vie,agneaux en vie
agneaux et cabris,agneaux et cabris
agnelines et crottelins,agnelines et crottelins
agoutals,agoutals
agoutals de bois,agoutals de bois
agrément,agrément
agrément au quart,agrément au quart
agrément d'argent,agrément d'argent
agrément d'or,agrément d'or
agrément de fil,agrément de fil
agrément de fleur,agrément de fleur
agrément de soie,agrément de soie
agrément de soie et d'argent,agrément de soie et d'argent
agrément de soie et fil,agrément de fil et de soie
agrément de soie or et argent faux,agrément de soie or et argent faux
agrément or et argent,agrément d'or et d'argent
agrément soie et fil,agrément de fil et de soie
agrès,agrès
agrès de navire,agrès
agrès de navire en voile,voile de navire
agrès de navire et jeux de voile,agrès de navire et jeux de voile
agrès de navire jeux de voile,agrès de navire et jeux de voile
agrès de vaisseaux,agrès
agrès et apparaux,agrès et apparaux
agrès et voiles de navire,agrès et voile de navire
aigles,aigles
aigre de cèdre,aigre de cèdre
aigre de cidre,aigre de cidre
aigre de vitriol,aigre de vitriol
aigrettes,aigrettes
aigrettes de fil or et argent,aigrettes de fil d'or et d'argent
aigrettes de soie,aigrettes de soie
aigrettes de soie et argent,aigrettes de soie et argent
aiguières d'étain,aiguières d'étain
aiguilles,aiguilles
aiguilles à boîtes,aiguilles à boîtes
aiguilles à coudre,aiguilles à coudre
aiguilles à coudre voiles,aiguilles à coudre voiles
aiguilles à ralingue,aiguilles à ralingue
aiguilles à tabac,aiguilles à tabac
aiguilles à toile,aiguilles à toile
aiguilles à voile,aiguilles à voile
aiguilles d'emballage,aiguilles d'emballage
aiguilles d'emballeur,aiguilles d'emballage
aiguilles espars de sapin,aiguilles epars de sapin
aiguilles grosses,aiguilles grosses
aiguillettes,aiguillettes
ailes,ailes
ailes de fléaux,ailes de fléaux
ailes de moulins,ailes de moulins
ailor,ailor
ails,ails
ails à fauches,ails à fauches
ails blancs à casser,ails blancs à casser
aimant,aimant
ains,ains à pêcher
ains à pêcher,ains à pêcher
ains et lignes à pêcher,ains et lignes à pêcher
airain,airain
airain en batterie,batterie d'airain
airain non ouvré,airain non ouvré
airain ouvré,ouvrages d'airain
ajustements,ajustements
ajustements de femme,ajustements de femme
ajustements de soie,ajustements de soie
ajustements pour femme,ajustements de femme
alambics,alambics
alambics d'étain,alambics d'étain
alambics de terre,alambics de terre
alambics en cuivre,alambics de cuivre
alana (tripoli),alana
alazar,alazar
albâtre,albâtre
albâtre brut,albâtre brut
albâtre et marbre ouvrés,ouvrages de marbre et ouvrages d'albâtre
"albâtre sculpté, moulé ou poli",albâtre moulé poli ou sculpté
alcalis cendre de bois vive,cendre de bois vive
alcalis natron,natron
alcalis perlasse et cendre gravelées,perlasse et gravelées
alcalis potasse,potasse
alcalis salin,alcalis salin
alcalis soude autre que natron,alcalis autre que natron et soude
alcalis soude de toute sorte,soude de toute sorte
alcalis soude et natron,natron et soude
alènes,alènes
alènes de cordonnier,alènes
alibanies,alibanies
alibanies étoffe,alibanies
alizary,alizari
alkermés,alkermés
allaya,allaya
alleaux,alleaux
allumettes,allumettes
allumettes à vin,allumettes à vin
allumettes de coton,allumettes de coton
allumettes de mêche soufrée,allumettes de mêche soufrée
allumettes droguées,allumettes droguées
allumettes épicées,allumettes épicée
allumettes opérées et soufrées,allumettes opérées et soufrées
allumettes soufrées,allumettes soufrées
almagro ou crayon rouge,almagro ou crayon rouge
almanachs,almanachs
almanachs enjolivés,almanachs enjolivés
aloès,aloès
aloès cabalin,aloès cabalin
aloès commun,aloès commun
aloès hépatique,aloès hépatique
aloès moyen,aloès moyen
aloiset,aloiset
alose,alose
alose dite elft,alose
alose fumée,alose fumée
alose salée,alose salée
aloues,aloues
alouettes,alouettes
alpargate,alpargate
alphabets,alphabets
alpiste,alpiste
alpiste et millet,alpiste et millet
alquifoux,alquifoux
alquifoux et mine de plomb,alquifoux et mine de plomb
alquifoux mine de plomb ou graphite,alquifoux mine de plomb ou graphite
alquifoux ou mine de plomb,alquifoux ou mine de plomb
alquitra,alquitra
aluchiabanis,aluchiabanis
alun,alun
alun à cordonnier,alun à cordonnier
alun bon,alun bon
alun de glace,alun de glace
alun de Rome,alun de Rome
alun gâté,alun gâté
alvés,alvés
amadou,amadou
amadou et agaric amadouvier,amadou et agaric amadouvier
amandes,amandes
amandes à la praline,amandes à la praline
amandes amères,amandes amères
amandes cassées,amandes cassées
amandes courtes,amandes courtes
amandes diverses,amandes
amandes douces,amandes douces
amandes en coque,amandes en coque
amandes en coque ou cassées,amandes cassées ou en coque
amandes et pruneaux,amandes et pruneaux
amandes et raisin sec,amandes et raisin sec
amandes et savon,amandes et savon
amandes et vert-de-gris,amandes et verdet
amandes longues,amandes longues
amandes mondées,amandes mondées
amandes raisin sec et savon,amandes et raisin sec et savon
amaril,amaril
amarine,amarine
ambrain à grande barrique,ambrain à grande barrique
ambre,ambre
ambre blanc,ambre blanc
ambre brut,ambre brut
ambre carabé,ambre carabé
ambre et corail,ambre et corail
ambre gris,ambre gris
ambre jaune,ambre jaune
ambre jaune carabé,ambre carabé jaune
ambre jaune travaillé,ouvrages d'ambre jaune
ambre moulu,ambre moulu
ambre ouvré,ouvrages d'ambre
ameny,ameny
amer,amer
amertis,amertis
ameublement,ameublement
ami de toilé,ami de toilé
amidon,amidon
amidon en grains,amidon en grains
amidon et poudre à poudrer,amidon et poudre à poudrer
ammoniac,ammoniac
ammonium,ammonium
amomum,amomum
amomum et fèves de tonka et noix de ravensara,amomum et fèves de tonka et noix de ravensara
amomum verum,amomum verum
amurca,amurca
amurca ou marc d'olive,amurca
anabasse,anabasse
anacardes,anacardes
anacoste,anacoste
ananas,ananas
ananas confit,ananas confit
ananas planté,ananas planté
anatomie,anatomie
anatose,anatose
anches de tonneaux,anches de tonneaux
anchois,anchois
anchois câpres etc.,anchois câpres etc.
ancres,ancres
ancres de chaudon,ancres de chaudon
ancres de fer,ancres de fer
ancres de fer à chaudons,ancres de fer à chaudrons
ancres et grappins de fer,ancres et grappins de fer
ancres gravelées,ancres gravelées
ancres neuves,ancres neuves
ancres vides,ancres vides
ancres vieilles vides,ancres vieilles vides
andolium,andolium
andolium ou crockfish,andolium
andouilles,andouilles
andouillette,andouillette
ânes,ânes
ânes et ânesses,ânes et ânesses
ânesses,ânesses
angélique,angélique
angélique du Rozème,angélique du Rozème
anguilles,anguilles
anguilles marinées,anguilles marinées
anguilles salées,anguilles salées
aniec,anis
anille,anille
anis,anis
anis et sucre,anis et sucre
anis étoilé,badiane
anis vert,anis vert
anisette,anisette
anisette de Bordeaux,anisette de Bordeaux
anneau de fer,anneau de fer
ânon,ânon
anspects,anspects
anspects barre,barres d'anspects
anspects de 3 à 4 pieds,anspects de 3 à 4 pieds
anspects de sapin,anspects de sapin
antale,antale
antchibanis,antchibanis
antenelle,antenelle
antennes,antennes
antennes et mâts de bateaux,antennes et mâts de bateaux
antimoine,antimoine
antimoine cru,antimoine cru
antimoine cru et préparé,antimoine
antimoine préparé,antimoine préparé
antimoine sulfuré et métallique,antimoine métallique et sulfuré
antimoine vert,antimoine vert
antofle,antofle
antofle de girofle,antofle de girofle
apasier,apasier
apier,apier
apios,apios
apprêtée à toiler les livres,apprêtée à toiler les livres
apprêtée pour parchemins,apprêtée pour parchemins
arains,arains
arak,arak
arak boisson,arak
arbalètes,arbalètes
arbalètrrie et cartes marines,arbalètrrie et cartes marines
arbres,arbres
arbres à fruits,arbres à fruits
arbres à planter,arbres à planter
arbres châtaignier,arbres châtaignier
arbres de sapin,arbres de sapin
arbres en ???,arbres
arbres en plants,arbres à planter
arbres en plants de bois d'???,arbres d' ???
arbres en plants de bois d'auban,arbres d'auban
arbres et arbrisseaux,arbres et arbrisseaux
arbres et arbrisseaux à fruits,arbres et arbrisseaux à fruits
arbres et arbrisseaux sauvages,arbres et arbrisseaux sauvages
arbres et arbustes,arbres et arbustes
arbres et arbustes divers,arbres et arbustes
arbres et plants divers,arbres et plants
arbres fruitiers,arbres fruitiers
arbres marronniers à planter,arbres marronniers à planter
arbres nains,arbres nains
arbres orangers,orangers
arbres plants de bois,arbres
arbres tilleul,arbres tilleul
arbrisseaux,arbrisseaux
arbustes,arbustes
arcanette,arcanette
arcanie,arcanie
arcanson,arcanson
arcanum duplicatum,arcanum duplicatum
archets de violons,archets de violons
archiabanis,archiabanis
arçons de bas de bois,arçons de bas de bois
arçons de bois,arçons de bois
arçons de selles,arçons de selles
arçons démontés,arçons démontés
ardoise,ardoise
ardoise à piler,ardoise à piler
ardoise dite cherubin et à mortier,ardoise dite chérubin et à mortier
ardoise dite grande voisine,ardoise dite grande voisine
ardoise dite moyenne voisine,ardoise dite moyenne voisine
ardoise dite petite voisine,ardoise dite petite voisine
ardoise dite voisine grande moyenne et petite,ardoise dite voisine grande moyenne et petite
ardoise en carreaux,ardoise en carreaux
ardoise en carreaux d'1 pied carré,ardoise en carreaux et d'1 pied carré
ardoise en carreaux ou en table,ardoise en carreaux ou en table
ardoise en livret,ardoise en livret
ardoise encadrée,ardoise encadrée
ardoise encadrée et en livret,ardoise encadrée et en livret
ardoise non travaillée,ardoise non travaillée
ardoise ordinaire,ardoise commune
ardoise pour fenêtre,ardoise pour fenêtre
ardoise pour toitures,ardoise pour toiture
ardoise pour toitures au kilogramme,ardoise pour toiture au kilogramme
ardoise pour toitures au nombre,ardoise pour toiture au nombre
ardoise verte,ardoise verte
ardoises tablettes,tablettes d'ardoise
argent,argent
argent argent carragoux,argent carragoux
argent argent piastres,piastres
argent argent piastres d'Espagne,piastres d'Espagne
argent argent piastres du Grand Seigneur,piastres du grand seigneur
argent argent talaris,argent talari
argent battu,argent battu
argent battu et en feuilles,argent battu et en feuille
"argent battu, tiré, laminé et filé",argent battu filé laminé et tiré
argent brûlé,argent brûlé
argent brut en masses et en lingots et brisé,argent brisé et en lingots et en masses
argent brut en masses et en lingots et ouvrages détruits,argent brut en lingot et en masse ouvrages détruits
argent divers,argent
argent en barils,argent en barils
argent en barres,argent en barres
argent en bijouterie,bijouterie en argent
argent en lames,lames d'argent
argent en lingots,argent en lingots
argent en lingots de bas aloi,argent en lingots
argent en lingots par Calais,argent en lingots par Calais
argent en matières,argent
argent en monnaie,monnaies d'argent
argent en orfèvrerie,orfèvrerie d'argent
argent en piastres,piastres
argent en piastres gourdes,piastres gourdes
argent et or billon,argent et or billon
argent et or monnayé argent brut,argent brut
argent et or monnayé argent en feuilles,feuilles d'argent
argent et or monnayé argent monnayé,monnaies d'argent
