marchandises_norm_ortho,marchandises_simplification
cuivre allié de zinc (laiton) filé non poli ou poli cordes d'inst.,fil de laiton pour cordes d'instrument
cuivre allié doré battu tiré et laminé,cuivre allié battu doré laminé et tiré
cuivre allié doré battu tiré ou laminé,cuivre allié battu doré laminé ou tiré
cuivre allié doré filé sur fil,cuivre allié doré filé sur fil
cuivre allié doré filé sur soie,cuivre allié doré filé sur soie
cuivre allié estagnons,estagnons de cuivre allié
cuivre allié laiton battu ou laminé,laiton battu ou laminé
cuivre allié laiton en masses brutes,laiton en masses brutes
cuivre allié laiton en plaques ou barres régulières,laiton en barres ou plaques régulières
cuivre allié laiton filé et poli,fil de laiton poli
cuivre allié laiton filé et poli pour cordes d'instruments,fil de laiton pour cordes d'instrument
cuivre allié laiton vieux et ouvrages brisés,ouvrages brisés et vieux ouvrages de laiton
cuivre allié limaille,limaille de cuivre
cuivre allié limaille et vieux cuivre brisé,limaille de cuivre et vieux cuivre brisé
cuivre allié ouvré (autrement qu'il n'est ci-dessus),cuivre allié ouvré
cuivre allié ouvré (autrement que battu tiré laminé ou filé),cuivre allié ouvré autrement que battu filé laminé ou tiré
cuivre argenté,cuivre argenté
cuivre argenté battu tiré ou laminé,cuivre argenté battu laminé ou tiré
cuivre argenté filé sur fil,fil de cuivre argenté
cuivre argenté flambeaux,cuivre argenté flambeaux
cuivre battu,cuivre battu
cuivre battu ou laminé à toutes destinations,cuivre battu ou laminé à toutes destinations
cuivre bronzé,cuivre bronzé
cuivre bronze et laiton,cuivre et bronze et laiton
cuivre brun,cuivre brun
cuivre brut,cuivre brut
cuivre brut rouge,cuivre rouge brut
cuivre cercle en poil,cercles de cuivre de poil
cuivre chaudons,chaudron de cuivre
cuivre clous,cuivre clous
cuivre coulé en barres ou plaques régulières,cuivre coulé en barres ou plaques régulières
cuivre cru,cuivre cru
cuivre cru en blocs,cuivre cru en blocs
cuivre cru en masses,cuivre cru en masses
cuivre cru ou en plates,cuivre cru ou en plates
cuivre cuivrerie,cuivrerie
cuivre de fer,cuivre de fer
cuivre de fourrure,cuivre de fourrure
cuivre de Namur,cuivre de Namur
cuivre de pompe,cuivre de pompe
cuivre de Russie,cuivre de Russie
cuivre dit laiton en feuilles,feuilles de laiton
cuivre dit potin,potin
cuivre divers,cuivre
cuivre doré,cuivre doré
cuivre doré battu tiré laminé et filé,cuivre doré battu filé laminé ou tiré
cuivre doré battu tiré ou laminé,cuivre doré battu laminé ou tiré
cuivre doré filé sur fil,fil de cuivre doré
cuivre en acume,acume de cuivre
cuivre en baguettes,baguettes de cuivre
cuivre en balance,balance de cuivre
cuivre en baquets,baquets de cuivre
cuivre en barres,barres de cuivre
cuivre en barrettes,barrettes de cuivre
cuivre en bassin,bassin de cuivre
cuivre en batterie,batterie de cuivre
cuivre en batterie de cuisine,batterie de cuivre à cuisine
cuivre en batterie de fuine,batterie de cuivre de fuine
cuivre en bombes,bombes de cuivre
cuivre en bouillotte,bouillotte de cuivre
cuivre en cachets,cachets de cuivre
cuivre en cendre,cendre de cuivre
cuivre en chandeliers,chandeliers de cuivre
cuivre en chandriers,chandriers de cuivre
cuivre en chanvrier,chanvrier de cuivre
cuivre en chaudière,chaudière de cuivre
cuivre en chaudron,chaudron de cuivre
cuivre en chaudrons,chaudron de cuivre
cuivre en cloches,cloches de cuivre
cuivre en clochettes,clochettes de cuivre
cuivre en clous,clous de cuivre
cuivre en coupe,coupes de cuivre
cuivre en coupes,coupes de cuivre
cuivre en étuve,étuve de cuivre
cuivre en feuilles,feuilles de cuivre
cuivre en feuilles en planches,feuilles de cuivre et planches de cuivre
cuivre en feuilles et en planches,feuilles de cuivre et planches de cuivre
cuivre en feuilles et planches,feuilles de cuivre et planches de cuivre
cuivre en feuilles et planches et ???,feuilles de cuivre et planches de cuivre et ???
cuivre en fonds,fonds de cuivre
cuivre en fonds et en fourrure,fonds et fourrure de cuivre
cuivre en fonte,fonte de cuivre
cuivre en formes,forme de cuivre
cuivre en fourrure,fourrure de cuivre
cuivre en fourrure et mozette,fourrure de cuivre et mozette de cuivre
cuivre en fourrure et rosette,fourrure de cuivre et mozette de cuivre
cuivre en grelots,grelots de cuivre
cuivre en hôpitaux,hôpitaux de cuivre
cuivre en lames,lames de cuivre
cuivre en limaille,limaille de cuivre
cuivre en lingots,lingots de cuivre
cuivre en marmites,marmites de cuivre
cuivre en masse brut et rouge,cuivre en masse brut ou rouge
cuivre en masse brut vieux et mitraille,cuivre en masse brut mitraille et vieux
cuivre en masses,masses de cuivre
cuivre en mitraille,mitrailles de cuivre
cuivre en monnaie,monnaies de cuivre
cuivre en monnaies,monnaies de cuivre
cuivre en monnaies de Suède,monnaies de cuivre de Suède
cuivre en neptune,neptune de cuivre
cuivre en neptune et chaudron,chaudron de cuivre et neptune de cuivre
cuivre en pain,cuivre en pain
cuivre en pain en brut,cuivre brut en pain
cuivre en planches,planches de cuivre
cuivre en planches en feuilles et ouvré,feuilles de cuivre planches de cuivre et ouvrage de cuivre
cuivre en planches et feuilles,feuilles de cuivre et planches de cuivre
cuivre en planches et lingots,lingots de cuivre et planches de cuivre
cuivre en plannes,cuivre en plane
cuivre en plaques,plaques de cuivre
cuivre en plateaux,plateaux de cuivre
cuivre en plateaux de bordure,plateaux de bordure de cuivre
cuivre en plates,plates de cuivre
cuivre en platines,platines de cuivre
cuivre en platines et plaques,platines de cuivre et plaques de cuivre
cuivre en plats,cuivre en plats
cuivre en potasse,cuivre en potasse
cuivre en poterie,poterie de cuivre
cuivre en robinets,robinets de cuivre
cuivre en rosette,rosette de cuivre
cuivre en rosette et mitraille,rosette de cuivre et mitraille de cuivre
cuivre en rouleau,cuivre en rouleau
cuivre en sablières,sablières de cuivre
cuivre en saumons,cuivre en saumons
cuivre en serrure,serrures de cuivre
cuivre en toupe,cuivre en toupe
cuivre en verdet,cuivre en verdet
cuivre et airain ouvré,cuivre et airain ouvré
cuivre et en mitraille,mitrailles de cuivre
cuivre et pièces de cuivre,cuivre et pièces de cuivre
cuivre fer en poids,cuivre de fer en poids
cuivre feuilles,feuilles de cuivre
cuivre filé à toutes destinations,fil de cuivre
cuivre filé en barreaux ronds,fil de cuivre en barreaux ronds
cuivre fonds,fonds de cuivre
cuivre forgé,cuivre forgé
cuivre jaune,cuivre jaune
cuivre jaune avec calamine,cuivre jaune avec calamine
cuivre jaune brun,cuivre jaune brun
cuivre jaune brut,cuivre jaune brut
cuivre jaune en bassin,bassin de cuivre jaune
cuivre jaune en bassin et chaudron,bassin de cuivre jaune et chaudron de cuivre jaune
cuivre jaune en blocs,blocs de cuivre jaune
cuivre jaune en chaudron,chaudron de cuivre jaune
cuivre jaune en clous,clous de cuivre jaune
cuivre jaune en planches,planches de cuivre jaune
cuivre jaune en plates,plates de cuivre jaune
cuivre jaune et rouge,cuivre jaune et rouge
cuivre jaune fondu,cuivre jaune fondu
cuivre jaune monnayé,monnaies de cuivre jaune
cuivre jaune non ouvré,cuivre jaune non ouvré
cuivre jaune ouvré,ouvrages de cuivre jaune
cuivre laiton,cuivre laiton
cuivre laminé,cuivre laminé
cuivre mitraille,mitrailles de cuivre
cuivre monnaies,monnaies de cuivre
cuivre monnayé,monnaies de cuivre
cuivre neuf,cuivre neuf
cuivre neuf en planches,planches de cuivre neuf
cuivre non ouvré,cuivre non ouvré
cuivre non ouvré en rosette ou plaques,rosette ou plaques de cuivres non ouvré
cuivre ordinaire,cuivre commun
cuivre ouvré,ouvrages de cuivre
cuivré ouvré,ouvrages de cuivre
cuivre ouvré (autrement qu'il n'est ci-dessus),ouvrages de cuivre
cuivre ouvré bouilloires,cuivre ouvré bouilloire
cuivre ouvré cafetière,cuivre ouvré cafetière
cuivre ouvré en baignoires,baignoires de cuivre
cuivre ouvré en bassin,bassin de cuivre
cuivre ouvré réchauds,réchauds de cuivre ouvré
cuivre potier,cuivre potier
cuivre potin,potin
cuivre potin en chaudière,chaudière de potin
cuivre potin gris,cuivre et potin gris
cuivre potin ouvré,ouvrages de cuivre potin
cuivre pur battu ou laminé,cuivre pur battu ou laminé
cuivre pur coulé en masses brutes,cuivre pur coulé en masses brutes
cuivre pur coulé en plaques ou barres,cuivre pur coulé en barres et plaques
cuivre pur coulé en plaques ou barres régulières,cuivre pur coulé en barres et plaques régulières
cuivre pur en masses brutes,cuivre pur en masses brutes
cuivre pur en plaques ou barres régulières,cuivre pur en barres et plaques régulières
cuivre pur filé,fil de cuivre pur
cuivre pur filé non-teint,fil de cuivre pur non-teint
cuivre pur filé teint,fil de cuivre pur teint
cuivre pur monnaies,monnaies de cuivre pur
cuivre pur vieux en mitraille,mitrailles de cuivre pur vieux
cuivre rompu,cuivre rompu
cuivre rosette,cuivre rosette
cuivre rouge,cuivre rouge
cuivre rouge à monnayer,cuivre à monnayer rouge
cuivre rouge brun,cuivre brun et cuivre rouge
cuivre rouge brut,cuivre brut et rouge
cuivre rouge cru ou en blocs pour Namur,cuivre rouge cru ou en bloc pour Namur
cuivre rouge en chaudière,cuivre rouge en chaudière
cuivre rouge en chaudron,chaudron de cuivre rouge
cuivre rouge en feuilles,feuilles de cuivre rouge
cuivre rouge en fond,cuivre en fond et rouge
cuivre rouge en foudre et chaudière,chaudière de cuivre rouge et foudre de cuivre rouge
cuivre rouge en masses pour être raffiné,masses de cuivre rouge pour être raffiné
cuivre rouge en planches,planches de cuivre rouge
cuivre rouge en plaques,plaques de cuivre rouge
cuivre rouge en plates,plates de cuivre rouge
cuivre rouge neuf,cuivre rouge neuf
cuivre rouge non ouvré,cuivre non ouvré rouge
cuivre rouge ouvré,ouvrages de cuivre rouge
cuivre satin,cuivre satin
cuivre sur poil,cuivre sur poil
cuivre tangoul,cuivre tangoul
cuivre travaillé,ouvrages de cuivre
cuivre vieux,cuivre vieux
cuivre vieux et en mitraille,cuivre en mitraille et vieux
cuivrerie,cuivrerie
cuivrerie ouvrée,ouvrages de cuivre
cuivres filé pour fabrication d'épingles,fil de cuivre pour fabrication d'épingles
culottes,culottes
culottes à nègre,culottes à nègre
culottes d'étamine,culottes d'étamine
culottes de bouras,culottes de bouras
culottes de chamois,culottes de chamois
culottes de chamois garnies de boutons d'argent,culottes de chamois garnies de boutons d'argent
culottes de cotonnades,culottes de cotonnades
culottes de coutil,culottes de coutil
culottes de daim,culottes de daim
culottes de drap,culottes de drap
culottes de fil,culottes de fil
culottes de laine,culottes de laine
culottes de laine tricotées,culottes de laine tricotées
culottes de mouton,culottes de mouton
culottes de panne,culottes de panne
culottes de panne ciselée,culottes de panne ciselée
culottes de peau,culottes de peau
culottes de peau d'élan,culottes de peau d'élan
culottes de peau de daim,culottes de peau de daim
culottes de peau de mouton,culottes de peau de mouton
culottes de siamoise,culottes de siamoise
culottes de soie,culottes de soie
culottes de toile,culottes de toile
culottes de velours,culottes de velours
culs d'artichaut,culs d'artichaut
cumin,cumin
cuny,cuny
curcuma,curcuma
curcuma en poudre,curcuma en poudre
curcuma en racine,curcuma en racine
curcuma en racine des entrepôts,curcuma en racine des entrepôts
curcuma ou terra merita,curcuma
curiosité coquillage,curiosité coquillage
curiosité naturelle,curiosité naturelle
curlas,curlas
curous,curous
curtas,curtas
cusco grains,grains cuscute
cuscutes luzerne,cuscutes luzerne
custar,custar
custas,custas
custres,custres
cuve,cuve
cuve à vin,cuve à vin
cuveaux,cuveaux
cuvette de faïence,cuvette de faïence
cuvette de fer-blanc,cuvette de fer-blanc
cuviers,cuviers
cuviers de terre,cuviers de terre
cygnes,cygnes
cygnes en vie,cygnes en vie
cylindre,cylindre
dai ou baldaquin,dais
dais,dais
dais ou faux,dais ou faux
dais pour église,dais pour église
dalles,dalles
damas,damas
damas à frange d'argent,damas à frange d'argent
damas brodé,damas brodé
damas caffart,caffart de damas
damas commun,damas commun
damas cramoisi,damas cramoisi
damas de 20 aunes,damas de 20 aunes
damas de deux couleurs,damas de deux couleurs
damas de faux,damas faux
damas de fil,damas de fil
damas de Gênes cramoisi,damas cramoisi de Gênes
damas de la Chine,damas de la Chine
damas de Luques,damas de Lucques
damas de Lyon,damas de Lyon
damas de Pékin,damas de Pékin
damas de soie,damas de soie
damas de Tours,damas de Tours
damas des deux couleurs,damas de deux couleurs
damas des Indes,damas des Indes
damas divers,damas
damas fil et coton,damas de coton et fil
damas jaune,damas jaune
damas noir,damas noir
damas pour meubles,damas pour meubles
damas rayé,damas rayé
damas rayé et broché,damas broché et rayé
damas uni,damas uni
damas vert,damas vert
damas violet,damas violet
damasquette,damasquette
damasquin,damasquin
damassin,damassin
dame-jeannes,dame-jeannes
dame-jeannes clissées,dame-jeannes clissées
dame-jeannes de grès,dame-jeannes de grès
dame-jeannes de verre,dame-jeannes de verre
dame-jeannes de verre de 4 pots,dame-jeannes de verre de 4 pots
dame-jeannes en verre,dame-jeannes de verre
dame-jeannes et vides,dame-jeannes vides
Dame-jeannes garnies d'osier,dame-jeannes garnies d'osier
dame-jeannes non clissées,dame-jeannes non clissées
dame-jeannes vides,dame-jeannes vides
damoiselle,demoiselle
damoiselle de bois,damoiselle de bois
dariabadis,dariabadis
darins,darins
dattes,dattes
dattes et pistaches,dattes et pistaches
daubes,daubes
dauphine,dauphine
dauphine aune,dauphine
de haut,de haut
de liqueurs,liqueurs
de peu de valeur,de peu de valeur
de tafia,de tafia
de ville,de ville
débris de vaisseaux et vieux ouvrages de charpente,débris de vaisseaux et vieux ouvrages de charpente
déchet de pierre,déchet de pierre
déchets et débris bourre de laine entières lanice et tontice,bourre de laine entière lanice et tontice
déchets et débris tourteaux de graines oléagineuses,tourteaux de graines oléagineuses
décorations pour carrosses,décorations pour carrosses
dégras,dégras
dégras d'huile,dégras d'huile
dégras de peau,dégras de peau
delimineas,delimineas
demi Guinée,demi guinée
demi Guinée bleue,demi guinée bleue
demi-barriques cerclées de fer,demi-barriques cerclées de fer
demi-cuirs de bœuf tannés,demi-cuirs de bœuf tannés
demi-planches,planches demies
demi-planches de sapin de 3 à 4 pieds de long et de 1 pouce d'épaisseur,planches demies de sapin de 3 à 4 pieds de long et de 1 pouce d'épaisseur
"demi-planches de sapin de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur","planches demies de sapin de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur"
"demi-planches de sapin de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur","planches demies de sapin de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur"
demille,demitte
demitte,demitte
demitte aune,demitte
demoiselle,demoiselle
demoiselle de bois,damoiselle de bois
demoiselle de sapin,demoiselle de sapin
denrées coloniales cacao,cacao
denrées coloniales café,café
denrées coloniales canefice,canefice
denrées coloniales diverses,denrées coloniales
denrées coloniales écaille de tortue,écaille de tortue
denrées coloniales épicerie en muscade et poivre,muscades et poivre
denrées coloniales et épicerie,denrées coloniales et épicerie
denrées coloniales gingembre,gingembre
denrées coloniales indigo,indigo
denrées coloniales réunies,denrées coloniales
denrées coloniales rocou,rocou
denrées coloniales sirop mélasse,sirop mélasse
denrées coloniales sucre blanc terré et têtes,sucre blanc terré et têtes
denrées coloniales sucre brut,sucre brut
denrées coloniales sucre cacao café,cacao et café et sucre
denrées coloniales sucre raffiné,sucre raffiné
denrées coloniales tabac,tabac
denrées coloniales tafia,tafia
denrées coloniales telles que sucre café thé,café et sucre et thé
denrées des colonies rhum,rhum
denrées des colonies rum,rhum
denrées des colonies sirop,sirop
denrées des colonies tafia,tafia
denrées des Îles coton,coton des Indes
denrées des Îles françaises de l'Amérique cacao,cacao
denrées des Îles françaises de l'Amérique café,café
denrées des Îles françaises de l'Amérique coton,coton
denrées des Îles françaises de l'Amérique gingembre,gingembre
denrées des Îles françaises de l'Amérique indigo,indigo
denrées des Îles françaises de l'Amérique objets réunis,denrées coloniales
denrées des Îles françaises de l'Amérique rocou,rocou
denrées des Îles françaises de l'Amérique sirop mélasse,sirop mélasse
denrées des Îles françaises de l'Amérique sucre blanc et terré,sucre blanc et sucre terré des Îles françaises de l'Amérique
denrées des Îles françaises de l'Amérique sucre brut,sucre brut
denrées des Îles françaises de l'Amérique sucre raffiné,sucre raffiné
denrées des Îles françaises de l'Amérique sucre têtes,sucre têtes
denrées des Îles rocou,rocou
denrées des Îles sucre brun,sucre brun
denrées diverses réunies,divers
dentelle,dentelle
dentelle à peu de soie,dentelle à peu de soie
dentelle blanche,dentelle blanche
dentelle blonde de soie,dentelle blonde de soie
dentelle commune,dentelle commune
dentelle d'Alençon,dentelle d'Alençon
dentelle d'Andelys,dentelle d'Andelys
dentelle d'argent,dentelle d'argent
dentelle d'argent faux,dentelle d'argent faux
dentelle d'argent fin,dentelle d'argent fin
dentelle d'or,dentelle d'or
dentelle d'or et d'argent,dentelle d'or et d'argent
dentelle d'or et d'argent faux,dentelle d'or et d'argent faux
dentelle d'or faux,dentelle d'or faux
dentelle d'or fin,dentelle d'or fin
dentelle de Caen,dentelle de Caen
dentelle de fer,dentelle de fer
dentelle de fil,dentelle de fil
dentelle de fil 2 lignes,dentelle de fil 2 lignes
dentelle de fil blanc,dentelle de fil blanc
dentelle de fil blanc commune,dentelle de fil blanc commune
dentelle de fil blanc de Lille,dentelle de fil blanc de Lille
dentelle de fil commun,dentelle de fil commune
dentelle de fil commune,dentelle de fil commune
dentelle de fil d'Alençon,dentelle de fil d'Alençon
dentelle de fil de ??? et Reims,dentelle de fil de ??? et Reims
dentelle de fil de Bergame,dentelle de fil de Bergame
dentelle de fil de Caen,dentelle de fil de Caen
dentelle de fil de crin,dentelle de fil de crin
dentelle de fil de fil,dentelle de fil
dentelle de fil de Flandre,dentelle de fil de Flandre
dentelle de fil de laine,dentelle de fil de laine
dentelle de fil de lin,dentelle de fil de lin
dentelle de fil de Normandie,dentelle de fil de Normandie
dentelle de fil de soie,dentelle de fil de soie
dentelle de fil diverse,dentelle de fil
dentelle de fil dorure d'argent,dentelle de fil dorure d'argent
dentelle de fil dorure d'or faux,dentelle de fil d'or faux
dentelle de fil dorure d'or fin,dentelle de fil d'or fin
dentelle de fil du Puy,dentelle de fil du Puy
dentelle de fil du Puy et ???,dentelle de fil du Puy et ???
dentelle de fil et de soie,dentelle de fil et de soie
dentelle de fil et soie,dentelle de fil et soie
dentelle de fil et tulle,dentelle de fil et tulle
dentelle de fil et Valenciennes,dentelle de fil et Valenciennes
dentelle de fil fin,dentelle de fil fine
dentelle de fil fine,dentelle de fil fine
dentelle de fil grosse,dentelle de fil grosse
dentelle de Flandre,dentelle de Flandre
dentelle de France,dentelle de France
dentelle de Gisors,dentelle de Gisors
dentelle de Lille,dentelle de Lille
dentelle de lin et de chanvre,dentelle de chanvre et de lin
dentelle de Malines,dentelle de Malines
dentelle de Normandie,dentelle de Normandie
dentelle de pays,dentelle de pays
dentelle de Rouen,dentelle de Rouen
dentelle de soie,dentelle de soie
dentelle de soie au quart,dentelle de soie au quart
dentelle de soie blanche,dentelle de soie blanche
dentelle de soie blonde,dentelle de soie blonde
dentelle de soie de Rouen,dentelle de soie de Rouen
dentelle de soie dite blonde,dentelle de soie blonde
dentelle de soie et blonde,dentelle de soie blonde
dentelle de soie et fil,dentelle de soie et de fil
dentelle de soie noire,dentelle de soie noire
dentelle de toute autre sorte que soie,dentelle de toute autre sorte que soie
dentelle diverse,dentelle
dentelle dorure d'argent,dentelle dorure d'argent
dentelle dorure d'or,dentelle dorure d'or
dentelle dorure d'or et argent,dentelle dorure d'argent et d'or
dentelle dorure d'or faux,dentelle dorure d'or faux
dentelle dorure d'or fin,dentelle d'or fin
dentelle dorure or et argent,dentelle dorure d'argent et d'or
dentelle du Havre,dentelle du Havre
dentelle du Puy,dentelle du Puy
dentelle en coiffures et manchettes,dentelle en coiffures et manchettes
dentelle en dorure,dentelle en dorure
dentelle et blonde,dentelle et blonde
dentelle fil blanc,dentelle de fil blanc
dentelle fil commune,dentelle de fil commune
dentelle fil grosse,dentelle de fil grosse
dentelle fine,dentelle fine
dentelle grosse,dentelle grosse
dentelle grosse de fil,dentelle de fil grosse
dentelle grossière,dentelle grosse
dentelle mi soie,dentelle mi soie
dentelle moyenne,dentelle moyenne
dentelle or et argent,dentelle d'argent et d'or
dentelle or et argent faux,dentelle d'argent et d'or faux
dentelle or et argent fin,dentelle d'or et d'argent fin
dents à éléphant,dents d'éléphant
dents cheval marin,dents de cheval marin
dents d'éléphant,dents d'éléphant
dents d'éléphant entières,dents d'éléphant entières
dents d'éléphant entières des entrepôts,dents d'éléphant entières des entrepôts
dents d'éléphant sciées,dents d'éléphant sciées
dents de cheval marin,dents de cheval marin
dents de chien marin,dents de chien marin
dents de morphil,dents de morphil
dents de vache marine,dents de vache marine
derle,derle
derle ou terre à porcelaine,derle
dés,dés
dés à coudre,dés à coudre
dés à coudre de cuivre,dés à coudre de cuivre
dés à coudre de cuivre et fer,dés à coudre de cuivre et fer
dés à jouer,dés à jouer
dés d'acier,dés d'acier
dés de cuivre,dés de cuivre
dès de cuivre,dés de cuivre
dés de cuivre à coudre,dés à coudre de cuivre
dés de fer,dés de fer
dès de fer,dés de fer
dés de fer à coudre,dés à coudre de fer
dés de laiton,dés de laiton
dès de laiton,dés de laiton
dés en cuivre,dés de cuivre
déshabillé,déshabillé
despeigne,despeigne
dessins de papier,dessins de papier
dessus de souliers brodés,dessus de souliers brodés
dessus de table de marbre,dessus de table de marbre
devant de vestes,devant de vestes
devant de vestes de basin,devant de vestes de basin
dévidoir,dévidoir
diactamy en fleurs,diactamy en fleurs
diagrede,diagrede
dialbequier,dialbequier
diamants,diamants
diamants bruts,diamants bruts
diamants fins,diamants fins
diamants taillés,diamants taillés
dictame,dictame
dictionnaire du commerce,dictionnaire du commerce
dictionnaire hollandais,dictionnaire hollandais
dimelle,dimelle
dindes,dindes
dindonneaux,dindonneaux
dindons,dindons
dissouchaye,dissouchaye
distillats,distillats
ditors,ditors
divers,divers
divers articles,divers
divers en mercerie etc.,mercerie
divers fruits sec tels que figue et pruneaux etc.,fruits secs
divers gros et menus ouvrages de bois,ouvrages de bois
divers marchandises,marchandises
dividivi,dividivi
doloirs,doloirs
domino,domino
dominoterie,dominoterie
dominoterie en images,dominoterie en images
dominoterie et cartes géographiques,dominoterie et cartes géographiques
dominoterie images,dominoterie en images
doréas,doréas
doréas brodées en couleur,doréas brodées en couleur
doréas de Zurich,doréas de Zurich
dorpins en pierre,dorpins en pierre
dorure,dorure
dorure ??? en faux,dorure fausse
dorure de Zurich,dorure de Zurich
dorure fausse,dorure fausse
dorure fausse en or et argent,dorure fausse en or et argent
dorure fausse en or et argent battu tiré et laminé,dorure fausse en or et argent battu tiré et laminé
dorure filée,fil de dorure
dorure fine,dorure fine
dorure fine en galon,dorure en galon fine
dorure fine en galon d'or,dorure fine en galon d'or
dorure fine et fausse,dorure fausse et fine
dorure fine sur soie,dorure fine sur soie
dos ventres et gorges de petit-gris,dos gorges et ventres de petit gris
dos ventres et gorges de renards martes et fouines,dos gorges et ventres de fouines martes et renard
dospin en pierre,dospin en pierre
dossiers de chaises,dossiers de chaises
doublure de petis gris,doublures de petis gris
doublures de martre pour habits,doublures de martre pour habits
douelles,douelles
douelles à barils,douelles à barils
douelles à barriquage,douelles à barriques
douelles à barriques,douelles à pipes
douelles à caves,douelles à cave
douelles à cuve,douelles à cuve
douelles à faire barriques,douelles à barriques
douelles à fonds,douelles à fond
douelles à pièces,douelles à pièce
douelles à pipes,douelles à pipes
douelles à quart,douelles à quart
douelles à tierçons,douelles à tierçons
douelles à tonneaux,douelles à tonneau
douelles à tonneaux vieilles,douelles à tonneau vieilles
douelles barriques,douelles à barrique
douelles de chêne,douelles de chêne
douelles de sapin,douelles de sapin
douelles de tonneaux,douelles à tonneau
douelles fonçaille,douelles fonçaille
douelles pour fonds,douelles pour fonds
douelles vieilles,douelles vieilles
doutis,doutis
doutis blancs,doutis blancs
doutis bleus,doutis bleus
douvain,douvain
douvelles,douvelles
douvelles de sapin,douvelles de sapin
douves,douves
douves à tonneaux,douves à tonneaux
douves de deux pouces,douves de deux pouces
drache,drêche
drache de bière,drêche de bière
dracodium,dracodium
dragée,dragée
dragée de Keyser,dragée de Keyser
dragonnes,dragonnes
dragonnes d'épée,dragonnes d'épée
drague de bière,drague de bière
drague de brasserie,drague de bière
drap,drap
drap à doubler,drap à doubler
drap à matelot,drap à matelot
drap à passer sucre,drap à sucre
drap à sucre,drap à sucre
drap au sixième de soie,drap au sixième de soie
drap avarié,drap avarié
drap blanc,drap blanc
drap blanc d'Espagne,drap blanc d'Espagne
drap blanc de Bremer,drap blanc de Bremer
drap blanc de Bremer aune,drap blanc de Bremer
drap blanc de douzaine,drap blanc de douzaine
drap blanc de douzaine aune,drap blanc de douzaine aune
drap blanc de Hollande,drap blanc de Hollande
drap blanc et écarlate,drap blanc et écarlate
drap blanc fin,drap blanc fin
drap blanc par aune,drap blanc par aune
drap brodé aux ciseaux en soie,drap brodé au ciseau en soie
drap brodé en or et argent,drap brodé en or et argent
drap brodé en soie,drap brodé en soie
drap by,drap
drap calimouk de Sedan 20 lignes,drap calimouk de Sedan 20 lignes
drap calimouk de Sedan 350 lignes,drap calimouk de Sedan 350 lignes
drap carisé,carisé
drap carisé des prises,carisé des prises
drap casimir,casimir de laine
drap commun,drap commun
drap commun d'Angleterre,drap commun d'Angleterre
drap cordeillat,drap cordeillat
drap cordeillat de Colmar,drap cordeillat de Colmar
drap cosinis,drap cosinis
drap crêpe,drap crêpe
drap crêpe de Reims,drap crêpe de Reims
drap d'Abbeville,drap d'Abbeville
drap d'Amboise,drap d'Amboise
drap d'Amiens,drap d'Amiens
drap d'Andelis,drap d'Andelis
drap d'Andelys,drap d'Andelys
drap d'Angleterre,drap d'Angleterre
drap d'Angleterre aune,drap d'Angleterre aune
drap d'Angleterre des prises,drap d'Angleterre des prises
drap d'Angleterre Hollande et Espagne,drap d'Angleterre et draps d'Espagne et draps de Hollande
drap d'Angleterre noir,drap d'Angleterre noir
drap d'Arnetal,drap d'Arnetal
drap d'aucrin,drap d'aucrin
drap d'Aumale,drap d'Aumale
drap d'Elbeuf,drap d'Elbeuf
drap d'Elbeuf de retour,drap d'Elbeuf de retour
drap d'Espagne,drap d'Espagne
drap d'Espagne aune,drap d'Espagne aune
drap d'estame,drap d'estames
drap d'or et d'argent fin,drap d'or et d'argent fin
drap dauphine,drap dauphine
drap de Beauvais,drap de Beauvais
drap de Beauvaste,drap de Beauvais
drap de Bergopzoom,drap de Bergopzoom
drap de billard,drap de billard
drap de Bolbec,drap de Bolbec
drap de Bourbon,drap de Bourbon
drap de Carcassonne,drap de Carcassonne
drap de Carcassonne écarlate,drap de Carcassonne et écarlate
drap de casimir,casimir de laine
drap de castor,drap de castor
drap de castor aune,drap de castor par aune
drap de castor par aune,drap de castor par aune
drap de Colmar,drap de Colmar
drap de cordeillat,drap de cordeillat
drap de coton,drap de coton
drap de Dauphiné,drap de castor
drap de diverses coutures,drap
drap de douzaine,drap de douzaine
drap de douzaine aune,drap de douzaine
drap de Falaise,drap de Falaise
drap de fil vieux,drap de fil vieux
drap de France,drap de France
drap de Glasier,drap de Glasier
drap de glaster,drap de glaster
drap de Glaster,drap de Glaster
drap de glastes,drap de glastes
drap de Glates,drap de Glates
drap de Glouster,drap de Glouster
drap de Hollande,drap de Hollande
drap de julienne,drap de julienne
drap de Korook,drap de Korook
drap de la Bouille,drap de la Bouille
drap de lain,drap de laine
drap de laine,drap de laine
drap de laine au ??? de soie,drap de laine au ??? de soie
drap de laine au quart de soie,drap de laine au quart de soie
drap de laine avarié,drap de laine avarié
drap de laine blanc,drap blanc de laine
drap de laine bleu,drap bleu
drap de laine brodé en soie,drap de laine brodé de soie
drap de laine commun,drap de laine commun
drap de laine cordeillat,drap de laine cordeillat
drap de laine d'Abbeville,drap d'Abbeville
