simplification,nbr_occurences_simpl,obsolete,v_glass_beads,nbr_occurences_v_glass_beads
aiguières d'étain,1,non,out,820768
aiguilles,349,non,out,820768
aiguilles à boîtes,1,non,out,820768
aiguilles à coudre,59,non,out,820768
aiguilles à coudre voiles,1,non,out,820768
aiguilles à ralingue,1,non,out,820768
aiguilles à tabac,1,non,out,820768
aiguilles à toile,1,non,out,820768
aiguilles d'emballage,2,non,out,820768
aiguilles de mercerie fine,4,non,out,820768
aiguilles epars de sapin,1,non,out,820768
aiguilles et épingles,1,non,out,820768
aiguilles et épingles de mercerie fine,3,non,out,820768
aiguilles et mercerie fine,2,non,out,820768
aiguilles grosses,1,non,out,820768
aiguilles pour voile,38,non,out,820768
aiguillettes,1,non,out,820768
ail,2,oui,out,820768
ailes,17,non,out,820768
ailes de fléaux,3,non,out,820768
ailes de moulins,6,non,out,820768
ailor,0,non,out,820768
ails,266,non,out,820768
ails à fauches,1,non,out,820768
ails blancs à casser,1,non,out,820768
aimant,1,non,out,820768
ains à pêcher,43,non,out,820768
ains et lignes à pêcher,2,non,out,820768
airain,6,non,out,820768
airain non ouvré,4,non,out,820768
ajamis,281,non,out,820768
ajustements,37,non,out,820768
ajustements de femme,5,non,out,820768
ajustements de soie,2,non,out,820768
alambics,17,non,out,820768
alambics d'étain,17,non,out,820768
alambics de cuivre,2,non,out,820768
alambics de terre,1,non,out,820768
alana,2,non,out,820768
alazar,2,non,out,820768
albâtre,5,non,out,820768
albâtre brut,3,non,out,820768
albâtre et marbre brut et poli,21,non,out,820768
albâtre moulé poli ou sculpté,6,non,out,820768
alcalis autre que natron et soude,2,oui,out,820768
alcalis autre que natron et soudes,2,non,,37440
alcalis salin,1,non,out,820768
aleine à cordonnier en acier et en fer,1,non,,37440
alènes,5,non,out,820768
alènes à cordonnier en acier et en fer,1,oui,,37440
algue marine,1,non,,37440
ali,0,non,,37440
alibanies,110,non,out,820768
alibanis,14,oui,,37440
alicot,0,non,,37440
alizari,31,non,out,820768
alizari et garance,165,non,out,820768
alizari sèche,7,non,out,820768
alkermés,1,non,out,820768
alkermès en grains,23,non,out,820768
allaya,88,non,out,820768
alleaux,1,non,out,820768
