simplification,nbr_occurences_simpl,obsolete,v_glass_beads,nbr_occurences_v_glass_beads
cuivre et potin gris,6,non,out,820768
cuivre fer plomb,1,non,out,820768
cuivre forgé,2,non,out,820768
cuivre jaune,94,non,out,820768
cuivre jaune avec calamine,3,non,out,820768
cuivre jaune brun,1,non,out,820768
cuivre jaune brut,10,non,out,820768
cuivre jaune en fourrure,1,non,out,820768
cuivre jaune et rouge,9,non,out,820768
cuivre jaune fondu,7,non,out,820768
cuivre jaune non ouvré,2,non,out,820768
cuivre laiton,1,non,out,820768
cuivre laminé,2,non,out,820768
cuivre neuf,41,non,out,820768
cuivre non ouvré,1,non,out,820768
cuivre non ouvré rouge,2,non,out,820768
cuivre potier,1,non,out,820768
cuivre pur battu ou laminé,7,non,out,820768
cuivre pur coulé en barres et plaques,2,non,out,820768
cuivre pur coulé en barres et plaques régulières,1,non,out,820768
cuivre pur coulé en masses brutes,5,non,out,820768
cuivre pur en barres et plaques régulières,1,non,out,820768
cuivre pur en masses brutes,2,non,out,820768
cuivre rompu,10,non,out,820768
cuivre rosette,3,non,out,820768
cuivre rouge,118,non,out,820768
cuivre rouge brut,1,non,out,820768
cuivre rouge cru ou en bloc pour Namur,2,non,out,820768
cuivre rouge en chaudière,3,non,out,820768
cuivre rouge neuf,4,non,out,820768
cuivre satin,1,non,out,820768
cuivre sur poil,1,non,out,820768
cuivre tangoul,402,non,out,820768
cuivre vieux,516,non,out,820768
cuivrerie,34,non,out,820768
culotte en chemise de toile à nègre,1,oui,,37440
culotte en chemises de toile à nègre,1,non,,37440
culottes,69,non,out,820768
culottes à nègre,1,non,out,820768
culottes d'étamine,1,non,out,820768
culottes de bouras,2,non,out,820768
culottes de chamois,8,non,out,820768
culottes de chamois garnies de boutons d'argent,1,non,out,820768
culottes de cotonnades,2,non,out,820768
culottes de coutil,1,non,out,820768
culottes de daim,5,non,out,820768
culottes de drap,1,non,out,820768
culottes de fil,1,non,out,820768
culottes de laine,1,non,out,820768
culottes de laine tricotées,2,non,out,820768
culottes de mouton,2,non,out,820768
culottes de panne,2,non,out,820768
culottes de panne ciselée,1,non,out,820768
culottes de peau,122,oui,out,820768
culottes de peau d'élan,1,oui,out,820768
culottes de peau de daim,4,oui,out,820768
culottes de peau de mouton,4,oui,out,820768
culottes de peaux,125,non,out,820768
culottes de peaux d'élan,1,non,,37440
culottes de peaux de daim,4,non,,37440
culottes de peaux de mouton,4,non,,37440
culottes de siamoise,1,non,out,820768
culottes de soie,1,non,out,820768
culottes de toile,17,non,out,820768
culottes de velours,1,non,out,820768
culottes de velours de gueux,1,non,out,820768
culottes piquées,1,non,,37440
culs d'artichaut,9,non,out,820768
cumin,352,non,out,820768
cunier,1,non,out,820768
cuny,0,non,out,820768
curcuma,202,non,out,820768
curcuma en poudre,7,non,out,820768
curcuma en racine,7,non,out,820768
curcuma en racine des entrepôts,0,oui,out,820768
curcuma en racines des entrepôts,0,non,,37440
curcuma moulu,79,non,out,820768
curiosité coquillage,2,non,out,820768
curiosité naturelle,2,non,out,820768
curlas,2,non,out,820768
curous,0,non,out,820768
curtas,5,non,out,820768
cuscutes luzerne,3,non,out,820768
custar,3,non,out,820768
custas,15,non,out,820768
custres,1,non,out,820768
cuve,7,non,out,820768
cuve à vin,1,non,out,820768
cuveaux,2,non,out,820768
cuvette de faïence,1,non,out,820768
cuvette de fer-blanc,1,non,out,820768
cuvette de grès,1,non,out,820768
cuvettes de marbre ouvré,2,non,out,820768
cuviers,5,non,out,820768
cuviers de terre,8,non,out,820768
cygnes,7,non,out,820768
cygnes en vie,1,non,out,820768
cylindre,4,non,out,820768
cylindre de fer,3,non,out,820768
cymbales,4,non,out,820768
dais,2,non,out,820768
dais ou faux,1,non,out,820768
dais pour église,1,non,out,820768
dalles,5,non,out,820768
damas,85,non,out,820768
damas à carreaux mandarine,2,non,out,820768
damas à frange d'argent,2,non,out,820768
damas broché et rayé,2,non,out,820768
damas brodé,1,non,out,820768
damas commun,1,non,out,820768
damas cramoisi,3,non,out,820768
damas cramoisi de Gênes,1,non,out,820768
damas de 20 aunes,1,non,out,820768
damas de coton et fil,2,non,out,820768
damas de deux couleurs,3,non,out,820768
damas de fil,1,non,out,820768
damas de la Chine,6,non,out,820768
damas de lin,2,non,out,820768
damas de Lucques,1,non,out,820768
damas de Lyon,3,non,out,820768
damas de Pékin,2,non,out,820768
damas de retour,1,non,,37440
damas de retour faute de vente,1,oui,out,820768
Damas de soie,9,oui,out,820768
damas de soie,10,non,out,820768
damas de Tours,2,non,out,820768
damas des Indes,18,non,out,820768
damas faux,1,non,out,820768
damas jaune,2,non,out,820768
damas noir,1,non,out,820768
damas pour meubles,2,non,out,820768
damas rayé,3,non,out,820768
damas uni,2,non,out,820768
damas vert,2,non,out,820768
damas violet,1,non,out,820768
damasquette,4,non,out,820768
damasquin,1,non,out,820768
damassin,2,non,out,820768
dame-jeannes,328,non,out,820768
dame-jeannes clissées,16,non,out,820768
dame-jeannes clissées et de verres,8,non,out,820768
dame-jeannes cuivré et de verres,1,non,out,820768
dame-jeannes de grès,4,non,out,820768
dame-jeannes de verre,112,non,out,820768
dame-jeannes de verre de 4 pots,1,non,out,820768
dame-jeannes garnies d'osier,1,non,out,820768
dame-jeannes non clissées,1,non,out,820768
dame-jeannes vides,15,non,out,820768
damoiselle de bois,1,non,out,820768
darcas,1,non,,37440
dareau de laine,1,non,out,820768
dariabadis,6,non,out,820768
darins,23,non,out,820768
dattes,330,non,out,820768
dattes et pistaches,31,non,out,820768
dattes sèches,12,non,out,820768
dattes secs et prunes sèches,11,non,out,820768
daubes,1,non,out,820768
dauphine,61,non,out,820768
de haut,2,oui,out,820768
de peu de valeur,2,non,out,820768
de tafia,2,non,out,820768
de ville,2,oui,out,820768
débris de vaisseaux et vieux ouvrages de charpente,8,non,out,820768
déchets d'animaux et sang de bétail,2,non,out,820768
déchets de laine,8,non,out,820768
déchets de laine bourre lanice tontisse,5,oui,out,820768
déchets de laine entière,1,non,out,820768
déchets de laine lanice,1,non,out,820768
déchets de laine tontisse,1,non,out,820768
déchets de laine tontisse et peine,1,non,,37440
déchets de pierre,4,non,out,820768
déchets de poil (rognures et broissiers),1,non,,37440
déchets et débris tourteaux de graine oléagineuse,1,non,,37440
décorations pour carrosses,3,non,out,820768
dégras,23,non,out,820768
dégras d'huile,3,non,out,820768
dégras de peau,56,non,out,820768
déjeuner de vermeil,1,non,out,820768
delimineas,1,non,out,820768
demi drap de Glaster,2,non,,37440
demi guinée bleue,1,non,,37440
demi-ancres vides,1,non,,37440
demi-barriques cerclées de fer,1,non,out,820768
demi-camelot,1,non,,37440
demi-cuirs de bœuf tannés,16,non,out,820768
demi-cuirs forts tannés,1,non,,37440
demi-cuirs tannés,7,non,,37440
demi-cuirs tannés de vache,0,non,out,820768
demi-drap de Glaster,2,non,,37440
demi-drap de laine,1,non,,37440
demi-écarlatine,2,non,,37440
demi-guinée,2,non,out,820768
demi-guinée bleue,3,non,out,820768
demi-indienne,1,non,,37440
demi-meules de moulin,1,non,,37440
demi-peaux de chevreuil,1,non,out,820768
demi-perpétuane,1,non,,37440
demi-picotte,1,non,,37440
demi-planches,5,non,out,820768
demi-planches de Prusse,6,non,,37440
demi-planches de sapin,23,non,,37440
demi-planches de sapin de 3 à 4 pieds de long et de 1 pouce d'épaisseur,2,non,,37440
"demi-planches de sapin de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur",2,non,,37440
"demi-planches de sapin de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur",3,non,out,820768
demi-poutres,6,non,out,820768
demi-scarlatine,1,non,,37440
demi-serge d'Aumale,1,non,,37440
demi-siamoise,1,non,,37440
demi-soucis,1,non,out,820768
demi-taffetas,1,non,,37440
demitte,186,non,out,820768
demitte et futaine,153,non,,37440
demoiselle,12,non,out,820768
demoiselle de 25 pieds,1,non,,37440
demoiselle de bois,1,non,,37440
demoiselle de sapin,2,non,out,820768
denrées coloniales,17,non,out,820768
denrées coloniales et épicerie,22,non,out,820768
dentelle,325,non,out,820768
dentelle à peu de soie,3,non,out,820768
dentelle blanche,2,non,out,820768
dentelle blonde de soie,1,non,out,820768
dentelle commune,63,non,out,820768
dentelle d'Alençon,1,non,out,820768
dentelle d'Andelys,1,non,out,820768
dentelle d'argent,22,non,out,820768
dentelle d'argent et d'or,62,non,out,820768
dentelle d'argent et d'or faux,2,non,out,820768
dentelle d'argent faux,5,non,out,820768
dentelle d'argent fin,6,non,out,820768
dentelle d'or,8,non,out,820768
dentelle d'or et d'argent,12,non,out,820768
dentelle d'or et d'argent faux,3,non,out,820768
dentelle d'or et d'argent fin,5,non,out,820768
dentelle d'or faux,4,non,out,820768
dentelle d'or fin,8,non,out,820768
dentelle de Bretagne,2,non,out,820768
dentelle de Caen,24,non,out,820768
dentelle de chanvre et de lin,8,non,out,820768
dentelle de coton et blonde de coton,18,non,out,820768
dentelle de Dieppe,1,non,out,820768
dentelle de fer,1,non,out,820768
dentelle de fil,454,non,out,820768
dentelle de fil 2 lignes,1,non,out,820768
dentelle de fil blanc,333,non,out,820768
dentelle de fil blanc commune,1,non,out,820768
dentelle de fil blanc de Lille,1,non,out,820768
dentelle de fil commune,71,non,out,820768
dentelle de fil d'Alençon,1,non,out,820768
dentelle de fil d'or faux,1,non,out,820768
dentelle de fil d'or fin,2,non,out,820768
dentelle de fil de ??? et Reims,2,non,out,820768
dentelle de fil de Bergame,1,non,out,820768
dentelle de fil de Caen,9,non,out,820768
dentelle de fil de crin,2,non,out,820768
dentelle de fil de Flandre,10,non,out,820768
dentelle de fil de laine,1,non,out,820768
dentelle de fil de lin,1,non,out,820768
dentelle de fil de Normandie,4,non,out,820768
dentelle de fil de soie,5,non,out,820768
dentelle de fil de Valenciennes,3,non,,37440
dentelle de fil dorure d'argent,2,non,out,820768
dentelle de fil du Puy,70,non,out,820768
dentelle de fil du Puy et ???,2,non,out,820768
dentelle de fil et de soie,10,oui,out,820768
dentelle de fil et soie,61,non,out,820768
dentelle de fil et tulle,31,non,out,820768
dentelle de fil et Valenciennes,3,oui,out,820768
dentelle de fil fine,24,non,out,820768
dentelle de fil grosse,32,non,out,820768
dentelle de Flandre,10,non,out,820768
dentelle de France,2,non,out,820768
dentelle de gaze,1,non,out,820768
dentelle de Gisors,2,non,out,820768
dentelle de Lille,2,non,out,820768
dentelle de Malines,3,non,out,820768
dentelle de Normandie,2,non,out,820768
dentelle de pays,2,non,out,820768
dentelle de Rouen,1,non,out,820768
dentelle de soie,527,non,out,820768
dentelle de soie au quart,1,non,out,820768
dentelle de soie blanche,3,non,out,820768
dentelle de soie blonde,190,non,out,820768
dentelle de soie de Rouen,3,non,out,820768
dentelle de soie et de fil,1,oui,out,820768
dentelle de soie noire,1,non,out,820768
dentelle de toute autre sorte que soie,1,non,out,820768
dentelle de toute sorte,3,oui,,37440
dentelle dorure,5,oui,,37440
dentelle dorure d'argent,12,non,out,820768
dentelle dorure d'argent et d'or,18,non,out,820768
dentelle dorure d'or,7,non,out,820768
dentelle dorure d'or faux,4,non,out,820768
dentelle du Havre,20,non,out,820768
dentelle du pays,2,non,out,820768
dentelle du Puy,191,non,out,820768
dentelle du Puy en soie,1,non,out,820768
dentelle en coiffures et manchettes,1,non,out,820768
dentelle en dorure,5,oui,out,820768
dentelle et blonde,19,non,out,820768
dentelle et galon et passementerie,54,non,out,820768
dentelle et galon et passementerie et ruban,28,non,out,820768
dentelle fine,31,non,out,820768
dentelle grosse,19,non,out,820768
dentelle mi soie,3,non,out,820768
dentelle moyenne,1,non,out,820768
dents d'éléphant,489,non,out,820768
dents d'éléphant d'hippopotame et autres,2,oui,out,820768
dents d'éléphant entières,4,non,out,820768
dents d'éléphant entières des entrepôts,0,non,out,820768
dents d'éléphant sciées,4,non,out,820768
dents d'éléphants d'hippopotame et autres,2,non,,37440
dents d'ivoire,1,non,,37440
dents de cheval marin,4,non,out,820768
dents de chien marin,2,non,out,820768
dents de morphil,103,oui,out,820768
dents de vache marine,15,non,out,820768
dépêche,1,non,,37440
der demi-plat,1,non,out,820768
derle,82,non,out,820768
dés,1,non,out,820768
dés à coudre,38,non,out,820768
dés à coudre de cuivre,6,non,out,820768
dés à coudre de cuivre et fer,1,non,out,820768
dés à coudre de fer,4,non,out,820768
dés à jouer,13,non,out,820768
dés d'acier,4,non,out,820768
dés de cuivre,34,non,out,820768
dés de fer,28,non,out,820768
dés de laiton,10,non,out,820768
déserteur,1,non,,37440
déshabillé,1,non,out,820768
despeigne,1,non,out,820768
dessins de papier,2,non,out,820768
dessus de souliers brodés,2,non,out,820768
dessus de table de marbre,1,non,out,820768
devant d'autel,1,non,out,820768
devant de vestes,48,non,out,820768
devant de vestes de basin,1,non,out,820768
dévidoir,2,non,out,820768
diables de mer,8,non,out,820768
diactamy en fleurs,1,non,out,820768
diagedum,1,non,out,820768
diagrede,1,non,out,820768
dialbequier,1,non,out,820768
diamants,1,non,out,820768
diamants brutes,1,non,out,820768
diamants bruts,3,non,out,820768
diamants fins,2,non,out,820768
diamants perles et pierres fines,50,non,out,820768
diamants perles et pierres fines non montés,13,non,out,820768
diamants taillés,6,non,out,820768
dictame,11,non,out,820768
dictionnaire du commerce,1,non,out,820768
dictionnaire hollandais,1,non,out,820768
digilence comlète,1,oui,,37440
diligence complète,1,non,,37440
dimelle,1,non,out,820768
dimitte et futaine,2,oui,out,820768
dindes,8,non,out,820768
dindonneaux,10,non,out,820768
dindons,37,non,out,820768
dissouchaye,38,non,out,820768
distillats,2,non,out,820768
ditors,2,non,out,820768
divers,9699,non,out,820768
dividivi,1,non,out,820768
doloirs,1,non,out,820768
domino,2,non,out,820768
dominoterie,134,non,out,820768
dominoterie en images,10,non,out,820768
dominoterie et cartes géographiques,2,non,out,820768
doraze,4,non,out,820768
doréas,9,non,out,820768
doréas brodées en couleur,1,non,out,820768
doréas de Zurich,2,non,out,820768
doréas mega,1,non,,37440
dorpins en pierre,0,non,out,820768
dorure,13,non,out,820768
dorure de Zurich,1,non,out,820768
dorure en galon fine,4,non,out,820768
dorure et soie,1,non,out,820768
dorure fausse,78,non,out,820768
dorure fausse en or et argent,5,non,out,820768
dorure fausse en or et argent battu tiré et laminé,8,non,out,820768
dorure fausse en paillettes,1,non,,37440
dorure fausse et fine,1,non,out,820768
dorure fine,780,non,out,820768
dorure fine en galon,2,non,,37440
dorure fine en galon d'or,1,oui,out,820768
dorure fine fil d'or passementerie,1,non,,37440
dorure fine sur soie,1,oui,out,820768
dos gorges et ventres de fouines martes et renard,2,non,out,820768
dos gorges et ventres de petit gris,2,non,out,820768
dospin en pierre,2,non,out,820768
dossiers de chaises,11,non,out,820768
dossiers de lit en satin,2,non,,37440
dossiers de lit en satin brodé,2,non,,37440
doublage de bois de pin,1,non,out,820768
doublures de martre pour habits,3,non,out,820768
doublures de petis gris,1,non,out,820768
douelle de chêne,1,non,,37440
douelles,202,non,out,820768
douelles à barils,17,oui,out,820768
douelles à barricages,2,oui,out,820768
douelles à barriques,83,oui,out,820768
douelles à barriques 3m 1/8,1,oui,out,820768
douelles à barriques neuves,1,oui,out,820768
douelles à barriques vieilles,3,oui,out,820768
douelles à bottes,1,oui,out,820768
douelles à bure,1,oui,,37440
douelles à buses,2,oui,out,820768
douelles à cave,1,oui,out,820768
douelles à cuve,1,oui,out,820768
douelles à fond,12,oui,out,820768
douelles à fonds,9,oui,,37440
douelles à pièce,1,oui,out,820768
douelles à pipes,70,oui,out,820768
douelles à poinçons,1,oui,out,820768
douelles à quart,7,oui,out,820768
douelles à tierçons,3,oui,out,820768
douelles à tonneau,167,oui,out,820768
douelles à tonneau vieilles,1,oui,out,820768
douelles de 4 pieds,1,non,,37440
douelles de 5 pieds,1,non,,37440
douelles de chêne,3,non,out,820768
douelles de chêne de 3 pieds,1,non,,37440
douelles de chêne de 4 pieds,1,non,,37440
douelles de chêne de 5 pieds,1,non,,37440
douelles de sapin,15,non,out,820768
douelles de sapin de 3 pieds,1,non,,37440
douelles en barriques,1,oui,out,820768
douelles fonçaille,2,non,out,820768
douelles fonçaille 2m 1/2,1,oui,out,820768
douelles ganivelles,6,oui,out,820768
douelles merrains à quart,1,oui,,37440
douelles merrains pour quarts,1,oui,,37440
douelles pour barils,52,non,,37440
douelles pour barricages,1,non,,37440
douelles pour barrique,2,non,out,820768
douelles pour barriques,337,non,,37440
douelles pour barriques 3m 1/8,1,non,,37440
douelles pour barriques neuves,1,non,,37440
douelles pour barriques vieilles,3,non,,37440
douelles pour bœuf,2,non,,37440
douelles pour bordage,1,non,,37440
douelles pour bottes,2,non,,37440
douelles pour bure,1,non,,37440
douelles pour buses,3,non,,37440
douelles pour cave,1,non,,37440
douelles pour cuve,1,non,,37440
douelles pour fonds,18,non,out,820768
douelles pour pièce,1,non,,37440
douelles pour pipes,286,non,,37440
douelles pour poinçons,1,non,,37440
douelles pour quarts,51,non,,37440
douelles pour tierçons,16,non,,37440
douelles pour tonneau,10,non,,37440
douelles pour tonneaux,165,non,,37440
douelles pour tonneaux vieilles,1,non,,37440
douelles vieilles,3,non,out,820768
douelles vieilles à barriques,3,oui,out,820768
douelles vieilles pour barriques,3,non,,37440
dousoutis,1,non,,37440
doutis,8,non,out,820768
doutis blancs,2,non,out,820768
doutis bleus,1,non,out,820768
douvain,1,non,out,820768
douvelles,1,non,out,820768
douvelles de sapin,1,non,out,820768
douves,3,non,out,820768
douves à tonneaux,4303,non,out,820768
douves de deux pouces,2,non,out,820768
douves de la foire de Beaucaire,1,non,,37440
douves vielles,1,non,,37440
dracodium,1,non,out,820768
dragées,139,non,out,820768
dragées de Keyser,3,non,out,820768
dragonnes,3,non,out,820768
dragonnes d'épée,1,non,out,820768
drague de bière,2,non,out,820768
drague de soie,1,non,out,820768
drap,1422,non,out,820768
drap ???,1,non,,37440
drap 20 lignes,1,oui,out,820768
drap à doubler,4,non,out,820768
drap à la valeur,1,oui,out,820768
drap à matelot,1,non,out,820768
drap à nègre,2,non,out,820768
drap à sucre,6,non,out,820768
drap anglais,1,non,out,820768
drap au ??? de soie,0,non,,37440
drap au quart de soie,3,non,,37440
drap au sixième de soie,7,non,out,820768
drap avarié,7,non,out,820768
drap blanc,126,non,out,820768
drap blanc d'Espagne,3,non,out,820768
drap blanc de Bremer,4,non,out,820768
drap blanc de douzaine,26,non,out,820768
drap blanc de douzaine aune,1,oui,out,820768
drap blanc de Hollande,1,non,out,820768
drap blanc de laine,1,oui,out,820768
drap blanc du Nord,3,non,out,820768
drap blanc et écarlate,1,non,out,820768
drap blanc fin,2,non,out,820768
drap blanc par aune,2,oui,out,820768
drap bleu,2,non,out,820768
drap bleu gros,1,non,out,820768
drap bouthouchou,1,non,,37440
drap brodé au ciseau en soie,1,non,out,820768
drap brodé de soie,20,non,out,820768
drap brodé en or et argent,5,non,out,820768
drap brodé en soie,3,oui,out,820768
drap buras,1,non,out,820768
drap bure,1,non,out,820768
drap cad ???,1,non,out,820768
drap cammise,2,non,out,820768
drap commun,326,non,out,820768
drap commun d'Angleterre,1,non,out,820768
drap cordeillat,41,oui,out,820768
drap cordeillat de Colmar,2,oui,out,820768
drap cosinis,1,non,out,820768
drap crêpe,2,non,out,820768
drap crêpe de Reims,4,non,out,820768
drap d',3,non,out,820768
drap d'Abbeville,115,non,out,820768
drap d'Abbeville Valenciennes,1,non,out,820768
drap d'Amboise,1,non,out,820768
drap d'Amiens,38,non,out,820768
drap d'Andelys,28,non,out,820768
drap d'Angleterre,36,non,out,820768
drap d'Angleterre aune,1,oui,out,820768
drap d'Angleterre des prises,3,non,out,820768
drap d'Angleterre et drap d'Espagne et drap de Hollande,11,non,out,820768
drap d'Angleterre noir,1,non,out,820768
drap d'argent et d'or et de soie,1,non,out,820768
drap d'Arnetal,40,non,out,820768
drap d'aucrin,1,non,out,820768
drap d'Aumale,2,non,out,820768
drap d'Auvergne,1,non,,37440
drap d'Elbeuf,608,non,out,820768
drap d'Elbeuf de retour,2,non,out,820768
drap d'Elbeuf de velours,1,non,out,820768
drap d'Espagne,18,non,out,820768
drap d'Espagne aune,1,oui,out,820768
drap d'Espagne teint,3,non,out,820768
drap d'estames,1,non,out,820768
drap d'étoupes,1,oui,,37440
drap d'or et d'argent fin,2,non,out,820768
drap Damas,1,non,out,820768
drap dauphine,113,non,out,820768
drap de ?,0,non,out,820768
drap de 20 lignes,1,non,,37440
drap de Beauvais,12,non,out,820768
drap de Bergopzoom,1,non,out,820768
drap de billard,2,non,out,820768
drap de Bolbec,1,non,out,820768
drap de Bourbon,1,non,out,820768
drap de bourbon peint,1,non,out,820768
drap de Carcassonne,218,non,out,820768
drap de Carcassonne de 20 aunes,1,non,,37440
drap de Carcassonne et écarlate,1,non,out,820768
drap de Carcassonne fin,1,non,out,820768
drap de castor,83,non,out,820768
drap de castor par aune,2,oui,out,820768
drap de cave à l'homme,1,non,,37440
drap de cérémonie,2,non,out,820768
drap de Champagne,1,non,out,820768
drap de Cherbourg,1,non,out,820768
drap de Cobras gros,1,non,out,820768
drap de Colmar,6,non,out,820768
drap de cordeillat,3,oui,out,820768
drap de coton,21,non,out,820768
drap de coton de Rouen,1,non,out,820768
drap de coton et de fil,2,non,out,820768
drap de coton et étoffe de coton,25,non,out,820768
drap de coton et teint,1,non,out,820768
drap de coton et velours,1,non,out,820768
drap de coton et velours de coton,5,non,out,820768
drap de coton imprimé,4,non,out,820768
drap de Cours,1,non,,37440
drap de Darnétal,26,non,out,820768
drap de dauphine,1,non,out,820768
drap de dorure et soie,1,non,out,820768
drap de douzaine,15,non,out,820768
drap de douzaine et teint,1,oui,out,820768
drap de douzaine teint,13,non,,37440
drap de douzaine teint aune,1,oui,out,820768
drap de droguet,18,oui,out,820768
drap de Falaise,3,non,out,820768
drap de fil rouge,1,non,out,820768
drap de fil vieux,1,non,out,820768
drap de France,92,non,out,820768
drap de Glasier,1,oui,out,820768
drap de Glaster,4,non,out,820768
drap de glaster,0,oui,out,820768
drap de glastes,2,oui,out,820768
drap de Glates,1,oui,out,820768
drap de Glouster,0,oui,out,820768
drap de Hollande,12,non,out,820768
drap de Hollande teint,11,non,out,820768
drap de julienne,22,non,out,820768
drap de Korook,1,non,out,820768
drap de la Bouille,2,non,out,820768
drap de laie,3,oui,,37440
drap de laine,11,non,out,820768
drap de laine ???,1,oui,,37440
drap de laine au ??? de soie,0,oui,out,820768
drap de laine au quart de soie,3,oui,out,820768
drap de laine avarié,1,oui,out,820768
drap de laine brodé de soie,1,oui,out,820768
drap de laine capots capots,1,oui,,37440
drap de laine commun,273,oui,out,820768
drap de laine cordeillat,25,oui,out,820768
drap de laine d'Amiens,10,oui,out,820768
drap de laine d'Andelys,9,oui,out,820768
drap de laine d'Angleterre,2,oui,,37440
drap de laine d'Auvergne,1,oui,,37440
drap de laine d'Elbeuf,212,oui,out,820768
drap de laine de 20 lignes,1,oui,,37440
drap de laine de Beauvais,5,oui,out,820768
drap de laine de Carcassonne,1,oui,,37440
drap de laine de cordeillat,5,oui,out,820768
drap de laine de Cours,1,oui,out,820768
drap de laine de dorure et soie,1,oui,,37440
drap de laine de Lille,15,oui,out,820768
drap de laine de Louviers,123,oui,out,820768
drap de laine de Lyon,2,oui,,37440
drap de laine de Montauban,21,oui,,37440
drap de laine de Nanrabais,4,oui,out,820768
drap de laine de Poitou,1,oui,,37440
drap de laine de Reims,1,oui,,37440
drap de laine de Saint-Robert,12,oui,out,820768
drap de laine de Sedan,0,oui,out,820768
drap de laine de Van Robais,51,oui,out,820768
drap de laine de Vir,1,oui,out,820768
drap de laine des prises,1,oui,,37440
drap de laine diverse,0,oui,out,820768
drap de laine draperie diverse,0,oui,out,820768
drap de laine du Languedoc,2,oui,,37440
drap de laine écarlate,7,oui,,37440
drap de laine élastique,1,non,,37440
drap de laine en échantillon et lisères,1,oui,,37440
drap de laine et de soie,1,non,out,820768
drap de laine et petits et étoffe,66,oui,out,820768
drap de laine fin,108,oui,out,820768
drap de laine fin et drap de laine,1,oui,,37440
drap de laine fin ordinaire et petit,1,oui,,37440
drap de laine frac,2,oui,,37440
drap de laine gros,2,oui,out,820768
drap de laine grossier,4,oui,,37440
drap de laine iada,1,oui,,37440
drap de laine layette,5,oui,,37440
drap de laine londrin,79,oui,out,820768
drap de laine molleton,47,oui,,37440
drap de laine motton,8,oui,,37440
drap de laine moutade,1,oui,,37440
drap de laine ordinaire,387,oui,,37440
drap de laine peint,2,oui,,37440
drap de laine petit,704,oui,,37440
drap de laine pour billau,1,oui,,37440
drap de laine pour doublures,3,oui,,37440
drap de laine pour les troupes,4,oui,out,820768
drap de laire grossier,2,oui,,37440
drap de Languedoc,150,non,out,820768
drap de Languedoc de velours,1,non,,37440
drap de Languedoc ordinaire,1,non,out,820768
drap de Languenan,1,non,out,820768
drap de Latte,1,non,out,820768
drap de Lille,34,non,out,820768
drap de Limbourg,16,non,out,820768
drap de Limoux,3,non,out,820768
drap de lin,13,non,out,820768
drap de lin ayant servi,2,non,out,820768
drap de lin vieux,8,non,out,820768
drap de linge commun,1,non,out,820768
drap de lit,70,non,out,820768
drap de lit ayant servi,2,non,out,820768
drap de lit commun,1,non,out,820768
drap de lit de lin,1,non,out,820768
drap de lit neuf,1,non,out,820768
drap de lit ou linceuls,2,non,out,820768
drap de lit toile de lin,1,non,out,820768
drap de lit vieux,33,non,out,820768
drap de Lodève,23,non,out,820768
drap de Londrin,3,oui,out,820768
drap de londrin,82,oui,,37440
drap de Louviers,394,non,out,820768
drap de Louviers au sixième de soie,1,non,out,820768
drap de Lyon,3,non,out,820768
drap de Maroc,1,non,,37440
drap de montagne,6,non,out,820768
drap de Montauban,36,non,out,820768
drap de Montauban petite,1,oui,out,820768
drap de Moucu,3,non,out,820768
drap de Nanrabais,4,non,,37440
drap de Nîmes,1,non,out,820768
drap de Nison,1,non,out,820768
drap de Normandie,2,non,out,820768
drap de pagnon,1,non,out,820768
drap de Panguede,4,non,out,820768
drap de Picardie,71,non,out,820768
drap de Pie,1,oui,out,820768
drap de Pie aune,1,oui,out,820768
drap de Poitou,2,non,out,820768
drap de Reims,1,non,out,820768
drap de Reims fil ???,1,non,out,820768
drap de Rome,1,non,out,820768
drap de Romorantin,1,non,,37440
drap de Romorntin,1,oui,out,820768
drap de Rouen,28,non,out,820768
drap de Saint-Lô,1,non,out,820768
drap de Saint-Robert,12,non,,37440
drap de Sedan,310,non,out,820768
drap de Sedan 220 lignes,1,non,out,820768
drap de Sedan 25 lignes,1,non,out,820768
drap de Sedan 78 lignes,1,non,out,820768
drap de Sedan de retour,1,non,out,820768
drap de Sedan de velours,1,non,out,820768
drap de Ségovie,1,non,out,820768
drap de Silésie,204,non,out,820768
drap de Sir,2,non,out,820768
drap de soie,11,non,out,820768
drap de Soudrain,6,non,out,820768
drap de Souvier,1,non,out,820768
drap de toile de lin,1,non,out,820768
drap de Tours,1,non,out,820768
drap de Van Robais,73,non,out,820768
drap de vere,2,non,out,820768
drap de vigogne,1,non,out,820768
drap de Vir,18,non,out,820768
drap demi fin de laine,1,non,out,820768
drap des prise,11,oui,out,820768
drap des prises,17,non,out,820768
drap divers ???,8,non,out,820768
drap divers de laine,11,oui,,37440
drap drache,9,non,out,820768
drap drapée,4,non,out,820768
drap draperie ???,1,oui,out,820768
drap du Berry,4,non,out,820768
drap du Dauphiné,1,non,out,820768
drap du Languedoc,2,non,out,820768
drap du Languedoc de velours,1,oui,out,820768
drap du Languedoc ordinaire,1,oui,,37440
drap du Nord,12,non,out,820768
drap du Nord teint,6,non,out,820768
drap du pays,1,non,out,820768
drap du Poitou,1,oui,out,820768
drap du sceau,1,non,out,820768
drap écarlate,178,non,out,820768
drap écarlate de France,2,non,out,820768
drap écarlate des prises,1,non,out,820768
