goods_simpl_classification,nbr_occurences_simpl,coffee_classification,obsolete,nbr_occurences_hamburg,nbr_occurences_coffee
,3043,Not coffee,non,442379,551912
???,90,Not coffee,non,442379,551912
??? blanc,2,Not coffee,non,442379,551912
??? brun,2,Not coffee,non,442379,551912
??? d'Anjou et de Touraine,1,Not coffee,non,442379,551912
??? d'argent,1,Not coffee,non,442379,551912
??? d'une valeur moindre de deux mille francs chacun,473,Not coffee,non,442379,551912
??? de boutard,1,Not coffee,non,442379,551912
??? de fer,2,Not coffee,non,442379,551912
??? de morue,1,Not coffee,non,442379,551912
??? de nacre de perle,1,Not coffee,non,442379,551912
??? des ci-devant provinces d'Alsace,1,Not coffee,non,442379,551912
??? des ci-devant provinces de Bourgogne,1,Not coffee,non,442379,551912
??? des ci-devant provinces de Provence,2,Not coffee,non,442379,551912
??? des ci-devant provinces du Languedoc,1,Not coffee,non,442379,551912
??? diverses,4,Not coffee,non,442379,551912
??? fer,1,Not coffee,non,442379,551912
??? forts de fer,1,Not coffee,non,442379,551912
??? gras,1,Not coffee,non,442379,551912
??? particulièrement en chevaux,6,Not coffee,non,442379,551912
??? pieds,1,Not coffee,non,442379,551912
??? pruneaux,1,Not coffee,non,442379,551912
??? raisins secs,1,Not coffee,non,442379,551912
???sse,1,Not coffee,non,442379,551912
?ufs,1,Not coffee,non,442379,551912
à jamis,276,Not coffee,non,442379,551912
abassis,4,Not coffee,non,442379,551912
abats,2,Not coffee,non,442379,551912
abattis de morue,1,Not coffee,non,442379,551912
abricots confits,1,Not coffee,non,442379,551912
absinthe,19,Not coffee,non,442379,551912
acacia,5,Not coffee,non,442379,551912
acacia germanica,1,Not coffee,non,442379,551912
acacia vera,1,Not coffee,non,442379,551912
acajou,1,Not coffee,non,442379,551912
acétate d'étain,0,Not coffee,oui,442379,551912
acétate de fer,0,Not coffee,oui,442379,551912
acétates d'étain,1,Not coffee,non,442379,551912
acétates de fer,3,Not coffee,non,9794,551912
acétates de plomb,29,Not coffee,non,3536,551912
acétates de plomb sel de Saturne,2,Not coffee,non,3536,551912
acétates de potasse et de soude,2,Not coffee,non,708,551912
acétates de sel d'étain,1,Not coffee,non,442379,551912
achia,7,Not coffee,non,442379,551912
acide arsénieux,8,Not coffee,non,442379,551912
acide benzoïque,1,Not coffee,non,442379,551912
acide benzoïque et phosphorique,2,Not coffee,non,442379,551912
acide borique,3,Not coffee,non,442379,551912
acide borique et benzoïque,2,Not coffee,non,442379,551912
acide citrique,2,Not coffee,non,442379,551912
acide citrique et muriatique et phosphorique,2,Not coffee,non,442379,551912
acide citrique et oxalique et tartrique,2,Not coffee,non,442379,551912
acide de potasse crème de tartre,5,Not coffee,non,1470,551912
acide de potasse crème de tartre et tartrate,0,Not coffee,oui,1470,551912
acide de potasse lie de vin desséché et liquide,4,Not coffee,non,708,551912
acide de potasse lie de vin desséché et liquide et tartrate,0,Not coffee,oui,708,551912
acide de potasse lie de vin desséchée,3,Not coffee,non,708,551912
acide de potasse lie de vin desséchée et tartrate,0,Not coffee,oui,708,551912
acide de potasse lie de vin liquide,2,Not coffee,non,708,551912
acide de potasse lie de vin liquide et tartrate,0,Not coffee,oui,708,551912
acide de potasse tartre brut impur,2,Not coffee,non,1470,551912
acide de potasse tartre brut impur et tartrate,0,Not coffee,oui,708,551912
acide muriatique,1,Not coffee,non,442379,551912
acide muriatique et nitrique et phosphorique,3,Not coffee,non,442379,551912
acide muriatique et nitro-muriatique,2,Not coffee,non,442379,551912
acide nitrique,4,Not coffee,non,442379,551912
acide oxalique,2,Not coffee,non,442379,551912
acide phosphorique,2,Not coffee,non,442379,551912
acide succinique,1,Not coffee,non,442379,551912
acide tartrique,2,Not coffee,non,442379,551912
acide vitriolique,4,Not coffee,non,1044,551912
acide vitriolique et huile de vitriol,109,Not coffee,non,1044,551912
acide vitrioliques et huile de vitriol,0,Not coffee,oui,1044,551912
acier,1679,Not coffee,non,442379,551912
acier battu forgé ou laminé,1,Not coffee,non,442379,551912
acier battu forgé ou laminé et fer carbonaté,0,Not coffee,oui,9794,551912
acier brun,1,Not coffee,non,442379,551912
acier brut,10,Not coffee,non,442379,551912
acier commun,1,Not coffee,non,442379,551912
acier en barres,6,Not coffee,non,442379,551912
acier en bottes pour la Compagnie des Indes,1,Not coffee,non,442379,551912
acier et clous,1,Not coffee,non,442379,551912
acier et fer,356,Not coffee,non,9794,551912
acier filé et fer carburé,0,Not coffee,oui,9794,551912
acier fondu en carreaux ou en tôle,5,Not coffee,non,442379,551912
acier fondu en carreaux ou en tôle et fer carburé,0,Not coffee,oui,9794,551912
acier fondu forgé,1,Not coffee,non,442379,551912
acier fondu forgé et fer carbonaté,0,Not coffee,oui,9794,551912
acier forgé,7,Not coffee,non,442379,551912
acier forgé et fer carburé,0,Not coffee,oui,9794,551912
acons,1,Not coffee,non,442379,551912
acons démontés,20,Not coffee,non,442379,551912
acons démontés en gabare,2,Not coffee,non,442379,551912
acorus,5,Not coffee,non,442379,551912
acuirson,1,Not coffee,non,442379,551912
acume de cuivre,1,Not coffee,non,442379,551912
adatais,3,Not coffee,non,442379,551912
affûts,2,Not coffee,non,442379,551912
affûts de bois,1,Not coffee,non,442379,551912
affûts de canons,11,Not coffee,non,442379,551912
affûts de fer,1,Not coffee,non,442379,551912
affûts de fusils,1,Not coffee,non,442379,551912
affûts de fûts à canons,1,Not coffee,non,442379,551912
affûts et canons,1,Not coffee,non,442379,551912
agaric,138,Not coffee,non,442379,551912
agaric amadouvier,6,Not coffee,non,442379,551912
agaric amadouvier brut,4,Not coffee,non,442379,551912
agaric amadouvier brut et préparé,12,Not coffee,non,442379,551912
agaric amadouvier préparé,6,Not coffee,non,442379,551912
agaric brut et préparé,6,Not coffee,non,442379,551912
agaric de mélèze,4,Not coffee,non,442379,551912
agaric et amadouvier,0,Not coffee,oui,442379,551912
agaric fin,1,Not coffee,non,442379,551912
agaric gros,2,Not coffee,non,442379,551912
agate,11,Not coffee,non,442379,551912
agate autre que chique et ouvrages,2,Not coffee,non,442379,551912
agate autre que chique et ouvrée,0,Not coffee,oui,442379,551912
agate brute,4,Not coffee,non,442379,551912
agate chique et ouvrée,0,Not coffee,oui,442379,551912
agate en pierres,1,Not coffee,non,442379,551912
agate fine,1,Not coffee,non,442379,551912
agate montée,1,Not coffee,non,442379,551912
agate ouvrée,0,Not coffee,oui,442379,551912
agneaux,117,Not coffee,non,442379,551912
agneaux communs,8,Not coffee,non,442379,551912
agneaux en vie,5,Not coffee,non,442379,551912
agneaux et cabris,1,Not coffee,non,442379,551912
agneaux mérinos et métis,7,Not coffee,non,442379,551912
agnelines et crottelins,1,Not coffee,non,442379,551912
agobille,1,Not coffee,non,442379,551912
agoutals,4,Not coffee,non,442379,551912
agoutals de bois,5,Not coffee,non,442379,551912
agrément,15,Not coffee,non,442379,551912
agrément au quart,3,Not coffee,non,442379,551912
agrément d'argent,2,Not coffee,non,442379,551912
agrément d'or,1,Not coffee,non,442379,551912
agrément d'or et d'argent,5,Not coffee,non,442379,551912
agrément de fil,9,Not coffee,non,442379,551912
agrément de fil et de soie,3,Not coffee,non,442379,551912
agrément de fleur,1,Not coffee,non,442379,551912
agrément de soie,57,Not coffee,non,442379,551912
agrément de soie et d'argent,1,Not coffee,non,442379,551912
agrément de soie et fil,0,Not coffee,oui,442379,551912
agrément de soie or et argent faux,1,Not coffee,non,442379,551912
agréments de soie et milleret,1,Not coffee,non,442379,551912
agréments et milleret,1,Not coffee,non,442379,551912
agrès,12,Not coffee,non,442379,551912
agrès apparaux de navire et embarcations,6,Not coffee,non,442379,551912
agrès apparaux et embarcations,2,Not coffee,non,442379,551912
agrès de navire,0,Not coffee,oui,442379,551912
agrès de navire en voile,0,Not coffee,oui,442379,551912
agrès de navire et jeux de voile,10,Not coffee,non,442379,551912
agrès et apparaux,1,Not coffee,non,442379,551912
agrès et apparaux d'or navire,1,Not coffee,non,442379,551912
agrès et bâtiments de mer,10,Not coffee,non,442379,551912
agrès et embarcations,8,Not coffee,non,442379,551912
agrès et voile de navire,1,Not coffee,non,442379,551912
agrès et voiles de navire,0,Not coffee,oui,442379,551912
aigles,1,Not coffee,non,442379,551912
aigre de cèdre,9,Not coffee,non,442379,551912
aigre de cidre,5,Not coffee,non,442379,551912
aigre de vitriol,17,Not coffee,non,1044,551912
aigrettes,10,Not coffee,non,442379,551912
aigrettes de fil d'or et d'argent,1,Not coffee,non,442379,551912
aigrettes de soie,1,Not coffee,non,442379,551912
aigrettes de soie et argent,1,Not coffee,non,442379,551912
aigrettes et bavolets,1,Not coffee,non,442379,551912
aiguières d'étain,1,Not coffee,non,442379,551912
aiguilles,209,Not coffee,non,442379,551912
aiguilles à boîtes,1,Not coffee,non,442379,551912
aiguilles à coudre,61,Not coffee,non,442379,551912
aiguilles à coudre voiles,1,Not coffee,non,442379,551912
aiguilles à ralingue,1,Not coffee,non,442379,551912
aiguilles à tabac,1,Not coffee,non,442379,551912
aiguilles à toile,1,Not coffee,non,442379,551912
aiguilles d'emballage,2,Not coffee,non,442379,551912
aiguilles de mercerie fine,1,Not coffee,non,442379,551912
aiguilles epars de sapin,1,Not coffee,non,442379,551912
