simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
boutons de fil et d'argent,1,Mercerie,non,7064
"boutons de fil, boutons de soie et boutons d'or",1,Mercerie,non,7064
boutons de forget,1,Mercerie,non,7064
boutons de gay,2,Mercerie,non,7064
boutons de jais,13,Mercerie,non,7064
boutons de jais et collier de jais et dentelle de jais,0,Mercerie,non,7064
boutons de laiton,4,Mercerie,non,7064
boutons de livrée,1,Mercerie,non,7064
boutons de manches,5,Mercerie,non,7064
boutons de métal,6,Mercerie,non,7064
boutons de métal doré,0,Mercerie,non,7064
boutons de nacre,5,Mercerie,non,7064
boutons de nacre de perle et boutons de jais,0,Mercerie,non,7064
boutons de nacre de perles,0,Mercerie,non,7064
boutons de pinsbeck,3,Mercerie,non,7064
boutons de poil,34,Mercerie,non,7064
boutons de poil de chèvre,9,Mercerie,non,7064
boutons de poil de soie,5,Mercerie,non,7064
boutons de soie,18,Mercerie,non,7064
boutons de soie en once,1,Mercerie,non,7064
boutons de tombac,1,Mercerie,non,7064
boutons de tombac doré,0,Mercerie,non,7064
boutons de trait d'argent et d'or fin,0,Mercerie,non,7064
boutons de verre,4,Mercerie,non,7064
boutons de verre émaillés,1,Mercerie,non,7064
boutons en médailles,1,Mercerie,non,7064
boutons et galon d'or,2,Mercerie,non,7064
boutons et galon d'or et d'argent,1,Mercerie,non,7064
boutons et galons d'argent et d'or,1,Mercerie,non,7064
boutons masquinés,0,Mercerie,non,7064
boutons or trait,3,Mercerie,non,7064
bouts de chêne,1,Mercerie,non,7064
bouts de corne,2,Fleurs artificielles et ouvrages de mode,non,1612
bouts de planche,1,"Ouvrages de bois, liège et jonc",non,32327
bouts de planches et planches de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
boutty,1,Produits inconnus,non,7059
bouvillons,3,Animaux,non,3801
bouvillons et génisses,4,Animaux,non,3801
bouvillons et génisses et taurillons,2,Animaux,non,3801
boyaux,5,Chairs et œufs,non,7822
boyaux de bœuf,1,Chairs et œufs,non,7822
boyaux de bœuf salés,1,Chairs et œufs,non,7822
boyaux de mouton,3,Chairs et œufs,non,7822
boyaux de mouton salés,3,Chairs et œufs,non,7822
boyaux et nerfs,2,Chairs et œufs,non,7822
boyaux préparés et secs,2,Chairs et œufs,non,7822
boyaux salés,80,Chairs et œufs,non,7822
bozemin,1,Produits inconnus,non,7059
bracelets,0,Bijouterie et pierres fines,non,1456
bracelets de crin,2,Bijouterie et pierres fines,non,1456
bracelles,5,Produits inconnus,non,7059
brai,507,"Brai, goudron et résines",non,8389
brai ???,1,"Brai, goudron et résines",non,8389
brai ??? brai,1,"Brai, goudron et résines",non,8389
brai ??? goudron,2,"Brai, goudron et résines",non,8389
brai ??? goudron résines,1,"Brai, goudron et résines",non,8389
brai ??? pox noire,1,"Brai, goudron et résines",non,8389
brai à brasser,0,"Brai, goudron et résines",non,8389
brai arcanson,1,"Brai, goudron et résines",non,8389
brai colophane et sec et résines d'huile,2,"Brai, goudron et résines",non,8389
brai de goudron,9,"Brai, goudron et résines",non,8389
brai de poix,2,"Brai, goudron et résines",non,8389
brai de poix blanche et noire,2,"Brai, goudron et résines",non,8389
brai de poix noire,1,"Brai, goudron et résines",non,8389
brai de poix résines,3,"Brai, goudron et résines",non,8389
brai eau de raze,5,Drogues diverses,non,10513
brai et eau de rose,1,Drogues diverses,non,10513
brai et goudron,510,"Brai, goudron et résines",non,8389
brai et goudron et eau de raze,1,"Brai, goudron et résines",non,8389
brai et goudron et galipot et résines,23,"Brai, goudron et résines",non,8389
brai et goudron et poix,1,"Brai, goudron et résines",non,8389
brai et goudron et poix et résines,99,"Brai, goudron et résines",non,8389
brai et goudron et résines,542,"Brai, goudron et résines",non,8389
brai et goudron et térébenthine,7,Drogues diverses,non,10513
brai et poix,1,"Brai, goudron et résines",non,8389
brai et poix blanche,2,"Brai, goudron et résines",non,8389
brai et poix blanche et poix noire,1,"Brai, goudron et résines",non,8389
brai et poix noire,1,"Brai, goudron et résines",non,8389
brai et poix résines,1,"Brai, goudron et résines",non,8389
brai et résines,21,"Brai, goudron et résines",non,8389
brai et térébenthine,2,Drogues diverses,non,10513
brai galipot,1,"Brai, goudron et résines",non,8389
brai goudron ???,3,"Brai, goudron et résines",non,8389
brai gras,669,"Brai, goudron et résines",non,8389
brai gras et goudron,24,"Brai, goudron et résines",non,8389
brai gras et sec,1,"Brai, goudron et résines",non,8389
brai gras goudron,5,"Brai, goudron et résines",non,8389
brai gras ou goudron,3,"Brai, goudron et résines",non,8389
brai gros,12,"Brai, goudron et résines",non,8389
brai gros et goudron,2,"Brai, goudron et résines",non,8389
brai poix de Bourgogne,1,"Brai, goudron et résines",non,8389
brai poix noire,1,"Brai, goudron et résines",non,8389
brai raffiné,2,"Brai, goudron et résines",non,8389
brai raze,2,"Brai, goudron et résines",non,8389
brai sec,657,"Brai, goudron et résines",non,8389
brai sec colophane résines d'huile,5,"Brai, goudron et résines",non,8389
brai sec en galipot,3,"Brai, goudron et résines",non,8389
brai sec et résines,9,"Brai, goudron et résines",non,8389
brai sec résines d'huile,2,"Brai, goudron et résines",non,8389
"brai, goudron et résine",1,"Brai, goudron et résines",non,8389
brancards,3,"Ouvrages de bois, liège et jonc",non,32327
brancards de balance de fer,1,Ouvrages métalliques,non,20598
brancards de chaises,1,Ouvrages divers et mélangés,non,16505
brancards de fer,7,Ouvrages métalliques,non,20598
brancards et leurs escales,2,"Ouvrages de bois, liège et jonc",non,32327
branches de buis,1,Bois divers hors combustible,non,12455
brandade,1,Pêche et fruits de mer,non,13709
brandans,14,Produits inconnus,non,7059
brandebourg,1,Textiles manufacturés divers et mélangés,non,1795
brandebourg d'or,2,Textiles manufacturés divers et mélangés,non,1795
brandebourg de fil,1,Textiles manufacturés divers et mélangés,non,1795
brandebourg de soie,1,Soieries diverses,non,3516
brandiers,1,Produits inconnus,non,7059
brandins,4,Chevaux et bêtes de somme,non,1548
bras de bois à chandelle,1,"Ouvrages de bois, liège et jonc",oui,32327
bras de bois pour chandelle,1,"Ouvrages de bois, liège et jonc",non,32327
bras de cheminée,4,Produits inconnus,non,7059
bras de soie,1,Soieries diverses,non,3516
braserie,1,Produits inconnus,non,7059
brasserie,0,Produits inconnus,non,7059
braux,1,Produits inconnus,non,7059
brebis,24,Animaux,non,3801
brebis en vie,1,Animaux,non,3801
brebis et moutons,14,Animaux,non,3801
brebis et moutons mérinos et métis,7,Animaux,non,3801
Brésil,1,Matières brutes et transformées pour teinture,non,17255
bresillet,1,Matières brutes et transformées pour teinture,non,17255
brian,1,Produits inconnus,non,7059
brides,4,Cordonnerie et sellerie,non,2064
brides argentées,1,Cordonnerie et sellerie,non,2064
bridons,1,Cordonnerie et sellerie,non,2064
bridons de cuir,1,Cordonnerie et sellerie,non,2064
brigadis,1,Produits inconnus,non,7059
Brignoles,4,Fruits secs et noix,non,13142
brins à tours,1,Produits inconnus,non,7059
brins d'osier,1,Matières premières diverses,non,15181
brionne,1,Divers incertains,non,8518
brique,58,Ouvrages divers et mélangés,non,16505
brique et carreaux et tuiles,7,Ouvrages divers et mélangés,non,16505
brique et chaux et ciment et pierres et plâtre et pouzzolane et sable et terre et tuiles,10,Matières premières diverses,non,15181
brique et tuile et carreau de terre,21,Ouvrages divers et mélangés,non,16505
brique et tuile et carreau et pipe,27,Ouvrages divers et mélangés,non,16505
briques,382,Ouvrages divers et mélangés,non,16505
briques cuites,0,Ouvrages divers et mélangés,non,16505
briques de terre,2,Ouvrages divers et mélangés,non,16505
briques en carreaux de terre,1,Ouvrages divers et mélangés,non,16505
briques en carreaux de terre et tuiles,2,Ouvrages divers et mélangés,non,16505
briques en tuiles plates,8,Ouvrages divers et mélangés,non,16505
briques et briquettes,0,Ouvrages divers et mélangés,non,16505
briques pleines,0,Ouvrages divers et mélangés,non,16505
briquet,49,Ouvrages métalliques,non,20598
briquet d'acier,2,Ouvrages métalliques,non,20598
briquettes,3,Combustibles dont charbons et bois,non,3614
bris d'espars,4,Matières premières diverses,non,15181
brises,1,Produits inconnus,non,7059
brocante,1,Divers incertains,non,8518
brocart de soie,1,Divers mélangés,non,39767
brocatelle,1,Toiles de coton,non,9075
brocatelle de Venise,1,Toiles de coton,non,9075
brochets,20,Pêche et fruits de mer,non,13709
broderie,8,Fleurs artificielles et ouvrages de mode,non,1612
bronze,24,Métaux divers et mélangés,non,1783
bronze airain,2,Métaux divers et mélangés,non,1783
bronze et cuivre et laiton,34,Métaux divers et mélangés,non,1783
bronze moulu et métal,0,Métaux divers et mélangés,non,1783
broole,3,Produits inconnus,non,7059
brosses,262,Ouvrages divers et mélangés,non,16505
brosses à cirer,1,Ouvrages divers et mélangés,non,16505
brosses à goudron,15,Ouvrages divers et mélangés,non,16505
brosses à peindre,1,Ouvrages divers et mélangés,non,16505
brosses à sucre,1,Ouvrages divers et mélangés,non,16505
brosses communes,1,Ouvrages divers et mélangés,non,16505
brosses et pinceaux,0,Ouvrages divers et mélangés,non,16505
brosses et vergettes,1,Ouvrages divers et mélangés,non,16505
brosses ou poutries,1,Ouvrages divers et mélangés,non,16505
brossière,1,Produits inconnus,non,7059
brou de noix,2,Matières brutes et transformées pour teinture,non,17255
brouettes,20,Ouvrages divers et mélangés,non,16505
brouettes et leurs roues,1,Ouvrages divers et mélangés,non,16505
brouettes garnies de damas,1,Ouvrages divers et mélangés,non,16505
brouettes outillées,1,Ouvrages divers et mélangés,non,16505
broulas,1,Produits inconnus,non,7059
broule,0,Produits inconnus,non,7059
brousse fraîche,5,Fromage,non,3892
brousse salée,1,Fromage,non,3892
broutes chaderdoral,1,Produits inconnus,non,7059
brugnoles,3,Fruits secs et noix,non,13142
bruimes d'espars,2,Produits inconnus,non,7059
brûle-café de fer,1,Ouvrages métalliques,non,20598
brulis,1,Produits inconnus,non,7059
brun,2,Matières brutes et transformées pour teinture,non,17255
brun rouge,465,Matières brutes et transformées pour teinture,non,17255
brustes à tisserand,19,Ouvrages divers et mélangés,non,16505
brustes ou bruyère,1,Ouvrages divers et mélangés,non,16505
brut,1,Produits inconnus,non,7059
bruyère,4,Matières premières diverses,non,15181
bruyère à vergettes,1,Matières premières diverses,non,15181
bruyère et racines à vergettes,6,Matières premières diverses,non,15181
bruyère étrangère non montée,1,Matières premières diverses,non,15181
bûches,104,Combustibles dont charbons et bois,non,3614
bûches de bois rouge de 8 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
buege de fer,1,Produits inconnus,non,7059
bufferie,1,Produits inconnus,non,7059
buffets,3,"Meubles, glaces et miroirs",non,3811
buffets d'acajou,4,"Ouvrages de bois, liège et jonc",non,32327
buffles,9,Animaux,non,3801
buffles de chamois,5,Animaux,non,3801
buffletin,1,Animaux,non,3801
bugnette,1,Produits inconnus,non,7059
buis,1,Matières premières diverses,non,15181
bulbes et oignons,7,Subsistances diverses et mélangées,non,10028
buldan,2,Produits inconnus,non,7059
burail,17,Étoffes de soie,non,8554
burail de laine,3,Étoffes de laine,non,13973
burail de laine et étamine de laine,8,Étoffes de laine,non,13973
burat,54,Étoffes de laine,non,13973
burat d'Auvergne,3,Étoffes de laine,non,13973
burat de laine,1,Étoffes de laine,non,13973
burat de laine et de soie,1,Étoffes de soie,non,8554
bure,9,Étoffes de laine,non,13973
bure étoffe,1,Étoffes de laine,non,13973
bureau,40,"Meubles, glaces et miroirs",non,3811
bureau d'acajou,6,"Meubles, glaces et miroirs",non,3811
bureau de bois des Indes,1,"Meubles, glaces et miroirs",non,3811
bureau de chêne,1,"Meubles, glaces et miroirs",non,3811
bureau de marqueterie,1,"Meubles, glaces et miroirs",non,3811
bureau de noyer,4,"Meubles, glaces et miroirs",non,3811
bureau de sapin,9,"Meubles, glaces et miroirs",non,3811
bureau garni de cuivre doré,1,"Meubles, glaces et miroirs",non,3811
bureau verni,5,"Meubles, glaces et miroirs",non,3811
bures de sanglier,0,Chairs et œufs,non,7822
burette,1,Produits inconnus,non,7059
burmards et leurs poids,1,Produits inconnus,non,7059
buses pour raffiner le sucre,1,Ouvrages divers et mélangés,non,16505
busquière d'argent,1,Habits et lingerie,non,8220
busquière d'or et busquière d'argent,1,Habits et lingerie,non,8220
bustes de marbre,3,Marbre brut et ouvré,non,1582
buvie,1,Produits inconnus,non,7059
buzes,1,Produits inconnus,non,7059
cabans de palme,5,Habits et lingerie,non,8220
cabans ou capotes,6,Habits et lingerie,non,8220
cabans pour café,1,Habits et lingerie,non,8220
cabarets,20,"Meubles, glaces et miroirs",non,3811
cabarets de bois vernis,3,"Meubles, glaces et miroirs",non,3811
cabarets de sapin,3,"Meubles, glaces et miroirs",non,3811
cabarets de sapin et de chêne,2,"Meubles, glaces et miroirs",non,3811
cabarets de sapin peints,1,"Meubles, glaces et miroirs",non,3811
cabarets des Indes,2,"Meubles, glaces et miroirs",non,3811
cabarets des Indes vernis,3,"Meubles, glaces et miroirs",non,3811
cabarets façon de la Chine,2,"Meubles, glaces et miroirs",non,3811
cabarets garnis,1,"Meubles, glaces et miroirs",non,3811
cabarets peints,4,"Meubles, glaces et miroirs",non,3811
cabarets pour café,9,"Meubles, glaces et miroirs",non,3811
cabarets pour thé,1,"Meubles, glaces et miroirs",non,3811
cabarets vernis,72,"Meubles, glaces et miroirs",non,3811
cabas,14,Ouvrages divers et mélangés,non,16505
cabas d'auf,2,"Ouvrages de bois, liège et jonc",non,32327
cabas d'espars,1,Produits inconnus,non,7059
cabas de jonc,9,"Ouvrages de bois, liège et jonc",non,32327
cabas de laine,1,Ouvrages divers et mélangés,non,16505
cabas de palme,18,Ouvrages divers et mélangés,non,16505
cabas de palme petits,2,Ouvrages divers et mélangés,non,16505
cabestan,2,Bâtiments de mer et apparaux,non,8061
cabillaud,263,Pêche et fruits de mer,non,13709
cabine de noyer,2,"Ouvrages de bois, liège et jonc",non,32327
cabine de sapin,3,"Ouvrages de bois, liège et jonc",non,32327
cabine peinte,3,"Ouvrages de bois, liège et jonc",non,32327
cabinet,5,"Meubles, glaces et miroirs",non,3811
cabinet de bois de Faial,1,"Meubles, glaces et miroirs",non,3811
cabinet de bois peint,2,"Meubles, glaces et miroirs",non,3811
cabinet de bois vernis,1,"Meubles, glaces et miroirs",non,3811
cabinet de noyer,1,"Meubles, glaces et miroirs",non,3811
cabinet de sapin,3,"Meubles, glaces et miroirs",non,3811
cabinet du Japon,1,"Meubles, glaces et miroirs",non,3811
cabinet peint,7,"Meubles, glaces et miroirs",non,3811
cabinet verni,3,"Meubles, glaces et miroirs",non,3811
câble,29,Cordage et filets,non,3165
câble assorti,1,Cordage et filets,non,3165
câble de 12 pouces de grosseur,2,Cordage et filets,non,3165
câble de chanvre,1,Cordage et filets,non,3165
câble de navire,4,Bâtiments de mer et apparaux,non,8061
câble de navire moyen,1,Bâtiments de mer et apparaux,non,8061
câble neuf,4,Cordage et filets,non,3165
câble vieux,2,Cordage et filets,non,3165
câbleaux,1,Cordage et filets,non,3165
caboches,52,Quincaillerie,non,8417
caboches de fer,3,Quincaillerie,non,8417
caboches de fer et clous,17,Quincaillerie,non,8417
caboches de marbre,1,Quincaillerie,non,8417
cabochon,1,Quincaillerie,non,8417
cabosse,3,Cacao et chocolat,non,3806
cabotage,5,Divers incertains,non,8518
cabriolets,49,Ouvrages divers et mélangés,non,16505
cabriolets de velours de Prusse,1,Ouvrages divers et mélangés,non,16505
cabrions,1,Produits inconnus,non,7059
cabrouets,5,Ouvrages divers et mélangés,non,16505
cabrouets complets,1,Ouvrages divers et mélangés,non,16505
cacao,2506,Cacao et chocolat,non,3806
cacao avarié,2,Cacao et chocolat,non,3806
cacao broyé,21,Cacao et chocolat,non,3806
cacao brut,10,Cacao et chocolat,non,3806
cacao brut des entrepôts,0,Cacao et chocolat,non,3806
cacao de Caracas,66,Cacao et chocolat,non,3806
cacao de Guyaquil,1,Cacao et chocolat,non,3806
cacao des Îles,28,Cacao et chocolat,non,3806
cacao du Maranhão,16,Cacao et chocolat,non,3806
cacao en graine,12,Cacao et chocolat,non,3806
cacao et café et sucre,12,Denrées coloniales et épiceries diverses,non,3107
cacao et chocolat,8,Cacao et chocolat,non,3806
cacao étranger,4,Cacao et chocolat,non,3806
cache,1,Produits inconnus,non,7059
cachemire de poil,1,Étoffes de laine,non,13973
cachets d'argent,1,Librairie,non,3643
cachets de cuivre,1,Ouvrages métalliques,non,20598
cachets dorés,2,Librairie,non,3643
cachou,42,Drogues médicinales diverses,non,11402
cachou brut,5,Drogues médicinales diverses,non,11402
cachou marron,1,Drogues médicinales diverses,non,11402
cadeau,1,Produits inconnus,non,7059
cadeligue de laine,1,Étoffes de laine,non,13973
cadenas,62,Ouvrages métalliques,non,20598
cadenas de fer,9,Ouvrages métalliques,non,20598
cadenas petits,2,Ouvrages métalliques,non,20598
cadis,102,Étoffes de laine,non,13973
cadis de coton ratiné,1,Étoffes diverses,non,6808
cadis de Givaudan,1,Étoffes de laine,non,13973
cadis de Montauban,1,Étoffes de laine,non,13973
cadis rouge,1,Étoffes de laine,non,13973
cadisson,1,Produits inconnus,non,7059
cadot,2,Divers incertains,non,8518
cadrans d'horloge,0,Horlogerie,non,1151
cadrans de montres,0,Horlogerie,non,1151
cadres,1,Ouvrages divers et mélangés,non,16505
cadres de bois,7,"Ouvrages de bois, liège et jonc",non,32327
cadres de bois doré,1,"Ouvrages de bois, liège et jonc",non,32327
cadres de miroirs,1,Ouvrages divers et mélangés,non,16505
cadres dorés,8,Ouvrages divers et mélangés,non,16505
cadres dorés et tableaux,1,Objets d'art et d'histoire naturelle,non,2314
cadres neufs,1,Ouvrages divers et mélangés,non,16505
cadres petits avec leurs verres,1,Ouvrages divers et mélangés,non,16505
cadres pour carder,1,Ouvrages divers et mélangés,non,16505
cadres pour tableaux,1,Ouvrages divers et mélangés,non,16505
cafas,1,Produits inconnus,non,7059
café,5406,Café,non,7597
café avarié,4,Café,non,7597
café commun,14,Café,non,7597
café commun du Levant,2,Café,non,7597
café d'Amérique,55,Café,non,7597
café de Bourbon,219,Café,non,7597
café de Bourbon et bois d'ébène,43,Divers mélangés,non,39767
café de la Dominique,1,Café,non,7597
café de la Martinique,20,Café,non,7597
café de Moka,237,Café,non,7597
café de Moka avarié,2,Café,non,7597
café de Moka et marchandises des Indes,41,Divers mélangés,non,39767
café des entrepôts,0,Café,non,7597
café des Indes,1505,Café,non,7597
café du Levant,106,Café,non,7597
café en parchemin,19,Café,non,7597
café entré par Bordeaux et Le Havre,1,Café,non,7597
café et cacao,43,Denrées coloniales et épiceries diverses,non,3107
café et provisions,15,Denrées coloniales et épiceries diverses,non,3107
café et sucre et thé,10,Denrées coloniales et épiceries diverses,non,3107
café ordinaire,1,Café,non,7597
café pour Genève,1,Café,non,7597
café pur,2,Café,non,7597
café trié,2,Café,non,7597
cafetières,50,Ouvrages divers et mélangés,non,16505
cafetières d'étain,1,Ouvrages métalliques,non,20598
cafetières de cuivre,25,Ouvrages métalliques,non,20598
cafetières de cuivre rouge,1,Ouvrages métalliques,non,20598
cafetières de fer-blanc,3,Ouvrages métalliques,non,20598
cafetières de métal,11,Ouvrages métalliques,non,20598
cafetières du Levant,1,Ouvrages divers et mélangés,non,16505
cafetières en or,1,Ouvrages divers et mélangés,non,16505
cafetou de fer,1,Ouvrages métalliques,non,20598
caffart,8,Étoffes de soie,non,8554
caffart blanc,0,Étoffes de soie,non,8554
caffart carpette et ligatures,0,Textiles manufacturés divers et mélangés,non,1795
caffart de damas,6,Étoffes de soie,non,8554
caffart de laine,3,Étoffes diverses,non,6808
caffatines,1,Produits inconnus,non,7059
cages,3,Ouvrages divers et mélangés,non,16505
cages pour oiseaux,8,Ouvrages divers et mélangés,non,16505
cages pour perroquets,2,Ouvrages divers et mélangés,non,16505
cages pour poules,1,Ouvrages divers et mélangés,non,16505
cahouannes,10,Animaux,non,3801
cailles,3,Animaux,non,3801
cailloux,1,Matières premières diverses,non,15181
cailloux à faïence ou porcelaine,2,Matières premières diverses,non,15181
cailloux et sable à faïence ou porcelaine,2,Matières premières diverses,non,15181
caisse,4,Divers incertains,non,8518
caisse à carafons,1,Ouvrages divers et mélangés,non,16505
caisse à finance,2,Ouvrages divers et mélangés,non,16505
caisse de berline et train,1,Ouvrages divers et mélangés,non,16505
caisse de carrosses,0,Ouvrages divers et mélangés,non,16505
caisse de liège,1,"Ouvrages de bois, liège et jonc",non,32327
caisse de sapin,9,"Ouvrages de bois, liège et jonc",non,32327
caisse et têtes de carton,0,Divers mélangés,non,39767
caisse vide,1,Divers incertains,non,8518
caissettes pour balz,1,Divers incertains,non,8518
cal d'artichaut,1,Subsistances diverses et mélangées,non,10028
caladaris,96,Étoffes de soie,non,8554
calames,1,Produits inconnus,non,7059
calamine,29,Drogues diverses,non,10513
calamine grillée,1,Matières brutes et transformées pour teinture,non,17255
calamine grillée pulvérisée ou non et zinc,4,Matières brutes et transformées pour teinture,non,17255
calamine pierres calaminaires et zinc,2,Matières brutes et transformées pour teinture,non,17255
calamus,9,Matières premières diverses,non,15181
calamus aromaticus,5,Matières premières diverses,non,15181
calandrine,1,Matières premières diverses,non,15181
calaurure,0,Produits inconnus,non,7059
calbas,4,Produits inconnus,non,7059
calebasses vides,1,Matières premières diverses,non,15181
calèches,2,Ouvrages divers et mélangés,non,16505
caleçons,2,Habits et lingerie,non,8220
calenderis,1,Produits inconnus,non,7059
calice d'argent,1,Argenterie et orfèvrerie,non,1552
calicot,11,Toiles de coton,non,9075
calicot et toile de coton blancs et écrus,1,Toiles de coton,non,9075
calicot et toile de coton imprimés et teints,1,Toiles de coton,non,9075
calicots et percale de coton blanc,1,Toiles de coton,non,9075
callemande,585,Étoffes de laine,non,13973
callemande d'Amiens,4,Étoffes de laine,non,13973
callemande de 30 aunes,1,Étoffes de laine,non,13973
callemande de laine,45,Étoffes de laine,non,13973
callemande de laine noire,1,Étoffes de laine,non,13973
callemande de Lille,2,Étoffes de laine,non,13973
callemande de poil,140,Étoffes diverses,non,6808
callemande des prises,3,Étoffes diverses,non,6808
callemande étroite de laine,1,Étoffes de laine,non,13973
callemande noire,1,Étoffes de laine,non,13973
callemande ordinaire,1,Étoffes de laine,non,13973
calmotte,1,Produits inconnus,non,7059
calotte,1,Bonneterie hors soie,non,2229
calotte de papier,1,Bonneterie hors soie,non,2229
calotte de peau divine,1,Bonneterie hors soie,non,2229
calotte de prêtre,2,Bonneterie hors soie,non,2229
calotte et sacs de papier,0,Divers mélangés,non,39767
calotte hollandaise,1,Bonneterie hors soie,non,2229
calpo baljainum,1,Produits inconnus,non,7059
cambaye,3,Toiles de coton,non,9075
cambaye à grands carreaux,1,Toiles de coton,non,9075
cambouis,1,Graisses diverses,non,3366
camelot,233,Étoffes diverses,non,6808
camelot à mi-soie,6,Étoffes de soie,non,8554
camelot à peu de soie,15,Étoffes de soie,non,8554
camelot au quart,3,Étoffes diverses,non,6808
camelot au sixième de soie,3,Étoffes de soie,non,8554
camelot au-dessous du sixième de soie,1,Étoffes de soie,non,8554
camelot avec soie,4,Étoffes de soie,non,8554
camelot burail,6,Étoffes diverses,non,6808
camelot d'Amiens,24,Étoffes diverses,non,6808
camelot d'Angleterre,1,Étoffes diverses,non,6808
camelot d'Angleterre et de Hollande,12,Étoffes diverses,non,6808
camelot d'angora,1,Étoffes diverses,non,6808
camelot d'Auvergne,12,Étoffes diverses,non,6808
camelot de Bruxelles,5,Étoffes diverses,non,6808
camelot de burail,1,Étoffes diverses,non,6808
camelot de Chine,2,Étoffes diverses,non,6808
camelot de coton,1,Toiles de coton,non,9075
camelot de Douai,4,Étoffes diverses,non,6808
camelot de France,5,Étoffes diverses,non,6808
camelot de Hollande,5,Étoffes diverses,non,6808
camelot de laine,243,Étoffes de laine,non,13973
camelot de laine écru,1,Étoffes de laine,non,13973
camelot de laine et de poil,2,Étoffes diverses,non,6808
camelot de laine et de soie,28,Étoffes de soie,non,8554
camelot de laine et soie,2,Étoffes de soie,non,8554
camelot de laine étroit,6,Étoffes de laine,non,13973
camelot de laine faille,4,Étoffes de laine,non,13973
camelot de laine large,8,Étoffes de laine,non,13973
camelot de laine petit dit de Berlin,0,Étoffes de laine,non,13973
camelot de Lille,13,Étoffes diverses,non,6808
camelot de Lille de soie,1,Étoffes de soie,non,8554
camelot de Lille et autres,8,Étoffes diverses,non,6808
camelot de poil,185,Étoffes diverses,non,6808
camelot de poil de chèvre,2,Étoffes diverses,non,6808
camelot de poil de laine,12,Étoffes de laine,non,13973
camelot de poil et de soie,11,Étoffes de soie,non,8554
camelot de poil fin,2,Étoffes diverses,non,6808
camelot de Smyrne,4,Étoffes diverses,non,6808
camelot de soie,42,Étoffes de soie,non,8554
camelot de terrine,0,Étoffes diverses,non,6808
camelot des Indes,4,Étoffes diverses,non,6808
camelot écarlate,11,Étoffes diverses,non,6808
camelot et burail de laine,2,Étoffes de laine,non,13973
camelot et étamine,1,Étoffes diverses,non,6808
camelot et panne de laine,1,Étoffes de laine,non,13973
camelot fil et soie,1,Étoffes de soie,non,8554
camelot fin,2,Étoffes diverses,non,6808
camelot gaufré,1,Étoffes diverses,non,6808
camelot jaspé,1,Étoffes diverses,non,6808
camelot petit dit Berlin,0,Étoffes diverses,non,6808
camelot rayé,1,Étoffes diverses,non,6808
cameramain,0,Produits inconnus,non,7059
camion à garnir voiture,1,Ouvrages divers et mélangés,non,16505
camisoles,13,Habits et lingerie,non,8220
camisoles de laine,3,Habits et lingerie,non,8220
camisoles de toile,1,Habits et lingerie,non,8220
camisoles et casaques,2,Habits et lingerie,non,8220
camisoles et redingotes,7,Habits et lingerie,non,8220
camisoles pour nègre,1,Habits et lingerie,non,8220
camomille,1,Drogues médicinales diverses,non,11402
Campêche,1,Matières brutes et transformées pour teinture,non,17255
camphre,291,Drogues médicinales diverses,non,11402
camphre brut,21,Drogues médicinales diverses,non,11402
camphre brut et raffiné,2,Drogues médicinales diverses,non,11402
camphre raffiné,44,Drogues médicinales diverses,non,11402
canades,1,Produits inconnus,non,7059
canapé,10,"Meubles, glaces et miroirs",non,3811
canapé de canne,1,"Meubles, glaces et miroirs",non,3811
canapé de cuir de Russie,1,"Meubles, glaces et miroirs",non,3811
canapé de maroquin et tables à jouer,1,"Meubles, glaces et miroirs",non,3811
canapé de taffetas,1,"Meubles, glaces et miroirs",non,3811
canardières,1,Produits inconnus,non,7059
canards,13,Animaux,non,3801
canards en vie,1,Animaux,non,3801
canaris,1,Animaux,non,3801
canaris ou serins,0,Animaux,non,3801
canaux,1,Produits inconnus,non,7059
candetas,0,Produits inconnus,non,7059
cane,1,Divers incertains,non,8518
cane garnie,2,Divers incertains,non,8518
caneffas,1,Produits inconnus,non,7059
canefice,583,Drogues médicinales diverses,non,11402
canefice des prises,1,Drogues médicinales diverses,non,11402
canefice en café,1,Drogues médicinales diverses,non,11402
canefice en grabeau,12,Drogues médicinales diverses,non,11402
canefice raffiné,1,Drogues médicinales diverses,non,11402
caneficier,1,Matières premières diverses,non,15181
canelle (étoffe),1,Cannelle,non,1409
canena,1,Produits inconnus,non,7059
canepre,0,Produits inconnus,non,7059
canerelles,1,Produits inconnus,non,7059
canettes des Indes,1,Subsistances diverses et mélangées,non,10028
canevettes,43,Verrerie,non,6073
canevettes à flacons,1,Verrerie,non,6073
canevettes de grès,14,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
canevettes de grès de 6 flacons,1,Verrerie,non,6073
canevettes ou caisse de 6 flacons pour la traite,2,Verrerie,non,6073
canevettes vides,2,Verrerie,non,6073
canifs,2,Ouvrages métalliques,non,20598
caniques,1,Produits inconnus,non,7059
cannelle,1345,Cannelle,non,1409
cannelle commune,18,Cannelle,non,1409
cannelle commune des entrepôts,0,Cannelle,non,1409
cannelle commune et cassia,1,Cannelle,non,1409
cannelle commune hors d'Europe,0,Cannelle,non,1409
