simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
agrément de fil,9,Textiles manufacturés divers et mélangés,non,1795
agrément de fil et de soie,3,Soieries diverses,non,3516
agrément de fleur,1,Textiles manufacturés divers et mélangés,non,1795
agrément de soie,57,Soieries diverses,non,3516
agrément de soie et d'argent,1,Soieries diverses,non,3516
agrément de soie or et argent faux,1,Soieries diverses,non,3516
agréments de soie et milleret,0,Soieries diverses,non,3516
agréments et milleret,0,Textiles manufacturés divers et mélangés,non,1795
agrès,16,Bâtiments de mer et apparaux,non,8061
agrès apparaux de navire et embarcations,6,Bâtiments de mer et apparaux,non,8061
agrès apparaux et embarcations,2,Bâtiments de mer et apparaux,non,8061
agrès de navire et jeux de voile,10,Bâtiments de mer et apparaux,non,8061
agrès et apparaux,2,Bâtiments de mer et apparaux,non,8061
agrès et apparaux d'or navire,1,Bâtiments de mer et apparaux,non,8061
agrès et bâtiments de mer,10,Bâtiments de mer et apparaux,non,8061
agrès et embarcations,8,Bâtiments de mer et apparaux,non,8061
agrès et voile de navire,1,Bâtiments de mer et apparaux,non,8061
aigles,0,Animaux,non,3801
aigre de cèdre,9,Boissons diverses et mélangées,non,513
aigre de cidre,5,Eaux-de-vie et liqueurs,non,14680
aigre de vitriol,17,Drogues médicinales diverses,non,11402
aigrettes,10,Fleurs artificielles et ouvrages de mode,non,1612
aigrettes de fil d'or et d'argent,1,Fleurs artificielles et ouvrages de mode,non,1612
aigrettes de soie,1,Fleurs artificielles et ouvrages de mode,non,1612
aigrettes de soie et argent,1,Fleurs artificielles et ouvrages de mode,non,1612
aigrettes et bavolets,1,Fleurs artificielles et ouvrages de mode,non,1612
aiguières d'étain,1,Ouvrages métalliques,non,20598
aiguilles,209,Quincaillerie,non,8417
aiguilles à boîtes,1,Quincaillerie,non,8417
aiguilles à coudre,60,Quincaillerie,non,8417
aiguilles à coudre voiles,1,Quincaillerie,non,8417
aiguilles à ralingue,1,Quincaillerie,non,8417
aiguilles à tabac,1,Quincaillerie,non,8417
aiguilles à toile,1,Quincaillerie,non,8417
aiguilles d'emballage,2,Quincaillerie,non,8417
aiguilles de mercerie fine,1,Quincaillerie,non,8417
aiguilles epars de sapin,1,Divers mélangés,non,39767
aiguilles et épingles,1,Quincaillerie,non,8417
aiguilles et épingles de mercerie fine,3,Quincaillerie,non,8417
aiguilles et mercerie fine,2,Quincaillerie,non,8417
aiguilles grosses,1,Quincaillerie,non,8417
aiguilles pour voile,37,Quincaillerie,non,8417
aiguillettes,1,Quincaillerie,non,8417
ail,2,Subsistances diverses et mélangées,non,10028
ailes,3,Divers incertains,non,8518
ailes de fléaux,0,Ouvrages métalliques,non,20598
ailes de moulins,6,Ouvrages divers et mélangés,non,16505
