orthographic_normalization_classification,simplification_classification,nbr_occurences_ortho,nbr_occurences_simpl
,,2695,2695
???,???,90,90
??? blanc,??? blanc,2,2
??? brun,??? brun,2,2
??? d'Anjou et de Touraine,??? d'Anjou et de Touraine,1,1
??? d'une valeur moindre de deux mille francs chacun,??? d'une valeur moindre de deux mille francs chacun,473,473
??? de boutard,??? de boutard,1,1
??? de fer,??? de fer,2,2
??? de morue,??? de morue,1,1
??? de nacre de perle,??? de nacre de perle,1,1
??? des ci-devant provinces d'Alsace,??? des ci-devant provinces d'Alsace,1,1
??? des ci-devant provinces de Bourgogne,??? des ci-devant provinces de Bourgogne,1,1
??? des ci-devant provinces de Provence,??? des ci-devant provinces de Provence,2,2
??? des ci-devant provinces du Languedoc,??? des ci-devant provinces du Languedoc,1,1
??? diverses,??? diverses,4,4
??? fer,??? fer,1,1
??? forts de fer,??? forts de fer,1,1
??? gras,??? gras,1,1
??? particulièrement en chevaux,??? particulièrement en chevaux,6,6
??? pieds,??? pieds,1,1
??? pruneaux,??? pruneaux,1,1
??? raisins secs,??? raisins secs,1,1
???sse,???sse,1,1
?ufs,?ufs,1,1
... d'argent,??? d'argent,1,1
à jamis,à jamis,276,276
abassis,abassis,4,4
abats,abats,2,2
abattis de morue,abattis de morue,1,1
abricots confits,abricots confits,1,1
acacia,acacia,5,5
acacia germanica,acacia germanica,1,1
acacia vera,acacia vera,1,1
acétates de cuivre cristallisé,verdet cristallisé,2,6
acétates de cuivre cristallisé (verdet),verdet cristallisé,2,6
acétates de cuivre non cristallisé,verdet non cristallisé,2,4
acétates de cuivre non cristallisé (vert de gris) sec,verdet non cristallisé sec,3,3
acétates de cuivre non cristallisés et cristallisés (verdet),verdet cristallisé et non cristallisé,2,2
acétates de fer,acétates de fer,2,3
acétates de plomb,acétates de plomb,29,29
acétates de plomb sel de Saturne,acétates de plomb sel de Saturne,2,2
acétates de potasse et de soude,acétates de potasse et de soude,1,2
acétates de sel d'étain,acétates de sel d'étain,1,1
achia,achia,6,7
achia espèce de salade,achia,1,7
acide arsenieux,acide arsénieux,4,8
acide arsenieux (acide blanc),acide arsénieux,4,8
acide benzoïque,acide benzoïque,1,1
