simplification,nbr_occurences_simpl,obsolete,hamburg,nbr_occurences_hamburg
demi-taffetas,1,non,,687735
demitte,201,non,,687735
demitte et futaine,153,non,,687735
demoiselle,12,non,,687735
demoiselle de 25 pieds,1,non,,687735
demoiselle de bois,1,non,,687735
demoiselle de sapin,2,non,,687735
denrées coloniales,17,non,,687735
denrées coloniales et épicerie,22,non,,687735
dentelle,331,non,,687735
dentelle à peu de soie,3,non,,687735
dentelle blanche,2,non,,687735
dentelle blonde de soie,1,non,,687735
dentelle commune,63,non,,687735
dentelle d'Alençon,1,non,,687735
dentelle d'Andelys,1,non,,687735
dentelle d'argent,22,non,,687735
dentelle d'argent et d'or,62,non,,687735
dentelle d'argent et d'or faux,2,non,,687735
dentelle d'argent faux,5,non,,687735
dentelle d'argent fin,6,non,,687735
dentelle d'or,8,non,,687735
dentelle d'or et d'argent,12,non,,687735
dentelle d'or et d'argent faux,3,non,,687735
dentelle d'or et d'argent fin,5,non,,687735
dentelle d'or faux,4,non,,687735
dentelle d'or fin,8,non,,687735
dentelle de Bretagne,2,non,,687735
dentelle de Caen,24,non,,687735
dentelle de chanvre et de lin,8,non,,687735
dentelle de coton et blonde de coton,18,non,,687735
dentelle de Dieppe,1,non,,687735
dentelle de fer,1,non,,687735
dentelle de fil,462,non,,687735
dentelle de fil 2 lignes,1,non,,687735
dentelle de fil blanc,333,non,,687735
dentelle de fil blanc commune,1,non,,687735
dentelle de fil blanc de Lille,1,non,,687735
dentelle de fil commune,71,non,,687735
dentelle de fil d'Alençon,1,non,,687735
dentelle de fil d'or faux,1,non,,687735
dentelle de fil d'or fin,2,non,,687735
dentelle de fil de ??? et Reims,2,non,,687735
dentelle de fil de Bergame,1,non,,687735
dentelle de fil de Caen,9,non,,687735
dentelle de fil de crin,2,non,,687735
dentelle de fil de Flandre,10,non,,687735
dentelle de fil de laine,1,non,,687735
dentelle de fil de lin,1,non,,687735
dentelle de fil de Normandie,4,non,,687735
dentelle de fil de soie,5,non,,687735
dentelle de fil de Valenciennes,3,non,,687735
dentelle de fil dorure d'argent,2,non,,687735
dentelle de fil du Puy,70,non,,687735
dentelle de fil du Puy et ???,2,non,,687735
dentelle de fil et de soie,10,oui,,687735
dentelle de fil et soie,61,non,,687735
dentelle de fil et tulle,31,non,,687735
dentelle de fil et Valenciennes,3,oui,,687735
dentelle de fil fine,24,non,,687735
dentelle de fil grossière,37,non,,687735
dentelle de Flandre,10,non,,687735
dentelle de France,2,non,,687735
dentelle de gaze,1,non,,687735
dentelle de Gisors,2,non,,687735
dentelle de Lille,2,non,,687735
dentelle de Malines,3,non,,687735
dentelle de Normandie,2,non,,687735
dentelle de pays,2,non,,687735
dentelle de Rouen,1,non,,687735
dentelle de soie,529,non,,687735
dentelle de soie au quart,1,non,,687735
dentelle de soie blanche,3,non,,687735
dentelle de soie blonde,190,non,,687735
dentelle de soie de Rouen,3,non,,687735
dentelle de soie et de fil,1,oui,,687735
dentelle de soie noire,1,non,,687735
dentelle de toute autre sorte que soie,1,non,,687735
dentelle de toutes sortes,3,oui,,687735
dentelle dorure,5,oui,,687735
dentelle dorure d'argent,12,non,,687735
dentelle dorure d'argent et d'or,18,non,,687735
dentelle dorure d'or,7,non,,687735
dentelle dorure d'or faux,4,non,,687735
dentelle du Havre,22,non,,687735
dentelle du pays,2,non,,687735
dentelle du Puy,204,non,,687735
dentelle du Puy en soie,1,non,,687735
dentelle en coiffures et manchettes,1,non,,687735
dentelle en dorure,5,oui,,687735
dentelle et blonde,19,non,,687735
dentelle et galon et passementerie,54,non,,687735
dentelle et galon et passementerie et ruban,28,non,,687735
dentelle fine,32,non,,687735
dentelle grossière,22,non,,687735
dentelle mi soie,3,non,,687735
dentelle moyenne,1,non,,687735
dents d'éléphant,499,non,,687735
dents d'éléphant d'hippopotame et autres,2,oui,,687735
dents d'éléphant entières,4,non,,687735
dents d'éléphant entières des entrepôts,0,non,,687735
dents d'éléphant sciées,4,non,,687735
dents d'éléphants d'hippopotame et autres,2,non,,687735
dents d'ivoire,1,non,,687735
dents de cheval marin,4,non,,687735
dents de chien marin,2,non,,687735
dents de morphil,103,oui,,687735
dents de vache marine,16,non,,687735
dépêche,1,non,,687735
der demi-plat,1,non,,687735
derle,82,non,,687735
dés,1,non,,687735
dés à coudre,42,non,,687735
dés à coudre de cuivre,6,non,,687735
dés à coudre de cuivre et fer,1,non,,687735
dés à coudre de fer,4,non,,687735
dés à jouer,13,non,,687735
dés d'acier,6,non,,687735
dés de cuivre,35,non,,687735
dés de fer,28,non,,687735
dés de laiton,10,non,,687735
déserteur,1,non,,687735
déshabillé,1,non,,687735
despeigne,1,non,,687735
dessins de papier,2,non,,687735
dessus de souliers brodés,2,non,,687735
dessus de table de marbre,1,non,,687735
devant d'autel,1,non,,687735
devant de vestes,48,non,,687735
devant de vestes de basin,1,non,,687735
dévidoir,2,non,,687735
diables de mer,8,non,,687735
diactamy en fleurs,1,non,,687735
diagedum,1,non,,687735
diagrede,1,non,,687735
dialbequier,1,non,,687735
diamants,1,non,,687735
diamants brutes,1,non,,687735
diamants bruts,3,non,,687735
diamants fins,2,non,,687735
diamants perles et pierres fines,50,non,,687735
diamants perles et pierres fines non montés,13,non,,687735
diamants taillés,6,non,,687735
dictame,11,non,,687735
dictionnaire,1,non,,687735
dictionnaire du commerce,1,non,,687735
dictionnaire hollandais,1,non,,687735
digilence comlète,1,oui,,687735
diligence complète,1,non,,687735
dimelle,1,non,,687735
dimitte et futaine,2,oui,,687735
dindes,9,non,,687735
dindonneaux,10,non,,687735
dindons,42,non,,687735
dissouchaie,0,oui,,687735
dissouchaye,44,non,,687735
distillats,2,non,,687735
ditors,2,non,,687735
divers,9700,non,,687735
dividivi,1,non,,687735
doloirs,1,non,,687735
domino,2,non,,687735
dominoterie,136,non,,687735
dominoterie en images,10,non,,687735
dominoterie et cartes géographiques,2,non,,687735
doraze,4,non,,687735
doreas,0,oui,,687735
doréas,13,non,,687735
doréas brodées en couleur,0,non,,687735
doreas de Zurich,0,oui,,687735
doréas de Zurich,2,non,,687735
doréas mega,1,non,,687735
dorpins en pierre,0,non,,687735
dorure,13,non,,687735
dorure de Zurich,1,non,,687735
dorure en galon fine,4,non,,687735
dorure et soie,1,non,,687735
dorure fausse,79,non,,687735
dorure fausse en or et argent,5,non,,687735
dorure fausse en or et argent battu tiré et laminé,8,non,,687735
dorure fausse en paillettes,1,non,,687735
dorure fausse et fine,1,non,,687735
dorure filée,0,oui,,687735
dorure fine,799,non,,687735
dorure fine en galon,2,non,,687735
dorure fine en galon d'or,1,oui,,687735
dorure fine fil d'or passementerie,1,non,,687735
dorure fine sur soie,1,oui,,687735
dos gorges et ventres de fouines martes et renard,2,non,,687735
dos gorges et ventres de petit gris,2,non,,687735
dos gorges et ventres de petit-gris,0,oui,,687735
dospin en pierre,2,non,,687735
dossiers de chaises,12,non,,687735
dossiers de lit en satin,2,non,,687735
dossiers de lit en satin brodé,2,non,,687735
doublage de bois de pin,1,non,,687735
doublures de martre pour habits,3,non,,687735
doublures de petis gris,1,non,,687735
douelle de chêne,1,non,,687735
douelles,205,non,,687735
douelles à barils,17,oui,,687735
douelles à barricage,0,oui,,687735
douelles à barricages,2,oui,,687735
douelles à barrique,0,oui,,687735
douelles à barriques,83,oui,,687735
douelles à barriques 3m 1/8,1,oui,,687735
douelles à barriques neuves,1,oui,,687735
douelles à barriques vieilles,3,oui,,687735
douelles à bottes,1,oui,,687735
douelles à bure,1,oui,,687735
douelles à buses,2,oui,,687735
douelles à busses,0,oui,,687735
douelles à cave,1,oui,,687735
douelles à cuve,1,oui,,687735
douelles à fond,12,oui,,687735
douelles à fonds,9,oui,,687735
douelles à pièce,1,oui,,687735
douelles à pipe,0,oui,,687735
douelles à pipes,70,oui,,687735
douelles à poinçons,1,oui,,687735
douelles à quart,7,oui,,687735
douelles à tierçons,3,oui,,687735
douelles à tonneau,167,oui,,687735
douelles à tonneau vieilles,1,oui,,687735
douelles de 4 pieds,1,non,,687735
douelles de 5 pieds,1,non,,687735
douelles de chêne,3,non,,687735
douelles de chêne de 3 pieds,1,non,,687735
douelles de chêne de 4 pieds,1,non,,687735
douelles de chêne de 5 pieds,1,non,,687735
douelles de sapin,17,non,,687735
douelles de sapin de 3 pieds,1,non,,687735
douelles en barriques,1,oui,,687735
douelles fonçaille,2,non,,687735
douelles fonçaille 2m 1/2,1,oui,,687735
douelles ganivelles,6,oui,,687735
douelles merrains à quart,1,oui,,687735
douelles merrains pour quarts,1,oui,,687735
douelles pour barils,53,non,,687735
douelles pour barricages,1,non,,687735
douelles pour barrique,2,non,,687735
douelles pour barriques,349,non,,687735
douelles pour barriques 3m 1/8,1,non,,687735
douelles pour barriques neuves,1,non,,687735
douelles pour barriques vieilles,3,non,,687735
douelles pour bœuf,2,non,,687735
douelles pour bordage,1,non,,687735
douelles pour bottes,2,non,,687735
douelles pour bure,1,non,,687735
douelles pour buses,3,non,,687735
douelles pour cave,1,non,,687735
douelles pour cuve,1,non,,687735
douelles pour fonds,20,non,,687735
douelles pour pièce,1,non,,687735
douelles pour pipes,293,non,,687735
douelles pour poinçons,1,non,,687735
douelles pour quarts,51,non,,687735
douelles pour tierçons,16,non,,687735
douelles pour tonneau,11,non,,687735
douelles pour tonneaux,179,non,,687735
douelles pour tonneaux vieilles,1,non,,687735
douelles vieilles,4,non,,687735
douelles vieilles à barriques,3,oui,,687735
douelles vieilles pour barriques,3,non,,687735
dousoutis,1,non,,687735
doutis,9,non,,687735
doutis blancs,2,non,,687735
doutis bleus,1,non,,687735
douvain,1,non,,687735
douvelles,1,non,,687735
douvelles de sapin,1,non,,687735
douves,3,non,,687735
douves à tonneaux,4303,non,,687735
douves de deux pouces,2,non,,687735
douves de la foire de Beaucaire,1,non,,687735
douves vielles,1,non,,687735
drache,0,oui,,687735
drache de bière,0,oui,,687735
dracodium,1,non,,687735
dragées,141,non,,687735
dragées de Keyser,3,non,,687735
dragonnes,3,non,,687735
dragonnes d'épée,1,non,,687735
drague de bière,2,non,,687735
drague de soie,1,non,,687735
drap,1432,non,,687735
drap ???,1,non,,687735
drap 20 lignes,1,oui,,687735
drap à doubler,4,non,,687735
drap à la valeur,1,oui,,687735
drap à matelot,1,non,,687735
drap à nègre,2,non,,687735
drap à sucre,8,non,,687735
drap anglais,1,non,,687735
drap au ??? de soie,0,non,,687735
drap au quart de soie,3,non,,687735
drap au sixième de soie,7,non,,687735
drap avarié,7,non,,687735
drap blanc,126,non,,687735
drap blanc d'Espagne,3,non,,687735
drap blanc de Bremer,4,non,,687735
drap blanc de douzaine,26,non,,687735
drap blanc de douzaine aune,1,oui,,687735
drap blanc de Hollande,1,non,,687735
drap blanc de laine,1,oui,,687735
drap blanc du Nord,3,non,,687735
drap blanc et écarlate,1,non,,687735
drap blanc fin,2,non,,687735
drap blanc par aune,2,oui,,687735
drap bleu,4,non,,687735
drap bleu gros,1,non,,687735
drap bouthouchou,1,non,,687735
drap brodé au ciseau en soie,1,non,,687735
drap brodé de soie,20,non,,687735
drap brodé en or et argent,5,non,,687735
drap brodé en soie,3,oui,,687735
drap buras,1,non,,687735
drap bure,1,non,,687735
drap cad ???,1,non,,687735
drap calmande,0,oui,,687735
drap cammise,2,non,,687735
drap casimir,0,oui,,687735
drap commun,344,non,,687735
drap commun d'Angleterre,1,non,,687735
drap cordeillat,41,oui,,687735
drap cordeillat de Colmar,2,oui,,687735
drap cosinis,1,non,,687735
drap crêpe,2,non,,687735
drap crêpe de Reims,4,non,,687735
drap d',3,non,,687735
drap d'Abbeville,116,non,,687735
drap d'Abbeville Valenciennes,1,non,,687735
drap d'Amboise,1,non,,687735
drap d'Amiens,38,non,,687735
drap d'Andelis,0,oui,,687735
drap d'Andelys,28,non,,687735
drap d'Angleterre,36,non,,687735
drap d'Angleterre aune,1,oui,,687735
drap d'Angleterre des prises,3,non,,687735
drap d'Angleterre et drap d'Espagne et drap de Hollande,11,non,,687735
drap d'Angleterre noir,1,non,,687735
drap d'argent et d'or et de soie,1,non,,687735
drap d'Arnetal,12,non,,687735
drap d'aucrin,1,non,,687735
drap d'Aumale,2,non,,687735
drap d'Auvergne,1,non,,687735
drap d'Elbeuf,614,non,,687735
drap d'Elbeuf de retour,2,non,,687735
drap d'Elbeuf de velours,1,non,,687735
drap d'Espagne,18,non,,687735
drap d'Espagne aune,1,oui,,687735
drap d'Espagne teint,3,non,,687735
drap d'estames,1,non,,687735
drap d'étoupes,1,oui,,687735
drap d'or et d'argent fin,2,non,,687735
drap Damas,1,non,,687735
drap dauphine,113,non,,687735
drap de ?,0,non,,687735
drap de 20 lignes,1,non,,687735
drap de Beauvais,12,non,,687735
drap de Bergopzoom,1,non,,687735
drap de billard,2,non,,687735
drap de Bolbec,1,non,,687735
drap de Bourbon,1,non,,687735
drap de bourbon peint,1,non,,687735
drap de Carcassonne,224,non,,687735
drap de Carcassonne de 20 aunes,1,non,,687735
drap de Carcassonne et écarlate,1,non,,687735
drap de Carcassonne fin,1,non,,687735
drap de castor,83,non,,687735
drap de castor par aune,2,oui,,687735
drap de cave à l'homme,1,non,,687735
drap de cérémonie,2,non,,687735
drap de Champagne,1,non,,687735
drap de Cherbourg,1,non,,687735
drap de Cobras gros,1,non,,687735
drap de Colmar,7,non,,687735
drap de cordeillat,3,oui,,687735
drap de coton,21,non,,687735
drap de coton de Rouen,1,non,,687735
drap de coton et de fil,2,non,,687735
drap de coton et étoffe de coton,25,non,,687735
drap de coton et teint,1,non,,687735
drap de coton et velours,1,non,,687735
drap de coton et velours de coton,5,non,,687735
drap de coton imprimé,4,non,,687735
drap de Cours,1,non,,687735
drap de Darnétal,54,non,,687735
drap de dauphine,1,non,,687735
drap de dorure et soie,1,non,,687735
drap de douzaine,15,non,,687735
drap de douzaine et teint,1,oui,,687735
drap de douzaine teint,13,non,,687735
drap de douzaine teint aune,1,oui,,687735
drap de droguet,18,oui,,687735
drap de Falaise,3,non,,687735
drap de fil rouge,1,non,,687735
drap de fil vieux,1,non,,687735
drap de France,92,non,,687735
drap de Glasier,1,oui,,687735
drap de Glaster,4,non,,687735
drap de glaster,0,oui,,687735
drap de glastes,2,oui,,687735
drap de Glates,1,oui,,687735
drap de Glouster,0,oui,,687735
drap de Hollande,12,non,,687735
drap de Hollande teint,11,non,,687735
drap de julienne,21,non,,687735
drap de Korook,1,non,,687735
drap de la Bouille,2,non,,687735
drap de laie,3,oui,,687735
drap de laine,11,non,,687735
drap de laine ???,1,oui,,687735
drap de laine au ??? de soie,0,oui,,687735
drap de laine au quart de soie,3,oui,,687735
drap de laine avarié,1,oui,,687735
drap de laine brodé de soie,1,oui,,687735
drap de laine capots capots,1,oui,,687735
drap de laine commun,273,oui,,687735
drap de laine cordeillat,25,oui,,687735
drap de laine d'Amiens,10,oui,,687735
drap de laine d'Andelys,9,oui,,687735
drap de laine d'Angleterre,2,oui,,687735
drap de laine d'Auvergne,1,oui,,687735
drap de laine d'Elbeuf,212,oui,,687735
drap de laine de 20 lignes,1,oui,,687735
drap de laine de Beauvais,5,oui,,687735
drap de laine de Carcassonne,1,oui,,687735
drap de laine de cordeillat,5,oui,,687735
drap de laine de Cours,1,oui,,687735
drap de laine de dorure et soie,1,oui,,687735
drap de laine de Lille,15,oui,,687735
drap de laine de Louviers,123,oui,,687735
drap de laine de Lyon,2,oui,,687735
drap de laine de Montauban,21,oui,,687735
drap de laine de Nanrabais,4,oui,,687735
drap de laine de Poitou,1,oui,,687735
drap de laine de Reims,1,oui,,687735
drap de laine de Saint-Maixant,1,non,,687735
drap de laine de Saint-Robert,12,oui,,687735
drap de laine de Sedan,0,oui,,687735
drap de laine de Van Robais,51,oui,,687735
drap de laine de Vir,1,oui,,687735
drap de laine des prises,1,oui,,687735
drap de laine diverse,0,oui,,687735
drap de laine draperie diverse,0,oui,,687735
drap de laine du Languedoc,2,oui,,687735
drap de laine écarlate,7,oui,,687735
drap de laine élastique,1,non,,687735
drap de laine en échantillon et lisères,1,oui,,687735
drap de laine et de soie,1,non,,687735
drap de laine et petits et étoffe,66,oui,,687735
drap de laine fin,108,oui,,687735
drap de laine fin et drap de laine,1,oui,,687735
drap de laine fin ordinaire et petit,1,oui,,687735
drap de laine frac,2,oui,,687735
drap de laine gros,2,oui,,687735
drap de laine grossier,4,oui,,687735
drap de laine iada,1,oui,,687735
drap de laine layette,5,oui,,687735
drap de laine londrin,79,oui,,687735
drap de laine molleton,47,oui,,687735
drap de laine motton,8,oui,,687735
drap de laine moutade,1,oui,,687735
drap de laine ordinaire,387,oui,,687735
drap de laine peint,2,oui,,687735
drap de laine petit,704,oui,,687735
drap de laine pour billau,1,oui,,687735
drap de laine pour doublures,3,oui,,687735
drap de laine pour les troupes,4,oui,,687735
drap de laire grossier,2,oui,,687735
drap de Languedoc,159,non,,687735
drap de Languedoc de velours,1,non,,687735
drap de Languedoc ordinaire,1,non,,687735
drap de Languenan,1,non,,687735
drap de Latte,1,non,,687735
drap de Lille,34,non,,687735
drap de Limbourg,16,non,,687735
drap de Limoux,3,non,,687735
drap de lin,13,non,,687735
drap de lin ayant servi,2,non,,687735
drap de lin vieux,9,non,,687735
drap de linge commun,1,non,,687735
drap de lit,71,non,,687735
drap de lit ayant servi,2,non,,687735
drap de lit commun,1,non,,687735
drap de lit de lin,1,non,,687735
drap de lit neuf,1,non,,687735
drap de lit ou linceuls,2,non,,687735
drap de lit toile de lin,1,non,,687735
drap de lit vieux,37,non,,687735
drap de Lodève,24,non,,687735
drap de Londrin,3,oui,,687735
drap de londrin,82,oui,,687735
drap de Louviers,394,non,,687735
drap de Louviers au sixième de soie,1,non,,687735
drap de Louvres,0,oui,,687735
drap de Lyon,4,non,,687735
drap de Maroc,1,non,,687735
drap de Maroc teint de douzaine,0,oui,,687735
drap de montagne,7,oui,,687735
drap de Montauban,36,non,,687735
drap de Montauban petite,1,oui,,687735
drap de Moucu,3,non,,687735
drap de Nanrabais,4,non,,687735
drap de Nîmes,1,non,,687735
drap de Nison,1,non,,687735
drap de Normandie,2,non,,687735
drap de pagnon,1,non,,687735
drap de Panguede,4,non,,687735
drap de Picardie,71,non,,687735
drap de Pie,1,oui,,687735
drap de Pie aune,1,oui,,687735
drap de Poitou,2,non,,687735
drap de Reims,1,non,,687735
drap de Reims fil ???,1,non,,687735
drap de Rome,1,non,,687735
drap de Romorantin,1,non,,687735
drap de Romorntin,1,oui,,687735
drap de Rouen,28,non,,687735
drap de Saint-Lô,1,non,,687735
drap de Saint-Robert,12,non,,687735
drap de Sedan,313,non,,687735
drap de Sedan 220 lignes,1,non,,687735
drap de Sedan 25 lignes,1,non,,687735
drap de Sedan 78 lignes,1,non,,687735
drap de Sedan de retour,1,non,,687735
drap de Sedan de velours,1,non,,687735
drap de Ségovie,1,non,,687735
drap de Silésie,204,non,,687735
drap de Sir,2,non,,687735
drap de soie,13,non,,687735
drap de Soudrain,6,non,,687735
drap de Souvier,1,non,,687735
drap de toile de lin,1,non,,687735
drap de Tours,1,non,,687735
drap de Van Robais,72,non,,687735
drap de vere,2,non,,687735
drap de vigogne,1,non,,687735
drap de Vir,19,non,,687735
drap demi fin de laine,1,non,,687735
drap des prise,11,oui,,687735
drap des prises,17,non,,687735
drap dit packlaeken,0,oui,,687735
drap dit packlaeken aune,0,oui,,687735
drap dit packlaeken blanc,0,oui,,687735
drap dit packlaeken teint,0,oui,,687735
drap dit plawens,0,oui,,687735
drap dit plawens ou codde,0,oui,,687735
drap dit plawens ou codde aune,0,oui,,687735
drap divers ???,8,non,,687735
drap divers de laine,11,oui,,687735
drap drache,9,non,,687735
drap drapée,4,non,,687735
drap draperie ???,1,oui,,687735
drap du Berry,4,non,,687735
drap du Dauphiné,1,non,,687735
drap du Languedoc,2,non,,687735
drap du Languedoc de velours,1,oui,,687735
drap du Languedoc ordinaire,1,oui,,687735
drap du Maroc aune,0,oui,,687735
drap du Nord,12,non,,687735
drap du Nord teint,6,non,,687735
drap du pays,1,non,,687735
drap du Poitou,1,oui,,687735
drap du sceau,1,non,,687735
drap écarlate,182,non,,687735
drap écarlate de France,2,non,,687735
drap écarlate des prises,1,non,,687735
drap écarlate et du Languedoc,1,non,,687735
drap en échantillon et lisères,1,non,,687735
drap et drap de laine et tricots,2,oui,,687735
drap et draperie,6,oui,,687735
drap et draperie casinier,2,non,,687735
drap et draperie de laine,12,non,,687735
drap et étoffe,3,oui,,687735
drap et étoffe de laine,9,non,,687735
drap et mouchoir de soie,1,non,,687735
drap et petits et étoffe de laine,66,non,,687735
drap et tricots,2,non,,687735
drap et velours de coton,1,non,,687735
drap étranger,3,non,,687735
drap fin,151,non,,687735
drap fin blanc,1,non,,687735
drap fin de la manufacture de France,4,non,,687735
drap fin divers dit londrin du Languedoc de Carcassonne et Lodève,1,oui,,687735
drap fin du Languedoc,23,non,,687735
drap fin du Languedoc londrin de Carcassonne et Lodève,1,oui,,687735
drap fin et drap,1,non,,687735
drap fin et draperie,1,oui,,687735
drap fin ordinaire et petit,1,non,,687735
drap fin ordinaire et petite,1,oui,,687735
drap fins de laine,62,non,,687735
drap frac,2,non,,687735
drap gaufré,2,non,,687735
drap gros,4,non,,687735
drap gros de laine,5,non,,687735
drap grossier,7,non,,687735
drap iada,1,non,,687735
drap imprimé,6,non,,687735
drap julienne,0,oui,,687735
drap layette,5,non,,687735
drap londrin,333,non,,687735
drap londrin ?,1,oui,,687735
drap londrin petit,1,oui,,687735
drap londrin second,1,non,,687735
drap Maroc petit,0,oui,,687735
drap matine petit,0,oui,,687735
drap moine,1,non,,687735
drap molleton,47,oui,,687735
drap motton,8,non,,687735
drap moutade,1,non,,687735
drap native divers,3,non,,687735
drap naturel commun,3,non,,687735
drap naturel de Sedan,1,non,,687735
drap naturel diverses,2,non,,687735
drap naturel Sirre,2,non,,687735
drap noir,5,non,,687735
drap noir de Sedan,1,non,,687735
drap noir grossier,1,non,,687735
drap ordinaire,395,non,,687735
drap ordinaires de laine,70,oui,,687735
drap palencourt,1,non,,687735
drap peint,2,non,,687735
drap petit,754,non,,687735
drap petit de Languedoc,1,non,,687735
drap petit de mains,1,non,,687735
drap petit de Montauban,1,non,,687735
drap petit de Sedan,1,non,,687735
drap petit de Silésie,33,non,,687735
drap petit dit raz Maroc,0,oui,,687735
drap petit du Maroc,0,oui,,687735
drap petit londrin,1,non,,687735
drap petit ratine,0,oui,,687735
drap petit raze de Maroc,12,non,,687735
drap platine,2,non,,687735
drap pour billau,1,non,,687735
drap pour doublures,3,non,,687735
drap pour les troupes,4,non,,687735
drap ratine,0,oui,,687735
drap rouge,1,non,,687735
drap rouge bariolé,1,non,,687735
drap teint,323,non,,687735
drap teint d'Espagne et de Hollande,28,non,,687735
drap teint d'Espagne et de Hollande aune,1,oui,,687735
drap teint et mêlé de douzaine,1,oui,,687735
drap terlaine,1,non,,687735
drap uni,1,non,,687735
drap vert,2,non,,687735
drap vieux,3,non,,687735
drap vieux pour l'entrepôt pour la Guinée,1,non,,687735
drape petite,2,non,,687735
drapeaux,10,non,,687735
drapeaux vieux,119,non,,687735
drapeaux vieux pour papeterie,1,non,,687735
draperie et futaine,8,oui,,687735
draps d'étoupes,1,non,,687735
draps de laine de Reims,1,non,,687735
drèche,0,oui,,687735
drêche,3,non,,687735
drêche de bière,28,non,,687735
drilles,3,non,,687735
drogue émeri,0,oui,,687735
drogue médicinale,32,oui,,687735
drogues,2954,non,,687735
drogues ???,2,non,,687735
drogues à peindre,1,non,,687735
drogues à teindre,20,non,,687735
drogues chimiques,16,non,,687735
drogues chimiques et métaliques,0,oui,,687735
drogues chimiques et métalliques,22,non,,687735
drogues chimiques et métalliques diverses,1,non,,687735
drogues chimiques et métalliques sublimé,0,non,,687735
drogues colorantes,2,non,,687735
drogues communes,17,non,,687735
drogues composées,3,non,,687735
drogues composées pour médecine ???,2,non,,687735
drogues composées pour médecine précipité,2,oui,,687735
drogues d'apothicaire,69,non,,687735
drogues d'apothicaire commune,0,oui,,687735
drogues d'apothicaire communes,2,non,,687735
drogues de misme,1,non,,687735
drogues de peintures en ocre rouge,0,oui,,687735
drogues des Indes,4,non,,687735
drogues diverses,15,non,,687735
drogues diverses citronal,1,non,,687735
drogues diverses composées,2,non,,687735
drogues diverses médicinales,5,oui,,687735
drogues diverses pour peintures et teinture,2,oui,,687735
drogues diverses réunies,635,non,,687735
drogues du Languedoc,1,non,,687735
drogues émeri,0,oui,,687735
drogues en plantes,6,non,,687735
drogues et épicerie,12,non,,687735
drogues et épiceries diverses pour peintures et teinture,2,oui,,687735
drogues et graine diverses,5,non,,687735
drogues et graines diverses,5,oui,,687735
drogues et jus et sirop de cerise et de grenade,1,non,,687735
drogues et soie et laine,1,non,,687735
drogues fines,14,non,,687735
drogues galle,1,non,Galle,1551
drogues gomme médicinales diverses,1,non,Gomme,3990
drogues gomme métalliques diverses,1,non,Gomme,3990
drogues médicales naturelles,15,non,,687735
drogues médicinales,300,non,,687735
drogues médicinales ???,1,non,,687735
drogues médicinales bol,1,non,,687735
drogues médicinales casse en ???,0,non,,687735
drogues médicinales en plantes diverses,11,non,,687735
drogues médicinales en rhubarbe composée,3,non,,687735
drogues métalliques,8,non,,687735
drogues métalliques ???,8,non,,687735
drogues métalliques et chimiques,3,non,,687735
drogues odorantes,2,non,,687735
drogues pour la Compagnie des Indes,1,non,,687735
drogues pour la médecine,1,oui,,687735
drogues pour la peintures,0,oui,,687735
drogues pour la peintures et la teinture,0,oui,,687735
drogues pour la teinture,11,non,,687735
drogues pour les peintures et la teinture fnée platte,3,non,,687735
drogues pour les peintures et teinture gande,2,oui,,687735
drogues pour peintures,26,non,,687735
drogues pour peintures et coiffures,5,non,,687735
drogues pour peintures et la teinture,6,oui,,687735
drogues pour peintures et teinture,231,non,,687735
drogues pour peintures et teinture ???,3,non,,687735
drogues pour peintures et teinture composite,1,oui,,687735
drogues pour peintures et teinture diverses,12,oui,,687735
drogues pour peintures et teinture pae ???,1,non,,687735
drogues pour peintures et teinture semence,2,non,,687735
drogues pour teinture,1,non,,687735
drogues sur soie,0,oui,,687735
droguet,6,non,,687735
droguet d'Angleterre,2,non,,687735
droguet de castor,2,non,,687735
droguet de coton et de soie,1,non,,687735
droguet de fil de laine,3,non,,687735
droguet de fil et de laine,21,non,,687735
droguet de fil et laine,2,oui,,687735
droguet de Hollande,8,non,,687735
droguet de laine,136,non,,687735
droguet de laine des prises,1,non,,687735
droguet de laine et fil,2,oui,,687735
droguet de milan,1,non,,687735
droguet de soie,24,non,,687735
droguet des prises,1,non,,687735
droguet en fil,1,non,,687735
droguet en laine,1,non,,687735
droguet et Maroc,2,oui,,687735
droguet et raze de Maroc,36,non,,687735
droit sur vin de Blaye,1,non,,687735
droit sur vinaigre,2,non,,687735
drol et drouel,67,non,,687735
duc-d'Albe,7,non,,687735
duc-d'Albe de grés,1,non,,687735
duc-d'Albe de terre,1,non,,687735
ducatons,1,non,,687735
duffel,10,non,,687735
duffel teint,68,non,,687735
duffel teint aune,0,oui,,687735
durance grosse étoffe de laine,1,non,,687735
duves,1,non,,687735
duvet,25,non,,687735
duvet de plumes,2,non,,687735
duvet de plumes de canard cygne et oie,5,non,,687735
duvet fin,1,non,,687735
duyvelsteen,1,non,,687735
duyvelsterck,20,non,,687735
e ???,2,non,,687735
eau,21,non,,687735
eau ???,1,non,,687735
eau à noirir tabac,7,non,,687735
eau citronnelle,2,non,,687735
eau coclearia,1,non,,687735
eau cordiale,8,non,,687735
eau d'anis,9,non,,687735
eau d'arc,1,non,,687735
eau d'arquebusade,35,non,,687735
eau d'aspci,0,oui,,687735
eau d'aspic,1,non,,687735
eau d'Esquebat,2,non,,687735
eau d'odeur,2,non,,687735
eau d'orange,1,non,,687735
eau de ???,1,non,,687735
eau de balaruc,88,non,,687735
