simplification,nbr_occurences_simpl,obsolete,hamburg,nbr_occurences_hamburg
agrément de soie or et argent faux,1,non,,687735
agrément pour robes,1,non,,687735
agréments de soie et milleret,13,non,,687735
agréments et milleret,38,non,,687735
agrès,29,non,,687735
agrès apparaux de navire et embarcations,6,non,,687735
agrès apparaux et embarcations,2,non,,687735
agrès de navire,0,oui,,687735
agrès de navire en voile,0,oui,,687735
agrès de navire et jeux de voile,14,non,,687735
agrès et apparaux,2,non,,687735
agrès et apparaux d'or navire,1,non,,687735
agrès et bâtiments de mer,10,non,,687735
agrès et embarcations,8,non,,687735
agrès et voile de navire,1,oui,,687735
agrès et voiles de navire,0,oui,,687735
aigles,4,non,,687735
aigre de cèdre,16,non,,687735
aigre de cidre,5,non,,687735
aigre de vitriol,18,non,Vitriol ; blanc,1356
aigrettes,11,non,,687735
aigrettes de fil d'or et d'argent,1,non,,687735
aigrettes de soie,1,non,,687735
aigrettes de soie et argent,1,non,,687735
aigrettes de verre,1,non,,687735
aigrettes et bavolets,1,non,,687735
aiguières d'étain,1,non,,687735
aiguilles,355,non,,687735
aiguilles à boîtes,1,non,,687735
aiguilles à coudre,60,non,,687735
aiguilles à coudre voiles,1,non,,687735
aiguilles à ralingue,1,non,,687735
aiguilles à tabac,1,non,,687735
aiguilles à toile,1,non,,687735
aiguilles d'emballage,2,non,,687735
aiguilles de mercerie fine,4,non,,687735
aiguilles epars de sapin,1,non,,687735
aiguilles et épingles,1,non,,687735
aiguilles et épingles de mercerie fine,3,non,,687735
aiguilles et mercerie fine,2,non,,687735
aiguilles grosses,1,non,,687735
aiguilles pour voile,40,non,,687735
aiguillettes,1,non,,687735
aiguillettes de cuir,1,non,,687735
aiguillettes de peau,1,non,,687735
ail,2,oui,,687735
ailes,17,non,,687735
ailes de fléaux,3,non,,687735
ailes de moulins,6,non,,687735
ailor,0,non,,687735
ails,295,non,,687735
ails à fauches,1,non,,687735
ails blancs à casser,1,non,,687735
aimant,1,non,,687735
ains à pêcher,47,non,,687735
ains et lignes à pêcher,2,non,,687735
airain,7,non,,687735
airain non ouvré,4,non,,687735
ajamis,308,non,,687735
ajustements,37,non,,687735
ajustements de femme,5,non,,687735
ajustements de soie,2,non,,687735
alambics,17,non,,687735
alambics d'étain,18,non,,687735
alambics de cuivre,2,non,,687735
alambics de terre,1,non,,687735
alana,2,non,,687735
alazar,2,non,,687735
albâtre,5,non,,687735
albâtre brut,3,non,,687735
albâtre et marbre brut et poli,21,non,,687735
albâtre moulé poli ou sculpté,6,non,,687735
alcalis autre que natron et soude,2,oui,,687735
alcalis autre que natron et soudes,2,non,,687735
alcalis salin,1,non,,687735
aleine à cordonnier en acier et en fer,1,non,,687735
alènes,5,non,,687735
alènes à cordonnier en acier et en fer,1,oui,,687735
algue marine,1,non,,687735
ali,0,non,,687735
alibanies,115,non,,687735
alibanis,14,oui,,687735
alicot,0,non,,687735
alizari,31,non,,687735
alizari et garance,167,non,,687735
alizari sèche,7,non,,687735
alkermés,1,non,,687735
alkermès en grains,25,non,,687735
allaya,91,non,,687735
alleaux,1,non,,687735
allemande de poil,10,oui,,687735
allumettes,138,non,,687735
allumettes à vin,32,non,,687735
allumettes de coton,1,non,,687735
allumettes de mêche soufrée,1,non,,687735
allumettes droguées,3,non,,687735
allumettes épicée,2,non,,687735
allumettes opérées et soufrées,1,non,,687735
allumettes soufrées,13,non,,687735
almagro ou crayons rouges,2,non,,687735
almanachs,1,non,,687735
almanachs brochés,2,non,,687735
almanachs en blancs,1,non,,687735
almanachs enjolivés,2,non,,687735
almanachs reliés,1,non,,687735
aloès,263,non,,687735
aloès cabalin,5,non,,687735
aloès commun,1,non,,687735
aloès et opium,2,non,,687735
aloès hépatique,1,non,,687735
aloès moyen,2,non,,687735
aloiset,1,non,,687735
alose,8,non,,687735
alose fumée,4,non,,687735
alose salée,5,non,,687735
aloues,1,non,,687735
alouettes,5,non,,687735
alpargate,36,non,,687735
alphabets,1,non,,687735
alpiste,22,non,,687735
alpiste et millet,9,non,,687735
alquifoux,519,non,,687735
alquifoux en galène,2,non,,687735
alquifoux et mine de plomb,36,non,Plomb,4656
alquifoux mine de plomb ou graphite,23,non,Plomb,4656
alquifoux ou mine de plomb,3,non,Plomb,4656
alquifoux sable plombifère,1,non,Plomb,4656
alquitra,3,non,,687735
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,non,,687735
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,oui,,687735
alto basses contrebasses guitare lyres violes violons,2,non,,687735
alto basses contrebasses guitares lyres violes violons,0,oui,,687735
alto bassons guitare violons,3,non,,687735
alto bassons guitares violons,0,oui,,687735
aluchiabanis,3,oui,,687735
alun,2534,non,Alun,2559
alun à cordonnier,1,non,Alun,2559
alun autre que brûlé ou calciné,2,non,Alun,2559
alun bon,2,non,Alun,2559
alun brûlé,1,non,Alun,2559
alun commun,1,non,Alun,2559
alun de glace,1,non,Alun,2559
alun de roche,5,non,Alun,2559
alun de Rome,3,non,Alun,2559
alun de Rome fin rosé,1,non,Alun,2559
alun de Rouen,2,non,Alun,2559
alun de Surde,2,non,Alun,2559
alun du Levant,1,non,Alun,2559
alun en dracy,1,non,Alun,2559
alun en rame,1,non,,687735
alun gâté,1,non,Alun,2559
alun ordinaire,1,non,Alun,2559
alvés,0,non,,687735
amadou,344,non,,687735
amadou et agaric amadouvier,7,non,,687735
amandes,2281,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes à la praline,4,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes amères,2,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes arachis noisettes noix noyaux,2,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes cassée,7,oui,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes cassées,456,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes cassées ou en coque,3,oui,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes cassées ou en coques,3,non,,687735
amandes courtes,102,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes douces,5,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes en coque,438,oui,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes en coques,460,non,,687735
amandes et figue et raisin,33,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
