simplification,nbr_occurences_simpl,surement_pas_canada,canada,details_provenance,obsolete,nbr_occurences_canada
acier et clous,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acier et fer,356,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acier fondu en carreaux ou en tôle,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acier fondu forgé,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acier forgé,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acons,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acons démontés,20,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acons démontés en gabare,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acorus,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acuirson,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
acume de cuivre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
adatais,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
affûts,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
affûts de bois,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
affûts de canons,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
affûts de fer,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
affûts de fusils,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
affûts de fûts à canons,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
affûts et canons,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agaric,138,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agaric amadouvier,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agaric amadouvier brut,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agaric amadouvier brut et préparé,12,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agaric amadouvier préparé,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agaric brut et préparé,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agaric de mélèze,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agaric fin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agaric gros,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agate,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agate autre que chique et ouvrages,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agate brute,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agate en pierres,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agate fine,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agate montée,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agneaux,116,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agneaux communs,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agneaux en vie,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agneaux et cabris,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agneaux mérinos et métis,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agnelines et crottelins,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agobille,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agoutals,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agoutals de bois,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément,15,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément au quart,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément d'argent,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément d'or,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément d'or et d'argent,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément de fil,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément de fil et de soie,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément de fleur,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément de soie,56,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
