simplification,nbr_occurences_simpl,surement_pas_canada,canada,details_provenance,obsolete,nbr_occurences_canada
empeignes et talons de cuir coupés,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
empeignes peintes pour souliers,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
en bâtiments de mer,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
en pain,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
enamitte,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encens,503,0,Hors Canada,,non,156575
encens commun,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encens des Indes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encens en grabeau,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encens en poudre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encens en poussière,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
enclumes,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
enclumes de fer,111,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
enclumes de fer et étaux de fer,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encoignement,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encoignures,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encoignures de bois vernissé,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre,37,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre à dessiner en tablettes,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre à écrire,53,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre à écrire et à imprimer,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre à imprimer,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre commune,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre d'imprimerie,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre de la Chine,15,0,Hors Canada,,non,156575
encre de la petite vertu,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre de nankin,2,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
encre de Nankin,2,,,,non,2163
encre glassine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre liquide à écrire ou à imprimer,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre odorante,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encre rouge,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
encrin,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
endives,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
engins,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
engrais,49,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
engrais colombine,15,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
engrais divers,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
engrais en court fumier,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
engrais en fournelle,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
engrais en fumier de rue,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
engrais en pourette,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
engrais gru,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
entenolles,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épagnolette simple,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épaulettes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épaulettes d'argent,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épeautre,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épeautre en gerbes,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée,24,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée à garde d'argent,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée à garde de cuivre doré,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée argentée,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée d'acier,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée d'argent,33,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée d'argent doré,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée d'argent et de cuivre,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée d'argent et de cuivre doré,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée de cuivre,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée de cuivre doré,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée masquinée,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée montée en acier,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épée montée en argent,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éperons,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éperons et étriers,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éperviers,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épice,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épice de Curons,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épicerie,884,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épicerie commune,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épicerie douce,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épicerie fine,62,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épices,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épices préparées,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épices préparées autres que moutarde et poudre de kari,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épices préparées autres que moutarde et sauces épicées,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
epinelle,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épines à planter,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épinettes,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épingles,302,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épingles communes,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épingles de laiton,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épingles de mercerie fine,17,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épingles en cuivre,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épingoles,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
epiterie,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éponges,599,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éponges communes,18,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éponges communes et fines,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éponges et tournesol,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éponges fines,15,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éponges grosses,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
épousterie,45,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
éprouvette de cuivre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
équerre,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
equeurs,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
équille,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
équille pour voile pour la Compagnie de Guinée,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
equine,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ergots de bœuf,14,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ergots de caret,1,0,Hors Canada,,non,156575
érnail,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escabelles,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escamitte,99,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escamotte,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escaralles,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escarasse,29,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escarbille,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escargots,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escargots et crekels,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escarpins,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escarpins de chambre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escayolles,289,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esclapes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esclapes de bois,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esco,1,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
escope,19,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escortines,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escortines à huile,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escortines d'espars,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escortines de jonc,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escosses,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escot,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escot de bois,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escot de fer,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escot de laine,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
escotins de bois,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espadrilles,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette,260,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette à fleurs,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette croisée,118,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette croisée et simple,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette de laine,18,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette de laine croisée,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette de laine lisse,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette de laine simple,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette des prises,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espagnolette simple,83,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars,385,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 10 à 15 pieds,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 10 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 11 à 20 pieds,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 12 à 15 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 14 à 16 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 14 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 15 à 16 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 15 à 20 pieds,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 15 à 25 centimètres,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 15 centimètres inclusivement à 25 exclusivement,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 16 à 36 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 17 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 18 à 20 pieds,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 18 à 36 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 18 pieds,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 20 à 22 pieds,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 20 à 25 pieds,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 20 à 25 pieds de long,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 20 à 26 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 20 à 30 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 20 pieds,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 24 à 36 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 24 pieds,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 25 à 26 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 25 à 30 pieds,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 26 à 28 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 26 pieds,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 27 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 28 à 30 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 28 à 36 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 28 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 3 à 4 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 30 à 35 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 30 à 40 pieds,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 30 pieds,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 35 à 46,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 35 pieds,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 36 à 40 pieds,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 4 à 5 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 40 à 45 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 40 à 50 pieds,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 40 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 45 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 5 à 6 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 55 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 56 à 61 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de 8 à 9 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de différente longueur,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de nitriol,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
espars de sapin,25,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de sapin de 15 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de sapin de 18 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de sapin de 20 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de sapin de 24 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de sapin de 25 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de sapin de 30 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de sapin de 37 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars de sapin de 45 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars divers,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars doubles,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars marmoyées en argent,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars petit,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars petits,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars pour construction,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars simple,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espars simples,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espèce monnayée ???,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espèces,42,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espèces d'argent,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espingole,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esponton,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit d'absinthe,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de bergamote,149,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de cédrat,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de citron,128,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de coclearia,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de corne de cerf,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de coton,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de feuilles d'orange,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de fil,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de fleurs d'oranger,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de lavande,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de limon,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de miroly,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de myrrhe,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de myrthe,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de nitre,12,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de romarin,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de sel,14,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de sel ammoniac,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de sel marin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de soufre,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de taffia,2,0,Peut-être Canada,,non,25417
esprit de tamarin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit de vitriol,56,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprit-de-vin,158,0,Hors Canada,,non,156575
esprots,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esprots fumés,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
espuirie,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esquine,22,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essandoles,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence,314,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence aromatique,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence au bruit aromatique,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence d'anis,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de bergamote,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de cannelle,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de cendre de bois,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de citron,47,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de fleurs d'orange,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de girofle,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de jasmin,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de lavande,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de limon,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de muscade,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de paruce,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de pommade,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de romarin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de rose,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de térébenthine,22,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de térébenthine et huile de térébenthine,85,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de thym,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence de vitriol,15,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence et huile de térébenthine,184,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence et pommade,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence odoriférante,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence ou esprit de citron,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essence vitriolique et vitriol huile,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essieux,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essieux à cabrouets,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
essieux de fer,71,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estagnons,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estagnons de cuivre allié,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes,329,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes en feuilles,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes encadrées,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes et cartes géographiques,14,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes et gravures,43,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes et images,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes et librairie,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes et tableaux,336,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes sur papier,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estampes sur toile,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estères,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estères de jonc,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estrasse de cocons,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estrasse de Savoie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
estrasse de soie,65,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esturgeon,33,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esturgeon en adaube,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esturgeon mariné,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
esturgeon salé,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain,457,0,Hors Canada,,non,156575
étain battu,16,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain battu ou limé,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain brut,47,0,Hors Canada,,non,156575
étain brut d'Inde,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain brut d'Inde des entrepôts,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain brut en masses ouvrages brisés et saumons,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain creux,1,0,Hors Canada,,non,156575
étain d'Angleterre,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain de glaces,36,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain de j ???,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain de malgue,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain de Melac,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain de retour faute de vente,1,0,Peut-être Canada,,non,25417
étain des Indes,36,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain du Pérou,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain en bloc,457,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain en bloc des Indes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain en enclumes de fer,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain en faux,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain en feuilles,12,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain en lingots,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain en plats,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain en plomb,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain en saumon,26,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain et plomb,18,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain fin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain fin en bloc,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain neuf,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain non ouvré,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain pour glaces,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain pour soudure,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain rouge,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain seringues,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étain verni,1,0,Hors Canada,,non,156575
étain vieux,89,0,Hors Canada,,non,156575
étais en bois,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
etalchasse,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étamette,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étamette dauphine casinettes,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étamine,218,0,Hors Canada,,non,156575
étamine à bluteau,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étamine à passer fromage,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étamine à pavillon,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étamine à peu de soie,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étamine au quart de soie,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étamine au sixième de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
étamine aune,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
