pays_simplification,pays_obrien,note
?,?,
Afrique,Afrique,
Afrique occidentale,Afrique occidentale,
Alger,Alger,
Allemagne,Allemagne,
Allemagne et Lorraine,Allemagne et Lorraine,
Allemagne et Pologne,Allemagne et Pologne,
Allemagne-Lorraine,Allemagne-Lorraine,
Allemagne-Lorraine-Pays de Liège,Allemagne-Lorraine-Pays de Liège,
Allemagne-Pologne,Allemagne-Pologne,
"Allemagne, Lorraine et Pays de Liège","Allemagne, Lorraine et Pays de Liège",
Alsace,Alsace,
Alsace et les Trois Évêchés,Alsace et les Trois Évêchés,
Alsace et Lorraine,Alsace et Lorraine,
Alsace-Lorraine,Alsace-Lorraine,
"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles","Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",
Amériques,Amériques,
Amiens,Amiens,
Angleterre,Angleterre,
Angleterre y compris l'Écosse et l'Irlande,Angleterre y compris l'Écosse et l'Irlande,
Asie,Asie,
Autriche,Autriche,
Barbarie,Barbarie,
"Barbarie, Empire Ottoman et Levant","Barbarie, Empire Ottoman et Levant",
Bayonne,Bayonne,
Bayonne et ?,Bayonne et ?,
Bayonne et Dunkerque,Bayonne et Dunkerque,
Bayonne et Lorient,Bayonne et Lorient,
Bayonne et Marseille,Bayonne et Marseille,
Bayonne et Petites Îles,Bayonne et Petites Îles,
"Bayonne, Dunkerque et Marseille","Bayonne, Dunkerque et Marseille",
"Bayonne, Dunkerque, Lorient et Petites Îles","Bayonne, Dunkerque, Lorient et Petites Îles",
"Bayonne, Lorient et Petites Îles","Bayonne, Lorient et Petites Îles",
Belgique,Belgique,
Brésil,Brésil,
Cayenne,Cayenne,
Cayenne et Guyane,Cayenne et Guyane,
Cayenne-Guyane,Cayenne-Guyane,
Chili,Chili,
Chine,Chine,
Clermontois,Clermontois,
Colonies anglaises,Colonies anglaises,
Colonies danoises,Colonies danoises,
Colonies des États-Unis d'Amérique,Colonies des États-Unis d'Amérique,
Colonies espagnoles,Colonies espagnoles,
Colonies françaises,Colonies françaises,
Colonies françaises d'Amérique,Colonies françaises d'Amérique,
Colonies françaises et colonies hollandaises,Colonies françaises et colonies hollandaises,
Colonies françaises-hollandaises,Colonies françaises-hollandaises,
Colonies hollandaises,Colonies hollandaises,
Colonies portugaises,Colonies portugaises,
Colonies suédoises,Colonies suédoises,
Corse,Corse,
Courlande et Russie,Courlande et Russie,
Cuba et Porto Rico,Cuba et Porto Rico,
Danemark,Danemark,
Danemark et Norvège,Danemark et Norvège,
Danemark-Norvège,Danemark-Norvège,
Duché de Bouillon,Duché de Bouillon,
Dunkerque,Dunkerque,
Dunkerque et Bayonne,Dunkerque et Bayonne,
Dunkerque et Lorient,Dunkerque et Lorient,
Dunkerque et Marseille,Dunkerque et Marseille,
Dunkerque et Petites Îles,Dunkerque et Petites Îles,
"Dunkerque, Bayonne et Marseille","Dunkerque, Bayonne et Marseille",
