source,nb_occurence_BdCFR,nbr_occurences_source,orthographic,note,obsolete,nbr_occurences_ortho
,6131,6230,[vide],,non,6230
?,11,11,???,,non,3468
? ; blanc,2,2,??? blanc,,non,2
? ; brun,2,2,??? brun,,non,2
? ; diverses,4,4,??? diverses,,non,4
? De fer,2,2,??? de fer,,non,2
? De morue,1,1,??? de morue,,non,1
? De nacre de perle,1,1,??? de nacre de perle,,non,1
? Forts de fer,1,1,??? forts de fer,,non,1
? Gras,1,1,??? gras,,non,1
? Pieds,1,1,??? pieds,,non,1
? Pruneaux,1,1,??? pruneaux,,non,1
? Raisin sec,1,1,??? raisins secs,,non,1
??,4,14,???,,non,3468
???,1,3092,???,,non,3468
??? de boutard,0,0,??? de boutard,,oui,0
??? fer...,1,1,??? fer,,non,1
??? Ferre en carte,0,0,???,,oui,3468
?sse,1,1,???sse,,non,1
?ufs,0,0,?ufs,,oui,0
... d'Argents,1,1,... d'argent,,non,1
...caille de Tortue,6,6,écaille de tortue,,non,364
...copes,1,1,écope,,non,1
...gouttoir à Fondre,1,1,égouttoirs à fondre,,non,1
...Licanes,1,1,licanias,,non,1
...pars,6,6,espars,,non,370
...pars de Sapin,1,1,espars de sapin,,non,26
...parts,1,1,espars,,non,370
...pice,1,1,épice,,non,1
...pice de Curons,1,1,épice de Curons,,non,3
...pice Douce,1,1,épice douce,,non,1
...tain,2,2,étain,,non,430
...tain en bloc,2,2,étain en bloc,,non,457
...tain Ouvre,3,3,étain ouvré,,non,816
...tain vieux,2,2,étain vieux,,non,89
...tains vieux,1,1,étain vieux,,non,89
...tamine,1,1,étamine,,non,177
...toupe,2,2,étoupes,,non,205
[¨Pêche aux huitres],0,2,pêches aux huitres,,non,2
[Huile de] vitriol,0,1,huile de vitriol,,non,283
[Illegible],0,2,illisible,,non,3
[Illisible],0,1,illisible,,non,3
[Morue en pacotille],0,1,morue en pacotille,,non,8
[Morue en] pacotille,0,1,morue en pacotille,,non,8
[Morue] en pacotille,0,1,morue en pacotille,,non,8
[Morues],0,1,morue,,non,270
[Pêche à la morue de Terre Neuve],0,4,pêche à la morue de Terre Neuve,,non,4
[Pêche à la morue],0,115,pêche à la morue,,non,275
[Pêche aux huitres],0,36,pêche aux huitres,,non,96
[Pêche aux] Huitres,0,57,pêche aux huitres,,non,96
[Pêche du poisson frais],0,1,pêche du poisson frais,,non,76
[Pêche],0,110,pêche (poisson),,non,276
[Pour la pêche],0,13,pour la pêche,,non,13
[Sel en tonnes],0,2,sel en tonnes,,non,29
"//////Betes de somme, principalement en mules et mulets",5,5,bêtes de somme principalement en mules et mulets,,non,5
"//////Betes,principalement en mules et mulets",6,6,bêtes principalement en mules et mulets,,non,6
//////Passementerie,1,1,passementerie,,non,152
///Articles réunis///D'une valeur moindre de 2000 fr chacun,63,63,articles réunis d'une valeur moindre de 2000 francs chacun,,non,136
///Articles réunis///D'une valeur moindre de 2000 francs chacun,42,42,articles réunis d'une valeur moindre de 2000 francs chacun,,non,136
///Betes de somme///Anes,1,1,bêtes de somme ânes,,non,11
///Bêtes de Somme///Anes,0,0,bêtes de somme ânes,,oui,11
///Betes de somme///Chevaux,8,8,bêtes de somme chevaux,,non,65
///Bêtes de Somme///Chevaux,6,6,bêtes de somme chevaux,,non,65
///Betes de somme///Cheveaux,7,7,bêtes de somme chevaux,,non,65
"///Bêtes de Somme///Mules, mulets et chevaux",4,4,bêtes de somme mules mulets et chevaux,,non,4
///Betes de somme///Mulets,3,3,bêtes de somme mulets,,non,4
///Bêtes de Somme///Mulets,1,1,bêtes de somme mulets,,non,4
///Drogues diverses///Drogues diverses réunies,45,45,drogues diverses drogues diverses réunies,,non,45
///Drogues diverses///Drogues réunies,16,16,drogues diverses drogues réunies,,non,33
///Drogues Diverses///Drogues réunies,17,17,drogues diverses drogues réunies,,non,33
///Drogues diverses///Gommes diverses,43,43,drogues diverses gomme diverse,,non,43
///Drogues Diverses///Gommes diverses,12,12,drogues diverses gommes diverses,,non,13
///Drogues diverses///Huile et essence de térébenthine,18,18,drogues diverses huile et essence de térébenthine,,non,24
///Drogues diverses///Huile et essence de Térébenthine,6,6,drogues diverses huile et essence de térébenthine,,non,24
///Drogues diverses///Sels chimiques,9,9,drogues diverses sel chimique,,non,15
///Drogues Diverses///Sels chimiques,6,6,drogues diverses sel chimique,,non,15
///Drogues médicinales///Drogues médicinales réunies,29,29,drogues médicinales drogues médicinales réunies,,non,46
///Drogues Médicinales///Drogues médicinales réunies,17,17,drogues médicinales drogues médicinales réunies,,non,46
///Drogues médicinales///Drogues réunies,12,12,drogues médicinales drogues réunies,,non,39
///Drogues Médicinales///Drogues réunies,16,16,drogues médicinales drogues réunies,,non,39
///Drogues médicinales///Ipécacuanha,1,1,drogues médicinales ipécacuanha,,non,17
///Drogues Médicinales///Ipécacuanha,4,4,drogues médicinales ipécacuanha,,non,17
///Drogues médicinales///Jus de réglisse,5,5,drogues médicinales jus de réglisse,,non,32
///Drogues Médicinales///Jus de réglisse,5,5,drogues médicinales jus de réglisse,,non,32
///Drogues médicinales///Manne,3,3,drogues médicinales manne,,non,54
///Drogues Médicinales///Manne,4,4,drogues médicinales manne,,non,54
///Drogues médicinales///Quinquina,10,10,drogues médicinales quinquina,,non,46
///Drogues Médicinales///Quinquina,6,6,drogues médicinales quinquina,,non,46
///Drogues médicinales///Safran,16,16,drogues médicinales safran,,non,53
///Drogues Médicinales///Safran,5,5,drogues médicinales safran,,non,53
///Drogues médicinales///Salsepareille,2,2,drogues médicinales salsepareille,,non,19
///Drogues Médicinales///Salsepareille,2,2,drogues médicinales salsepareille,,non,19
///Drogues médicinales///Séné,3,3,drogues médicinales séné,,non,39
///Drogues Médicinales///Séné,4,4,drogues médicinales séné,,non,39
///Drogues midicinales///Drogues réunies,11,11,drogues médicinales drogues réunies,,non,39
///Drogues midicinales///Ipécacuanha,0,0,drogues médicinales ipécacuanha,,oui,17
///Drogues midicinales///Jus de réglisse,3,3,drogues médicinales jus de réglisse,,non,32
///Drogues midicinales///Manne,3,3,drogues médicinales manne,,non,54
///Drogues midicinales///Quinquina,2,2,drogues médicinales quinquina,,non,46
///Drogues midicinales///Safran,2,2,drogues médicinales safran,,non,53
///Drogues midicinales///Salsepareille,2,2,drogues médicinales salsepareille,,non,19
///Drogues midicinales///Sené,4,4,drogues médicinales séné,,non,39
///Industrie Etrangère///Articles réunis,18,18,industrie étrangère articles réunis,,non,54
///Industrie étrangère///Articles réunis,36,36,industrie étrangère articles réunis,,non,54
///Industrie Etrangère///Bouchons de liège,1,1,industrie étrangère bouchons de liège,,non,3
///Industrie étrangère///Bouchons de liége,2,2,industrie étrangère bouchons de liège,,non,3
///Industrie étrangère///Cauris,1,1,industrie étrangère cauris,,non,1
///Industrie étrangère///Colle de toute sorte,3,3,industrie étrangère colle de toute sorte,,non,16
///Industrie Etrangère///Colles de toute sorte,4,4,industrie étrangère colle de toute sorte,,non,16
///Industrie étrangère///Colles de toute sorte,9,9,industrie étrangère colle de toute sorte,,non,16
///Industrie Etrangère///Faience et poterie,2,2,industrie étrangère faïence et poterie,,non,6
///Industrie étrangère///Faience et poterie,4,4,industrie étrangère faïence et poterie,,non,6
///Industrie Etrangère///Habillement et lingerie,5,5,industrie étrangère habillement et lingerie,,non,17
///Industrie étrangère///Habillement et lingerie,12,12,industrie étrangère habillement et lingerie,,non,17
///Industrie étrangère///Horlogerie,5,5,industrie étrangère horlogerie,,non,8
///Industrie Etrangère///Horlogeries,3,3,industrie étrangère horlogerie,,non,8
///Industrie Etrangère///Librairie,6,6,industrie étrangère librairie,,non,22
///Industrie étrangère///Librairie,16,16,industrie étrangère librairie,,non,22
///Industrie Etrangère///Marbres,3,3,industrie étrangère marbre,,non,13
///Industrie étrangère///Marbres,10,10,industrie étrangère marbre,,non,13
///Industrie Etrangère///Merceries,8,8,industrie étrangère mercerie,,non,26
///Industrie étrangère///Merceries,18,18,industrie étrangère mercerie,,non,26
///Industrie Etrangère///Meubles et miroirs,4,4,industrie étrangère meubles et miroirs,,non,13
///Industrie étrangère///Meubles et miroirs,9,9,industrie étrangère meubles et miroirs,,non,13
///Industrie Etrangère///Ouvrages de jonc,3,3,industrie étrangère ouvrages de jonc,,non,17
///Industrie étrangère///Ouvrages de jonc,14,14,industrie étrangère ouvrages de jonc,,non,17
///Industrie Etrangère///Ouvrages divers,11,11,industrie étrangère ouvrages divers,,non,37
///Industrie étrangère///Ouvrages divers,26,26,industrie étrangère ouvrages divers,,non,37
///Industrie Etrangère///Peaux et pelleteries,17,17,industrie étrangère peaux et pelleterie,,non,52
///Industrie étrangère///Peaux et pelleteries,35,35,industrie étrangère peaux et pelleterie,,non,52
///Industrie Etrangère///Plumes à écrire,4,4,industrie étrangère plumes à écrire,,non,10
///Industrie étrangère///Plumes à écrire,6,6,industrie étrangère plumes à écrire,,non,10
///Industrie Etrangère///Plumes d'autruche,2,2,industrie étrangère plumes d'autruche,,non,7
///Industrie étrangère///Plumes d'Autruche,5,5,industrie étrangère plumes d'autruche,,non,7
///Industrie Etrangère///Plumes de toute sorte,3,3,industrie étrangère plumes de toute sorte,,non,23
///Industrie étrangère///Plumes de toute sorte,20,20,industrie étrangère plumes de toute sorte,,non,23
"///Industrie étrangère///Porcelaine, faience et poterie",12,12,industrie étrangère porcelaine faïence et poterie,,non,12
///Industrie Etrangère///Quincailleries diverses,9,9,industrie étrangère quincaillerie diverse,,non,9
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...",8,8,industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,,non,20
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..",12,12,industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,,non,20
///Industrie Etrangère///Savons,3,3,industrie étrangère savon,,non,9
///Industrie étrangère///Savons,6,6,industrie étrangère savon,,non,9
///Industrie Etrangère///Voitures,1,1,industrie étrangère voiture,,non,3
///Industrie étrangère///Voitures,2,2,industrie étrangère voiture,,non,3
///Industrie générale///Armes,2,2,industrie générale armes,,non,2
///Industrie générale///Articles d'industrie réunis,35,35,industrie générale articles d'industrie réunis,,non,56
///Industrie Générale///Articles d'industrie réunis,21,21,industrie générale articles d'industrie réunis,,non,56
///Industrie générale///Bijouterie,24,24,industrie générale bijouterie,,non,30
///Industrie Générale///Bijouterie,6,6,industrie générale bijouterie,,non,30
///Industrie générale///Bougie,1,1,industrie générale bougie,,non,2
///Industrie Générale///Bougie,1,1,industrie générale bougie,,non,2
///Industrie générale///Cauris,2,2,industrie générale cauris,,non,3
///Industrie Générale///Cauris,1,1,industrie générale cauris,,non,3
///Industrie générale///Chandelle,1,1,industrie générale chandelle,,non,2
///Industrie Générale///Chandelles,1,1,industrie générale chandelle,,non,2
///Industrie générale///Cordages,2,2,industrie générale cordage,,non,3
///Industrie Générale///Cordages,1,1,industrie générale cordage,,non,3
///Industrie générale///Dorures fines,17,17,industrie générale dorure fine,,non,23
///Industrie Générale///Dorures fines,6,6,industrie générale dorure fine,,non,23
///Industrie générale///Esprit de vin,11,11,industrie générale esprit-de-vin,,non,14
///Industrie Générale///Esprit de vin,3,3,industrie générale esprit-de-vin,,non,14
///Industrie générale///Faience et poterie,14,14,industrie générale faïence et poterie,,non,19
///Industrie Générale///Faience et poterie,5,5,industrie générale faïence et poterie,,non,19
///Industrie générale///Gants de peau,21,21,industrie générale gants de peau,,non,29
///Industrie Générale///Gants de peau,8,8,industrie générale gants de peau,,non,29
///Industrie générale///Habillemens et lingerie,22,22,industrie générale habillement et lingerie,,non,29
///Industrie Générale///Habillements et lingeries,7,7,industrie générale habillement et lingerie,,non,29
///Industrie générale///Horlogerie,15,15,industrie générale horlogerie,,non,21
///Industrie Générale///Horlogerie,6,6,industrie générale horlogerie,,non,21
///Industrie générale///Jeux de voiles,2,2,industrie générale jeux de voile,,non,3
///Industrie Générale///Jeux de voiles,1,1,industrie générale jeux de voile,,non,3
///Industrie générale///Librairie,31,31,industrie générale librairie,,non,45
///Industrie Générale///Librairie,14,14,industrie générale librairie,,non,45
///Industrie Générale///Marchandises des indes,1,1,industrie générale marchandises des Indes,,non,1
///Industrie générale///Merceries,37,37,industrie générale mercerie,,non,54
///Industrie Générale///Merceries,17,17,industrie générale mercerie,,non,54
///Industrie générale///Meubles et glaces,28,28,industrie générale meubles et glaces,,non,38
///Industrie Générale///Meubles et glaces,10,10,industrie générale meubles et glaces,,non,38
///Industrie Générale///Ouvrages de cruivre doré et argenté,4,4,industrie générale ouvrages de cuivre doré et argenté,,non,17
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,9,9,industrie générale ouvrages de cuir en cordonnerie et sellerie,,non,11
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie,2,2,industrie générale ouvrages de cuir en cordonnerie et sellerie,,non,11
///Industrie générale///Ouvrages de cuivre doré et argenté,13,13,industrie générale ouvrages de cuivre doré et argenté,,non,17
///Industrie générale///Ouvrages de modes et fleurs artificielles,24,24,industrie générale ouvrages de modes et fleurs artificielles,,non,32
///Industrie Générale///Ouvrages de modes et fleurs artificielles,8,8,industrie générale ouvrages de modes et fleurs artificielles,,non,32
///Industrie générale///Ouvrages de terre cuite,1,1,industrie générale ouvrages de terre cuite,,non,1
///Industrie générale///Ouvrages divers,22,22,industrie générale ouvrages divers,,non,22
///Industrie Générale///Ouvrages divers en bois et futailles vuides,5,5,industrie générale ouvrages divers en bois et futailles vides,,non,5
///Industrie Générale///Ouvrages en terre cuite,1,1,industrie générale ouvrages en terre cuite,,non,1
///Industrie générale///Papier pour tenture,6,6,industrie générale papier pour tenture,,non,28
///Industrie générale///Papiers à écrire,36,36,industrie générale papier à écrire,,non,51
///Industrie Générale///Papiers à écrire,15,15,industrie générale papier à écrire,,non,51
///Industrie générale///Papiers pour tenture,14,14,industrie générale papier pour tenture,,non,28
///Industrie Générale///Papiers pour tenture,8,8,industrie générale papier pour tenture,,non,28
///Industrie Générale///Parasols,1,1,industrie générale parasols,,non,1
///Industrie générale///Parfumerie,21,21,industrie générale parfumerie,,non,36
///Industrie Générale///Parfumerie,15,15,industrie générale parfumerie,,non,36
///Industrie générale///Passementerie,6,6,industrie générale passementerie,,non,8
///Industrie Générale///Passementerie,2,2,industrie générale passementerie,,non,8
///Industrie générale///Peaux et pelleteries,28,28,industrie générale peaux et pelleterie,,non,40
///Industrie Générale///Peaux et pelleteries,12,12,industrie générale peaux et pelleterie,,non,40
///Industrie générale///Porcelaine,13,13,industrie générale porcelaine,,non,20
///Industrie Générale///Porcelaine,7,7,industrie générale porcelaine,,non,20
///Industrie générale///Poudre à tirer,1,1,industrie générale poudre à tirer,,non,3
///Industrie Générale///Poudre à tirer,2,2,industrie générale poudre à tirer,,non,3
///Industrie générale///Quincaillerie,26,26,industrie générale quincaillerie,,non,40
///Industrie Générale///Quincaillerie,14,14,industrie générale quincaillerie,,non,40
///Industrie générale///Savons,30,30,industrie générale savon,,non,44
///Industrie Générale///Savons,14,14,industrie générale savon,,non,44
///Industrie générale///Tableaux et estampes,12,12,industrie générale tableaux et estampes,,non,17
///Industrie Générale///Tableaux et Estampes,5,5,industrie générale tableaux et estampes,,non,17
///Industrie générale///Verrerie,19,19,industrie générale verrerie,,non,31
///Industrie Générale///Verrerie,12,12,industrie générale verrerie,,non,31
///Matière d'Or et d'argent///Monnaies au type étranger,6,6,matières d'or et d'argent monnaies au type étranger,,non,7
///Matière d'Or et d'argent///Orfévrerie,16,16,matières d'or et d'argent orfévrerie,,non,34
///Matières d'Or et d'argent///Argenterie et orfévrerie,4,4,matières d'or et d'argent argenterie et orfévrerie,,non,9
