goods_simpl_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
,3118,,non,4510
???,90,not raw cotton,non,549385
??? blanc,2,not raw cotton,non,549385
??? brun,2,not raw cotton,non,549385
??? d'Anjou et de Touraine,1,not raw cotton,non,549385
??? d'argent,1,,non,4510
??? d'une valeur moindre de deux mille francs chacun,473,not raw cotton,non,549385
??? de boutard,1,not raw cotton,non,549385
??? de fer,2,,non,4510
??? de morue,1,,non,4510
??? de nacre de perle,1,,non,4510
??? des ci-devant provinces d'Alsace,1,not raw cotton,non,549385
??? des ci-devant provinces de Bourgogne,1,not raw cotton,non,549385
??? des ci-devant provinces de Provence,2,not raw cotton,non,549385
??? des ci-devant provinces du Languedoc,1,not raw cotton,non,549385
??? diverses,4,not raw cotton,non,549385
??? fer,1,not raw cotton,non,549385
??? forts de fer,1,,non,4510
??? gras,1,,non,4510
??? particulièrement en chevaux,6,not raw cotton,non,549385
??? pieds,1,,non,4510
??? pruneaux,1,,non,4510
??? raisins secs,1,,non,4510
???sse,1,not raw cotton,non,549385
?ufs,1,not raw cotton,non,549385
à jamis,276,not raw cotton,non,549385
abassis,4,not raw cotton,non,549385
abats,2,not raw cotton,non,549385
abattis de morue,1,not raw cotton,non,549385
abricots confits,1,not raw cotton,non,549385
absinthe,19,not raw cotton,non,549385
acacia,5,not raw cotton,non,549385
acacia germanica,1,not raw cotton,non,549385
acacia vera,1,not raw cotton,non,549385
acajou,1,not raw cotton,non,549385
acétates d'étain,1,not raw cotton,non,549385
acétates de fer,3,not raw cotton,non,549385
acétates de plomb,29,not raw cotton,non,549385
acétates de plomb sel de Saturne,2,not raw cotton,non,549385
acétates de potasse et de soude,2,not raw cotton,non,549385
acétates de sel d'étain,1,not raw cotton,non,549385
achia,7,not raw cotton,non,549385
acide arsénieux,8,not raw cotton,non,549385
acide benzoïque,1,not raw cotton,non,549385
acide benzoïque et phosphorique,2,not raw cotton,non,549385
acide borique,3,not raw cotton,non,549385
acide borique et benzoïque,2,not raw cotton,non,549385
acide citrique,2,not raw cotton,non,549385
acide citrique et muriatique et phosphorique,2,not raw cotton,non,549385
acide citrique et oxalique et tartrique,2,not raw cotton,non,549385
acide de potasse crème de tartre,5,not raw cotton,non,549385
acide de potasse lie de vin desséché et liquide,4,not raw cotton,non,549385
acide de potasse lie de vin desséchée,3,not raw cotton,non,549385
acide de potasse lie de vin liquide,2,not raw cotton,non,549385
acide de potasse tartre brut impur,2,not raw cotton,non,549385
acide muriatique,1,not raw cotton,non,549385
acide muriatique et nitrique et phosphorique,3,not raw cotton,non,549385
acide muriatique et nitro-muriatique,2,not raw cotton,non,549385
acide nitrique,4,not raw cotton,non,549385
acide oxalique,2,not raw cotton,non,549385
acide phosphorique,2,not raw cotton,non,549385
acide succinique,1,not raw cotton,non,549385
acide tartrique,2,not raw cotton,non,549385
acide vitriolique,4,not raw cotton,non,549385
acide vitriolique et huile de vitriol,109,not raw cotton,non,549385
acier,1679,not raw cotton,non,549385
acier battu forgé ou laminé,1,not raw cotton,non,549385
acier brun,1,not raw cotton,non,549385
acier brut,10,not raw cotton,non,549385
acier commun,1,not raw cotton,non,549385
acier en barres,6,not raw cotton,non,549385
acier en bottes pour la Compagnie des Indes,1,not raw cotton,non,549385
acier et clous,1,not raw cotton,non,549385
acier et fer,356,not raw cotton,non,549385
acier fondu en carreaux ou en tôle,5,not raw cotton,non,549385
acier fondu forgé,1,not raw cotton,non,549385
acier forgé,7,not raw cotton,non,549385
acons,1,not raw cotton,non,549385
acons démontés,20,not raw cotton,non,549385
acons démontés en gabare,2,not raw cotton,non,549385
acorus,5,not raw cotton,non,549385
acuirson,1,not raw cotton,non,549385
acume de cuivre,1,not raw cotton,non,549385
adatais,3,not raw cotton,non,549385
affûts,2,not raw cotton,non,549385
affûts de bois,1,,non,4510
affûts de canons,11,not raw cotton,non,549385
affûts de fer,1,,non,4510
affûts de fusils,1,not raw cotton,non,549385
affûts de fûts à canons,1,not raw cotton,non,549385
affûts et canons,1,not raw cotton,non,549385
agaric,138,not raw cotton,non,549385
agaric amadouvier,6,not raw cotton,non,549385
agaric amadouvier brut,4,not raw cotton,non,549385
agaric amadouvier brut et préparé,12,not raw cotton,non,549385
agaric amadouvier préparé,6,not raw cotton,non,549385
agaric brut et préparé,6,not raw cotton,non,549385
agaric de mélèze,4,not raw cotton,non,549385
agaric fin,1,not raw cotton,non,549385
agaric gros,2,not raw cotton,non,549385
agate,11,not raw cotton,non,549385
agate autre que chique et ouvrages,2,,non,4510
agate autre que chique et ouvrée,0,not raw cotton,oui,549385
agate brute,4,not raw cotton,non,549385
agate chique et ouvrée,0,not raw cotton,oui,549385
agate en pierres,1,,non,4510
agate fine,1,not raw cotton,non,549385
agate montée,1,not raw cotton,non,549385
agate ouvrée,0,not raw cotton,oui,549385
agneaux,117,not raw cotton,non,549385
agneaux communs,8,not raw cotton,non,549385
agneaux en vie,5,not raw cotton,non,549385
agneaux et cabris,1,not raw cotton,non,549385
agneaux mérinos et métis,7,not raw cotton,non,549385
agnelines et crottelins,1,not raw cotton,non,549385
agobille,1,,non,4510
agoutals,4,not raw cotton,non,549385
agoutals de bois,5,not raw cotton,non,549385
agrément,15,not raw cotton,non,549385
agrément au quart,3,not raw cotton,non,549385
agrément d'argent,2,not raw cotton,non,549385
agrément d'or,1,not raw cotton,non,549385
agrément d'or et d'argent,5,not raw cotton,non,549385
agrément de fil,9,not raw cotton,non,549385
agrément de fil et de soie,3,not raw cotton,non,549385
agrément de fleur,1,not raw cotton,non,549385
agrément de soie,57,not raw cotton,non,549385
agrément de soie et d'argent,1,not raw cotton,non,549385
agrément de soie or et argent faux,1,not raw cotton,non,549385
agréments de soie et milleret,1,not raw cotton,non,549385
agréments et milleret,1,not raw cotton,non,549385
agrès,12,not raw cotton,non,549385
agrès apparaux de navire et embarcations,6,not raw cotton,non,549385
agrès apparaux et embarcations,2,not raw cotton,non,549385
agrès de navire et jeux de voile,10,not raw cotton,non,549385
agrès et apparaux,1,not raw cotton,non,549385
agrès et apparaux d'or navire,1,,non,4510
agrès et bâtiments de mer,10,not raw cotton,non,549385
agrès et embarcations,8,not raw cotton,non,549385
agrès et voile de navire,1,not raw cotton,non,549385
aigles,1,not raw cotton,non,549385
aigre de cèdre,9,not raw cotton,non,549385
aigre de cidre,5,not raw cotton,non,549385
aigre de vitriol,17,not raw cotton,non,549385
aigrettes,10,not raw cotton,non,549385
aigrettes de fil d'or et d'argent,1,not raw cotton,non,549385
aigrettes de soie,1,not raw cotton,non,549385
aigrettes de soie et argent,1,not raw cotton,non,549385
aigrettes et bavolets,1,not raw cotton,non,549385
aiguières d'étain,1,not raw cotton,non,549385
aiguilles,209,not raw cotton,non,549385
aiguilles à boîtes,1,not raw cotton,non,549385
aiguilles à coudre,61,not raw cotton,non,549385
aiguilles à coudre voiles,1,not raw cotton,non,549385
aiguilles à ralingue,1,not raw cotton,non,549385
aiguilles à tabac,1,not raw cotton,non,549385
aiguilles à toile,1,not raw cotton,non,549385
aiguilles d'emballage,2,not raw cotton,non,549385
aiguilles de mercerie fine,1,not raw cotton,non,549385
aiguilles epars de sapin,1,not raw cotton,non,549385
aiguilles et épingles,1,not raw cotton,non,549385
aiguilles et épingles de mercerie fine,3,not raw cotton,non,549385
aiguilles et mercerie fine,2,not raw cotton,non,549385
aiguilles grosses,1,not raw cotton,non,549385
aiguilles pour voile,37,not raw cotton,non,549385
aiguillettes,1,not raw cotton,non,549385
ail,2,not raw cotton,non,549385
ailes,4,not raw cotton,non,549385
ailes de fléaux,1,not raw cotton,non,549385
ailes de moulins,1,not raw cotton,non,549385
ailor,1,not raw cotton,non,549385
ails,204,not raw cotton,non,549385
ails à fauches,1,not raw cotton,non,549385
ails blancs à casser,1,not raw cotton,non,549385
aimant,1,not raw cotton,non,549385
ains à pêcher,43,not raw cotton,non,549385
ains et lignes à pêcher,2,not raw cotton,non,549385
airain,6,not raw cotton,non,549385
airain non ouvré,4,not raw cotton,non,549385
ajustements,37,not raw cotton,non,549385
ajustements de femme,5,not raw cotton,non,549385
ajustements de soie,2,not raw cotton,non,549385
alambics,17,not raw cotton,non,549385
alambics d'étain,17,not raw cotton,non,549385
alambics de cuivre,2,not raw cotton,non,549385
alambics de terre,1,not raw cotton,non,549385
alana,2,not raw cotton,non,549385
alazar,2,not raw cotton,non,549385
albâtre,5,not raw cotton,non,549385
albâtre brut,3,not raw cotton,non,549385
albâtre et marbre brut et poli,21,not raw cotton,non,549385
albâtre moulé poli ou sculpté,6,not raw cotton,non,549385
alcalis autre que natron et soude,2,not raw cotton,non,549385
alcalis salin,1,not raw cotton,non,549385
alènes,5,not raw cotton,non,549385
