simplification,nbr_occurences_simpl,obsolete,coffee,nbr_occurences_hamburg,nbr_occurences_coffee
bourre de fil,29,non,Not coffee,442379,825945
bourre de filoselle,1,non,Not coffee,442379,825945
bourre de laine,61,non,Not coffee,442379,825945
bourre de laine entière lanice et tontice,1,non,Not coffee,442379,825945
bourre de Marseille,3,non,Not coffee,442379,825945
bourre de Nîmes,6,non,Not coffee,442379,825945
bourre de soie,236,non,Not coffee,442379,825945
bourre de soie et filoselle et soie,15,non,Not coffee,442379,825945
bourre de vache,76,non,Not coffee,442379,825945
bourre du Levant,85,non,Not coffee,442379,825945
bourre rouge,1,non,Not coffee,442379,825945
bourre satiné,2,non,Not coffee,442379,825945
bourres de laine entière lanice et tontice,0,oui,Not coffee,442379,825945
bourriques,5,non,Not coffee,442379,825945
bours de poil,11,non,Not coffee,442379,825945
bours de soie,16,non,Not coffee,442379,825945
bours du Levant de soie,0,non,Not coffee,442379,825945
bourse de molleton,5,non,Not coffee,442379,825945
bourses,2,non,Not coffee,442379,825945
bourses à cheveux,119,non,Not coffee,442379,825945
bourses à cheveux de soie,2,non,Not coffee,442379,825945
bourses à cheveux de taffetas,1,non,Not coffee,442379,825945
bourses à perruques,3,non,Not coffee,442379,825945
bourses à ressorts,1,non,Not coffee,442379,825945
bourses à tabac,4,non,Not coffee,442379,825945
bourses d'or et bourses d'argent,2,non,Not coffee,442379,825945
bourses de bœuf,3,non,Not coffee,442379,825945
bourses de coton,1,non,Not coffee,442379,825945
bourses de coton et fil,3,non,Not coffee,442379,825945
bourses de cuir à ressorts,1,non,Not coffee,442379,825945
bourses de fil,1,non,Not coffee,442379,825945
bourses de filoselle,1,non,Not coffee,442379,825945
bourses de laine,2,non,Not coffee,442379,825945
bourses de perruques,1,non,Not coffee,442379,825945
bourses de soie,27,non,Not coffee,442379,825945
bourses de soie et bourses d'or et bourses d'argent,2,non,Not coffee,442379,825945
bourses de taffetas,2,non,Not coffee,442379,825945
bourses du Levant,2,non,Not coffee,442379,825945
bourys ?,1,non,,,43966
boussoles,5,non,Not coffee,442379,825945
boutanne,14,non,Not coffee,442379,825945
boutanne de toile,3,non,Not coffee,442379,825945
boutargue,1,non,Not coffee,442379,825945
bouteilles,97,non,Not coffee,442379,825945
bouteilles clissées,12,non,Not coffee,442379,825945
bouteilles d'étain à virole,1,non,Not coffee,442379,825945
bouteilles d'osier,1,non,Not coffee,442379,825945
bouteilles de bois,11,non,Not coffee,442379,825945
bouteilles de composition,1,non,Not coffee,442379,825945
bouteilles de cristal,4,non,Not coffee,442379,825945
bouteilles de cristal et carafes,1,non,Not coffee,442379,825945
bouteilles de grès,16,non,Not coffee,442379,825945
bouteilles de gros verre vide,1,non,,,43966
bouteilles de marbre,1,non,Not coffee,442379,825945
bouteilles de pierre et pots de pierre,3,non,Not coffee,442379,825945
bouteilles de terre,9,non,Not coffee,442379,825945
bouteilles de verre,1354,non,Not coffee,442379,825945
bouteilles de verre à virole,1,non,Not coffee,442379,825945
bouteilles de verre à virole d'étain,3,non,Not coffee,442379,825945
bouteilles de verre avec roseaux,4,non,Not coffee,442379,825945
bouteilles de verre clissée de quatre pots chacune,1,non,,,43966
bouteilles de verre clissées,13,non,Not coffee,442379,825945
bouteilles de verre garnies de joncs,1,non,Not coffee,442379,825945
bouteilles de verre gros,13,non,Not coffee,442379,825945
bouteilles de verre vides,5,non,Not coffee,442379,825945
bouteilles de verres,118,oui,Not coffee,442379,825945
bouteilles et verres de faïence,2,non,,,43966
bouteilles lissées de retour,1,non,Not coffee,442379,825945
bouteilles noires,2,non,,,43966
bouteilles peintes,1,non,Not coffee,442379,825945
bouteilles petites à virole d'étain,2,non,Not coffee,442379,825945
bouteilles pleines,7,non,Not coffee,442379,825945
bouteilles pleines de verres et vides et dame-jeannes de verre,41,non,Not coffee,442379,825945
bouteilles vides,29,non,Not coffee,442379,825945
boutidas,1,non,,,43966
bouton de cuivre sur bois et de coco et de corne et d'os,7,non,Not coffee,442379,825945
boutonnières d'or,3,non,Not coffee,442379,825945
boutonnières de fil,1,non,Not coffee,442379,825945
boutons,59,non,Not coffee,442379,825945
boutons à fusil,2,non,Not coffee,442379,825945
boutons à pierres fausses,5,non,Not coffee,442379,825945
boutons à pierres fausses par douzaines,1,non,Not coffee,442379,825945
boutons anglais,1,non,Not coffee,442379,825945
boutons avec dorure et nacre,1,non,Not coffee,442379,825945
boutons blanc étamés,1,non,Not coffee,442379,825945
boutons blanchis,1,non,Not coffee,442379,825945
boutons bloc,1,non,Not coffee,442379,825945
boutons brodés d'or et d'argent,2,non,Not coffee,442379,825945
boutons brodés de nacre de perles et d'acier,1,non,Not coffee,442379,825945
boutons communs,1,non,Not coffee,442379,825945
boutons d'acier,54,non,Not coffee,442379,825945
boutons d'acier argenté,2,non,Not coffee,442379,825945
boutons d'argent,29,non,Not coffee,442379,825945
boutons d'argent et boutons d'or,56,non,Not coffee,442379,825945
boutons d'argent faux,2,non,Not coffee,442379,825945
boutons d'argent sur bois,20,non,Not coffee,442379,825945
boutons d'argent trait,1,non,Not coffee,442379,825945
boutons d'étain,46,non,Not coffee,442379,825945
boutons d'or,62,non,Not coffee,442379,825945
boutons d'or en traits,1,non,Not coffee,442379,825945
boutons d'or et boutons d'argent,32,non,Not coffee,442379,825945
boutons d'or et boutons d'argent faux,1,non,Not coffee,442379,825945
boutons d'or et d'argent sur bois,1,non,Not coffee,442379,825945
boutons d'or faux,4,non,Not coffee,442379,825945
boutons d'or filé,3,non,Not coffee,442379,825945
boutons d'or trait,2,oui,,,43966
boutons d'or vrai,4,non,Not coffee,442379,825945
boutons d'os,14,non,Not coffee,442379,825945
boutons d'os et de corne,64,non,Not coffee,442379,825945
boutons d'uniforme,1,non,Not coffee,442379,825945
boutons de bois,3,non,Not coffee,442379,825945
boutons de coco,63,non,Not coffee,442379,825945
boutons de composition,3,non,Not coffee,442379,825945
boutons de corail,2,non,,,43966
boutons de corne,5,non,Not coffee,442379,825945
boutons de coton,1,non,Not coffee,442379,825945
boutons de crin,213,non,Not coffee,442379,825945
boutons de crin 20 lignes,1,non,Not coffee,442379,825945
boutons de crin et boutons de poil,1,non,Not coffee,442379,825945
boutons de crin et boutons de poil et boutons de soie,2,non,Not coffee,442379,825945
boutons de cristal,1,non,Not coffee,442379,825945
boutons de cuivre,39,non,Not coffee,442379,825945
boutons de cuivre argenté et doré,67,non,Not coffee,442379,825945
boutons de cuivre d'or,1,non,Not coffee,442379,825945
boutons de cuivre doré,15,non,Not coffee,442379,825945
boutons de cuivre et boutons d'étain,25,non,Not coffee,442379,825945
boutons de cuivre et boutons d'étain argenté,57,non,Not coffee,442379,825945
boutons de cuivre et boutons d'étain argentés,0,oui,Not coffee,442379,825945
boutons de cuivre et étain,1,non,Not coffee,442379,825945
boutons de cuivre fin,2,non,Not coffee,442379,825945
boutons de cuivre petits,1,non,,,43966
boutons de cuivre sur bois,10,non,Not coffee,442379,825945
boutons de dorure d'argent,18,non,Not coffee,442379,825945
boutons de dorure d'or,59,non,Not coffee,442379,825945
boutons de dorure d'or et d'argent,68,non,Not coffee,442379,825945
boutons de dorure d'or faux,4,non,Not coffee,442379,825945
boutons de dorure d'or fin,13,non,Not coffee,442379,825945
boutons de dorure et de naacre,0,oui,Not coffee,442379,825945
boutons de fil,127,non,Not coffee,442379,825945
boutons de fil blanc,17,non,Not coffee,442379,825945
boutons de fil d'argent,21,non,Not coffee,442379,825945
boutons de fil d'or,69,non,Not coffee,442379,825945
boutons de fil d'or et boutons de fil d'argent,78,non,Not coffee,442379,825945
boutons de fil d'or trait,2,non,Not coffee,442379,825945
boutons de fil de poil de chèvre,91,non,Not coffee,442379,825945
boutons de fil et d'argent,1,non,Not coffee,442379,825945
"boutons de fil, boutons de soie et boutons d'or",1,non,Not coffee,442379,825945
boutons de forget,1,non,Not coffee,442379,825945
boutons de gay,2,non,Not coffee,442379,825945
boutons de jais,28,non,Not coffee,442379,825945
boutons de jais et collier de jais et dentelle de jais,2,non,Not coffee,442379,825945
boutons de laiton,4,non,Not coffee,442379,825945
boutons de livrée,1,non,Not coffee,442379,825945
boutons de manches,5,non,Not coffee,442379,825945
boutons de métal,7,non,Not coffee,442379,825945
boutons de métal doré,21,non,Not coffee,442379,825945
boutons de nacre,5,non,Not coffee,442379,825945
boutons de nacre de perle et boutons de jais,3,non,Not coffee,442379,825945
boutons de nacre de perles,7,non,Not coffee,442379,825945
boutons de pinsbeck,135,non,Not coffee,442379,825945
boutons de poil,36,non,Not coffee,442379,825945
boutons de poil de chèvre,10,non,Not coffee,442379,825945
boutons de poil de soie,5,non,Not coffee,442379,825945
boutons de soie,21,non,Not coffee,442379,825945
boutons de soie en once,1,non,Not coffee,442379,825945
boutons de tombac,1,non,Not coffee,442379,825945
boutons de tombac doré,3,non,Not coffee,442379,825945
boutons de trait d'argent et d'or fin,128,non,Not coffee,442379,825945
boutons de trait d'or et d'argent fin,0,oui,Not coffee,442379,825945
boutons de verre,4,non,Not coffee,442379,825945
boutons de verre émaillés,1,non,Not coffee,442379,825945
boutons en médailles,1,non,Not coffee,442379,825945
boutons et galon d'or,2,non,Not coffee,442379,825945
boutons et galon d'or et d'argent,1,non,Not coffee,442379,825945
boutons et galons d'argent et d'or,1,non,Not coffee,442379,825945
boutons masquinés,3,non,Not coffee,442379,825945
boutons or trait,3,non,Not coffee,442379,825945
bouts de chêne,1,non,Not coffee,442379,825945
bouts de corne,81,non,Not coffee,442379,825945
bouts de fer blanc petits,1,non,,,43966
bouts de mâts,1,non,,,43966
bouts de planche,1,non,Not coffee,442379,825945
bouts de planches et planches de sapin,2,non,Not coffee,442379,825945
bouts de sapin,3,non,,,43966
boutty,1,non,Not coffee,442379,825945
bouvillons,3,non,Not coffee,442379,825945
bouvillons et génisses,4,non,Not coffee,442379,825945
bouvillons et génisses et taurillons,2,non,Not coffee,442379,825945
boyaux,5,non,Not coffee,442379,825945
boyaux de bœuf,1,non,Not coffee,442379,825945
boyaux de bœuf salés,2,non,Not coffee,442379,825945
boyaux de mouton,3,non,Not coffee,442379,825945
boyaux de mouton salés,4,non,Not coffee,442379,825945
boyaux de porc salés,1,non,,,43966
boyaux et nerfs,2,non,Not coffee,442379,825945
boyaux préparés et secs,2,non,Not coffee,442379,825945
boyaux salés,85,non,Not coffee,442379,825945
bozemin,1,non,Not coffee,442379,825945
braccles,0,oui,Not coffee,442379,825945
bracelets,2,non,Not coffee,442379,825945
bracelets de crin,2,non,Not coffee,442379,825945
bracelles,5,non,Not coffee,442379,825945
brai,573,non,Not coffee,442379,825945
brai ???,1,non,Not coffee,442379,825945
brai ??? brai,1,non,Not coffee,442379,825945
brai ??? goudron,2,non,Not coffee,2421,825945
brai ??? goudron résines,1,non,Not coffee,2421,825945
brai ??? pox noire,1,non,Not coffee,442379,825945
brai à brasser,110,non,Not coffee,442379,825945
brai arcanson,1,non,Not coffee,442379,825945
brai bras,0,oui,Not coffee,442379,825945
brai colophane et sec et résine d'huile,0,oui,Not coffee,442379,825945
brai colophane et sec et résines d'huile,2,non,Not coffee,442379,825945
brai de goudron,10,non,Not coffee,2421,825945
brai de poix,3,non,Not coffee,442379,825945
brai de poix blanche et noire,2,non,Not coffee,442379,825945
brai de poix noire,1,non,Not coffee,442379,825945
brai de poix résine,0,oui,Not coffee,442379,825945
brai de poix résines,3,non,Not coffee,442379,825945
brai eau de raze,5,oui,Not coffee,442379,825945
brai et eau de rose,1,non,Not coffee,442379,825945
brai et goudron,541,non,Not coffee,2421,825945
brai et goudron et eau de raze,1,oui,Not coffee,2421,825945
brai et goudron et galipot et résines,23,non,Not coffee,2421,825945
brai et goudron et poix,1,non,Not coffee,2421,825945
brai et goudron et poix et résines,99,non,Not coffee,2421,825945
brai et goudron et résines,549,non,Not coffee,2421,825945
brai et goudron et térébenthine,8,non,Not coffee,2421,825945
brai et groudron,1,non,,,43966
brai et poix,1,non,Not coffee,442379,825945
brai et poix blanche,5,non,Not coffee,442379,825945
brai et poix blanche et poix noire,1,non,Not coffee,442379,825945
brai et poix noire,1,non,Not coffee,442379,825945
brai et poix résine,0,oui,Not coffee,442379,825945
brai et poix résines,1,non,Not coffee,442379,825945
brai et résine,0,oui,Not coffee,442379,825945
brai et résines,26,non,Not coffee,442379,825945
brai et térébenthine,2,non,Not coffee,442379,825945
brai galipot,1,non,Not coffee,442379,825945
brai goudron ???,3,non,Not coffee,2421,825945
brai goudron et suif,1,non,,,43966
brai gras,710,non,Not coffee,442379,825945
brai gras et goudron,29,non,Not coffee,2421,825945
brai gras et goudron et résine,5,non,,,43966
brai gras et sec,1,non,Not coffee,442379,825945
brai gras goudron,5,oui,Not coffee,442379,825945
brai gras goudron et résine,5,oui,,,43966
brai gras ou goudron,3,non,Not coffee,442379,825945
brai gros,12,non,Not coffee,442379,825945
brai gros et goudron,2,non,Not coffee,2421,825945
brai poix de Bourgogne,1,non,Not coffee,442379,825945
brai poix noire,4,non,Not coffee,442379,825945
brai raffiné,2,non,Not coffee,442379,825945
brai raze,2,non,Not coffee,442379,825945
brai sec,680,non,Not coffee,442379,825945
brai sec colophane résine d'huile,0,oui,Not coffee,442379,825945
brai sec colophane résines d'huile,5,non,Not coffee,442379,825945
brai sec en galipot,3,non,Not coffee,442379,825945
brai sec et résines,10,non,Not coffee,442379,825945
brai sec résine d'huile,0,oui,Not coffee,442379,825945
brai sec résines d'huile,2,non,Not coffee,442379,825945
brai térébenthine,5,non,,,43966
"brai, goudron et résine",0,non,,,43966
brancards,3,non,Not coffee,442379,825945
brancards de balance de fer,1,non,Not coffee,442379,825945
brancards de chaises,1,non,Not coffee,442379,825945
brancards de fer,7,non,Not coffee,442379,825945
brancards et leurs escales,2,non,Not coffee,442379,825945
branches de buis,1,non,Not coffee,442379,825945
brandade,1,non,Not coffee,442379,825945
brandans,10,non,Not coffee,442379,825945
brandebourg,1,non,Not coffee,442379,825945
brandebourg d'or,2,non,Not coffee,442379,825945
brandebourg de fil,1,non,Not coffee,442379,825945
brandebourg de soie,1,non,Not coffee,442379,825945
brandiers,1,non,Not coffee,442379,825945
brandins,4,non,Not coffee,442379,825945
branle,95,oui,Not coffee,442379,825945
branle ???,1,non,,,43966
branle ordinaire,1,non,,,43966
bras de bois à chandelle,1,oui,Not coffee,442379,825945
bras de bois pour chandelle,1,non,,,43966
bras de cheminée,4,non,Not coffee,442379,825945
bras de soie,1,non,Not coffee,442379,825945
braserie,1,non,Not coffee,442379,825945
brasserie,0,non,Not coffee,442379,825945
braule,93,oui,Not coffee,442379,825945
braux,1,non,Not coffee,442379,825945
brebis,29,non,Not coffee,442379,825945
brebis en vie,1,non,Not coffee,442379,825945
brebis et mouton,14,non,Not coffee,442379,825945
brebis et mouton mérinos et métis,7,non,Not coffee,442379,825945
breloques et chaînes d'or,1,non,,,43966
Brésil,1,non,Not coffee,442379,825945
bresillet,1,non,Not coffee,442379,825945
brian,1,non,Not coffee,442379,825945
brides,4,non,Not coffee,442379,825945
brides argentées,1,non,Not coffee,442379,825945
bridons,1,non,Not coffee,442379,825945
bridons de cuir,1,non,Not coffee,442379,825945
brigadis,2,non,Not coffee,442379,825945
Brignoles,104,non,Not coffee,442379,825945
brins à tours,1,non,Not coffee,442379,825945
brins d'osier,1,non,Not coffee,442379,825945
brion,1,non,,,43966
brionne,1,non,Not coffee,442379,825945
brique,537,non,Not coffee,442379,825945
brique cuites,1,non,Not coffee,442379,825945
brique de pétrole,1,non,,,43966
brique de terre,2,non,Not coffee,442379,825945
brique en carreaux de terre,1,non,Not coffee,442379,825945
brique en carreaux de terre et tuiles,2,non,Not coffee,442379,825945
brique en lest,2,non,,,43966
brique en tuiles plates,8,non,Not coffee,442379,825945
brique et briquettes,135,non,Not coffee,442379,825945
brique et carreaux,6,non,,,43966
brique et carreaux et tuiles,7,non,Not coffee,442379,825945
brique et chaux et ciment et pierres et plâtre et pouzzolane et sable et terre et tuiles,10,non,Not coffee,442379,825945
brique et pipe et poterie,1,non,,,43966
brique et tuile et carreau de terre,21,non,Not coffee,442379,825945
brique et tuile et carreau et pipe,27,non,Not coffee,442379,825945
brique pleine,1,non,Not coffee,442379,825945
brique vernissée,1,non,,,43966
briques,2,oui,,,43966
briquet,52,non,Not coffee,442379,825945
briquet d'acier,2,non,Not coffee,442379,825945
briquettes,3,non,Not coffee,442379,825945
bris d'espars,4,non,Not coffee,442379,825945
brises,1,non,Not coffee,442379,825945
brocante,1,non,Not coffee,442379,825945
brocart de soie,1,non,Not coffee,442379,825945
brocatelle,1,non,Not coffee,442379,825945
brocatelle de Venise,1,non,Not coffee,442379,825945
brochets,20,non,Not coffee,442379,825945
brodamabe,1,non,,,43966
broderie,59,non,Not coffee,442379,825945
broderie commune,0,oui,Not coffee,442379,825945
bronze,27,non,Not coffee,442379,825945
bronze airain,2,non,Not coffee,442379,825945
bronze et cuivre et laiton,34,non,Not coffee,442379,825945
bronze moulu et métal,2,non,Not coffee,442379,825945
bronze vieux,1,non,,,43966
broole,3,non,Not coffee,442379,825945
brosses,282,non,Not coffee,442379,825945
brosses à cirer,1,non,Not coffee,442379,825945
brosses à goudron,15,non,Not coffee,442379,825945
brosses à peindre,1,non,Not coffee,442379,825945
brosses à sucre,1,non,Not coffee,442379,825945
brosses communes,1,non,Not coffee,442379,825945
brosses et pinceaux,112,non,Not coffee,442379,825945
brosses et vergettes,1,non,Not coffee,442379,825945
brosses ou poutries,1,non,Not coffee,442379,825945
brossière,1,non,Not coffee,442379,825945
brou de noix,2,non,Not coffee,442379,825945
brouettes,21,non,Not coffee,442379,825945
brouettes et leurs roues,1,non,Not coffee,442379,825945
brouettes garnies de damas,1,non,Not coffee,442379,825945
brouettes outillées,1,non,Not coffee,442379,825945
broulas,1,non,Not coffee,442379,825945
broule,0,non,Not coffee,442379,825945
brousse fraîche,5,non,Not coffee,442379,825945
brousse salée,2,non,Not coffee,442379,825945
broutes chaderdoral,1,non,Not coffee,442379,825945
brugnoles,3,non,Not coffee,442379,825945
bruimes d'espars,2,non,Not coffee,442379,825945
brûle-café de fer,1,non,Not coffee,442379,825945
brulis,1,non,Not coffee,442379,825945
brun,2,non,Not coffee,442379,825945
brun rouge,499,non,Not coffee,442379,825945
brusta visserand,0,oui,Not coffee,442379,825945
brustes à tisserand,19,non,Not coffee,442379,825945
brustes ou bruyère,1,non,Not coffee,442379,825945
brut,1,non,Not coffee,442379,825945
bruyère,6,non,Not coffee,442379,825945
bruyère à vergettes,1,non,Not coffee,442379,825945
bruyère et racines à vergettes,6,non,Not coffee,442379,825945
bruyère étrangère non montée,1,non,Not coffee,442379,825945
bruyère étrangère non mpntée,0,oui,Not coffee,442379,825945
bûches,212,non,,,43966
bûches de bois rouge de 8 pieds,1,non,Not coffee,442379,825945
buege de fer,1,non,Not coffee,442379,825945
bufferie,1,non,Not coffee,442379,825945
buffets,3,non,Not coffee,442379,825945
buffets d'acajou,4,non,Not coffee,442379,825945
buffets de bois,1,non,,,43966
buffets de sapin,1,non,,,43966
buffles,10,non,Not coffee,442379,825945
buffles de chamois,5,non,Not coffee,442379,825945
buffletin,1,non,Not coffee,442379,825945
bugnette,1,non,Not coffee,442379,825945
bugues d'argent,0,oui,Not coffee,442379,825945
buis,1,non,,,43966
bulbes et oignons,7,non,Not coffee,442379,825945
buldan,2,non,Not coffee,442379,825945
burail,17,non,Not coffee,442379,825945
burail de laine,3,non,Not coffee,442379,825945
burail de laine et étamine de laine,8,non,Not coffee,442379,825945
burat,59,non,Not coffee,442379,825945
burat d'Auvergne,3,non,Not coffee,442379,825945
burat de laine,1,non,Not coffee,442379,825945
burat de laine et de soie,1,non,Not coffee,442379,825945
bure,9,non,Not coffee,442379,825945
bure étoffe,1,non,Not coffee,442379,825945
bureau,41,non,Not coffee,442379,825945
bureau d'acajou,6,non,Not coffee,442379,825945
bureau de bois des Indes,1,non,Not coffee,442379,825945
bureau de chêne,1,non,Not coffee,442379,825945
bureau de marqueterie,1,non,Not coffee,442379,825945
bureau de noyer,4,non,Not coffee,442379,825945
bureau de sapin,10,non,Not coffee,442379,825945
bureau doré,1,non,,,43966
bureau garni de cuivre doré,1,non,Not coffee,442379,825945
bureau verni,5,non,Not coffee,442379,825945
bures de sanglier,11,non,Not coffee,442379,825945
burette,2,non,,,43966
burmards et leurs poids,1,non,Not coffee,442379,825945
burre,0,oui,Not coffee,442379,825945
buses pour raffiner le sucre,1,non,Not coffee,442379,825945
busquière d'argent,1,non,Not coffee,442379,825945
busquière d'or et busquière d'argent,1,non,Not coffee,442379,825945
bustes de marbre,3,non,Not coffee,442379,825945
buvie,1,non,Not coffee,442379,825945
buzes,1,non,Not coffee,442379,825945
cabans de laine,1,non,,,43966
cabans de palme,6,oui,Not coffee,442379,825945
cabans ou capotes,6,non,Not coffee,442379,825945
cabans pour café,1,oui,Not coffee,442379,825945
cabarets,20,non,Not coffee,442379,825945
cabarets à café,0,oui,Not coffee,442379,825945
cabarets de bois vernis,3,non,Not coffee,442379,825945
cabarets de porcelaine,2,non,,,43966
cabarets de sapin,3,non,Not coffee,442379,825945
cabarets de sapin et de chêne,2,non,Not coffee,442379,825945
cabarets de sapin peints,1,non,Not coffee,442379,825945
cabarets des Indes,2,non,Not coffee,442379,825945
cabarets des Indes vernis,3,non,Not coffee,442379,825945
cabarets façon de la Chine,2,non,Not coffee,442379,825945
cabarets garnis,1,non,Not coffee,442379,825945
cabarets peints,4,non,Not coffee,442379,825945
cabarets pour café,11,non,Not coffee,442379,825945
cabarets pour thé,1,non,Not coffee,442379,825945
cabarets vernis,81,non,Not coffee,442379,825945
cabas,15,non,Not coffee,442379,825945
cabas d'auf,2,non,Not coffee,442379,825945
cabas d'espars,1,non,Not coffee,442379,825945
cabas de jonc,35,non,Not coffee,442379,825945
cabas de laine,1,non,Not coffee,442379,825945
cabas de mesure,3,non,,,43966
cabas de palme,37,non,Not coffee,442379,825945
cabas de palme mesure,1,non,,,43966
cabas de palme petits,3,non,Not coffee,442379,825945
cabas de serge,1,non,,,43966
cabas vieux,1,non,,,43966
cabestan,3,non,Not coffee,442379,825945
cabillaud,372,non,Not coffee,442379,825945
cabine de noyer,2,non,Not coffee,442379,825945
cabine de sapin,3,non,Not coffee,442379,825945
cabine peinte,3,non,Not coffee,442379,825945
cabinet,5,non,Not coffee,442379,825945
cabinet de bois de Faial,1,non,Not coffee,442379,825945
cabinet de bois de noyer,1,non,,,43966
cabinet de bois peint,2,non,Not coffee,442379,825945
cabinet de bois vernis,1,non,Not coffee,442379,825945
cabinet de noyer,1,non,Not coffee,442379,825945
cabinet de sapin,3,non,Not coffee,442379,825945
cabinet de sapin peint,3,non,,,43966
cabinet du Japon,1,non,Not coffee,442379,825945
cabinet peint,7,non,Not coffee,442379,825945
cabinet verni,3,non,Not coffee,442379,825945
cabinet vieux,1,non,,,43966
câble,32,non,Not coffee,442379,825945
câble assorti,1,non,Not coffee,442379,825945
câble de 12 pouces de grosseur,2,non,Not coffee,442379,825945
câble de chanvre,1,non,Not coffee,442379,825945
câble de navire,4,non,Not coffee,442379,825945
câble de navire moyen,1,non,Not coffee,442379,825945
câble neuf,4,non,Not coffee,442379,825945
câble vieux,2,non,Not coffee,442379,825945
câbleaux,1,non,Not coffee,442379,825945
caboches,53,non,Not coffee,442379,825945
caboches de fer,3,non,Not coffee,442379,825945
caboches de fer et clous,17,non,Not coffee,442379,825945
caboches de marbre,1,non,Not coffee,442379,825945
cabochon,1,non,Not coffee,442379,825945
cabosse,4,non,Not coffee,442379,825945
cabotage,21,non,,,43966
cabriolets,50,non,Not coffee,442379,825945
cabriolets de velours de Prusse,1,non,Not coffee,442379,825945
cabrions,1,non,Not coffee,442379,825945
cabrouets,6,non,Not coffee,442379,825945
cabrouets complets,1,non,Not coffee,442379,825945
cacao,2683,non,Not coffee,2293,825945
cacao avarié,2,non,Not coffee,2293,825945
cacao broyé,26,non,Not coffee,2293,825945
cacao brut,10,non,Not coffee,2293,825945
cacao brut des entrepôts,0,non,Not coffee,2293,825945
cacao café sucre,1,non,,,43966
cacao de Caracas,68,non,Not coffee,2293,825945
cacao de Guyaquil,3,non,Not coffee,2293,825945
cacao des Îles,28,non,Not coffee,2293,825945
cacao du Maranhão,17,non,Not coffee,2293,825945
cacao en grabeau,1,non,,,43966
cacao en graine,16,non,Not coffee,2293,825945
cacao en pâte,1,oui,Not coffee,442379,825945
cacao et café et sucre,12,non,maybe coffee,2293,108
cacao et chocolat,8,non,Not coffee,2293,825945
cacao étranger,4,non,Not coffee,2293,825945
cache,1,non,Not coffee,442379,825945
cachemire de poil,1,non,,,43966
cachets d'argent,1,non,Not coffee,442379,825945
cachets de cuivre,1,non,Not coffee,442379,825945
cachets dorés,2,non,Not coffee,442379,825945
cachou,43,non,Not coffee,442379,825945
cachou brut,5,non,Not coffee,442379,825945
cachou maron,0,oui,Not coffee,442379,825945
cachou marron,1,non,Not coffee,442379,825945
cadeas,0,oui,Not coffee,442379,825945
cadeau,1,non,Not coffee,442379,825945
cadeligue de laine,1,non,Not coffee,442379,825945
cadenas,70,non,Not coffee,442379,825945
cadenas de fer,9,non,Not coffee,442379,825945
cadenas petits,2,non,Not coffee,442379,825945
cadis,107,non,Not coffee,442379,825945
cadis de coton ratiné,1,non,Not coffee,442379,825945
cadis de Givaudan,1,non,Not coffee,442379,825945
cadis de Montauban,1,non,Not coffee,442379,825945
cadis rouge,1,non,Not coffee,442379,825945
cadisson,1,non,Not coffee,442379,825945
cadot,2,non,Not coffee,442379,825945
cadrans d'horloge,3,non,Not coffee,442379,825945
cadrans de montres,2,non,Not coffee,442379,825945
cadres,1,non,Not coffee,442379,825945
cadres de bois,7,non,Not coffee,442379,825945
cadres de bois doré,2,non,Not coffee,442379,825945
cadres de bois pleint,1,non,,,43966
cadres de miroirs,1,non,Not coffee,442379,825945
cadres dorés,9,non,Not coffee,442379,825945
cadres dorés et tableaux,1,non,Not coffee,442379,825945
cadres neufs,1,non,Not coffee,442379,825945
cadres petits avec leurs verres,1,non,Not coffee,442379,825945
cadres pour carder,1,non,Not coffee,442379,825945
cadres pour tableaux,1,non,Not coffee,442379,825945
cafas,1,non,Not coffee,442379,825945
café,5913,non,coffee,3886,8238
café avarié,5,non,coffee,3886,8238
café commun,14,non,coffee,3886,8238
café commun du Levant,2,non,coffee,3886,8238
café d'Amérique,61,non,coffee,3886,8238
café de Bourbon,271,non,coffee,3886,8238
café de Bourbon et bois d'ébène,43,non,,,43966
café de la Dominique,1,non,coffee,3886,8238
café de la Martinique,20,non,coffee,3886,8238
café de Moka,262,non,coffee,3886,8238
café de Moka avarié,2,non,maybe coffee,442379,108
café de Moka et marchandises des Indes,41,non,,,43966
café de retour,2,non,,,43966
café des entrepôts,0,non,coffee,3886,8238
café des Îles de retour,1,non,,,43966
café des Indes,1541,non,coffee,3886,8238
café du Levant,121,non,coffee,3886,8238
café en parchemin,20,non,coffee,3886,8238
café entré par Bordeaux et Le Havre,1,non,coffee,3886,8238
café et cacao,43,non,maybe coffee,3886,108
café et épicerie,1,non,,,43966
café et provisions,15,non,maybe coffee,3886,108
café et sucre et thé,10,non,maybe coffee,3886,108
café ordinaire,1,non,coffee,3886,8238
café pour Genève,1,non,coffee,3886,8238
café pur,2,non,coffee,3886,8238
café trié,2,non,coffee,3886,8238
cafetière de cuivre,0,oui,Not coffee,442379,825945
cafetière de fer-blanc,0,oui,Not coffee,442379,825945
cafetières,52,non,Not coffee,442379,825945
cafetières d'étain,2,non,Not coffee,442379,825945
cafetières de cuivre,29,non,Not coffee,442379,825945
cafetières de cuivre rouge,2,non,Not coffee,442379,825945
cafetières de fer-blanc,3,non,Not coffee,442379,825945
cafetières de métal,11,non,Not coffee,442379,825945
cafetières du Levant,1,non,Not coffee,442379,825945
