simplification,nbr_occurences_simpl,obsolete,coffee,nbr_occurences_hamburg,nbr_occurences_coffee
agate autre que chique et ouvrée,0,oui,Not coffee,442379,825945
agate brute,4,non,Not coffee,442379,825945
agate chique et ouvrée,0,oui,Not coffee,442379,825945
agate en pierres,2,non,Not coffee,442379,825945
agate fine,1,non,Not coffee,442379,825945
agate montée,1,non,Not coffee,442379,825945
agate ouvrée,0,oui,Not coffee,442379,825945
agneau,118,non,Not coffee,442379,825945
agneau commun,7,non,Not coffee,442379,825945
agneau en vie,6,non,Not coffee,442379,825945
agneau et cabris,122,non,Not coffee,442379,825945
agneau mérinos et métis,7,non,Not coffee,442379,825945
agneau mouton commun,1,non,,,43966
agnelines et crottelins,36,non,Not coffee,442379,825945
agobille,4,non,Not coffee,442379,825945
agoutals,4,non,Not coffee,442379,825945
agoutals de bois,5,non,Not coffee,442379,825945
agrément,15,non,Not coffee,442379,825945
agrément au quart,3,non,Not coffee,442379,825945
agrément d'argent,2,non,Not coffee,442379,825945
agrément d'or,1,non,Not coffee,442379,825945
agrément d'or et d'argent,5,non,Not coffee,442379,825945
agrément de fil,9,non,Not coffee,442379,825945
agrément de fil et de soie,3,non,Not coffee,442379,825945
agrément de fleur,1,non,Not coffee,442379,825945
agrément de soie,58,non,Not coffee,442379,825945
agrément de soie et d'argent,1,non,Not coffee,442379,825945
agrément de soie et fil,0,oui,Not coffee,442379,825945
agrément de soie or et argent faux,1,non,Not coffee,442379,825945
agrément pour robes,1,non,,,43966
agréments de soie et milleret,13,non,Not coffee,442379,825945
agréments et milleret,38,non,Not coffee,442379,825945
agrès,29,non,Not coffee,442379,825945
agrès apparaux de navire et embarcations,6,non,Not coffee,442379,825945
agrès apparaux et embarcations,2,non,Not coffee,442379,825945
agrès de navire,0,oui,Not coffee,442379,825945
agrès de navire en voile,0,oui,Not coffee,442379,825945
agrès de navire et jeux de voile,14,non,Not coffee,442379,825945
agrès et apparaux,2,non,Not coffee,442379,825945
agrès et apparaux d'or navire,1,non,Not coffee,442379,825945
agrès et bâtiments de mer,10,non,Not coffee,442379,825945
agrès et embarcations,8,non,Not coffee,442379,825945
agrès et voile de navire,1,oui,Not coffee,442379,825945
agrès et voiles de navire,0,oui,Not coffee,442379,825945
aigles,4,non,Not coffee,442379,825945
aigre de cèdre,16,non,Not coffee,442379,825945
aigre de cidre,5,non,Not coffee,442379,825945
aigre de vitriol,18,non,Not coffee,1044,825945
aigrettes,11,non,Not coffee,442379,825945
aigrettes de fil d'or et d'argent,1,non,Not coffee,442379,825945
aigrettes de soie,1,non,Not coffee,442379,825945
aigrettes de soie et argent,1,non,Not coffee,442379,825945
aigrettes de verre,1,non,,,43966
aigrettes et bavolets,1,non,Not coffee,442379,825945
aiguières d'étain,1,non,Not coffee,442379,825945
aiguilles,355,non,Not coffee,442379,825945
aiguilles à boîtes,1,non,Not coffee,442379,825945
aiguilles à coudre,60,non,Not coffee,442379,825945
aiguilles à coudre voiles,1,non,Not coffee,442379,825945
aiguilles à ralingue,1,non,Not coffee,442379,825945
aiguilles à tabac,1,non,Not coffee,442379,825945
aiguilles à toile,1,non,Not coffee,442379,825945
aiguilles d'emballage,2,non,Not coffee,442379,825945
aiguilles de mercerie fine,4,non,Not coffee,442379,825945
aiguilles epars de sapin,1,non,Not coffee,442379,825945
aiguilles et épingles,1,non,Not coffee,442379,825945
