goods_simpl_classification,nbr_occurences_simpl,ulrich_classification,obsolete,nbr_occurences_ulrich
ajustements de femme,5,out,non,488241
ajustements de soie,2,out,non,488241
alambics,17,out,non,488241
alambics d'étain,16,out,non,488241
alambics de cuivre,2,out,non,488241
alambics de terre,1,out,non,488241
alana,2,out,non,488241
alazar,2,out,non,488241
albâtre,5,out,non,488241
albâtre brut,3,out,non,488241
albâtre et marbre brut et poli,21,out,non,488241
albâtre moulé poli ou sculpté,6,out,non,488241
alcalis autre que natron et soude,2,out,non,488241
alcalis salin,1,out,non,488241
alènes,5,out,non,488241
alibanies,96,cotton goods,non,14762
alizari,16,out,non,488241
alizari et garance,165,madder,non,1484
alizari sèche,7,out,non,488241
alkermés,1,out,non,488241
alkermès en grains,23,out,non,488241
allaya,84,out,non,488241
alleaux,1,out,non,488241
allemande de poil,10,out,non,488241
allumettes,54,out,non,488241
allumettes à vin,29,out,non,488241
allumettes de coton,1,cotton goods,non,14762
allumettes de mêche soufrée,1,out,non,488241
allumettes droguées,3,out,non,488241
allumettes épicée,2,out,non,488241
allumettes opérées et soufrées,1,out,non,488241
allumettes soufrées,12,out,non,488241
almagro ou crayon rouge,1,out,non,488241
almanachs,1,out,non,488241
almanachs brochés,2,out,non,488241
almanachs en blancs,1,out,non,488241
almanachs enjolivés,1,out,non,488241
almanachs reliés,1,out,non,488241
aloès,229,out,non,488241
aloès cabalin,6,out,non,488241
aloès commun,1,out,non,488241
aloès et opium,2,out,non,488241
aloès hépatique,1,out,non,488241
aloès moyen,2,out,non,488241
aloiset,1,out,non,488241
alose,2,out,non,488241
alose fumée,1,out,non,488241
alose salée,5,out,non,488241
aloues,1,out,non,488241
alouettes,4,out,non,488241
alpargate,37,out,non,488241
alphabets,1,out,non,488241
alpiste,20,out,non,488241
alpiste et millet,9,out,non,488241
alquifoux,479,out,non,488241
alquifoux en galène,2,out,non,488241
alquifoux et mine de plomb,36,out,non,488241
alquifoux mine de plomb ou graphite,23,out,non,488241
alquifoux ou mine de plomb,1,out,non,488241
alquifoux sable plombifère,1,out,non,488241
alquitra,3,out,non,488241
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,out,non,488241
alto basses contrebasses guitare lyres violes violons,2,out,non,488241
alto bassons guitare violons,3,out,non,488241
aluchiabanis,2,out,non,488241
alun,1872,alum,non,1898
alun à cordonnier,1,alum,non,1898
alun autre que brûlé ou calciné,2,alum,non,1898
alun bon,2,alum,non,1898
alun brûlé,1,alum,non,1898
alun commun,1,alum,non,1898
alun de glace,1,alum,non,1898
alun de roche,5,alum,non,1898
alun de Rome,3,alum,non,1898
alun de Rome fin rosé,1,alum,non,1898
alun de Rouen,2,alum,non,1898
alun de Surde,2,alum,non,1898
alun du Levant,1,alum,non,1898
alun en dracy,1,alum,non,1898
alun en rame,1,alum,non,1898
alun gâté,1,alum,non,1898
alun ordinaire,1,alum,non,1898
alvés,2,out,non,488241
amadou,225,out,non,488241
