goods_simpl_classification,nbr_occurences_simpl,ulrich_classification,obsolete,nbr_occurences_ulrich
concombre et cornichons en adobe,1,out,non,488241
conducteur,1,out,non,488241
confection,12,out,non,488241
confection d'alkermès,3,out,non,488241
confection d'hyacinthe,17,out,non,488241
confitures,2142,out,non,488241
confitures à l'eau-de-vie,5,out,non,488241
confitures de cerise,1,out,non,488241
confitures de Chine,1,out,non,488241
confitures de France,1,out,non,488241
confitures de l'étranger,1,out,non,488241
confitures de miel,1,out,non,488241
confitures et fruit confit au sucre,16,out,non,488241
confitures et fruits confits au sucre,17,out,non,488241
confitures et succade,1,out,non,488241
confitures et sucre,1,out,non,488241
confitures fines,4,out,non,488241
confitures fluides et sèches,1,out,non,488241
confitures fromage moutarde etc.,1,out,non,488241
confitures liquides,11,out,non,488241
confitures sèches,20,out,non,488241
congres,52,out,non,488241
connaissement,1,out,non,488241
conserve d'alkermès,1,out,non,488241
conserve de rose,8,out,non,488241
conserves de fleurs d'oranger,1,out,non,488241
conterie,103,out,non,488241
contra yerba,32,out,non,488241
contrebordé,17,out,non,488241
contrebrodé,4,out,non,488241
contrefoyer de fer,3,out,non,488241
conty,2,out,non,488241
copale,3,out,non,488241
copeaux pour fourreaux d'épée,1,out,non,488241
coqs,2,out,non,488241
coqs d'Inde,10,out,non,488241
coqs du Levant,3,out,non,488241
coque,1,out,non,488241
coque de coco,5,out,non,488241
coque de mouche à miel,1,out,non,488241
coque du Levant,119,out,non,488241
coquenard de cuivre,1,out,non,488241
coquillage,64,out,non,488241
coquillage de mer,3,out,non,488241
coquillages homards moules,3,out,non,488241
coquillages pleins et homards à la valeur,1,out,non,488241
coquillages pleins et homards au kilogramme,1,out,non,488241
coquilles de mer,34,out,non,488241
coquilles de nacre,32,out,non,488241
coquilles de Saint-Jacques,1,out,non,488241
corail,99,out,non,488241
corail blanc,10,out,non,488241
corail brun,4,out,non,488241
corail brut,212,out,non,488241
corail brut et non monté et taillé,22,out,non,488241
corail brut et taillé,23,out,non,488241
corail de demitte,1,out,non,488241
corail de jardin,54,out,non,488241
corail de terraille,1,out,non,488241
corail en filières,2,out,non,488241
corail et non monté et taillé,8,out,non,488241
corail faux,12,out,non,488241
corail fin,4,out,non,488241
corail gros,31,out,non,488241
corail non monté taillé,1,out,non,488241
corail ouvré,1,out,non,488241
corail râpé,1,out,non,488241
corail rouge,3,out,non,488241
corail rouge ouvré,2,out,non,488241
corail taillé,2,out,non,488241
corail terraille,22,out,non,488241
coraline,2,out,non,488241
corbeilles,8,out,non,488241
corbeilles d'auf,1,out,non,488241
corbeilles d'osier,118,out,non,488241
corbeilles d'osier petites,1,out,non,488241
corbeilles garnies,1,out,non,488241
cordage,749,out,non,488241
cordage ???,3,out,non,488241
cordage à boyaux,1,out,non,488241
cordage blanc,3,out,non,488241
cordage d'auf,43,out,non,488241
cordage d'autre végétaux,6,out,non,488241
cordage d'autre végétaux jonc sparte et tilleul,1,out,non,488241
cordage d'emballage,8,out,non,488241
cordage d'espars,229,out,non,488241
cordage de câbles neufs,1,out,non,488241
cordage de caret,1,out,non,488241
cordage de chanvre,763,out,non,488241
cordage de chanvre neuf,4,out,non,488241
cordage de chanvre vieux,6,out,non,488241
cordage de filin,1,out,non,488241
cordage de jonc,15,out,non,488241
cordage de satangres,1,out,non,488241
cordage de thil,2,out,non,488241
cordage de tilleul,11,out,non,488241
cordage de vieux,1,out,non,488241
cordage dit filin,1,out,non,488241
cordage en morceaux,1,out,non,488241
cordage et cordes,2,out,non,488241
cordage et ficelle,18,out,non,488241
cordage filets neuf,1,out,non,488241
cordage filets neuf ou en état de servir,4,out,non,488241
cordage goudronné,8,out,non,488241
cordage gros,1,out,non,488241
cordage herbe,1,out,non,488241
cordage menu,1,out,non,488241
cordage neuf,6,out,non,488241
cordage noir,4,out,non,488241
cordage pourri,1,out,non,488241
cordage refait,1,out,non,488241
cordage vieux,41,out,non,488241
corde du Levant,1,out,non,488241
cordeillat,109,out,non,488241
cordeillat d'Oléron,2,out,non,488241
cordeillat de Colmar,13,out,non,488241
cordeillat de laine,5,out,non,488241
cordeillat de Piémont,1,out,non,488241
cordeillat de Provence,2,out,non,488241
cordelats,1,out,non,488241
cordellerie,3,out,non,488241
cordes,3,out,non,488241
cordes à arçons,9,out,non,488241
cordes d'auf,14,out,non,488241
cordes d'emballage,9,out,non,488241
cordes d'espars,1,out,non,488241
cordes d'or,1,out,non,488241
cordes de bois à brûler,1,out,non,488241
cordes de boyau et pour violons,1,out,non,488241
cordes de boyaux,131,out,non,488241
cordes de chanvre,31,out,non,488241
cordes de fil de fer,1,out,non,488241
cordes de jonc,3,out,non,488241
cordes de roseaux,1,out,non,488241
cordes de thil,2,out,non,488241
cordes de tilleul,1,out,non,488241
cordes et câble et ficelles,2,out,non,488241
cordes et écorce de tilleul,1,out,non,488241
cordes et ficelles,12,out,non,488241
cordes ficelle,1,out,non,488241
cordes neuves,1,out,non,488241
cordes pour carder,5,out,non,488241
cordes pour carder le coton,1,out,non,488241
cordes pour corder,2,out,non,488241
cordes pour fouets,2,out,non,488241
cordes pour guitare,4,out,non,488241
cordes pour instruments,10,out,non,488241
cordes pour violons,166,out,non,488241
cordes pour violons ???,1,out,non,488241
cordes vieilles,5,out,non,488241
cordial,1,out,non,488241
cordillaterie,43,out,non,488241
cordonnerie de cuir,34,out,non,488241
cordonnerie et sellerie de cuir,200,out,non,488241
cordonnet,2,out,non,488241
cordonnet de fil,3,out,non,488241
cordonnet de poil,2,out,non,488241
cordonnet de poil de chèvre,1,out,non,488241
cordonnet de soie,1,out,non,488241
cordonnet pour cannes,1,out,non,488241
cordons,9,out,non,488241
cordons d'argent,3,out,non,488241
cordons d'argent et d'or,3,out,non,488241
cordons d'or,8,out,non,488241
cordons d'or et d'argent,1,out,non,488241
cordons d'or et de soie,1,out,non,488241
cordons de fil,7,out,non,488241
cordons de fil de lin,1,out,non,488241
cordons de filoselle,3,out,non,488241
cordons de fleuret,7,out,non,488241
cordons de laine,1,out,non,488241
cordons de montre de soie,1,out,non,488241
cordons de montres,2,out,non,488241
cordons de montres avec or,1,out,non,488241
cordons de soie,36,out,non,488241
cordons de soie à canne,1,out,non,488241
cordons de soie d'argent,1,out,non,488241
cordons de soie d'argent et d'or et de soie,3,out,non,488241
cordons dorure d'argent,2,out,non,488241
cordons dorure d'argent et d'or,2,out,non,488241
cordons dorure d'or,3,out,non,488241
cordons pour chapeaux,1,out,non,488241
cordouans,107,out,non,488241
cordouans en basane,5,out,non,488241
coriandre,32,out,non,488241
coriandre et noix,1,out,non,488241
coriandre et riz,1,rice,non,2078
corinthes,4,out,non,488241
cornalines,7,out,non,488241
cornalines fines,1,out,non,488241
cornalines montées en or,2,out,non,488241
cornalines pour la Compagnie des Indes,1,out,non,488241
corne fine,1,out,non,488241
cornes,98,out,non,488241
cornes à faire peigner,1,out,non,488241
cornes à lanternes,198,out,non,488241
cornes à peignes,1,out,non,488241
cornes brutes,4,out,non,488241
cornes de béliers,1,out,non,488241
cornes de bétail,14,out,non,488241
cornes de bétail brutes,5,out,non,488241
cornes de bétail brutes clapons ou râpées,3,out,non,488241
cornes de bétail en feuillets,5,out,non,488241
cornes de bétail préparées,4,out,non,488241
cornes de bœuf,171,out,non,488241
cornes de bœuf et de vache,17,out,non,488241
cornes de bœuf et de vache crues,1,out,non,488241
cornes de bouc et de chèvre,1,out,non,488241
cornes de boucs,1,out,non,488241
cornes de cerf,169,out,non,488241
cornes de cerf dupié,1,out,non,488241
cornes de cerf en morceaux,12,out,non,488241
cornes de cerf et de snack,23,out,non,488241
cornes de cerf et de snack en morceaux,10,out,non,488241
cornes de fer,1,out,non,488241
cornes de lanternes,5,out,non,488241
cornes de licorne,1,out,non,488241
cornes de mouton,412,out,non,488241
cornes de plate,1,out,non,488241
cornes de rhinocéros,1,out,non,488241
cornes de vache,5,out,non,488241
cornes de verre,3,out,non,488241
cornes plates,32,out,non,488241
cornes plates ou en feuilles,1,out,non,488241
cornes pour manches de couteaux,1,out,non,488241
cornes rondes,1,out,non,488241
cornet de soie,1,out,non,488241
cornichons,60,out,non,488241
cornichons confits,1,out,non,488241
cornichons confits au vinaigre,1,out,non,488241
coroas,1,out,non,488241
corodarix,1,out,non,488241
corode,3,out,non,488241
corps d'arbre,1,out,non,488241
corps d'arbre bruts,1,out,non,488241
corps d'arbre de 20 à 30 pieds,1,out,non,488241
corps d'arbre de 30 à 40 pieds,1,out,non,488241
corps d'arbre de 40 à 50 pieds,1,out,non,488241
corps d'arbre de 50 à 60 pieds,1,out,non,488241
corps d'arbre en dessous de 20 pieds,1,out,non,488241
corps d'arbre réduits en pieds de gittes,1,out,non,488241
corps de femme,1,out,non,488241
corps de fille,1,out,non,488241
corps de jupes,6,out,non,488241
corps piqué,1,out,non,488241
corps piqué de jupes,1,out,non,488241
cors de chasse,4,out,non,488241
cors de chasse et trompettes,1,out,non,488241
cors serinettes serpent trompettes,3,out,non,488241
cors serinettes trombones trompettes,2,out,non,488241
corsane,2,out,non,488241
corsets,1,out,non,488241
corsets baleinés,3,out,non,488241
corsets brodés en soie,1,out,non,488241
corsets de demitte,7,out,non,488241
corsets de toile,2,out,non,488241
cortillaterie,4,out,non,488241
corty,1,out,non,488241
corvos,1,out,non,488241
cosmétiques divers pâtes poudres et savons parfumés etc.,2,out,non,488241
costus,9,out,non,488241
costus doux,5,out,non,488241
costus verus,1,out,non,488241
coteaux flamands,1,out,non,488241
cotenis,1,out,non,488241
côtes de baleine,5,out,non,488241
cotillon de toile piquée,1,out,non,488241
coton,608,raw cotton,non,2382
coton ???,1,raw cotton,non,2382
coton à broder,2,raw cotton,non,2382
coton autres de Méditerranée,1,raw cotton,non,2382
coton autres de Turquie,1,raw cotton,non,2382
coton autres longue soie,1,raw cotton,non,2382
coton bleu,1,raw cotton,non,2382
coton brut et fil de coton,44,raw cotton,non,2382
coton brut et fil de coton des Îles,1,raw cotton,non,2382
coton brut et fil de coton étranger,2,raw cotton,non,2382
coton cardé,16,raw cotton,non,2382
coton courte soie,13,raw cotton,non,2382
coton courte soie des entrepôts,1,raw cotton,non,2382
coton de laine,41,raw cotton,non,2382
coton de Malte,1,raw cotton,non,2382
coton de Senirre,1,raw cotton,non,2382
coton de Smyrne,1,raw cotton,non,2382
coton des colonies françaises,1,raw cotton,non,2382
coton des Îles et des Indes,2,raw cotton,non,2382
coton des Indes,10,raw cotton,non,2382
coton en balles et toile,1,raw cotton,non,2382
coton en feuilles cardées et gommées ouates,2,raw cotton,non,2382
coton en fil,1,raw cotton,non,2382
coton en laine,1395,raw cotton,non,2382
coton en laine de retour,1,raw cotton,non,2382
coton en laine des Indes,1,raw cotton,non,2382
coton en laine du Brésil,1,raw cotton,non,2382
coton en laine du Levant,48,raw cotton,non,2382
coton en ouate,4,raw cotton,non,2382
coton en rames,16,raw cotton,non,2382
coton en rames et fil de coton,26,raw cotton,non,2382
coton imprimé,1,cotton goods,non,14762
coton longue soie,12,raw cotton,non,2382
coton longue soie des entrepôts,1,raw cotton,non,2382
coton par Dunkerque,1,raw cotton,non,2382
coton rouge,2,raw cotton,non,2382
coton sitz et mousseline,1,cotton goods,non,14762
coton sitz et mousseline en balles,1,cotton goods,non,14762
coton soufré,78,raw cotton,non,2382
coton teint,11,raw cotton,non,2382
cotonelle de coton,2,cotton goods,non,14762
cotonille,33,cotton goods,non,14762
cotonille bleue,1,cotton goods,non,14762
cotonis,6,cotton goods,non,14762
cotonis rayé,1,cotton goods,non,14762
cotonnades,121,cotton goods,non,14762
cotonnades à peu de soie,1,cotton goods,non,14762
cotonnades bleues,1,cotton goods,non,14762
cotonnades châles,11,cotton goods,non,14762
cotonné de coton,84,cotton goods,non,14762
cotonnée,159,cotton goods,non,14762
cotonnette,3,cotton goods,non,14762
cotonnine,52,cotton goods,non,14762
cotonnine anglaise,1,cotton goods,non,14762
cotonnine bleue,1,cotton goods,non,14762
cotons autres courte soie,1,cotton goods,non,14762
cotte,1,out,non,488241
cou salé,2,out,non,488241
couchette,1,out,non,488241
couchette garnie,1,out,non,488241
coudre bleue,1,out,non,488241
coüetis,5,out,non,488241
couettes,1,out,non,488241
couffins,14,out,non,488241
couffins à boulanger,74,out,non,488241
couffins d'auf,8,out,non,488241
couffins d'auf petits,1,out,non,488241
couffins d'espars,37,out,non,488241
couffins d'osier,2,out,non,488241
couffins de jonc,2,out,non,488241
couffins de palme,61,out,non,488241
couffins de palme petits,1,out,non,488241
couffins petits,2,out,non,488241
coulements de terre,1,out,non,488241
coules de fer,2,out,non,488241
couleurs,18,dye other,non,2103
couleurs à peindre,3,dye other,non,2103
couleurs autrement préparées,2,dye other,non,2103
couleurs composées,5,dye other,non,2103
couleurs et huile,1,dye other,non,2103
couleurs et teinture fabriquées,19,dye other,non,2103
couleurs et teinture préparées,78,dye other,non,2103
couleurs préparées,2,dye other,non,2103
couleurs préparées à l'huile,2,dye other,non,2103
couleurs rouges,1,dye other,non,2103
couleurs vertes,1,dye other,non,2103
coupe noire,1,out,non,488241
couperon,5,out,non,488241
couperon verte,1,out,non,488241
couperose,954,ferrous sulfate,non,1261
couperose blanche,42,ferrous sulfate,non,1261
couperose bleue,2,ferrous sulfate,non,1261
couperose et vermillon,6,ferrous sulfate,non,1261
couperose verte,257,ferrous sulfate,non,1261
coupes,1,out,non,488241
coupes de bois,1,out,non,488241
coupes de cuivre,4,out,non,488241
coupes de fer-blanc,1,out,non,488241
coupier,1,out,non,488241
coupis,130,cotton goods,non,14762
coupis des Indes,1,cotton goods,non,14762
couplets de cuivre,1,out,non,488241
coupons de toile,1,out,non,488241
coups,1,out,non,488241
courbes,6,out,non,488241
courbes de bois,1,out,non,488241
courbes de chêne,2,out,non,488241
courbes de chêne pour bâtir,1,out,non,488241
courbes de fer,1,out,non,488241
courbes de mauvais bois,1,out,non,488241
courbes de sapin de 4 à 5 pieds,1,out,non,488241
courgousson,4,out,non,488241
courroies,9,out,non,488241
courroies de bœuf jeux,1,out,non,488241
courroies de fusils,1,out,non,488241
courroies pour bœuf,4,out,non,488241
courtepointe,7,out,non,488241
courtepointe d'indienne,1,cotton goods,non,14762
courtepointe de coton,1,cotton goods,non,14762
courtepointe de coton d'Angleterre,1,cotton goods,non,14762
courtepointe de toile,1,out,non,488241
courtepointe de toile peinte,2,out,non,488241
courtepointe jupes et vestes de toile peinte,2,out,non,488241
coussin,1,out,non,488241
coussin à faire dentelle,2,out,non,488241
coussin d'espars,6,out,non,488241
coussin de palme,2,out,non,488241
coussin de serge,1,out,non,488241
cousus,1,out,non,488241
couteaux,382,out,non,488241
couteaux à couper paille et pour tanneurs,1,out,non,488241
couteaux à deux manches,1,out,non,488241
couteaux à gaine,18,out,non,488241
couteaux à hacher la paille,1,out,non,488241
couteaux à indigo,15,out,non,488241
couteaux à manches de bois,2,out,non,488241
couteaux à manches de faïence,1,out,non,488241
couteaux à manches de forme,1,out,non,488241
couteaux à manches de gaïac,3,out,non,488241
couteaux à manches de porcelaine,1,out,non,488241
couteaux à manches longs,1,out,non,488241
couteaux à nègre,14,out,non,488241
couteaux à tanneurs,1,out,non,488241
couteaux à virole d'argent,2,out,non,488241
couteaux avec leurs gaines,1,out,non,488241
couteaux communs,243,out,non,488241
couteaux de chasse,11,out,non,488241
couteaux de chasse et épée et sabres,2,out,non,488241
couteaux de Flandre,1,out,non,488241
couteaux de gaïac,1,out,non,488241
couteaux de gazat,1,out,non,488241
couteaux de guerre,1,out,non,488241
couteaux de tables,10,out,non,488241
couteaux de tables communs,1,out,non,488241
couteaux de traite,1,out,non,488241
couteaux en gaine,1,out,non,488241
couteaux fins,1,out,non,488241
couteaux flamands,127,out,non,488241
couteaux flamands pour l'entrepôt à la destination de Guinée,1,out,non,488241
couteaux garnis en argent,4,out,non,488241
coutelas,13,out,non,488241
coutellerie,81,out,non,488241
coutellerie commune,10,out,non,488241
coutellerie de bois,12,out,non,488241
coutellerie de traite,2,out,non,488241
coutil,506,out,non,488241
coutil 2479 lignes,1,out,non,488241
coutil à lit,8,out,non,488241
coutil à meubles,1,out,non,488241
coutil chiné,1,out,non,488241
coutil de fil,1,out,non,488241
coutil de Hollande,3,out,non,488241
couvercles de fer,5,out,non,488241
couvercles de fer de marmites,1,out,non,488241
couvertes d'étoupes,1,out,non,488241
couvertes d'étoupes de laine,1,out,non,488241
couvertes de laine,3,out,non,488241
couvertes de lisières,1,out,non,488241
couvertes de loques,1,out,non,488241
couvertes pour mulets,1,out,non,488241
couvertures,93,out,non,488241
couvertures à nègre,39,out,non,488241
couvertures blanches peignées,1,out,non,488241
couvertures communes,1,out,non,488241
couvertures communes de laine,2,out,non,488241
couvertures d'Elbeuf,1,out,non,488241
couvertures d'étoupes,17,out,non,488241
couvertures d'indienne,18,cotton goods,non,14762
couvertures de B ???,1,out,non,488241
couvertures de Bazal,1,out,non,488241
couvertures de bourre,3,out,non,488241
couvertures de bourre de soie,4,out,non,488241
couvertures de capiton,8,out,non,488241
couvertures de castalogne,1,out,non,488241
couvertures de coton,212,cotton goods,non,14762
couvertures de coton de lit,1,cotton goods,non,14762
couvertures de coton et de fil,62,cotton goods,non,14762
couvertures de coton et de soie,2,cotton goods,non,14762
couvertures de crin,1,out,non,488241
couvertures de fil,3,out,non,488241
couvertures de filoselle,12,out,non,488241
couvertures de fleur,2,out,non,488241
couvertures de fleuret,2,out,non,488241
couvertures de gros basin,1,cotton goods,non,14762
couvertures de laine,971,out,non,488241
couvertures de laine à nègre,1,out,non,488241
couvertures de laine commune,1,out,non,488241
couvertures de laine de bourre,1,out,non,488241
couvertures de laine de Montpellier,1,out,non,488241
couvertures de laine et de coton,19,cotton goods,non,14762
couvertures de laine fine,1,out,non,488241
couvertures de laine ordinaire,1,out,non,488241
couvertures de Languedoc,2,out,non,488241
couvertures de lit,1,out,non,488241
couvertures de lit de fil et coton,1,cotton goods,non,14762
couvertures de loquette,1,out,non,488241
couvertures de Montpellier,3,out,non,488241
couvertures de mulets,4,out,non,488241
couvertures de placy,6,out,non,488241
couvertures de plocq,72,out,non,488241
couvertures de Rouen,4,out,non,488241
couvertures de satin,1,out,non,488241
couvertures de soie,5,out,non,488241
couvertures de toile peinte,1,out,non,488241
couvertures de ville,1,out,non,488241
couvertures dites pagnes,1,out,non,488241
couvertures drap et étoffe de laine,3,out,non,488241
couvertures du Béarn,4,out,non,488241
couvertures du Levant,1,out,non,488241
couvertures et tapis de coton,2,cotton goods,non,14762
couvertures et tapis de fleuret,1,out,non,488241
couvertures et tapis de poil,2,out,non,488241
couvertures et tapis et tapisserie de laine,27,out,non,488241
couvertures et tapisseries de laine,27,out,non,488241
couvertures filet et coton,1,cotton goods,non,14762
couvertures grandes,3,out,non,488241
couvertures grandes de laine,3,out,non,488241
couvertures grosses de laine,3,out,non,488241
couvertures grossières,1,out,non,488241
couvertures ordinaires,1,out,non,488241
couvertures peintes,1,out,non,488241
couvertures petites,2,out,non,488241
couvertures petites de laine,2,out,non,488241
couvertures pour chevaux,4,out,non,488241
couvertures pour nuque,1,out,non,488241
crabes et geernaerts,1,out,non,488241
crabes et limaçons,1,out,non,488241
craie,180,out,non,488241
craie blanche,51,out,non,488241
craie de Besançon,3,out,non,488241
craie et blanc d'Espagne et ocre jaune et rouge,34,out,non,488241
craie et ocre et brun et rouge,31,out,non,488241
craie noire,3,out,non,488241
craie rouge,7,out,non,488241
crane de cire,1,out,non,488241
crane de graine,1,out,non,488241
crapaudines,2,out,non,488241
crapaudines de cuivre,1,out,non,488241
crapaudines de fer,1,out,non,488241
crapaudines de fonte,8,out,non,488241
crapaudines de fonte de fer,4,out,non,488241
crapaudines de potin,1,out,non,488241
crasse,1,out,non,488241
crasse d'alquifoux,1,out,non,488241
crasse d'amidon,1,out,non,488241
crasse d'huile,51,out,non,488241
crasse d'huile d'olive,1,out,non,488241
crasse de beurre,1,out,non,488241
crasse de cire,64,out,non,488241
crasse de fer,2,out,non,488241
crasse de graisse,1,out,non,488241
crasse de plomb,1,out,non,488241
crasse de soufre,2,out,non,488241
crasse de suif,2,out,non,488241
crasse de tan,1,out,non,488241
crasse de toile,1,out,non,488241
cravates,6,out,non,488241
cravates de coton et mouchoirs de coton,1,cotton goods,non,14762
cravates de soie noire,1,out,non,488241
cravates de taffetas noir,1,out,non,488241
cravates noires,2,out,non,488241
crayons,86,out,non,488241
crayons composés et communs,4,out,non,488241
crayons composés et communs pour métiers,1,out,non,488241
crayons composés et fins,4,out,non,488241
crayons composés et fins pour les arts,1,out,non,488241
crayons d'Allemagne,9,out,non,488241
crayons de bois,1,out,non,488241
crayons de pastel,20,out,non,488241
crayons et craie,16,out,non,488241
crayons fins de pastel,1,out,non,488241
crayons fins de pastel et laque et lack-lack des Indes,21,out,non,488241
crayons noirs,10,out,non,488241
crayons rouges,2,out,non,488241
crayons simples de pierre,5,out,non,488241
crème,2,out,non,488241
crème de tartre,461,out,non,488241
crêpe,11,out,non,488241
crêpe de laine,3,out,non,488241
crêpe de laine aune,1,out,non,488241
crêpe de Reims,14,out,non,488241
crêpe de soie,23,out,non,488241
crêpe et crépon,3,out,non,488241
crêpe et étoffe et gaze et passementerie et ruban de soie,23,out,non,488241
crêpe et étoffe et passementerie et ruban de soie,11,out,non,488241
crêpe et gaze et mouchoirs,6,out,non,488241
crêpe et gaze et tulle,29,out,non,488241
crêpe et gaze et tulle de soie,146,out,non,488241
crêpe noir,1,out,non,488241
crêpe pour chapeaux,2,out,non,488241
crépine de soie,1,out,non,488241
crépon,10,out,non,488241
crépon de laine,6,out,non,488241
crêpure de filoselle,1,out,non,488241
creusets,144,out,non,488241
creusets d'Allemagne,1,out,non,488241
creusets d'orfèvre,4,out,non,488241
creusets de grès,1,out,non,488241
creusets de mine de plomb,1,out,non,488241
creusets de terre,15,out,non,488241
creusets de terre cuite,8,out,non,488241
creusets et figures de pierre,1,out,non,488241
cribles,56,out,non,488241
cribles à blé,1,out,non,488241
cribles de bois,2,out,non,488241
cribles de fil de laiton,1,out,non,488241
cribles de laiton à café,1,out,non,488241
cribles et bluteaux de moulins,1,out,non,488241
cribles petits,1,out,non,488241
crics,57,out,non,488241
crics de fer,33,out,non,488241
crin,832,out,non,488241
crin à cordonnier,1,out,non,488241
crin à pêcher,1,out,non,488241
crin apprêté,5,out,non,488241
crin apprêté et frisé,5,out,non,488241
crin brut,13,out,non,488241
crin brut de cheval,1,out,non,488241
crin de cheval,77,out,non,488241
crin de cheval griporé,1,out,non,488241
crin de chèvre,1,out,non,488241
crin frisé,85,out,non,488241
crin plan,1,out,non,488241
crin plat,18,out,non,488241
crin pour habit d'homme,1,out,non,488241
crin pour la Compagnie des Indes,1,out,non,488241
crin tanné,1,out,non,488241
crin vieux,1,out,non,488241
crinières,2,out,non,488241
crise,1,out,non,488241
cristal,241,out,non,488241
cristal brut,16,out,non,488241
cristal cru,1,out,non,488241
cristal d'office,14,out,non,488241
cristal de roche,4,out,non,488241
cristal de roche brut,1,out,non,488241
cristal de Rouen,1,out,non,488241
cristal de tartot,1,out,non,488241
cristal de tartre,22,out,non,488241
cristal et verres à boire à vitre,2,out,non,488241
cristal fondu,1,out,non,488241
cristal minéral,4,out,non,488241
cristal taillé,62,out,non,488241
cristallin,3,out,non,488241
cristaux,3,out,non,488241
croc,1,out,non,488241
croc de fer à morue,1,out,non,488241
crochets de bois,2,out,non,488241
crochets de fer,2,out,non,488241
crocus,1,out,non,488241
croisé de coton,1,cotton goods,non,14762
croisé noir,1,out,non,488241
croix à pierres fausses,2,out,non,488241
croix d'argent,3,out,non,488241
croix d'argent neuve,1,out,non,488241
croix d'argent pour église,1,out,non,488241
croix d'ivoire,2,out,non,488241
croix d'or,1,out,non,488241
croix de cuivre,2,out,non,488241
croix de cuivre argenté,1,out,non,488241
croix de grenat,1,out,non,488241
croix de gresse,1,out,non,488241
crons et débris de maison,1,out,non,488241
cruches,1,out,non,488241
cruches de Cologne,1,out,non,488241
cruches de fer,2,out,non,488241
cruches de grès,29,out,non,488241
cruches de terre,12,out,non,488241
crucifix,1,out,non,488241
crucifix de bronze,1,out,non,488241
crucifix de marbre,1,out,non,488241
crustas,1,out,non,488241
cubeber,16,out,non,488241
cuillères à canons,1,out,non,488241
cuillères à sucre,5,out,non,488241
cuillères de bois,30,out,non,488241
cuillères de bois pour pots,2,out,non,488241
cuillères de buis,5,out,non,488241
cuillères de fer,20,out,non,488241
cuillères de laiton,2,out,non,488241
cuillères et fourches d'argent,1,out,non,488241
cuillères et fourchettes de cuivre argenté,3,out,non,488241
cuirasses,1,out,non,488241
cuireaux de mouton à faire colle,2,out,non,488241
cuirs,73,out,non,488241
cuirs ??? en poil,1,out,non,488241
cuirs à pompe,4,out,non,488241
cuirs à semelle,1,out,non,488241
cuirs à soutirer le vin,1,out,non,488241
cuirs apprêtés,308,out,non,488241
cuirs apprêtés de bœuf en poil,2,out,non,488241
cuirs apprêtés de vache,8,out,non,488241
cuirs avariés tannés,1,out,non,488241
cuirs bannettes secs en poil,1,out,non,488241
cuirs blancs,1,out,non,488241
cuirs bruts,1,out,non,488241
cuirs bruts tannés,1,out,non,488241
cuirs cannelés,2,out,non,488241
cuirs corroyés,14,out,non,488241
cuirs corroyés de vache,129,out,non,488241
cuirs corroyés et tannés,1,out,non,488241
cuirs crus et à poil,1,out,non,488241
cuirs d'Amérique d'Afrique et de Barbarie en poil,1,out,non,488241
cuirs d'Andrinople,2,out,non,488241
cuirs d'âne,15,out,non,488241
cuirs d'âne en poil,12,out,non,488241
cuirs d'âne tannés,1,out,non,488241
cuirs d'empeignes,1,out,non,488241
cuirs d'Espagne,1,out,non,488241
cuirs d'Espagne dit maroquins,1,out,non,488241
cuirs d'Inde,1,out,non,488241
cuirs d'Irlande,1,out,non,488241
cuirs de ??? de poil,1,out,non,488241
cuirs de bœuf,30,out,non,488241
cuirs de bœuf apprêtés,35,out,non,488241
cuirs de bœuf apprêtés demi pièce,1,out,non,488241
cuirs de bœuf apprêtés et tannés,1,out,non,488241
cuirs de bœuf au poil,1,out,non,488241
cuirs de bœuf corroyés,12,out,non,488241
cuirs de bœuf d'Illinois,1,out,non,488241
cuirs de bœuf de Russie,1,out,non,488241
cuirs de bœuf en poil,1194,out,non,488241
cuirs de bœuf en poil et cuirs de vache en poil,11,out,non,488241
cuirs de bœuf en poil et secs,3,out,non,488241
cuirs de bœuf en poil et verts,2,out,non,488241
cuirs de bœuf en poil tannés,1,out,non,488241
cuirs de bœuf en poil têtes,8,out,non,488241
cuirs de bœuf et vache apprêtés,1,out,non,488241
cuirs de bœuf ou vache,8,out,non,488241
cuirs de bœuf passés en Hongrie,3,out,non,488241
cuirs de bœuf salé,3,out,non,488241
cuirs de bœuf secs,2,out,non,488241
cuirs de bœuf tannés,891,out,non,488241
cuirs de bœuf tannés et cuir de vache tannés,1,out,non,488241
cuirs de bœuf verts,2,out,non,488241
cuirs de bœufs en poil,40,out,non,488241
cuirs de buffle,2,out,non,488241
cuirs de buffle en poil,9,out,non,488241
cuirs de buffletin,1,out,non,488241
cuirs de cerf en poil,1,out,non,488241
cuirs de cheval,8,out,non,488241
cuirs de cheval en poil,44,out,non,488241
cuirs de cheval tanné,1,out,non,488241
cuirs de cheval tannés,89,out,non,488241
cuirs de chèvre en poil,1,out,non,488241
cuirs de chevreau,1,out,non,488241
cuirs de fer et en poil,1,out,non,488241
cuirs de génisse,30,out,non,488241
cuirs de génisse corroyés,119,out,non,488241
cuirs de génisse en poil,8,out,non,488241
cuirs de génisse tannés,9,out,non,488241
cuirs de Hongrie,35,out,non,488241
cuirs de jument tannés,1,out,non,488241
cuirs de loup,1,out,non,488241
cuirs de moscovie,1,out,non,488241
cuirs de mule en poil,1,out,non,488241
cuirs de poil,3,out,non,488241
cuirs de poil et salés,2,out,non,488241
