goods_simpl_classification;ulrich_classification
attaches de cuivre;out
attelles de colliers;out
aube;out
auchinoise;out
auclimes;out
auf;out
augemy;out
auges;out
auges de carreaux;out
augustins;out
aurcsats;out
aurcsats étoile;out
aussière;out
autel de marbre;out
avelanèdes;out
avelines;out
avelines et noisettes sèches;out
avelines faînes noisettes noix;out
avelines noisettes noix;out
avirons;out
avirons bruts;out
avirons de 12 pieds;out
avirons de 18 pieds;out
avirons de 30 pieds;out
avirons de 5 pieds;out
avirons de 8 à 12 pieds;out
avirons de bois;out
avirons de bois façonné;out
avirons de chêne;out
avirons de sapin;out
avirons et perches de bois;out
avirons et rames bruts;out
avirons et rames de bois;out
avirons et rames de bois façonné;out
avirons et rames façonnés;out
avirons polis;out
avoine;out
avoine en gerbes;out
avoine et haricots;out
avoine et orge etc.;out
avoine mondée;out
avoine moulée;out
azur;out
azur commun;out
azur et bleu de Prusse;out
azur et cobalt;out
azur fin;out
azur gros;out
babassis;out
babouches;out
babouches de maroquin;out
bacs d'1 aime;out
bacs de pierre;out
bacs de pierre bleue;out
bacs de pierre d'1 aime;out
bacs de pierre de 4 aimes;out
bacs de pierre de demi d'aime;out
bacs de pierre de moindre classe;out
bacs de pierre de trois-quart d'aime;out
bacs de pierre en dessous d'1 aime;out
bacs de pierre en dessus d'1 aime;out
badiane;out
baffetas;cotton goods
baffetas blanc;cotton goods
baffetas bleu;cotton goods
baffetas des Indes;cotton goods
bagarot;out
bagues;out
bagues à pierres fausses;out
bagues d'argent;out
bagues d'or;out
bagues de cuivre;out
bagues de laiton;out
bagues de verre;out
baguettes;out
baguettes à chandelle;out
baguettes à étoffe;out
baguettes d'étain;out
baguettes de bois;out
baguettes de bois doré;out
baguettes de cuivre;out
baguettes de fer à fusil;out
baguettes de fusil;out
bahuts;out
baie de laurier;out
baies de buis;out
baies de genévrier à distiller;out
baies de genièvre;out
baignes;out
baignoires;out
baignoires d'acajou;out
baignoires de cuivre;out
baignoires de sapin;out
baignoires de tôle;out
baigots;out
baillarge;out
bailles;out
baïonnettes;out
bais de bois de chêne;out
bajutapau;cotton goods
bajutapau commun;cotton goods
bajutapau des Indes;cotton goods
bajutapau, canelis, etc.;cotton goods
balais;out
balais communs;out
balais coupés;out
balais de bois;out
balais de brandes;out
balais de bruyère;out
balais de chanvre;out
balais de crin;out
balais de foyer;out
balais de jonc;out
balais de jonc petits;out
balais de laine à laver les planchers;out
balais de millet;out
balais de paille;out
balais de paille de riz;out
balais de palme;out
balais de palme petits;out
balais de plumes;out
balais de poil;out
balais de riz;out
balais de soie;out
balais de soie de porcs;out
balais de toile;out
balais du roi;out
balais fins;out
balais grands de palme;out
balais ou ramons;out
balais petits;out
balance;out
balance à la romaine;out
balance complète;out
balance de bois;out
balance de cuivre;out
balance de cuivre jaune;out
balance de fer;out
balance et poids de cuivre;out
balance et romaine;out
balance et ses poids;out
balance ou fléaux en fer;out
balance petite;out
balance romaine;out
balcon de fer;out
baleine;out
baleine apprêtée;out
baleine coupée;out
baleine coupée en fanon;out
baleine coupée et en fanon;out
baleine de sarde;out
baleine en fanon;out
baleine en fanon et de sarde;out
baleine non sciée;out
baleine taillée;out
balles;out
balles à jouer;out
balles d'osier;out
balles de fer et canons de fer;out
balles de fer uni;out
balles de jonc;out
balles de palme;out
balles de plomb;out
balles et dragées de plomb;out
balles vides;out
balustres;out
bamboches;out
bambous;out
banastron;out
banc à couper la paille;out
banc de sapin;out
bandages;out
bandages de peaux;out
bandages pour soldats;out
bandanas des Indes;out
bandeaux;out
banderoles;out
banderoles de cuir;out
bandes de cabrouets de fer;out
bandes de charrettes;out
bandes de fer;out
bandes de fer à tombereaux;out
bandes de roues de fer;out
bandes de tulles brodées;out
bandes et barres de fer;out
bandoulières garnies d'argent;out
bannes et bannettes d'osier;out
bannettes d'osier;out
bannettes de cuir;out
bannière de Damas;out
banquette;out
baquelets;out
baquets;out
baquets à jeter l'eau;out
baquets de cuivre;out
baquets de fer;out
baquets de rechange;out
baquets de sapin;out
baracan;out
baracan aune;out
baracan d'Abbeville;out
baracan de laine;out
baracan de laine et de poil;out
baracan de Lille;out
baracan de poil;out
baras;out
