goods_simpl_classification;ulrich_classification
corps d'arbre réduits en pieds de gittes;out
corps de femme;out
corps de fille;out
corps de jupes;out
corps piqué;out
corps piqué de jupes;out
cors de chasse;out
cors de chasse et trompettes;out
cors serinettes serpent trompettes;out
cors serinettes trombones trompettes;out
corsane;out
corsets;out
corsets baleinés;out
corsets brodés en soie;out
corsets de demitte;out
corsets de toile;out
cortillaterie;out
corty;out
corvos;out
cosmétiques divers pâtes poudres et savons parfumés etc.;out
costus;out
costus doux;out
costus verus;out
coteaux flamands;out
cotenis;out
côtes de baleine;out
cotillon de toile piquée;out
coton;raw cotton
coton ???;raw cotton
coton à broder;raw cotton
coton autres de Méditerranée;raw cotton
coton autres de Turquie;raw cotton
coton autres longue soie;raw cotton
coton bleu;raw cotton
coton brut et fil de coton;raw cotton
coton brut et fil de coton des Îles;raw cotton
coton brut et fil de coton étranger;raw cotton
coton cardé;raw cotton
coton courte soie;raw cotton
coton courte soie des entrepôts;raw cotton
coton de laine;raw cotton
coton de Malte;raw cotton
coton de Senirre;raw cotton
coton de Smyrne;raw cotton
coton des colonies françaises;raw cotton
coton des Îles et des Indes;raw cotton
coton des Indes;raw cotton
coton en balles et toile;raw cotton
coton en feuilles cardées et gommées ouates;raw cotton
coton en fil;raw cotton
coton en laine;raw cotton
coton en laine de retour;raw cotton
coton en laine des Indes;raw cotton
coton en laine du Brésil;raw cotton
coton en laine du Levant;raw cotton
coton en ouate;raw cotton
coton en rames;raw cotton
coton en rames et fil de coton;raw cotton
coton imprimé;cotton goods
coton longue soie;raw cotton
coton longue soie des entrepôts;raw cotton
coton par Dunkerque;raw cotton
coton rouge;raw cotton
coton sitz et mousseline;cotton goods
coton sitz et mousseline en balles;cotton goods
coton soufré;raw cotton
coton teint;raw cotton
cotonelle de coton;cotton goods
cotonille;cotton goods
cotonille bleue;cotton goods
cotonis;cotton goods
cotonis rayé;cotton goods
cotonnades;cotton goods
cotonnades à peu de soie;cotton goods
cotonnades bleues;cotton goods
cotonnades châles;cotton goods
cotonné de coton;cotton goods
cotonnée;cotton goods
cotonnette;cotton goods
cotonnine;cotton goods
cotonnine anglaise;cotton goods
cotonnine bleue;cotton goods
cotons autres courte soie;cotton goods
cotte;out
cou salé;out
couchette;out
couchette garnie;out
coudre bleue;out
coüetis;out
couettes;out
couffins;out
couffins à boulanger;out
couffins d'auf;out
couffins d'auf petits;out
couffins d'espars;out
couffins d'osier;out
couffins de jonc;out
couffins de palme;out
couffins de palme petits;out
couffins petits;out
coulements de terre;out
coules de fer;out
couleurs;dye other
couleurs à peindre;dye other
couleurs autrement préparées;dye other
couleurs composées;dye other
couleurs et huile;dye other
couleurs et teinture fabriquées;dye other
couleurs et teinture préparées;dye other
couleurs préparées;dye other
couleurs préparées à l'huile;dye other
couleurs rouges;dye other
couleurs vertes;dye other
coupe noire;out
couperon;out
couperon verte;out
couperose;ferrous sulfate
couperose blanche;ferrous sulfate
couperose bleue;ferrous sulfate
couperose et vermillon;ferrous sulfate
couperose verte;ferrous sulfate
coupes;out
coupes de bois;out
coupes de cuivre;out
coupes de fer-blanc;out
coupier;out
coupis;cotton goods
coupis des Indes;cotton goods
couplets de cuivre;out
coupons de toile;out
coups;out
courbes;out
courbes de bois;out
courbes de chêne;out
courbes de chêne pour bâtir;out
courbes de fer;out
courbes de mauvais bois;out
courbes de sapin de 4 à 5 pieds;out
courgousson;out
courroies;out
courroies de bœuf jeux;out
courroies de fusils;out
courroies pour bœuf;out
courtepointe;out
courtepointe d'indienne;cotton goods
courtepointe de coton;cotton goods
courtepointe de coton d'Angleterre;cotton goods
courtepointe de toile;out
courtepointe de toile peinte;out
courtepointe jupes et vestes de toile peinte;out
coussin;out
coussin à faire dentelle;out
coussin d'espars;out
coussin de palme;out
coussin de serge;out
cousus;out
couteaux;out
couteaux à couper paille et pour tanneurs;out
couteaux à deux manches;out
couteaux à gaine;out
couteaux à hacher la paille;out
couteaux à indigo;out
couteaux à manches de bois;out
couteaux à manches de faïence;out
couteaux à manches de forme;out
couteaux à manches de gaïac;out
couteaux à manches de porcelaine;out
couteaux à manches longs;out
couteaux à nègre;out
couteaux à tanneurs;out
couteaux à virole d'argent;out
couteaux avec leurs gaines;out
couteaux communs;out
couteaux de chasse;out
couteaux de chasse et épée et sabres;out
couteaux de Flandre;out
couteaux de gaïac;out
couteaux de gazat;out
couteaux de guerre;out
couteaux de tables;out
couteaux de tables communs;out
couteaux de traite;out
couteaux en gaine;out
couteaux fins;out
couteaux flamands;out
couteaux flamands pour l'entrepôt à la destination de Guinée;out
couteaux garnis en argent;out
coutelas;out
coutellerie;out
coutellerie commune;out
coutellerie de bois;out
coutellerie de traite;out
coutil;out
coutil 2479 lignes;out
coutil à lit;out
coutil à meubles;out
coutil chiné;out
coutil de fil;out
coutil de Hollande;out
couvercles de fer;out
couvercles de fer de marmites;out
couvertes d'étoupes;out
couvertes d'étoupes de laine;out
couvertes de laine;out
couvertes de lisières;out
couvertes de loques;out
couvertes pour mulets;out
couvertures;out
couvertures à nègre;out
couvertures blanches peignées;out
couvertures communes;out
couvertures communes de laine;out
couvertures d'Elbeuf;out
couvertures d'étoupes;out
couvertures d'indienne;cotton goods
couvertures de B ???;out
couvertures de Bazal;out
couvertures de bourre;out
couvertures de bourre de soie;out
couvertures de capiton;out
couvertures de castalogne;out
couvertures de coton;cotton goods
couvertures de coton de lit;cotton goods
couvertures de coton et de fil;cotton goods
couvertures de coton et de soie;cotton goods
couvertures de crin;out
couvertures de fil;out
couvertures de filoselle;out
couvertures de fleur;out
couvertures de fleuret;out
couvertures de gros basin;cotton goods
couvertures de laine;out
couvertures de laine à nègre;out
couvertures de laine commune;out
couvertures de laine de bourre;out
couvertures de laine de Montpellier;out
couvertures de laine et de coton;cotton goods
couvertures de laine fine;out
couvertures de laine ordinaire;out
couvertures de Languedoc;out
couvertures de lit;out
couvertures de lit de fil et coton;cotton goods
couvertures de loquette;out
couvertures de Montpellier;out
couvertures de mulets;out
couvertures de placy;out
couvertures de plocq;out
couvertures de Rouen;out
couvertures de satin;out
couvertures de soie;out
couvertures de toile peinte;out
couvertures de ville;out
couvertures dites pagnes;out
couvertures drap et étoffe de laine;out
couvertures du Béarn;out
couvertures du Levant;out
couvertures et tapis de coton;cotton goods
couvertures et tapis de fleuret;out
couvertures et tapis de poil;out
couvertures et tapis et tapisserie de laine;out
couvertures et tapisseries de laine;out
couvertures filet et coton;cotton goods
couvertures grandes;out
couvertures grandes de laine;out
couvertures grosses de laine;out
couvertures grossières;out
couvertures ordinaires;out
couvertures peintes;out
couvertures petites;out
couvertures petites de laine;out
couvertures pour chevaux;out
couvertures pour nuque;out
crabes et geernaerts;out
crabes et limaçons;out
craie;out
craie blanche;out
craie de Besançon;out
craie et blanc d'Espagne et ocre jaune et rouge;out
craie et ocre et brun et rouge;out
craie noire;out
craie rouge;out
crane de cire;out
crane de graine;out
crapaudines;out
crapaudines de cuivre;out
crapaudines de fer;out
crapaudines de fonte;out
crapaudines de fonte de fer;out
crapaudines de potin;out
crasse;out
crasse d'alquifoux;out
crasse d'amidon;out
crasse d'huile;out
crasse d'huile d'olive;out
crasse de beurre;out
crasse de cire;out
crasse de fer;out
crasse de graisse;out
crasse de plomb;out
crasse de soufre;out
crasse de suif;out
crasse de tan;out
crasse de toile;out
cravates;out
cravates de coton et mouchoirs de coton;cotton goods
cravates de soie noire;out
cravates de taffetas noir;out
cravates noires;out
crayons;out
crayons composés et communs;out
crayons composés et communs pour métiers;out
crayons composés et fins;out
crayons composés et fins pour les arts;out
crayons d'Allemagne;out
crayons de bois;out
crayons de pastel;out
crayons et craie;out
crayons fins de pastel;out
crayons fins de pastel et laque et lack-lack des Indes;out
crayons noirs;out
crayons rouges;out
crayons simples de pierre;out
crème;out
crème de tartre;out
crêpe;out
crêpe de laine;out
crêpe de laine aune;out
crêpe de Reims;out
crêpe de soie;out
crêpe et crépon;out
crêpe et étoffe et gaze et passementerie et ruban de soie;out
crêpe et étoffe et passementerie et ruban de soie;out
crêpe et gaze et mouchoirs;out
crêpe et gaze et tulle;out
crêpe et gaze et tulle de soie;out
crêpe noir;out
crêpe pour chapeaux;out
crépine de soie;out
crépon;out
crépon de laine;out
crêpure de filoselle;out
creusets;out
creusets d'Allemagne;out
creusets d'orfèvre;out
creusets de grès;out
creusets de mine de plomb;out
creusets de terre;out
creusets de terre cuite;out
creusets et figures de pierre;out
cribles;out
cribles à blé;out
cribles de bois;out
cribles de fil de laiton;out
cribles de laiton à café;out
cribles et bluteaux de moulins;out
cribles petits;out
crics;out
crics de fer;out
crin;out
crin à cordonnier;out
crin à pêcher;out
crin apprêté;out
crin apprêté et frisé;out
crin brut;out
crin brut de cheval;out
crin de cheval;out
crin de cheval griporé;out
crin de chèvre;out
crin frisé;out
crin plan;out
crin plat;out
crin pour habit d'homme;out
crin pour la Compagnie des Indes;out
crin tanné;out
crin vieux;out
crinières;out
crise;out
cristal;out
cristal brut;out
cristal cru;out
cristal d'office;out
cristal de roche;out
cristal de roche brut;out
cristal de Rouen;out
cristal de tartot;out
cristal de tartre;out
cristal et verres à boire à vitre;out
cristal fondu;out
cristal minéral;out
cristal taillé;out
cristallin;out
cristaux;out
croc;out
croc de fer à morue;out
crochets de bois;out
crochets de fer;out
crocus;out
croisé de coton;cotton goods
croisé noir;out
croix à pierres fausses;out
croix d'argent;out
croix d'argent neuve;out
croix d'argent pour église;out
croix d'ivoire;out
croix d'or;out
croix de cuivre;out
croix de cuivre argenté;out
croix de grenat;out
croix de gresse;out
crons et débris de maison;out
cruches;out
cruches de Cologne;out
cruches de fer;out
cruches de grès;out
cruches de terre;out
crucifix;out
crucifix de bronze;out
crucifix de marbre;out
crustas;out
cubeber;out
cuillères à canons;out
cuillères à sucre;out
cuillères de bois;out
cuillères de bois pour pots;out
cuillères de buis;out
cuillères de fer;out
cuillères de laiton;out
cuillères et fourches d'argent;out
cuillères et fourchettes de cuivre argenté;out
cuirasses;out
cuireaux de mouton à faire colle;out
cuirs;out
cuirs ??? en poil;out
cuirs à pompe;out
cuirs à semelle;out
cuirs à soutirer le vin;out
cuirs apprêtés;out
cuirs apprêtés de bœuf en poil;out
cuirs apprêtés de vache;out
cuirs avariés tannés;out
cuirs bannettes secs en poil;out
cuirs blancs;out
cuirs bruts;out
cuirs bruts tannés;out
cuirs cannelés;out
cuirs corroyés;out
cuirs corroyés de vache;out
cuirs corroyés et tannés;out
cuirs crus et à poil;out
cuirs d'Amérique d'Afrique et de Barbarie en poil;out
cuirs d'Andrinople;out
cuirs d'âne;out
cuirs d'âne en poil;out
cuirs d'âne tannés;out
cuirs d'empeignes;out
cuirs d'Espagne;out
cuirs d'Espagne dit maroquins;out
cuirs d'Inde;out
cuirs d'Irlande;out
cuirs de ??? de poil;out
cuirs de bœuf;out
cuirs de bœuf apprêtés;out
cuirs de bœuf apprêtés demi pièce;out
cuirs de bœuf apprêtés et tannés;out
cuirs de bœuf au poil;out
cuirs de bœuf corroyés;out
cuirs de bœuf d'Illinois;out
cuirs de bœuf de Russie;out
cuirs de bœuf en poil;out
cuirs de bœuf en poil et cuirs de vache en poil;out
cuirs de bœuf en poil et secs;out
cuirs de bœuf en poil et verts;out
cuirs de bœuf en poil tannés;out
cuirs de bœuf en poil têtes;out
cuirs de bœuf et vache apprêtés;out
cuirs de bœuf ou vache;out
cuirs de bœuf passés en Hongrie;out
cuirs de bœuf salé;out
cuirs de bœuf secs;out
cuirs de bœuf tannés;out
cuirs de bœuf tannés et cuir de vache tannés;out
cuirs de bœuf verts;out
cuirs de bœufs en poil;out
cuirs de buffle;out
cuirs de buffle en poil;out
cuirs de buffletin;out
cuirs de cerf en poil;out
cuirs de cheval;out
cuirs de cheval en poil;out
cuirs de cheval tanné;out
cuirs de cheval tannés;out
cuirs de chèvre en poil;out
cuirs de chevreau;out
cuirs de fer et en poil;out
cuirs de génisse;out
cuirs de génisse corroyés;out
cuirs de génisse en poil;out
cuirs de génisse tannés;out
cuirs de Hongrie;out
cuirs de jument tannés;out
cuirs de loup;out
cuirs de moscovie;out
cuirs de mule en poil;out
cuirs de poil;out
cuirs de poil et salés;out
cuirs de Prusse;out
cuirs de Russie;out
cuirs de Russie de vache;out
cuirs de Sardaigne de vache;out
cuirs de secs en poil;out
cuirs de Turquie;out
cuirs de vache;out
cuirs de vache accoutrées;out
cuirs de vache apprêtés;out
cuirs de vache en poil;out
cuirs de vache lissés;out
cuirs de vache passés;out
cuirs de vache petits;out
cuirs de vache tannés;out
cuirs dorés;out
cuirs dorés vieux;out
cuirs en basanes;out
cuirs en bassin;out
cuirs en blanc;out
cuirs en bœuf verts;out
cuirs en croûte;out
cuirs en croûte de vache;out
cuirs en échantillons;out
cuirs en grains;out
cuirs en grains de vache;out
cuirs en poil;out
cuirs en poil de vache;out
cuirs en poil salés verts;out
cuirs en poil tannés;out
cuirs en poil teints fallon;out
cuirs en poil verts;out
cuirs en retail;out
cuirs en rognures;out
cuirs en rosette;out
cuirs en têtes;out
cuirs et peaux de bœuf et de vache apprêté;out
cuirs et peaux non apprêtés;out
cuirs fins en poil;out
cuirs forts;out
cuirs forts tannés;out
cuirs génisse corroyés;out
cuirs gras;out
cuirs jaunes;out
cuirs non apprêtés;out
cuirs passés en blanc;out
cuirs petits des Indes en poil;out
cuirs petits en poil;out
cuirs porcs;out
cuirs pour bottes;out
cuirs pour semelles;out
cuirs pour soufflets;out
cuirs pour souliers;out
cuirs restants;out
cuirs rouges;out
cuirs salés;out
cuirs salés en poil;out
cuirs salés verts;out
cuirs secs;out
cuirs secs en poil;out
cuirs secs en poil de vache;out
cuirs secs en poil des Îles;out
cuirs secs et salés;out
cuirs secs et tannés;out
cuirs tannées forts;out
cuirs tannés;out
cuirs tannés de vache;out
cuirs tannés pour empeignes;out
cuirs tannés pour semelles;out
cuirs testaux;out
cuirs tissés de vache;out
cuirs verts;out
cuirs vieux;out
cuisses;out
cuisses d'oie;out
cuisses d'oie à la daube;out
cuisses d'oie en adobe;out
cuisses d'oie salées;out
cuivre;out
cuivre à lessive;out
cuivre à mitraille;out
cuivre à monnayer rouge;out
cuivre allié argenté battu laminé ou tiré;out
cuivre allié argenté filé sur fil;out
cuivre allié battu doré laminé et tiré;out
cuivre allié battu doré laminé ou tiré;out
cuivre allié bronze en masse;out
cuivre allié d'étain;out
cuivre allié d'étain brut;out
cuivre allié doré filé sur fil;out
cuivre allié doré filé sur soie;out
cuivre allié et ouvré dont estagnons contenant des liquides;out
cuivre allié ouvré;out
cuivre allié ouvré autrement que battu filé laminé ou tiré;out
cuivre argenté;out
cuivre argenté battu laminé ou tiré;out
cuivre argenté et doré;out
cuivre argenté et doré et plaqué;out
cuivre argenté flambeaux;out
cuivre battu;out
cuivre battu laminé;out
cuivre battu ou laminé à toutes destinations;out
cuivre bronzé;out
cuivre brun;out
cuivre brun et cuivre rouge;out
cuivre brut;out
cuivre brut en pain;out
cuivre brut et rouge;out
cuivre clous;out
cuivre commun;out
cuivre coulé en barres ou plaques régulières;out
cuivre cru;out
cuivre cru en blocs;out
cuivre cru en masses;out
cuivre cru ou en plates;out
cuivre d'argent et doré;out
cuivre de fer;out
cuivre de fer en poids;out
cuivre de fourrure;out
cuivre de Namur;out
cuivre de pompe;out
cuivre de Russie;out
cuivre doré;out
cuivre doré battu filé laminé ou tiré;out
cuivre doré battu laminé ou tiré;out
cuivre en fond et rouge;out
cuivre en fonte;out
cuivre en masse brut mitraille et vieux;out
cuivre en masse brut ou rouge;out
cuivre en mitraille et vieux;out
cuivre en pain;out
cuivre en plane;out
cuivre en plats;out
cuivre en potasse;out
cuivre en rouleau;out
cuivre en saumons;out
cuivre en toupe;out
cuivre en verdet;out
cuivre et airain ouvré;out
cuivre et bronze et laiton;out
cuivre et pièces de cuivre;out
cuivre et potin gris;out
cuivre fer plomb;out
cuivre forgé;out
cuivre jaune;out
cuivre jaune avec calamine;out
cuivre jaune brun;out
cuivre jaune brut;out
cuivre jaune en fourrure;out
cuivre jaune et rouge;out
cuivre jaune fondu;out
cuivre jaune non ouvré;out
cuivre laiton;out
cuivre laminé;out
cuivre neuf;out
cuivre non ouvré;out
cuivre non ouvré rouge;out
cuivre potier;out
cuivre pur battu ou laminé;out
cuivre pur coulé en barres et plaques;out
cuivre pur coulé en barres et plaques régulières;out
cuivre pur coulé en masses brutes;out
cuivre pur en barres et plaques régulières;out
cuivre pur en masses brutes;out
cuivre rompu;out
cuivre rosette;out
cuivre rouge;out
cuivre rouge brut;out
cuivre rouge cru ou en bloc pour Namur;out
cuivre rouge en chaudière;out
cuivre rouge neuf;out
cuivre satin;out
cuivre sur poil;out
cuivre tangoul;out
cuivre vieux;out
cuivrerie;out
culottes;out
culottes à nègre;out
culottes d'étamine;out
culottes de bouras;out
culottes de chamois;out
culottes de chamois garnies de boutons d'argent;out
culottes de cotonnades;cotton goods
culottes de coutil;out
culottes de daim;out
culottes de drap;out
culottes de fil;out
culottes de laine;out
culottes de laine tricotées;out
culottes de mouton;out
culottes de panne;out
culottes de panne ciselée;out
culottes de peau;out
culottes de peau d'élan;out
culottes de peau de daim;out
culottes de peau de mouton;out
culottes de peaux;out
culottes de siamoise;out
culottes de soie;out
culottes de toile;out
culottes de velours;out
culottes de velours de gueux;out
culs d'artichaut;out
cumin;out
cunier;out
cuny;out
curcuma;out
curcuma en poudre;out
curcuma en racine;out
curcuma en racine des entrepôts;out
curcuma moulu;out
curiosité coquillage;out
curiosité naturelle;out
curlas;out
curous;out
curtas;out
cuscutes luzerne;out
custar;out
custas;out
custres;out
cuve;out
cuve à vin;out
cuveaux;out
cuvette de faïence;out
cuvette de fer-blanc;out
cuvette de grès;out
cuvettes de marbre ouvré;out
cuviers;out
cuviers de terre;out
cygnes;out
cygnes en vie;out
cylindre;out
cylindre de fer;out
cymbales;out
dais;out
dais ou faux;out
dais pour église;out
dalles;out
damas;out
damas à carreaux mandarine;out
damas à frange d'argent;out
damas broché et rayé;out
damas brodé;out
damas commun;out
damas cramoisi;out
damas cramoisi de Gênes;out
damas de 20 aunes;out
damas de coton et fil;cotton goods
damas de deux couleurs;out
damas de fil;out
damas de la Chine;out
damas de lin;out
damas de Lucques;out
damas de Lyon;out
damas de Pékin;out
damas de retour faute de vente;out
Damas de soie;out
damas de soie;out
damas de Tours;out
damas des Indes;out
damas faux;out
damas jaune;out
damas noir;out
damas pour meubles;out
damas rayé;out
damas uni;out
damas vert;out
damas violet;out
damasquette;out
damasquin;out
damassin;out
dame-jeannes;out
dame-jeannes clissées;out
dame-jeannes clissées et de verres;out
dame-jeannes cuivré et de verres;out
dame-jeannes de grès;out
dame-jeannes de verre;out
dame-jeannes de verre de 4 pots;out
dame-jeannes garnies d'osier;out
dame-jeannes non clissées;out
dame-jeannes vides;out
damoiselle de bois;out
dareau de laine;out
dariabadis;cotton goods
darins;out
dattes;out
dattes et pistaches;out
dattes sèches;out
dattes secs et prunes sèches;out
daubes;out
dauphine;out
de haut;out
de peu de valeur;out
de tafia;out
de ville;out
débris de vaisseaux et vieux ouvrages de charpente;out
déchet de laine;out
déchet de laine bourre lanice tontisse;out
déchet de pierre;out
déchets d'animaux et sang de bétail;out
déchets de laine;out
déchets de laine entière;out
déchets de laine lanice;out
déchets de laine tontisse;out
décorations pour carrosses;out
dégras;out
dégras d'huile;out
dégras de peau;out
déjeuner de vermeil;out
delimineas;out
demi guinée;cotton goods
demi guinée bleue;cotton goods
demi-barriques cerclées de fer;out
demi-cuirs de bœuf tannés;out
demi-cuirs tannés de vache;out
demi-soucis;out
demitte;out
demoiselle;out
demoiselle de sapin;out
denrées coloniales;out
denrées coloniales et épicerie;out
dentelle;out
dentelle à peu de soie;out
dentelle blanche;out
dentelle blonde de soie;out
dentelle commune;out
dentelle d'Alençon;out
dentelle d'Andelys;out
dentelle d'argent;out
dentelle d'argent et d'or;out
dentelle d'argent et d'or faux;out
dentelle d'argent faux;out
dentelle d'argent fin;out
dentelle d'or;out
dentelle d'or et d'argent;out
dentelle d'or et d'argent faux;out
dentelle d'or et d'argent fin;out
dentelle d'or faux;out
dentelle d'or fin;out
dentelle de Bretagne;out
dentelle de Caen;out
dentelle de chanvre et de lin;out
dentelle de coton et blonde de coton;cotton goods
dentelle de Dieppe;out
dentelle de fer;out
dentelle de fil;out
dentelle de fil 2 lignes;out
dentelle de fil blanc;out
dentelle de fil blanc commune;out
dentelle de fil blanc de Lille;out
dentelle de fil commune;out
dentelle de fil d'Alençon;out
dentelle de fil d'or faux;out
dentelle de fil d'or fin;out
dentelle de fil de ??? et Reims;out
dentelle de fil de Bergame;out
dentelle de fil de Caen;out
dentelle de fil de crin;out
dentelle de fil de Flandre;out
dentelle de fil de laine;out
dentelle de fil de lin;out
dentelle de fil de Normandie;out
dentelle de fil de soie;out
dentelle de fil dorure d'argent;out
dentelle de fil du Puy;out
dentelle de fil du Puy et ???;out
dentelle de fil et de soie;out
dentelle de fil et soie;out
dentelle de fil et tulle;out
dentelle de fil et Valenciennes;out
dentelle de fil fine;out
dentelle de fil grosse;out
dentelle de Flandre;out
dentelle de France;out
dentelle de gaze;out
dentelle de Gisors;out
dentelle de Lille;out
dentelle de Malines;out
dentelle de Normandie;out
dentelle de pays;out
dentelle de Rouen;out
dentelle de soie;out
dentelle de soie au quart;out
dentelle de soie blanche;out
dentelle de soie blonde;out
dentelle de soie de Rouen;out
dentelle de soie et de fil;out
dentelle de soie noire;out
dentelle de toute autre sorte que soie;out
dentelle dorure d'argent;out
dentelle dorure d'argent et d'or;out
dentelle dorure d'or;out
dentelle dorure d'or faux;out
dentelle du Havre;out
dentelle du pays;out
dentelle du Puy;out
dentelle du Puy en soie;out
dentelle en coiffures et manchettes;out
dentelle en dorure;out
dentelle et blonde;out
dentelle et galon et passementerie;out
dentelle et galon et passementerie et ruban;out
dentelle fine;out
dentelle grosse;out
dentelle mi soie;out
dentelle moyenne;out
dents d'éléphant;out
dents d'éléphant entières;out
dents d'éléphant entières des entrepôts;out
dents d'éléphant sciées;out
dents de cheval marin;out
dents de chien marin;out
dents de morphil;out
dents de vache marine;out
der demi-plat;out
derle;out
dés;out
dés à coudre;out
dés à coudre de cuivre;out
dés à coudre de cuivre et fer;out
dés à coudre de fer;out
dés à jouer;out
dés d'acier;out
dés de cuivre;out
dés de fer;out
dés de laiton;out
déshabillé;out
despeigne;out
dessins de papier;out
dessus de souliers brodés;out
dessus de table de marbre;out
devant d'autel;out
devant de vestes;out
devant de vestes de basin;out
dévidoir;out
diables de mer;out
diactamy en fleurs;out
diagedum;out
diagrede;out
dialbequier;out
diamants;out
diamants brutes;out
diamants bruts;out
diamants fins;out
diamants perles et pierres fines;out
diamants perles et pierres fines non montés;out
diamants taillés;out
dictame;out
dictionnaire du commerce;out
dictionnaire hollandais;out
dimelle;out
dimitte et futaine;out
dindes;out
dindonneaux;out
dindons;out
dissouchaye;out
distillats;out
ditors;out
divers;out
dividivi;out
doloirs;out
domino;out
dominoterie;out
dominoterie en images;out
dominoterie et cartes géographiques;out
doraze;out
doréas;cotton goods
doréas brodées en couleur;cotton goods
doréas de Zurich;cotton goods
dorpins en pierre;out
dorure;out
dorure de Zurich;out
dorure en galon fine;out
dorure et soie;out
dorure fausse;out
dorure fausse en or et argent;out
dorure fausse en or et argent battu tiré et laminé;out
dorure fausse et fine;out
dorure fine;out
dorure fine en galon d'or;out
dorure fine sur soie;out
dos gorges et ventres de fouines martes et renard;out
dos gorges et ventres de petit gris;out
dospin en pierre;out
dossiers de chaises;out
doublage de bois de pin;out
doublures de martre pour habits;out
doublures de petis gris;out
douelles;out
douelles à barils;out
douelles à barricages;out
douelles à barriques;out
douelles à barriques 3m 1/8;out
douelles à barriques neuves;out
douelles à barriques vieilles;out
douelles à bottes;out
douelles à buses;out
douelles à cave;out
douelles à cuve;out
douelles à fond;out
douelles à pièce;out
douelles à pipes;out
douelles à poinçons;out
douelles à quart;out
douelles à tierçons;out
douelles à tonneau;out
douelles à tonneau vieilles;out
douelles de chêne;out
douelles de sapin;out
douelles en barriques;out
douelles fonçaille;out
douelles fonçaille 2m 1/2;out
douelles ganivelles;out
douelles pour barrique;out
douelles pour fonds;out
douelles vieilles;out
douelles vieilles à barriques;out
doutis;out
doutis blancs;out
doutis bleus;out
douvain;out
douvelles;out
douvelles de sapin;out
douves;out
douves à tonneaux;out
douves de deux pouces;out
dracodium;out
dragée;out
dragée de Keyser;out
dragées;out
dragonnes;out
dragonnes d'épée;out
drague de bière;out
drague de soie;out
drap;out
drap 20 lignes;out
drap à doubler;out
drap à la valeur;out
drap à matelot;out
drap à nègre;out
drap à sucre;out
drap anglais;out
drap au 6ème de soie;out
drap au sixième de soie;out
drap avarié;out
drap blanc;out
drap blanc d'Espagne;out
drap blanc de Bremer;out
drap blanc de douzaine;out
drap blanc de douzaine aune;out
drap blanc de Hollande;out
drap blanc de laine;out
drap blanc du Nord;out
drap blanc et écarlate;out
drap blanc fin;out
drap blanc par aune;out
drap bleu;out
drap bleu gros;out
drap brodé au ciseau en soie;out
drap brodé de soie;out
drap brodé en or et argent;out
drap brodé en soie;out
drap buras;out
drap bure;out
drap cad ???;out
drap calimouk;out
drap calimouk de Sedan 20 lignes;out
drap calimouk de Sedan 350 lignes;out
drap cammise;out
drap commun;out
drap commun d'Angleterre;out
drap cordeillat;out
drap cordeillat de Colmar;out
drap cosinis;out
drap crêpe;out
drap crêpe de Reims;out
drap d';out
drap d'Abbeville;out
drap d'Abbeville Valenciennes;out
drap d'Amboise;out
drap d'Amiens;out
drap d'Andelys;out
drap d'Angleterre;out
drap d'Angleterre aune;out
drap d'Angleterre des prises;out
drap d'Angleterre et drap d'Espagne et drap de Hollande;out
drap d'Angleterre noir;out
drap d'argent et d'or et de soie;out
drap d'Arnetal;out
drap d'aucrin;out
drap d'Aumale;out
drap d'Elbeuf;out
drap d'Elbeuf de retour;out
drap d'Elbeuf de velours;out
drap d'Espagne;out
drap d'Espagne aune;out
drap d'Espagne teint;out
drap d'estames;out
drap d'or et d'argent fin;out
drap Damas;out
drap dauphine;out
drap de ?;out
drap de Beauvais;out
drap de Bergopzoom;out
drap de billard;out
drap de Bolbec;out
drap de Bourbon;out
drap de bourbon peint;out
drap de Carcassonne;out
drap de Carcassonne et écarlate;out
drap de Carcassonne fin;out
drap de castor;out
drap de castor par aune;out
drap de cérémonie;out
drap de Champagne;out
drap de Cherbourg;out
drap de Cobras gros;out
drap de Colmar;out
drap de cordeillat;out
drap de coton;cotton goods
drap de coton de Rouen;cotton goods
drap de coton et de fil;cotton goods
drap de coton et étoffe de coton;cotton goods
drap de coton et teint;cotton goods
drap de coton et velours;cotton goods
drap de coton et velours de coton;cotton goods
drap de coton imprimé;cotton goods
drap de Darnétal;out
drap de dauphine;out
drap de dorure et soie;out
drap de douzaine;out
drap de douzaine et teint;out
drap de douzaine teint aune;out
drap de droguet;out
drap de Falaise;out
drap de fil rouge;out
drap de fil vieux;out
drap de France;out
drap de Glasier;out
drap de Glaster;out
drap de glaster;out
drap de glastes;out
drap de Glates;out
drap de Glouster;out
drap de Hollande;out
drap de Hollande teint;out
drap de julienne;out
drap de Korook;out
drap de la Bouille;out
drap de laine;out
drap de laine au ??? de soie;out
drap de laine au quart de soie;out
drap de laine avarié;out
drap de laine brodé de soie;out
drap de laine commun;out
drap de laine cordeillat;out
drap de laine d'Amiens;out
drap de laine d'Andelys;out
drap de laine d'Elbeuf;out
drap de laine de Beauvais;out
drap de laine de cordeillat;out
drap de laine de Cours;out
drap de laine de Lille;out
drap de laine de Louviers;out
drap de laine de Nanrabais;out
drap de laine de Saint-Robert;out
drap de laine de Sedan;out
drap de laine de Van Robais;out
drap de laine de Vir;out
drap de laine diverse;out
drap de laine draperie diverse;out
drap de laine et de soie;out
