product_simplification,product_sitc_FR,quantity_unit_metric,mean_price,median_price,sd_price,nbobs,type,position_type,PositiondansSITC,obsolete
fil de couleur,Autres filés ou tissés,kg,4.1326184,4.0858016,2.1443012,24,filés,,,non
fil en masse,Autres filés ou tissés,kg,2.7938049,2.8600612,0.87478954,37,filés,,,non
fil de corailleur,Autres filés ou tissés,kg,2.5718663,2.0429008,1.3148875,28,filés,,,non
fil du Piémont,Autres filés ou tissés,kg,2.0033607,2.0429008,0.71193331,31,filés,,,non
fil à voile,Autres filés ou tissés,kg,1.8001847,1.6343207,1.0242922,252,filés,,,non
fil à folle,Autres filés ou tissés,kg,1.4504596,1.2257406,0.68232751,10,filés,,,non
ficelle,Autres filés ou tissés,kg,1.1878154,1.0214504,0.36798981,202,filés,,,non
fil de palamard,Autres filés ou tissés,kg,1.1338099,1.0214504,0.48019037,10,filés,,,non
cordes d'emballage,Autres filés ou tissés,kg,0.6221562,0.5107252,0.31134823,11,filés,,,non
cordage vieux,Autres filés ou tissés,kg,0.21546221,0.20429009,0.085001007,32,filés,,,non
fil de coton du Levant,Filés ou tissés de coton,kg,7.0236878,7.1501532,1.4086778,21,filés,,,non
fil de coton fin d'once,Filés ou tissés de coton,kg,2.631737,2.4514811,1.017952,17,filés,,,non
fil de coton,Filés ou tissés de coton,kg,5.718256,2.247191,8.5050201,755,filés,,,non
fil de coton commun,Filés ou tissés de coton,kg,1.7216723,1.5321757,0.57582724,29,filés,,,non
fil à dentelle,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,193.05414,241.06232,121.20161,10,filés,,,non
fil de chanvre ou de lin à coudre retors et teint,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,26.093746,26.093746,9.7106571,28,filés,,,non
fil de chanvre ou de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,23.809029,23.952919,4.5608559,94,filés,,,non
fil de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,6.6881433,4.5965271,9.5932283,65,filés,,,non
fil blanc,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,4.8248758,4.0858016,3.6158628,242,filés,,,non
fil à coudre,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,4.9251676,4.0858016,2.4540248,299,filés,,,non
fil blanc à coudre,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,6.4101691,4.0858016,5.269237,45,filés,,,non
liens de fil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,4.1419816,4.0858016,1.2790046,20,filés,,,non
fil de Bretagne,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,4.0785055,3.3707864,1.9408412,28,filés,,,non
fil de Niort,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,3.2793937,3.2686415,0.19822678,19,filés,,,non
fil de Rennes,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,3.4037147,3.2686415,1.2821447,152,filés,,,non
fil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,4.2682037,3.0643513,3.0816355,14,filés,,,non
fil de chanvre,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,2.9602034,2.5536261,1.9723772,51,filés,,,non
fil cru,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,2.3837118,2.0429008,0.7492063,104,filés,,,non
filets à pêcher,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,5.0325117,2.0429008,14.257511,82,filés,,,non
fil de Bourgogne,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,2.2432623,1.8386108,0.83857572,26,filés,,,non
fil de tisserand,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,1.5526047,1.5321757,0.3909404,30,filés,,,non
fil à rets,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,1.6625419,1.5321757,0.96611863,29,filés,,,non
fil à carder,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,1.5002553,1.2257406,1.0103025,16,filés,,,non
fil à sennes,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,1.4558673,1.1848825,0.71089655,34,filés,,,non
filasse,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,0.99080694,1.0214504,0.23613948,10,filés,,,non
cordage de chanvre,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,0.99407035,0.61287028,2.6480768,427,filés,,,non
cordes de chanvre,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,0.6207276,0.61287028,0.2240925,26,filés,,,non
cordage,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,2.5968959,0.61287028,30.242748,481,filés,,,non
filets d'espars,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,10.607762,0.33197141,32.164284,10,filés,,,non
cordage d'auf,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,2.7425945,0.30643517,8.3877201,13,filés,,,non
cordes d'auf,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,0.18432538,0.20429009,0.077133194,11,filés,,,non
fil de laine fine,Filés ou tissés de laine et de poil,kg,51.873341,51.873341,0,13,filés,,,non
fil de poil de chèvre,Filés ou tissés de laine et de poil,kg,10.510862,9.1930542,5.2365198,55,filés,,,non
fil de laine,Filés ou tissés de laine et de poil,kg,15.969225,8.1716032,11.268808,25,filés,,,non
fil de chèvre,Filés ou tissés de laine et de poil,kg,6.7776241,6.1287026,1.9239008,255,filés,,,non
fil de laine commune,Filés ou tissés de laine et de poil,kg,5.80338,4.5965271,2.8568606,159,filés,,,non
fil de laine fine et teinte,Filés ou tissés de laine et de poil,unité manquante,,,,13,filés,,,non
soie à coudre,Filés ou tissés de soie et soie mélangée,kg,58.154579,61.287029,23.588934,105,filés,,,non
dentelle d'argent et d'or,Autres filés ou tissés,kg,393.16708,306.43515,228.93504,22,passementerie,haut de gamme,haut de gamme,non
dentelle d'argent,Autres filés ou tissés,kg,231.86884,245.14812,51.150341,16,passementerie,haut de gamme,haut de gamme,non
dentelle et galon et passementerie,Autres filés ou tissés,kg,302.51532,204.65068,294.9678,54,passementerie,haut de gamme,haut de gamme,non
dentelle et galon et passementerie et ruban,Autres filés ou tissés,kg,235.52245,149.72501,100.88831,28,passementerie,haut de gamme,haut de gamme,non
ouvrages en passementerie ordinaire,Autres filés ou tissés,kg,48.253319,48.253319,0,13,passementerie,bas de gamme,milieu de gamme,non
galon d'argent et d'or faux,Autres filés ou tissés,kg,47.91531,40.858017,40.997513,22,passementerie,milieu de gamme,milieu de gamme,non
galon d'or faux,Autres filés ou tissés,kg,39.690643,40.858017,6.2491207,21,passementerie,milieu de gamme,milieu de gamme,non
ruban,Autres filés ou tissés,kg,51.252857,37.243286,31.936226,30,passementerie,bas de gamme,milieu de gamme,non
passementerie ordinaire,Autres filés ou tissés,kg,33.481861,34.801418,18.845953,42,passementerie,bas de gamme,milieu de gamme,non
passementerie,Autres filés ou tissés,kg,30.839466,33.290096,35.11586,35,passementerie,milieu de gamme,milieu de gamme,non
mignonnette,Autres filés ou tissés,kg,9.3462715,8.1716032,7.7569361,10,passementerie,milieu de gamme,milieu de gamme,non
ruban et passementerie diverses celles de soie et dorure exceptées,Autres filés ou tissés,kg,6.7005978,6.9029126,1.4294577,35,passementerie,bas de gamme,milieu de gamme,non
galon de fil,Autres filés ou tissés,kg,7.4442067,6.1287026,3.1250122,33,passementerie,bas de gamme,bas de gamme,non
lisières de drap,Autres filés ou tissés,kg,1.2184445,1.0214504,0.56583941,14,passementerie,bas de gamme,bas de gamme,non
galon dorure d'argent,Autres filés ou tissés,kg,,,,,passementerie,haut de gamme,haut de gamme,oui
galon dorure d'or,Autres filés ou tissés,kg,,,,,passementerie,haut de gamme,haut de gamme,oui
galon dorure d'argent et d'or,Autres filés ou tissés,kg,,,,,passementerie,haut de gamme,haut de gamme,oui
ruban commune,Autres filés ou tissés,unité manquante,,,,16,passementerie,bas de gamme,milieu de gamme,non
ruban ordinaire,Autres filés ou tissés,unité manquante,,,,96,passementerie,bas de gamme,milieu de gamme,non
ruban de fil et de laine,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,5.9535966,5.6179776,3.3613958,42,passementerie,bas de gamme,milieu de gamme,non
dentelle de coton et blonde de coton,Filés ou tissés de coton,unité manquante,,,,18,passementerie,haut de gamme,milieu de gamme,non
dentelle de fil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.047154546,0.033658702,0.04657951,13,passementerie,haut de gamme,haut de gamme,non
dentelle du Puy,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.013253114,0.015987884,0.01123227,10,passementerie,haut de gamme,haut de gamme,non
dentelle commune,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.016919509,0.0084146755,0.025622109,14,passementerie,haut de gamme,milieu de gamme,non
dentelle de fil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,597.15784,326.86414,665.4696,140,passementerie,haut de gamme,haut de gamme,non
dentelle de fil blanc,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,608.5282,326.79739,666.74615,21,passementerie,haut de gamme,haut de gamme,non
