simplification,nbr_occurences_simpl,edentreaty,obsolete,nbr_occurences_edentreaty
écorce à tan moulue,4,,non,739563
écorce à tan non moulue,7,,non,739563
écorce à tanner,62,,non,739563
écorce autre que citron orange et leurs variété et quinquina,2,,non,739563
écorce d'arbre,42,,non,739563
écorce d'arbre de gaïac,1,,non,739563
écorce d'arbre étoffe,4,,non,739563
écorce d'arbre rayée,2,,non,739563
écorce d'orange,105,,non,739563
écorce d'orange et de citron,3,,non,739563
écorce d'orange séchée,116,,non,739563
écorce d'orange sergal,3,,non,739563
écorce de bergamote,9,,non,739563
écorce de bois,11,,non,739563
écorce de bois de fer,3,,non,739563
écorce de boutard,1,,non,739563
écorce de cacao,144,,non,739563
écorce de câpres,1,,non,739563
écorce de cédrat,6,,non,739563
écorce de cèdre,3,,non,739563
écorce de chanvre,4,,non,739563
écorce de chêne,218,,non,739563
écorce de chêne moulue,96,,non,739563
écorce de citron,99,,non,739563
écorce de citron confite,12,,non,739563
écorce de citron et d'orange,16,,non,739563
écorce de citron et d'orange et de leurs variétés,44,,non,739563
écorce de citron non épluché,1,,non,739563
écorce de citron sèche,2,,non,739563
écorce de gaiac,0,,oui,739563
écorce de gaïac,23,,non,739563
écorce de grande d'aulne et de bourdaine,5,,non,739563
écorce de grenade,13,,non,739563
écorce de limon,1,,non,739563
écorce de limons sec,1,,non,739563
écorce de Magellan,2,,non,739563
écorce de mandragore,1,,non,739563
écorce de melis,0,,oui,739563
écorce de mélisse,1,,non,739563
écorce de pin,2,,non,739563
écorce de pin en poussière,0,,non,739563
écorce de pin moulue,7,,non,739563
écorce de quinquina,58,,non,739563
écorce de simaboura,0,,oui,739563
écorce de simarouba,1,,non,739563
écorce de soie,2,,non,739563
écorce de tilleul,52,,non,739563
écorce de tilleul pour cordages,2,,non,739563
écorce pour tanner,19,,non,739563
écorce rayée,1,,non,739563
écorce unie,1,,non,739563
ecouette,1,,non,739563
ecouette de nattes,2,,non,739563
écouvillons,1,,non,739563
écrans,3,,non,739563
écrelet,1,,non,739563
écrevisses,2,,non,739563
écrevisses de mer,98,,non,739563
écrevisses de rivière,133,,non,739563
écritoire,7,,non,739563
écritoire de chagrin,1,,non,739563
écritoire de corne,1,,non,739563
écritoire de maroquin,1,,non,739563
écritoire garni d'or,2,,non,739563
écritoire garnie d'or,0,,oui,739563
écru de cerise,1,,non,739563
écuelles de terre,1,,non,739563
écuelles de vermillon,3,,non,739563
écume de verre,1,,non,739563
écumoires à sucre,2,,non,739563
écus à palmes,6,,non,739563
édredon,1,,non,739563
édredon de plume,7,,non,739563
effets,1,,oui,739563
effets de troupes,1,,non,739563
effilé de fil,14,,non,739563
effilé de soie,5,,non,739563
effilé or fil,1,,non,739563
efforces à tondre,99,,non,739563
églefins,82,,non,739563
églefins salés,51,,non,739563
egoutals,1,,non,739563
egoutals de bois,1,,non,739563
égouttoirs,51,,non,739563
égouttoirs à fondre,1,,non,739563
égouttoirs de bois,2,,non,739563
egrat,1,,non,739563
egueluy,1,,non,739563
elatchas,0,,oui,739563
elatches,18,,non,739563
elbots,83,,non,739563
elbots salés,53,,non,739563
elegias,2,,non,739563
élixir,63,,non,739563
élixir de garus,4,,non,739563
élixir purgatif,1,,non,739563
ellébore,8,,non,739563
ellébore blanc,1,,non,739563
élocs de fer,2,,non,739563
émai en grabeaul,1,,oui,739563
émail,64,,non,739563
émail brut,2,,non,739563
émail en grabeau,1,,non,739563
emballage,1,,non,739563
embarcations à dépecer,5,,non,739563
embarcations avec agrès,20,,non,739563
embarcations en état de servir,2,,non,739563
embarcations et autres objets de marine,44,,non,739563
embarcations et navire marchand,0,,oui,739563
embarcations et voiles de navire,3,,non,739563
émeraudes brutes,1,,non,739563
émeraudes et opales taillées,1,,non,739563
émeraudes taillés,2,,non,739563
émeri,161,,non,739563
émeri en pierre,2,,non,739563
émeri en pierres,9,,non,739563
émeri en poudre,14,,non,739563
Émeril en pierre,0,,oui,739563
Émeril en poudre,0,,oui,739563
empeignes,5,,non,739563
empeignes brodées,1,,non,739563
empeignes brodées pour souliers,8,,non,739563
empeignes coupées pour empeignes,3,,non,739563
empeignes de souliers,11,,non,739563
empeignes de souliers brodés,1,,non,739563
empeignes de souliers imprimées,5,,non,739563
empeignes de toile,12,,non,739563
empeignes et talons de cuir coupés,2,,non,739563
empeignes peintes pour souliers,67,,non,739563
en bâtiments de mer,1,,non,739563
en pain,1,,non,739563
enamitte,1,,non,739563
encens,626,,non,739563
encens commun,4,,non,739563
encens des Indes,1,,non,739563
encens en encens,1,,oui,739563
encens en grabeau,121,,non,739563
encens en poudre,1,,non,739563
encens en poussière,4,,non,739563
enclumes,5,,non,739563
enclumes de fer,118,,non,739563
enclumes de fer et étaux de fer,1,,non,739563
encoignement,1,,non,739563
encoignures,5,,non,739563
encoignures de bois vernissé,1,,non,739563
encre,37,,non,739563
encre à dessiner en tablettes,3,,non,739563
encre à écrire,53,,non,739563
encre à écrire et à imprimer,13,,non,739563
encre à imprimer,3,,non,739563
encre commune,22,,non,739563
encre d'imprimerie,90,,non,739563
encre de la Chine,58,,non,739563
encre de la petite vertu,1,,non,739563
encre de Nankin,2,,non,739563
encre de nankin,2,,oui,739563
encre glassine,1,,non,739563
encre liquide à écrire ou à imprimer,4,,non,739563
encre odorante,1,,non,739563
encre rouge,4,,non,739563
encres odorantes,0,,oui,739563
encrin,0,,non,739563
endives,2,,non,739563
engins,16,,non,739563
engrais,49,,non,739563
engrais colombine,15,,non,739563
engrais divers,1,,non,739563
engrais en court fumier,1,,non,739563
engrais en fournelle,1,,non,739563
engrais en fumier de rue,1,,non,739563
engrais en pourette,1,,non,739563
engrais gru,1,,non,739563
entenolles,1,,non,739563
épagnolette simple,0,,non,739563
épaulettes,1,,non,739563
épaulettes d'argent,1,,non,739563
épeautre,118,,non,739563
épeautre en gerbes,23,,non,739563
épée,31,,non,739563
épée à garde d'argent,4,,non,739563
épée à garde de cuivre doré,1,,non,739563
épée argentée,1,,non,739563
épée d'acier,2,,non,739563
épée d'argent,33,,non,739563
épée d'argent doré,1,,non,739563
épée d'argent et de cuivre,2,,non,739563
épée d'argent et de cuivre doré,1,,non,739563
épée de cuivre,5,,non,739563
épée de cuivre doré,5,,non,739563
épée masquinée,14,,non,739563
épée montée en acier,98,,non,739563
épée montée en argent,48,,non,739563
éperons,6,,non,739563
éperons et étriers,84,,non,739563
éperviers,1,,non,739563
épice,1,,non,739563
épice de Curons,3,,non,739563
épicerie,1085,,non,739563
épicerie commune,13,,non,739563
épicerie douce,9,,non,739563
épicerie feuilles et noix muscades,0,,oui,739563
épicerie fine,61,,non,739563
épicerie poivre en grabeau,0,,oui,739563
épices,1,,non,739563
épices préparées,2,,non,739563
épices préparées autres que moutarde et poudre de kari,1,,non,739563
épices préparées autres que moutarde et sauces épicées,2,,non,739563
epinelle,1,,non,739563
épines à planter,1,,non,739563
épinettes,9,,non,739563
épingles,428,,non,739563
épingles communes,3,,non,739563
épingles de laiton,4,,non,739563
épingles de mercerie fine,17,,non,739563
épingles en cuivre,2,,non,739563
épingoles,3,,non,739563
epipequaquana,0,,oui,739563
epiterie,7,,non,739563
éponges,692,,non,739563
éponges brutes,1,,non,739563
éponges communes,65,,non,739563
éponges communes et fines,6,,non,739563
éponges et tournesol,1,,non,739563
éponges fines,67,,non,739563
éponges grosses,1,,non,739563
épousterie,45,,non,739563
éprouvette de cuivre,1,,non,739563
epuigtion,1,,non,739563
équerre,2,,non,739563
equeurs,0,,non,739563
équille,2,,non,739563
équille pour voile pour la Compagnie de Guinée,2,,non,739563
equine,2,,non,739563
ergots de bœuf,14,,non,739563
ergots de caret,1,,non,739563
érnail,1,,non,739563
escabelles,2,,non,739563
escabilles,0,,oui,739563
escamitte,102,,non,739563
escamotte,4,,non,739563
escaralles,1,,non,739563
escarasse,29,,non,739563
escarbille,9,,non,739563
escargots,3,,non,739563
escargots et crekels,13,,non,739563
escarpins,1,,non,739563
escarpins de chambre,1,,non,739563
escayolles,315,,non,739563
esclapes,1,,non,739563
esclapes de bois,2,,non,739563
esco,1,,oui,739563
escope,21,,non,739563
escortines,5,,non,739563
escortines à huile,1,,non,739563
escortines d'espars,5,,non,739563
escortines de jonc,1,,non,739563
escosses,1,,non,739563
escot,7,,non,739563
escot de bois,1,,non,739563
escot de fer,6,,non,739563
escot de laine,3,,non,739563
escotins de bois,1,,non,739563
escots,0,,oui,739563
escots de bois,0,,oui,739563
escots de fer,0,,oui,739563
escoubes,1,,non,739563
espadrilles,4,,non,739563
espagnolette,264,,non,739563
espagnolette à fleurs,1,,non,739563
espagnolette croisée,119,,non,739563
espagnolette croisée et simple,3,,non,739563
espagnolette de laine,18,,non,739563
espagnolette de laine croisée,4,,non,739563
espagnolette de laine lisse,2,,non,739563
espagnolette de laine simple,1,,non,739563
espagnolette des prises,2,,non,739563
espagnolette simple,83,,non,739563
espars,465,,non,739563
espars de 10 à 15 pieds,2,,non,739563
espars de 10 pieds,1,,non,739563
espars de 11 à 20 pieds,2,,non,739563
espars de 12 à 15 pieds,1,,non,739563
espars de 14 à 16 pieds,1,,non,739563
espars de 14 pieds,1,,non,739563
espars de 15 à 16 pieds,1,,non,739563
espars de 15 à 20 pieds,3,,non,739563
espars de 15 à 25 centimètres,3,,non,739563
espars de 15 centimètres inclusivement à 25 exclusivement,5,,non,739563
espars de 16 à 36 pieds,1,,non,739563
espars de 17 pieds,1,,non,739563
espars de 18 à 20 pieds,4,,non,739563
espars de 18 à 36 pieds,1,,non,739563
espars de 18 pieds,7,,non,739563
espars de 20 à 22 pieds,2,,non,739563
espars de 20 à 25 pieds,4,,non,739563
espars de 20 à 25 pieds de long,3,,non,739563
espars de 20 à 26 pieds,1,,non,739563
espars de 20 à 30 pieds,1,,non,739563
espars de 20 pieds,3,,non,739563
espars de 24 à 36 pieds,1,,non,739563
espars de 24 pieds,2,,non,739563
espars de 25 à 26 pieds,1,,non,739563
espars de 25 à 30 pieds,5,,non,739563
espars de 26 à 28 pieds,1,,non,739563
espars de 26 pieds,2,,non,739563
espars de 27 pieds,1,,non,739563
espars de 28 à 30 pieds,1,,non,739563
espars de 28 à 36 pieds,1,,non,739563
espars de 28 pieds,1,,non,739563
espars de 3 à 4 pieds,1,,non,739563
espars de 30 à 35 pieds,1,,non,739563
espars de 30 à 40 pieds,2,,non,739563
espars de 30 pieds,8,,non,739563
espars de 35 à 46,1,,non,739563
espars de 35 pieds,2,,non,739563
espars de 36 à 40 pieds,1,,non,739563
espars de 4 à 5 pieds,1,,non,739563
espars de 40 à 45 pieds,1,,non,739563
espars de 40 à 50 pieds,3,,non,739563
espars de 40 pieds,1,,non,739563
espars de 45 pieds,2,,non,739563
espars de 5 à 6 pieds,1,,non,739563
espars de 55 pieds,1,,non,739563
espars de 56 à 61 pieds,1,,non,739563
espars de 8 à 9 pieds,1,,non,739563
espars de différente longueur,5,,non,739563
espars de nitriol,1,,oui,739563
espars de sapin,31,,non,739563
espars de sapin de 15 pieds,1,,non,739563
espars de sapin de 18 pieds,1,,non,739563
espars de sapin de 20 pieds,1,,non,739563
espars de sapin de 24 pieds,1,,non,739563
espars de sapin de 25 pieds,1,,non,739563
espars de sapin de 30 pieds,1,,non,739563
espars de sapin de 37 pieds,0,,non,739563
espars de sapin de 45 pieds,1,,non,739563
espars divers,1,,non,739563
espars doubles,9,,non,739563
espars marmoyées en argent,1,,non,739563
espars petit,2,,non,739563
espars petits,1,,non,739563
espars pour construction,2,,non,739563
espars simple,3,,non,739563
espars simples,3,,non,739563
espèce monnayée ???,1,,non,739563
espèces,42,,non,739563
espèces d'argent,1,,non,739563
espingole,2,,non,739563
esponton,5,,non,739563
esprit,0,,non,739563
esprit d'absinthe,1,,non,739563
esprit de bergamote,150,,non,739563
esprit de cédrat,2,,non,739563
esprit de citron,128,,non,739563
esprit de coclearia,9,,non,739563
esprit de corne de cerf,3,,non,739563
esprit de coton,1,,non,739563
esprit de feuilles d'orange,1,,non,739563
esprit de fil,1,,non,739563
esprit de fleurs d'orange,0,,oui,739563
esprit de fleurs d'oranger,9,,non,739563
esprit de lavande,1,,non,739563
esprit de limon,4,,non,739563
esprit de miroly,1,,non,739563
esprit de myrrhe,1,,non,739563
esprit de myrthe,1,,non,739563
esprit de nitre,12,,non,739563
esprit de romarin,4,,non,739563
esprit de sel,13,,non,739563
esprit de sel ammoniac,2,,non,739563
esprit de sel marin,1,,non,739563
esprit de soufre,10,,non,739563
esprit de taffia,2,,non,739563
esprit de tamarin,1,,non,739563
esprit de vitriol,56,,non,739563
esprit-de-vin,157,,non,739563
esprots,3,,non,739563
esprots fumés,7,,non,739563
espuirie,0,,non,739563
esquine,29,,non,739563
essandoles,1,,non,739563
essence,318,,non,739563
essence aromatique,6,,non,739563
essence au bruit aromatique,1,,non,739563
essence d'anis,1,,non,739563
essence de bergamote,5,,non,739563
essence de cannelle,6,,non,739563
essence de cendre de bois,38,,non,739563
essence de citron,47,,non,739563
essence de fleurs d'orange,1,,non,739563
essence de girofle,6,,non,739563
essence de jasmin,10,,non,739563
essence de lavande,2,,non,739563
essence de limon,5,,non,739563
essence de muscade,1,,non,739563
essence de paruce,1,,non,739563
essence de pommade,1,,non,739563
essence de romarin,1,,non,739563
essence de rose,8,,non,739563
essence de soie,1,,non,739563
essence de térébenthine,36,,non,739563
essence de térébenthine et huile de térébenthine,85,,non,739563
essence de thym,1,,non,739563
essence de vitriol,15,,non,739563
essence et huile de térébenthine,184,,non,739563
essence et huile de thérébenthine,0,,oui,739563
essence et pommade,3,,non,739563
essence odorante,2,,non,739563
essence odoriférante,1,,non,739563
essence ou esprit de citron,1,,non,739563
essence vitriolique et vitriol huile,9,,non,739563
essence vitrioliques et huile de vitriol,0,,oui,739563
essieux,93,,non,739563
essieux à cabrouets,2,,non,739563
essieux de fer,71,,non,739563
estagnons,4,,non,739563
estagnons de cuivre allié,1,,non,739563
estampes,331,,non,739563
estampes en feuilles,1,,non,739563
estampes encadrées,2,,non,739563
estampes et cartes géographiques,14,,non,739563
estampes et gravures,43,,non,739563
estampes et images,1,,non,739563
estampes et librairie,13,,non,739563
estampes et tableaux,336,,non,739563
estampes sur papier,1,,non,739563
estampes sur toile,1,,non,739563
estères,2,,non,739563
estères de jonc,4,,non,739563
estrasse de cocons,1,,non,739563
estrasse de Savoie,1,,non,739563
estrasse de soie,66,,oui,739563
esturgeon,114,,non,739563
esturgeon en adaube,3,,non,739563
esturgeon mariné,4,,non,739563
esturgeon salé,43,,non,739563
esturgeons,0,,oui,739563
étain,473,,non,739563
étain battu,16,,non,739563
étain battu ou limé,4,,non,739563
étain brut,47,,non,739563
étain brut d'Inde,1,,non,739563
étain brut d'Inde des entrepôts,0,,non,739563
étain brut en masses ouvrages brisés et saumons,1,,non,739563
étain creux,1,,non,739563
étain d'Angleterre,2,,non,739563
étain de glaces,36,,non,739563
étain de j ???,1,,non,739563
étain de malgue,1,,non,739563
étain de Melac,11,,non,739563
étain de retour,0,,oui,739563
étain de retour faute de vente,1,,non,739563
étain des Indes,36,,non,739563
étain du Pérou,2,,non,739563
étain en bloc,579,,non,739563
étain en bloc des Indes,1,,non,739563
étain en enclumes de fer,1,,non,739563
étain en faux,3,,non,739563
étain en feuilles,12,,non,739563
étain en lingots,2,,non,739563
étain en plats,1,,oui,739563
étain en plomb,1,,non,739563
étain en saumon,26,,non,739563
étain et plomb,18,,non,739563
étain fin,1,,non,739563
étain fin en bloc,1,,non,739563
étain neuf,7,,non,739563
étain non ouvré,14,,non,739563
étain pour glaces,1,,non,739563
étain pour soudure,2,,non,739563
étain rouge,1,,non,739563
étain seringues,2,,non,739563
étain verni,1,,non,739563
étain vieux,90,,non,739563
étais en bois,2,,non,739563
etalchasse,3,,non,739563
étame,0,,oui,739563
étame des prises,0,,oui,739563
etamette,0,,oui,739563
étamette,29,,non,739563
étamette dauphine casinettes,8,,non,739563
étamette dauphine casinettes aune,0,,oui,739563
étamine,312,,non,739563
étamine à bluteau,4,,non,739563
étamine à passer fromage,9,,non,739563
étamine à pavillon,13,,non,739563
étamine à peu de soie,4,,non,739563
étamine au quart de soie,2,,non,739563
étamine au sixième de soie,1,,non,739563
étamine aune,1,,oui,739563
étamine avec soie,2,,non,739563
étamine avec vingt brins de soie,1,,non,739563
étamine blanche,1,,non,739563
étamine burail,85,,non,739563
étamine buratée de laine,1,,non,739563
étamine burette,2,,non,739563
étamine commune,2,,non,739563
étamine d'Agen,3,,non,739563
étamine d'Allemagne,6,,non,739563
étamine d'Amiens,14,,non,739563
étamine d'argent,2,,non,739563
étamine d'Auvergne,17,,non,739563
étamine de Acims,0,,non,739563
étamine de belzamine,4,,non,739563
étamine de laine,647,Lainage,non,9878
étamine de laine d'Angleterre,2,,non,739563
étamine de laine et de soie,6,,non,739563
étamine de laine fine,1,,non,739563
étamine de Laval,3,,non,739563
étamine de Nogent,6,,non,739563
étamine de Noyau,2,,non,739563
étamine de Reims,226,,non,739563
étamine de Rouen,1,,non,739563
étamine de Sainte,1,,non,739563
étamine de soie,7,,non,739563
étamine des prises,3,,non,739563
étamine du Mans,92,,non,739563
étamine du pays,1,,non,739563
étamine et serge,6,,non,739563
étamine fine,4,,non,739563
étamine Maine,1,,non,739563
étamine mi soie,2,,non,739563
étamine noire,2,,non,739563
étamine oneraile,1,,non,739563
étamine ouvrée,1,,non,739563
étamine piquée de soie,1,,non,739563
étamine rayée,3,,non,739563
étamine virée,1,,non,739563
étampes,0,,non,739563
étampes de chanvre,1,,non,739563
etatchasse,6,,non,739563
étaux,2,,non,739563
étaux de fer,28,,non,739563
étaux en bâtit pour serruriers,1,,non,739563
étaux ouvragés,1,,non,739563
etaya,1,,non,739563
étendards,2,,non,739563
etendelle,3,,non,739563
éternelle de coton,1,,non,739563
etocs,4,,non,739563
etocs de fer,13,,non,739563
étocs de fer,12,,non,739563
étoffe,406,,non,739563
étoffe à carreaux,1,,non,739563
étoffe à carreaux et de toile de coutil,1,,non,739563
étoffe à galon d'or,1,,non,739563
étoffe à la valeur,2,,non,739563
étoffe à peu,20,,oui,739563
étoffe à peu de soie,343,Soie,non,9986
étoffe au ??? de soie,3,,non,739563
étoffe au 4/5e de soie,4,,non,739563
étoffe au filoselle,2,,non,739563
étoffe au peu de soie,4,,non,739563
étoffe au poil sorge de Rome,1,,non,739563
étoffe au quart,20,,oui,739563
étoffe au quart de soie,362,,non,739563
étoffe au sixième,1,,non,739563
étoffe au sixième de soie,22,,non,739563
étoffe au sixième de soie en siamoise,2,,non,739563
étoffe au sixième de soie siamoise,1,,non,739563
étoffe au tiers de soie,1,,non,739563
étoffe au-dessus du sixième de soie,2,,non,739563
étoffe avec argent et or,2,,non,739563
étoffe avec un brin de soie,3,,non,739563
étoffe avec vin brin de soie,1,,oui,739563
étoffe brochée d'argent et d'or faux de soie,1,,non,739563
étoffe brochée d'argent et d'or faux de soie pure,2,,oui,739563
étoffe brochée d'argent et d'or fin de soie,2,,non,739563
étoffe brochée d'argent et d'or fin de soie pure,2,,oui,739563
étoffe brochée d'or ou d'argent faux de soie pure,2,,non,739563
étoffe brochée d'or ou d'argent fin de soie pure,2,,non,739563
étoffe brochée de coton et de fil siamois,1,,non,739563
étoffe brochée de pure soie et unies,39,,non,739563
étoffe brochée de soie,2,,non,739563
étoffe brochée de soie de soie pure,2,,oui,739563
étoffe brochée de soie et unies,70,,non,739563
étoffe brochée de soie pure,2,,non,739563
étoffe brochée et brodée,2,,non,739563
étoffe brochées d'argent et d'or faux de soie,1,,oui,739563
étoffe brochées d'argent et d'or fin de soie,2,,oui,739563
étoffe brochées de pure soie et unies,39,,oui,739563
étoffe brochées de soie de soie,2,,oui,739563
étoffe brochées de soie et unies,70,,oui,739563
étoffe cotonne,1,,non,739563
étoffe crêpe,1,,non,739563
étoffe croisée,1,,non,739563
étoffe d'Amiens façonnée,1,,non,739563
étoffe d'argent,10,,oui,739563
étoffe d'argent d'or et de soie,58,,oui,739563
étoffe d'argent et d'or,192,,oui,739563
étoffe d'argent et d'or faux,3,,oui,739563
étoffe d'argent et d'or fin,4,,oui,739563
étoffe d'argent et de soie,9,,oui,739563
étoffe d'argent et soie,1,,oui,739563
étoffe d'argent fil et soie,1,,oui,739563
étoffe d'écorce,2,,non,739563
étoffe d'herbes,5,,non,739563
étoffe d'or,28,,oui,739563
étoffe d'or et de soie,9,Soie,oui,9986
étoffe d'or faux et de soie,1,,oui,739563
étoffe de bourre de soie,7,,non,739563
étoffe de bourre de soie façon cachemire,1,,non,739563
étoffe de cachemire de poil,1,,oui,739563
étoffe de capiton,4,,non,739563
étoffe de chanvre,4,,non,739563
étoffe de chanvre et de fil de lin en toile,12,,non,739563
étoffe de chanvre et de lin en toile diverse,26,,non,739563
étoffe de chanvre ou de lin,2,,non,739563
étoffe de chanvre ou de lin mêlés,1,,non,739563
étoffe de coton,394,Coton de toute espèce,non,10317
étoffe de coton ???,2,,non,739563
étoffe de coton au quart de soie,3,,non,739563
étoffe de coton au sixième de soie,1,,non,739563
étoffe de coton avec un brin de soie,1,,non,739563
étoffe de coton basin piqués mousselinettes,2,,non,739563
étoffe de coton brillant blanc,1,,non,739563
étoffe de coton brochée et brodée et imprimée,2,,non,739563
étoffe de coton brochées et brodées et imprimées,2,,oui,739563
étoffe de coton brodé,1,,non,739563
étoffe de coton de fil,6,,non,739563
étoffe de coton de fil et de laine,20,,non,739563
étoffe de coton de fil et de soie,9,,non,739563
étoffe de coton de fleuret et de soie,1,,non,739563
étoffe de coton de laine,3,,non,739563
étoffe de coton de laine et de soie,3,,non,739563
étoffe de coton de quart de soie,1,,non,739563
étoffe de coton de velours,7,,non,739563
étoffe de coton des Indes,1,,non,739563
étoffe de coton en drap,14,Coton de toute espèce,non,10317
étoffe de coton en soie,8,,non,739563
étoffe de coton et bonneterie,1,Coton de toute espèce,non,10317
étoffe de coton et chapeaux,1,Coton de toute espèce,non,10317
étoffe de coton et de fil,232,Coton de toute espèce,non,10317
étoffe de coton et de fil de soie,2,,non,739563
étoffe de coton et de fil et de laine,0,,oui,739563
étoffe de coton et de fil et de laine et de poil chameau,15,,non,739563
étoffe de coton et de fil et de laine et de poil de chèvre,16,,non,739563
étoffe de coton et de fil et de soie,0,,oui,739563
étoffe de coton et de fil mélangés,10,Coton de toute espèce,non,10317
étoffe de coton et de fleuret,3,,non,739563
étoffe de coton et de laine,23,Coton de toute espèce,non,10317
étoffe de coton et de laine diverse,1,Coton de toute espèce,non,10317
étoffe de coton et de laine et de filoselle,7,,non,739563
étoffe de coton et de laine et de soie mélangés,26,,non,739563
étoffe de coton et de laine retour,1,,non,739563
étoffe de coton et de soie,316,Prohibé,non,335
étoffe de coton et de soie des Indes,1,Prohibé,non,335
étoffe de coton et de soie éternelle,1,,non,739563
étoffe de coton et de toile,1,Coton de toute espèce,non,10317
étoffe de coton et drap de coton et velours de coton,15,,non,739563
étoffe de coton et drap de coton et velours de coton et couverture de coton,0,,oui,739563
étoffe de coton et drap de coton et velours de coton et couvertures de coton,13,,non,739563
étoffe de coton et mercerie,1,Coton de toute espèce,non,10317
étoffe de coton et pellerie,1,Coton de toute espèce,non,10317
étoffe de coton et soie,2,,non,739563
étoffe de coton et velours commun,1,,non,739563
étoffe de coton éternelle,0,Coton de toute espèce,oui,10317
étoffe de coton imprimé,2,,non,739563
étoffe de coton mélangée,1,,oui,739563
étoffe de coton mêlée,1,,non,739563
étoffe de coton mêlée de soie,1,,non,739563
étoffe de coton mi soie,2,,non,739563
étoffe de coton peint,1,,non,739563
étoffe de coton piqué,1,,non,739563
étoffe de coton simple,2,,non,739563
étoffe de coton simples,2,,oui,739563
étoffe de coton tapisserie,0,Coton de toute espèce,oui,10317
étoffe de crin,33,,non,739563
étoffe de crin et de poils,2,,non,739563
étoffe de d'argent et d'or et de soie,23,,oui,739563
étoffe de dorure de laine et de soie,2,,non,739563
étoffe de fil,8,,non,739563
étoffe de fil au quart de soie,1,,non,739563
étoffe de fil de laine,6,,non,739563
étoffe de fil et bourre de chèvre,1,,non,739563
étoffe de fil et de laine,182,,non,739563
étoffe de fil et de poil,1,,non,739563
étoffe de fil et de poil de chèvre,6,,non,739563
étoffe de fil et de soie,238,,non,739563
étoffe de fil et moquette,1,,non,739563
étoffe de fil et poil de chèvre,43,,non,739563
étoffe de fil et poil de chèvre aune,1,,oui,739563
étoffe de fil et soie,1,,non,739563
étoffe de filoselle,48,,non,739563
étoffe de filoselle et de laine,3,,non,739563
étoffe de filoselle et de soie,37,,non,739563
étoffe de filoselle et laine,1,,oui,739563
étoffe de filoselle et soie,0,,oui,739563
étoffe de Flandre et de poil,2,,non,739563
étoffe de fleuret,73,,non,739563
étoffe de fleuret au brin de soie,1,,non,739563
étoffe de fleuret et de laine,5,,non,739563
étoffe de fleuret et de soie,10,,non,739563
étoffe de fleuret et laine,3,,non,739563
étoffe de fleuret pure,2,,non,739563
étoffe de galette et de soie,2,,non,739563
étoffe de laine,555,Lainage,non,9878
étoffe de laine ???,5,Lainage,non,9878
étoffe de laine à faire moufles,9,,non,739563
étoffe de laine à fil,1,,non,739563
étoffe de laine à la valeur,1,,non,739563
étoffe de laine angora,1,,non,739563
étoffe de laine au quart de soie,1,,non,739563
étoffe de laine avec dorure,1,,non,739563
étoffe de laine avec soie,1,,non,739563
étoffe de laine bêche,1,Lainage,non,9878
étoffe de laine beige 309 lignes,1,,non,739563
étoffe de laine blanche,3,,non,739563
étoffe de laine brodée de dorure et de soie,1,,non,739563
étoffe de laine cannelée,1,,non,739563
étoffe de laine casimir,0,,oui,739563
étoffe de laine chaleur,1,Lainage,non,9878
étoffe de laine couterie,1,Lainage,non,9878
étoffe de laine crêpe,2,,non,739563
étoffe de laine de Rome,1,,non,739563
étoffe de laine en cachemire,2,,non,739563
étoffe de laine en croisé,1,,non,739563
étoffe de laine en quart de soie,1,,non,739563
étoffe de laine en raz de castor,5,,oui,739563
étoffe de laine en raze de castor,5,,non,739563
étoffe de laine en sarain,1,,non,739563
étoffe de laine et de fil,1,,non,739563
étoffe de laine et de poil,33,Lainage,non,9878
étoffe de laine et de soie,169,,non,739563
étoffe de laine et de soie aune,1,,oui,739563
étoffe de laine et de soie brodée,1,,non,739563
étoffe de laine et de soie diverse,1,,non,739563
étoffe de laine et de velours d'Utrecht,1,,non,739563
étoffe de laine et poil,11,,non,739563
étoffe de laine fabrique de Tournai,3,,non,739563
étoffe de laine fabriquée à Arras,1,,non,739563
étoffe de laine fleuret au quart,1,,non,739563
étoffe de laine fleuret et de soie,2,,non,739563
étoffe de laine florentine,1,Lainage,non,9878
étoffe de laine grains d'orge,1,,non,739563
étoffe de laine grosse,1,,non,739563
étoffe de laine imprimée,4,,non,739563
étoffe de laine large et serge,2,,non,739563
étoffe de laine Maroc,0,,oui,739563
étoffe de laine mélangée,1,,oui,739563
étoffe de laine mêlée,1,,non,739563
étoffe de laine mêlée de soie,3,,non,739563
étoffe de laine mêlée ou pure,151,,non,739563
étoffe de laine Minorque,3,,non,739563
étoffe de laine poil et laine,4,,non,739563
étoffe de laine poil et laine velours,1,,non,739563
étoffe de laine poil poil et laine,1,,non,739563
étoffe de laine pour nègre,1,,non,739563
étoffe de laine pure,143,,non,739563
étoffe de laine pure aune,1,,oui,739563
étoffe de laine reste,1,,non,739563
étoffe de laine retour,1,,non,739563
étoffe de laine riche,1,,non,739563
étoffe de laine royale,1,,non,739563
étoffe de laine satinée,1,,non,739563
étoffe de laine serge à doublure,2,,non,739563
étoffe de laine teinte,9,,non,739563
étoffe de laine turque,2,,non,739563
étoffe de laine velverde,1,Lainage,non,9878
étoffe de laine verlastine,1,Lainage,non,9878
étoffe de laine voile noir,1,,non,739563
étoffe de lin et de chanvre mêlés,1,,non,739563
étoffe de panne,0,,oui,739563
