goods_simpl_classification,nbr_occurences_simpl,porcelaine_classification,nbr_occurences_porcelaine,obsolete
barils ancres,1,Sans lien avec la porcelaine,543223,non
barils de chêne,1,Sans lien avec la porcelaine,543223,non
barils de fer-blanc,1,Sans lien avec la porcelaine,543223,non
barils de fer-blanc simples,1,Sans lien avec la porcelaine,543223,non
barils de sapin,1,Sans lien avec la porcelaine,543223,non
barils de tonnelier,2,Sans lien avec la porcelaine,543223,non
barils de vin de ???,4,Sans lien avec la porcelaine,543223,non
barils doubles de fer-blanc,1,Sans lien avec la porcelaine,543223,non
barils neufs,1,Sans lien avec la porcelaine,543223,non
barils petits,2,Sans lien avec la porcelaine,543223,non
barils pour saler sardines,1,Sans lien avec la porcelaine,543223,non
barils vides,114,Sans lien avec la porcelaine,543223,non
barils vides de sardines,2,Sans lien avec la porcelaine,543223,non
barils vieux,1,Sans lien avec la porcelaine,543223,non
barois,8,Sans lien avec la porcelaine,543223,non
baromètre,6,Sans lien avec la porcelaine,543223,non
barques,2,Sans lien avec la porcelaine,543223,non
barques démontées,1,Sans lien avec la porcelaine,543223,non
barques en bottes,1,Sans lien avec la porcelaine,543223,non
barquettes,1,Sans lien avec la porcelaine,543223,non
barquettes et nacelles,1,Sans lien avec la porcelaine,543223,non
barquettes vieilles,1,Sans lien avec la porcelaine,543223,non
barreau de laine,2,Sans lien avec la porcelaine,543223,non
barreaux,3,Sans lien avec la porcelaine,543223,non
barreaux de bois,8,Sans lien avec la porcelaine,543223,non
barreaux de bois et planches de bois,6,Sans lien avec la porcelaine,543223,non
barreaux de sapin,2,Sans lien avec la porcelaine,543223,non
barreaux de sapin de 10 pieds,1,Sans lien avec la porcelaine,543223,non
barreaux neufs,2,Sans lien avec la porcelaine,543223,non
barres,4,Sans lien avec la porcelaine,543223,non
barres à nègre,1,Sans lien avec la porcelaine,543223,non
barres carrées de fer étiré,6,Sans lien avec la porcelaine,543223,non
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement,1,Sans lien avec la porcelaine,543223,non
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement sur chaque face,1,Sans lien avec la porcelaine,543223,non
barres carrées de fer étiré de 22 millimètres et plus sur chaque face,2,Sans lien avec la porcelaine,543223,non
barres carrées de fer étiré de moins de 15 millimètres,1,Sans lien avec la porcelaine,543223,non
barres carrées de fer étiré de moins de 15 millimètres sur chaque face,1,Sans lien avec la porcelaine,543223,non
barres d'anspect en bois,1,Sans lien avec la porcelaine,543223,non
barres d'anspects,96,Sans lien avec la porcelaine,543223,non
barres d'anspects et barres de cabestan,1,Sans lien avec la porcelaine,543223,non
barres d'étain,3,Sans lien avec la porcelaine,543223,non
barres d'étain ou blocs d'étain,2,Sans lien avec la porcelaine,543223,non
barres de barrique,1,Sans lien avec la porcelaine,543223,non
barres de bois,37,Sans lien avec la porcelaine,543223,non
barres de cabestan,65,Sans lien avec la porcelaine,543223,non
barres de cabestan en bois,2,,6813,non
barres de chêne,1,Sans lien avec la porcelaine,543223,non
barres de chêne petites,1,Sans lien avec la porcelaine,543223,non
barres de cuivre,1,Sans lien avec la porcelaine,543223,non
barres de fer,2691,Sans lien avec la porcelaine,543223,non
barres de fer à frire,1,Sans lien avec la porcelaine,543223,non
barres de fer blanc,2,Sans lien avec la porcelaine,543223,non
barres de fer d'Espagne,3,Sans lien avec la porcelaine,543223,non
barres de fer de Suède,2,Sans lien avec la porcelaine,543223,non
barres de fer étiré,2,Sans lien avec la porcelaine,543223,non
barres de futel,1,Sans lien avec la porcelaine,543223,non
barres de guindeau,45,Sans lien avec la porcelaine,543223,non
barres de sapin,2,Sans lien avec la porcelaine,543223,non
barres de sapin de 3 à 4 pieds,1,Sans lien avec la porcelaine,543223,non
barres de sapin pour fonçaille,1,Sans lien avec la porcelaine,543223,non
barres et verges de fer,15,Sans lien avec la porcelaine,543223,non
barres fines de fer,1,Sans lien avec la porcelaine,543223,non
barres maître-fond,1,Sans lien avec la porcelaine,543223,non
barres plates de fer étiré,6,Sans lien avec la porcelaine,543223,non
barres plates de fer étiré de 113 à 366 millimètres ou 42 à 72 lignes inclusivement,1,Sans lien avec la porcelaine,543223,non
barres plates de fer étiré de 213 à 366 millimètres de largueur multipliée par l'épaisseur,1,Sans lien avec la porcelaine,543223,non
barres plates de fer étiré de moins de 113 millimètres ou 42 lignes,1,Sans lien avec la porcelaine,543223,non
barres plates de fer étiré de moins de 213 millimètres de largueur multipliée par l'épaisseur,1,Sans lien avec la porcelaine,543223,non
barres plates de fer étiré de plus de 366 millimètres de largeur multipliée par l'épaisseur,1,Sans lien avec la porcelaine,543223,non
barres plates de fer étiré de plus de 366 millimètres ou 72 lignes,1,Sans lien avec la porcelaine,543223,non
barres pour édifices,1,Sans lien avec la porcelaine,543223,non
barres pour édifiées,1,Sans lien avec la porcelaine,543223,non
barres rondes de fer étiré,6,Sans lien avec la porcelaine,543223,non
barres rondes de fer étiré de 15 millimètres et plus de diamètres,1,Sans lien avec la porcelaine,543223,non
barres rondes de fer étiré de 15 millimètres ou 7 lignes et plus de diamètres,1,Sans lien avec la porcelaine,543223,non
barres rondes de fer étiré de moins de 15 millimètres de diamètres,1,Sans lien avec la porcelaine,543223,non
barres rondes de fer étiré de moins de 15 millimètres ou 7 lignes diamètres,1,Sans lien avec la porcelaine,543223,non
barrettes,1,Sans lien avec la porcelaine,543223,non
barrettes de cuivre,3,Sans lien avec la porcelaine,543223,non
barrettes de fer,1,Sans lien avec la porcelaine,543223,non
barriques,53,Sans lien avec la porcelaine,543223,non
barriques à eau,2,Sans lien avec la porcelaine,543223,non
barriques cerclées de fer,1,Sans lien avec la porcelaine,543223,non
barriques cerclées de fer et vides,1,Sans lien avec la porcelaine,543223,non
barriques en bœuf,1,,6813,non
barriques neuves,5,Sans lien avec la porcelaine,543223,non
barriques vides,93,Sans lien avec la porcelaine,543223,non
barriques vides vieilles,48,Sans lien avec la porcelaine,543223,non
barriques vieilles,21,Sans lien avec la porcelaine,543223,non
bas,11,Sans lien avec la porcelaine,543223,non
bas à crin d'or et de soie,1,Sans lien avec la porcelaine,543223,non
bas communs,2,Sans lien avec la porcelaine,543223,non
bas d'estam,1,Sans lien avec la porcelaine,543223,non
bas d'estame,68,Sans lien avec la porcelaine,543223,non
bas d'estame fins,2,Sans lien avec la porcelaine,543223,non
bas d'étoffe,1,Sans lien avec la porcelaine,543223,non
bas de bourre de soie,6,Sans lien avec la porcelaine,543223,non
bas de Carcassone,1,,6813,non
bas de castor,11,Sans lien avec la porcelaine,543223,non
bas de chamois,19,Sans lien avec la porcelaine,543223,non
bas de coton,566,Sans lien avec la porcelaine,543223,non
bas de coton 1300 lignes,1,Sans lien avec la porcelaine,543223,non
bas de coton de femme,1,,6813,non
bas de coton en paires,1,Sans lien avec la porcelaine,543223,non
bas de coton et bas de fil,324,Sans lien avec la porcelaine,543223,non
bas de coton et bas de fil et bas de soie,1,Sans lien avec la porcelaine,543223,non
bas de coton et bas de fil par paires,1,Sans lien avec la porcelaine,543223,non
bas de coton et bas de soie,1,Sans lien avec la porcelaine,543223,non
bas de coton et bonnets de coton,30,Sans lien avec la porcelaine,543223,non
bas de coton et laine,1,Sans lien avec la porcelaine,543223,non
bas de coton pour enfant,1,Sans lien avec la porcelaine,543223,non
bas de coton pour femme,1,Sans lien avec la porcelaine,543223,non
bas de coton pour homme,1,Sans lien avec la porcelaine,543223,non
bas de fil,707,Sans lien avec la porcelaine,543223,non
bas de fil commun,21,Sans lien avec la porcelaine,543223,non
bas de fil d'or,2,,6813,non
bas de fil divers,1,,6813,non
bas de fil et bas de laine,1,Sans lien avec la porcelaine,543223,non
bas de fil et bonnets,2,Sans lien avec la porcelaine,543223,non
bas de fil et pour femme,2,Sans lien avec la porcelaine,543223,non
bas de fil et pour homme,1,Sans lien avec la porcelaine,543223,non
bas de fil par paires,3,Sans lien avec la porcelaine,543223,non
bas de filoselle,258,Sans lien avec la porcelaine,543223,non
bas de Flandre d'homme,1,,6813,non
bas de Flandre de femme,1,,6813,non
bas de fleuret,83,Sans lien avec la porcelaine,543223,non
bas de laine,807,Sans lien avec la porcelaine,543223,non
bas de laine 40 lignes,1,Sans lien avec la porcelaine,543223,non
bas de laine communs,9,Sans lien avec la porcelaine,543223,non
bas de laine d'homme,1,,6813,non
bas de laine de Ségovie,3,,6813,non
bas de laine écarlate,2,Sans lien avec la porcelaine,543223,non
bas de laine et bas de soie,1,Sans lien avec la porcelaine,543223,non
bas de laine et bonnets de laine,7,Sans lien avec la porcelaine,543223,non
bas de laine et gants de laine et bonnets de laine,2,Sans lien avec la porcelaine,543223,non
bas de laine fin,17,Sans lien avec la porcelaine,543223,non
bas de laine grossière,21,Sans lien avec la porcelaine,543223,non
bas de laine par paires,2,Sans lien avec la porcelaine,543223,non
bas de mulet,1,Sans lien avec la porcelaine,543223,non
bas de peau,14,Sans lien avec la porcelaine,543223,non
bas de poil,8,Sans lien avec la porcelaine,543223,non
bas de poil et bas de soie,3,Sans lien avec la porcelaine,543223,non
bas de Saint-Mexant,7,Sans lien avec la porcelaine,543223,non
bas de Ségovie,2,Sans lien avec la porcelaine,543223,non
bas de soie,1413,Sans lien avec la porcelaine,543223,non
bas de soie à coins d'argent,1,Sans lien avec la porcelaine,543223,non
bas de soie à coins d'or,2,Sans lien avec la porcelaine,543223,non
bas de soie à coins d'or et bas de soie à coins d'argent,2,Sans lien avec la porcelaine,543223,non
bas de soie brodés,1,Sans lien avec la porcelaine,543223,non
bas de soie brodés d'or,1,Sans lien avec la porcelaine,543223,non
bas de soie brodés d'or et bas de soie brodés d'argent,1,Sans lien avec la porcelaine,543223,non
bas de soie de Chine,1,Sans lien avec la porcelaine,543223,non
bas de soie de Chine pour femme,1,Sans lien avec la porcelaine,543223,non
bas de soie de Chine pour homme,1,Sans lien avec la porcelaine,543223,non
bas de soie et gants de soie,1,Sans lien avec la porcelaine,543223,non
bas de soie pour femme,27,Sans lien avec la porcelaine,543223,non
bas de soie pour homme,28,Sans lien avec la porcelaine,543223,non
bas de soie pour teindre,1,,6813,non
bas de soie vieux,3,Sans lien avec la porcelaine,543223,non
bas de toile,1,Sans lien avec la porcelaine,543223,non
bas des îles et des Indes,,Sans lien avec la porcelaine,543223,oui
bas des Îles et des Indes,1,,6813,non
bas des Indes de poil,1,Sans lien avec la porcelaine,543223,non
bas drapés,1,Sans lien avec la porcelaine,543223,non
bas écriers,1,Sans lien avec la porcelaine,543223,non
bas et bonnets de castor,1,Sans lien avec la porcelaine,543223,non
bas et bonnets de fil,4,Sans lien avec la porcelaine,543223,non
bas et gants de poil,1,Sans lien avec la porcelaine,543223,non
bas étrillés,1,Sans lien avec la porcelaine,543223,non
bas gants et bonnets de laine fil et coton,2,Sans lien avec la porcelaine,543223,non
bas grossiers,4,Sans lien avec la porcelaine,543223,non
bas pour femme,1,Sans lien avec la porcelaine,543223,non
bas pour homme,1,Sans lien avec la porcelaine,543223,non
bas-relief de marbre,1,Sans lien avec la porcelaine,543223,non
basanes,46,Sans lien avec la porcelaine,543223,non
basanes apprêtées,1,Sans lien avec la porcelaine,543223,non
basanes de mouton,9,Sans lien avec la porcelaine,543223,non
basanes de mouton tannées,2,Sans lien avec la porcelaine,543223,non
basanes de veau,4,Sans lien avec la porcelaine,543223,non
basanes tannées,292,Sans lien avec la porcelaine,543223,non
basanes tannées de veau,8,Sans lien avec la porcelaine,543223,non
basin,686,Sans lien avec la porcelaine,543223,non
basin argent et or,1,Sans lien avec la porcelaine,543223,non
basin blanc,4,Sans lien avec la porcelaine,543223,non
basin blanc de 10 aunes,1,Sans lien avec la porcelaine,543223,non
basin blanc de 11 aunes,1,Sans lien avec la porcelaine,543223,non
basin blanc de fil,1,Sans lien avec la porcelaine,543223,non
basin brodé,7,Sans lien avec la porcelaine,543223,non
basin brodé de soie,1,Sans lien avec la porcelaine,543223,non
basin brodé de soie et d'or,1,Sans lien avec la porcelaine,543223,non
basin clair mêlé de coton,1,Sans lien avec la porcelaine,543223,non
basin commun,16,Sans lien avec la porcelaine,543223,non
basin coton,1,,6813,non
"basin de Bruges écru en pièce de 11,5 aunes",1,Sans lien avec la porcelaine,543223,non
basin de coton et basin de fil,2,Sans lien avec la porcelaine,543223,non
basin de fil,4,Sans lien avec la porcelaine,543223,non
basin de fil et de coton,2,Sans lien avec la porcelaine,543223,non
basin de Godelour,1,Sans lien avec la porcelaine,543223,non
basin de lin,2,Sans lien avec la porcelaine,543223,non
basin de lin peint,1,Sans lien avec la porcelaine,543223,non
basin de Rouen,1,Sans lien avec la porcelaine,543223,non
basin de soie,1,Sans lien avec la porcelaine,543223,non
basin de Troyes,11,Sans lien avec la porcelaine,543223,non
basin des Indes,47,Sans lien avec la porcelaine,543223,non
basin en aunes,1,Sans lien avec la porcelaine,543223,non
basin et Nankin,99,Sans lien avec la porcelaine,543223,non
basin peint,1,Sans lien avec la porcelaine,543223,non
basin pièces de 11 aunes,1,Sans lien avec la porcelaine,543223,non
basin pièces de 15 aunes,1,Sans lien avec la porcelaine,543223,non
basin pièces de 40 aunes,1,Sans lien avec la porcelaine,543223,non
basin rayé,1,Sans lien avec la porcelaine,543223,non
basin sec fil,1,Sans lien avec la porcelaine,543223,non
basin tout coton,1,Sans lien avec la porcelaine,543223,non
basin uni et Nankin uni,38,Sans lien avec la porcelaine,543223,non
baspormettes,1,Sans lien avec la porcelaine,543223,non
basse,6,Sans lien avec la porcelaine,543223,non
basse de viole,12,Sans lien avec la porcelaine,543223,non
basse et bassons,1,Sans lien avec la porcelaine,543223,non
basse et chapeaux chinois,2,Sans lien avec la porcelaine,543223,non
bassin à barbe,1,Sans lien avec la porcelaine,543223,non
bassin à barbe de cuivre,1,Sans lien avec la porcelaine,543223,non
bassin à cassave,1,,6813,non
bassin d'étain,28,Sans lien avec la porcelaine,543223,non
bassin de barbe,1,Sans lien avec la porcelaine,543223,non
bassin de bois,1,Sans lien avec la porcelaine,543223,non
bassin de cuivre,122,Sans lien avec la porcelaine,543223,non
bassin de cuivre grand,1,Sans lien avec la porcelaine,543223,non
bassin de cuivre jaune,13,Sans lien avec la porcelaine,543223,non
bassin de cuivre jaune et chaudron de cuivre jaune,1,Sans lien avec la porcelaine,543223,non
bassin de cuivre jaune pour l'entrepôt à la destination de la Compagnie des Indes,1,Sans lien avec la porcelaine,543223,non
bassin de cuivre petit,1,Sans lien avec la porcelaine,543223,non
bassin de cuivre pour l'entrepôt pour Guinée,1,Sans lien avec la porcelaine,543223,non
bassin de fer,8,Sans lien avec la porcelaine,543223,non
bassin de marbre,1,Sans lien avec la porcelaine,543223,non
bassines de cuivre,6,Sans lien avec la porcelaine,543223,non
bassons,5,Sans lien avec la porcelaine,543223,non
bassons clarinettes,2,Sans lien avec la porcelaine,543223,non
bast et écorce d'arbre et foularde,4,Sans lien avec la porcelaine,543223,non
batanomes,146,Sans lien avec la porcelaine,543223,non
batanony,3,Sans lien avec la porcelaine,543223,non
bâtardes,1,Sans lien avec la porcelaine,543223,non
batavia,7,Sans lien avec la porcelaine,543223,non
bateaux,9,Sans lien avec la porcelaine,543223,non
bateaux à pêcher,3,Sans lien avec la porcelaine,543223,non
bateaux neufs,40,Sans lien avec la porcelaine,543223,non
bâtiments de mer,21,Sans lien avec la porcelaine,543223,non
bâtiments de mer vieux,1,Sans lien avec la porcelaine,543223,non
bâtiments naufragés,1,Sans lien avec la porcelaine,543223,non
batiste,559,Sans lien avec la porcelaine,543223,non
batiste blanche,1,Sans lien avec la porcelaine,543223,non
batiste brochée,1,Sans lien avec la porcelaine,543223,non
batiste de 12 aunes,1,Sans lien avec la porcelaine,543223,non
batiste de fil,12,Sans lien avec la porcelaine,543223,non
batiste de lin,15,Sans lien avec la porcelaine,543223,non
batiste de lin et linon de lin,14,Sans lien avec la porcelaine,543223,non
batiste écrue,2,Sans lien avec la porcelaine,543223,non
batiste et linon,135,Sans lien avec la porcelaine,543223,non
batiste et linon de chanvre,2,Sans lien avec la porcelaine,543223,non
batiste et linon de chanvre et de lin,7,Sans lien avec la porcelaine,543223,non
batiste fine,8,Sans lien avec la porcelaine,543223,non
batiste grise,1,Sans lien avec la porcelaine,543223,non
batiste Lorient,1,Sans lien avec la porcelaine,543223,non
batonge de bois,1,Sans lien avec la porcelaine,543223,non
bâtons,5,Sans lien avec la porcelaine,543223,non
bâtons à chandelle,2,Sans lien avec la porcelaine,543223,non
bâtons à étendre le linge,1,Sans lien avec la porcelaine,543223,non
bâtons à faire cercles,1,Sans lien avec la porcelaine,543223,non
bâtons à frottoir,1,Sans lien avec la porcelaine,543223,non
bâtons à gaffes,6,Sans lien avec la porcelaine,543223,non
bâtons à lave-place,18,Sans lien avec la porcelaine,543223,non
bâtons à œillets,1,Sans lien avec la porcelaine,543223,non
bâtons à pinceaux,1,Sans lien avec la porcelaine,543223,non
bâtons d'éventails d'ivoire,1,Sans lien avec la porcelaine,543223,non
bâtons de bois,2,Sans lien avec la porcelaine,543223,non
bâtons de bois peints,1,Sans lien avec la porcelaine,543223,non
bâtons de bois vernis,1,Sans lien avec la porcelaine,543223,non
bâtons de brosses à goudronner,1,Sans lien avec la porcelaine,543223,non
bâtons de cap,1,Sans lien avec la porcelaine,543223,non
bâtons de colliers,3,Sans lien avec la porcelaine,543223,non
bâtons de fer,2,Sans lien avec la porcelaine,543223,non
bâtons de gabares,1,Sans lien avec la porcelaine,543223,non
bâtons de gabares de 14 à 16 pieds,1,Sans lien avec la porcelaine,543223,non
bâtons de gaffe,1,Sans lien avec la porcelaine,543223,non
bâtons de pompes,1,Sans lien avec la porcelaine,543223,non
bâtons de saloups,1,Sans lien avec la porcelaine,543223,non
bâtons de sapin,36,Sans lien avec la porcelaine,543223,non
bâtons de sapin de 4 pieds de long,2,Sans lien avec la porcelaine,543223,non
bâtons de sapin peint,1,,6813,non
bâtons peints,2,Sans lien avec la porcelaine,543223,non
bâtons vernis,22,Sans lien avec la porcelaine,543223,non
bâts,2,Sans lien avec la porcelaine,543223,non
bâts à matelas,1,Sans lien avec la porcelaine,543223,non
bâts d'ânes,3,Sans lien avec la porcelaine,543223,non
bâts de bois,1,,6813,non
bâts de chevaux,5,Sans lien avec la porcelaine,543223,non
bâts de mulets,7,Sans lien avec la porcelaine,543223,non
batterie d'airain,5,Sans lien avec la porcelaine,543223,non
batterie de cuisine,5,Sans lien avec la porcelaine,543223,non
batterie de cuisine en cuivre,5,,6813,non
batterie de cuivre,3,Sans lien avec la porcelaine,543223,non
batterie de cuivre à cuisine,,Sans lien avec la porcelaine,543223,oui
batterie de cuivre de fuine,,Sans lien avec la porcelaine,543223,oui
batterie de fer,12,Sans lien avec la porcelaine,543223,non
batterie de fer à cuisine,2,Sans lien avec la porcelaine,543223,non
batterie de fer coulé,2,Sans lien avec la porcelaine,543223,non
batterie de fer-blanc,1,Sans lien avec la porcelaine,543223,non
batterie en plaque,1,Sans lien avec la porcelaine,543223,non
battes à fer,1,Sans lien avec la porcelaine,543223,non
battoirs,1,Sans lien avec la porcelaine,543223,non
battoirs à lessive,1,Sans lien avec la porcelaine,543223,non
baudriers,30,Sans lien avec la porcelaine,543223,non
baudriers de cuir,3,Sans lien avec la porcelaine,543223,non
baule,1,Sans lien avec la porcelaine,543223,non
baumanes,1,Sans lien avec la porcelaine,543223,non
baume,143,Sans lien avec la porcelaine,543223,non
baume de benjoin,44,Sans lien avec la porcelaine,543223,non
baume de Copahu,123,Sans lien avec la porcelaine,543223,non
baume de Copahu et du Pérou,3,Sans lien avec la porcelaine,543223,non
baume de gaïac,1,Sans lien avec la porcelaine,543223,non
baume de l'Amérique,1,Sans lien avec la porcelaine,543223,non
baume de la Mecque,14,Sans lien avec la porcelaine,543223,non
baume de storax liquide et en pain,2,Sans lien avec la porcelaine,543223,non
baume de storax naturel,3,Sans lien avec la porcelaine,543223,non
baume de storax préparé,2,Sans lien avec la porcelaine,543223,non
baume de storax préparé en grains,1,Sans lien avec la porcelaine,543223,non
baume de storax préparé liquide,29,Sans lien avec la porcelaine,543223,non
baume de Sucre,2,Sans lien avec la porcelaine,543223,non
baume de Tolu,2,Sans lien avec la porcelaine,543223,non
baume de vie,14,Sans lien avec la porcelaine,543223,non
baume du Canada,1,Sans lien avec la porcelaine,543223,non
baume du Levant,1,Sans lien avec la porcelaine,543223,non
baume du Pérou,86,Sans lien avec la porcelaine,543223,non
baume et élixir,1,Sans lien avec la porcelaine,543223,non
baume et sucs d'espèces particulières,2,Sans lien avec la porcelaine,543223,non
baume laque,1,Sans lien avec la porcelaine,543223,non
baume noir,1,Sans lien avec la porcelaine,543223,non
baume rouge,1,Sans lien avec la porcelaine,543223,non
baume tranquille,1,,6813,non
bavette,1,Sans lien avec la porcelaine,543223,non
bavoirs,1,Sans lien avec la porcelaine,543223,non
bayette,140,Sans lien avec la porcelaine,543223,non
bayette blanche,1,Sans lien avec la porcelaine,543223,non
bayette blanche aune,1,Sans lien avec la porcelaine,543223,non
bayette bleue,7,Sans lien avec la porcelaine,543223,non
bayette bleue et rouge,1,Sans lien avec la porcelaine,543223,non
bayette de Beauvais,1,Sans lien avec la porcelaine,543223,non
bayette de prise,6,Sans lien avec la porcelaine,543223,non
bayette des Indes,1,Sans lien avec la porcelaine,543223,non
bayette grosse,1,Sans lien avec la porcelaine,543223,non
bayette teinte,1,Sans lien avec la porcelaine,543223,non
bayette teinte aune,1,Sans lien avec la porcelaine,543223,non
bayoulen,1,Sans lien avec la porcelaine,543223,non
bazzitte,1,Sans lien avec la porcelaine,543223,non
bdellium,21,Sans lien avec la porcelaine,543223,non
beau vert broyé,2,Sans lien avec la porcelaine,543223,non
beaudeaux,1,Sans lien avec la porcelaine,543223,non
beaupré,1,Sans lien avec la porcelaine,543223,non
bécasses,9,Sans lien avec la porcelaine,543223,non
bécassines,2,Sans lien avec la porcelaine,543223,non
becfigues marinés,1,Sans lien avec la porcelaine,543223,non
bêches,1,Sans lien avec la porcelaine,543223,non
bêches de fer,1,Sans lien avec la porcelaine,543223,non
beige,1,Sans lien avec la porcelaine,543223,non
béliers brebis et moutons communs,7,Sans lien avec la porcelaine,543223,non
béliers mérinos,2,Sans lien avec la porcelaine,543223,non
béliers mérinos et métis,7,Sans lien avec la porcelaine,543223,non
belinge,1,Sans lien avec la porcelaine,543223,non
bem ???,1,Sans lien avec la porcelaine,543223,non
bem à voile,,Sans lien avec la porcelaine,543223,oui
bem de Vimoutiers,1,Sans lien avec la porcelaine,543223,non
bem pour voile,3,,6813,non
benblanc,1,Sans lien avec la porcelaine,543223,non
benfletins,1,Sans lien avec la porcelaine,543223,non
Bengale,1,,6813,non
bénitier de marbre,3,Sans lien avec la porcelaine,543223,non
bénitier de marbre ouvré,1,Sans lien avec la porcelaine,543223,non
bénitier de marbre pesant 250 livres,1,Sans lien avec la porcelaine,543223,non
benjoin,151,Sans lien avec la porcelaine,543223,non
benjoin du Levant,1,Sans lien avec la porcelaine,543223,non
bennes,1,Sans lien avec la porcelaine,543223,non
bennes vides,1,Sans lien avec la porcelaine,543223,non
berce de fer et lit de fer,1,Sans lien avec la porcelaine,543223,non
berceau d'enfant,2,Sans lien avec la porcelaine,543223,non
berceau d'osier,1,Sans lien avec la porcelaine,543223,non
bergamote,2,Sans lien avec la porcelaine,543223,non
bergamotes,111,Sans lien avec la porcelaine,543223,non
bergamotes fraîches,1,Sans lien avec la porcelaine,543223,non
bergamotes ouvrées,,Sans lien avec la porcelaine,543223,oui
Bergopzoom,5,Sans lien avec la porcelaine,543223,non
Bergopzoom aune,1,Sans lien avec la porcelaine,543223,non
berline,6,Sans lien avec la porcelaine,543223,non
berline et harnais,3,Sans lien avec la porcelaine,543223,non
berline garnie de velours,1,Sans lien avec la porcelaine,543223,non
berline garnie de velours et crêpine d'or et harnais riche,1,Sans lien avec la porcelaine,543223,non
berline vieille,1,Sans lien avec la porcelaine,543223,non
bernes,12,Sans lien avec la porcelaine,543223,non
bernes de laine,4,Sans lien avec la porcelaine,543223,non
bernes ou tapsel,1,Sans lien avec la porcelaine,543223,non
bernic,1,,6813,non
bestiaux,259,Sans lien avec la porcelaine,543223,non
bestiaux et bêtes de somme,2,Sans lien avec la porcelaine,543223,non
bêtes de somme,151,Sans lien avec la porcelaine,543223,non
bêtes de somme et bœuf,1,Sans lien avec la porcelaine,543223,non
bêtes de somme et poulains,1,Sans lien avec la porcelaine,543223,non
bêtes principalement en mules et mulets,11,Sans lien avec la porcelaine,543223,non
bétilles,30,Sans lien avec la porcelaine,543223,non
bétilles des Indes,2,Sans lien avec la porcelaine,543223,non
betteraves,2,Sans lien avec la porcelaine,543223,non
beunne,1,Sans lien avec la porcelaine,543223,non
beurre,2333,Sans lien avec la porcelaine,543223,non
beurre commun,22,Sans lien avec la porcelaine,543223,non
beurre d'Angleterre,1,Sans lien avec la porcelaine,543223,non
beurre d'Irlande,21,Sans lien avec la porcelaine,543223,non
beurre d'Irlande non comestible,1,Sans lien avec la porcelaine,543223,non
beurre d'Irlande salé,10,Sans lien avec la porcelaine,543223,non
beurre de Bretagne,18,Sans lien avec la porcelaine,543223,non
beurre de cacao,4,Sans lien avec la porcelaine,543223,non
beurre de Dixmude,1,Sans lien avec la porcelaine,543223,non
beurre du pays,10,Sans lien avec la porcelaine,543223,non
beurre du pays salé,8,Sans lien avec la porcelaine,543223,non
beurre et fromage,6,Sans lien avec la porcelaine,543223,non
beurre fondu,2,Sans lien avec la porcelaine,543223,non
beurre frais,18,Sans lien avec la porcelaine,543223,non
beurre frais ou fondu,7,Sans lien avec la porcelaine,543223,non
beurre frais ou fondu ou salé,2,Sans lien avec la porcelaine,543223,non
beurre pour Genève par transit,1,Sans lien avec la porcelaine,543223,non
beurre pour l'entrepôt des Îles,5,Sans lien avec la porcelaine,543223,non
beurre salé,227,Sans lien avec la porcelaine,543223,non
beurreterie en bar de fil blanc,1,Sans lien avec la porcelaine,543223,non
beurrière,63,Sans lien avec la porcelaine,543223,non
bezoar,5,Sans lien avec la porcelaine,543223,non
bezoar du Ponent,1,Sans lien avec la porcelaine,543223,non
bibelots et mercerie,1,Sans lien avec la porcelaine,543223,non
bibliothèque,3,Sans lien avec la porcelaine,543223,non
bidets,2,Sans lien avec la porcelaine,543223,non
bidets de faïence,1,Substitut 1 de la porcelaine,2597,non
bidets de faïence avec leurs pieds de bois,1,Substitut 1 de la porcelaine,2597,non
bidets de faïence et leurs pièces,1,Substitut 1 de la porcelaine,2597,non
bidons,1,,6813,non
bière,1415,Sans lien avec la porcelaine,543223,non
bière aigre,1,Sans lien avec la porcelaine,543223,non
bière blanche,1,Sans lien avec la porcelaine,543223,non
bière cidre et vinaigre,1,Sans lien avec la porcelaine,543223,non
bière commune du pays,1,Sans lien avec la porcelaine,543223,non
bière d'Angleterre,2,Sans lien avec la porcelaine,543223,non
bière d'Hoegaarden,1,Sans lien avec la porcelaine,543223,non
bière de Hollande,7,Sans lien avec la porcelaine,543223,non
bière de Hollande et d'Angleterre,1,Sans lien avec la porcelaine,543223,non
bière de Liège,1,Sans lien avec la porcelaine,543223,non
bière de Lübeck,3,Sans lien avec la porcelaine,543223,non
bière de Lübeck pour médecine,1,Sans lien avec la porcelaine,543223,non
bière dite juypenbier,1,Sans lien avec la porcelaine,543223,non
bière dite lumay,1,Sans lien avec la porcelaine,543223,non
bière en barrique,1,Sans lien avec la porcelaine,543223,non
bière en bouteille,3,Sans lien avec la porcelaine,543223,non
bière en muid,4,Sans lien avec la porcelaine,543223,non
bière et cidre,100,Sans lien avec la porcelaine,543223,non
bière et cidre et vinaigre,9,Sans lien avec la porcelaine,543223,non
bière forte,1,Sans lien avec la porcelaine,543223,non
bière médicinale de Lübeck,1,Sans lien avec la porcelaine,543223,non
bière vétérinaire,1,Sans lien avec la porcelaine,543223,non
