goods_simpl_classification,nbr_occurences_simpl,porcelaine_classification,nbr_occurences_porcelaine,obsolete
amandes courtes,1,Sans lien avec la porcelaine,543223,non
amandes douces,4,Sans lien avec la porcelaine,543223,non
amandes en coque,300,Sans lien avec la porcelaine,543223,non
amandes et figue et raisin,24,Sans lien avec la porcelaine,543223,non
amandes et pelures et prunes et raisin,1,Sans lien avec la porcelaine,543223,non
amandes et pruneaux,2,Sans lien avec la porcelaine,543223,non
amandes et raisin sec,2,Sans lien avec la porcelaine,543223,non
amandes et raisin sec et savon,1,Sans lien avec la porcelaine,543223,non
amandes et savon,2,Sans lien avec la porcelaine,543223,non
amandes et sucre,1,Sans lien avec la porcelaine,543223,non
amandes et verdet,1,Sans lien avec la porcelaine,543223,non
amandes fraîches,1,Sans lien avec la porcelaine,543223,non
amandes longues,1,Sans lien avec la porcelaine,543223,non
amandes mondées,2,Sans lien avec la porcelaine,543223,non
amandes sèches,64,Sans lien avec la porcelaine,543223,non
amandes sèches et figue sèche et ???,9,Sans lien avec la porcelaine,543223,non
amandes sèches et figue sèche et raisin sec,135,Sans lien avec la porcelaine,543223,non
amaril,,Sans lien avec la porcelaine,543223,oui
amarine,1,Sans lien avec la porcelaine,543223,non
ambrain à grande barrique,1,Sans lien avec la porcelaine,543223,non
ambre,42,Sans lien avec la porcelaine,543223,non
ambre blanc,1,Sans lien avec la porcelaine,543223,non
ambre brut,1,Sans lien avec la porcelaine,543223,non
ambre carabé,21,Sans lien avec la porcelaine,543223,non
ambre carabé jaune,2,Sans lien avec la porcelaine,543223,non
ambre en grains,1,,6813,non
ambre et corail,1,Sans lien avec la porcelaine,543223,non
ambre gris,36,Sans lien avec la porcelaine,543223,non
ambre jaune,72,Sans lien avec la porcelaine,543223,non
ambre moulu,2,Sans lien avec la porcelaine,543223,non
ameny,1,Sans lien avec la porcelaine,543223,non
amer,3,Sans lien avec la porcelaine,543223,non
amer de laine,1,Sans lien avec la porcelaine,543223,non
amertis,4,Sans lien avec la porcelaine,543223,non
ameublement,2,Sans lien avec la porcelaine,543223,non
ameublement de chitte,1,Sans lien avec la porcelaine,543223,non
ami de toilé,1,Sans lien avec la porcelaine,543223,non
amidon,1166,Sans lien avec la porcelaine,543223,non
amidon alun,1,,6813,non
amidon en grains,1,Sans lien avec la porcelaine,543223,non
amidon en poudre,1,,6813,non
amidon et poudre à poudrer,1,Sans lien avec la porcelaine,543223,non
ammoniac,7,Sans lien avec la porcelaine,543223,non
ammoniac et sel,21,Sans lien avec la porcelaine,543223,non
ammonium,5,Sans lien avec la porcelaine,543223,non
amomum,11,Sans lien avec la porcelaine,543223,non
amomum et fèves de tonka et noix de ravensara,2,Sans lien avec la porcelaine,543223,non
amomum verum,2,Sans lien avec la porcelaine,543223,non
amurca,4,Sans lien avec la porcelaine,543223,non
anabasse,121,Sans lien avec la porcelaine,543223,non
anabasse ; bajutapau,3,,6813,non
anabasse ; corat ; nicaneas ; platille,2,,6813,non
anacardes,2,Sans lien avec la porcelaine,543223,non
anacoste,3,Sans lien avec la porcelaine,543223,non
ananas,1,Sans lien avec la porcelaine,543223,non
ananas confit,2,Sans lien avec la porcelaine,543223,non
ananas et pommes de grenade,1,Sans lien avec la porcelaine,543223,non
ananas planté,1,Sans lien avec la porcelaine,543223,non
anatomie,1,Sans lien avec la porcelaine,543223,non
