goods_simpl_classification,nbr_occurences_simpl,edentreaty_classification,obsolete,nbr_occurences_edentreaty
,2695,,non,483077
???,90,,non,483077
??? blanc,2,,non,483077
??? brun,2,,non,483077
??? d'Anjou et de Touraine,1,,non,483077
??? d'argent,1,,non,483077
??? d'une valeur moindre de deux mille francs chacun,473,,non,483077
??? de boutard,1,,non,483077
??? de fer,2,,non,483077
??? de morue,1,,non,483077
??? de nacre de perle,1,,non,483077
??? des ci-devant provinces d'Alsace,1,,non,483077
??? des ci-devant provinces de Bourgogne,1,,non,483077
??? des ci-devant provinces de Provence,2,,non,483077
??? des ci-devant provinces du Languedoc,1,,non,483077
??? diverses,4,,non,483077
??? fer,1,,non,483077
??? forts de fer,1,,non,483077
??? gras,1,,non,483077
??? particulièrement en chevaux,6,,non,483077
??? pieds,1,,non,483077
??? pruneaux,1,,non,483077
??? raisins secs,1,,non,483077
???sse,1,,non,483077
?ufs,1,,non,483077
à jamis,276,,non,483077
abassis,4,,non,483077
abats,2,,non,483077
abattis de morue,1,,non,483077
abricots confits,1,,non,483077
absinthe,19,,non,483077
acacia,5,,non,483077
acacia germanica,1,,non,483077
acacia vera,1,,non,483077
acajou,1,,non,483077
acétate d'étain,0,,oui,483077
acétate de fer,0,,oui,483077
acétates d'étain,1,,non,483077
acétates de fer,3,,non,483077
acétates de plomb,29,,non,483077
acétates de plomb sel de Saturne,2,,non,483077
acétates de potasse et de soude,2,,non,483077
acétates de sel d'étain,1,,non,483077
achia,7,,non,483077
acide arsénieux,8,,non,483077
acide benzoïque,1,,non,483077
acide benzoïque et phosphorique,2,,non,483077
acide borique,3,,non,483077
acide borique et benzoïque,2,,non,483077
acide citrique,2,,non,483077
acide citrique et muriatique et phosphorique,2,,non,483077
acide citrique et oxalique et tartrique,2,,non,483077
acide de potasse crème de tartre,5,,non,483077
acide de potasse crème de tartre et tartrate,0,,oui,483077
acide de potasse lie de vin desséché et liquide,4,,non,483077
acide de potasse lie de vin desséché et liquide et tartrate,0,,oui,483077
acide de potasse lie de vin desséchée,3,,non,483077
acide de potasse lie de vin desséchée et tartrate,0,,oui,483077
acide de potasse lie de vin liquide,2,,non,483077
acide de potasse lie de vin liquide et tartrate,0,,oui,483077
acide de potasse tartre brut impur,2,,non,483077
acide de potasse tartre brut impur et tartrate,0,,oui,483077
acide muriatique,1,,non,483077
acide muriatique et nitrique et phosphorique,3,,non,483077
acide muriatique et nitro-muriatique,2,,non,483077
acide nitrique,4,,non,483077
acide oxalique,2,,non,483077
acide phosphorique,2,,non,483077
acide succinique,1,,non,483077
acide tartrique,2,,non,483077
acide vitriolique,4,,non,483077
acide vitriolique et huile de vitriol,109,,non,483077
acide vitrioliques et huile de vitriol,0,,oui,483077
acier,1680,,non,483077
acier battu forgé ou laminé,1,,non,483077
