goods_simpl_classification,nbr_occurences_simpl,edentreaty_classification,obsolete,nbr_occurences_edentreaty
acier battu forgé ou laminé et fer carbonaté,0,,oui,483077
acier brun,1,,non,483077
acier brut,11,,non,483077
acier commun,1,,non,483077
acier en barres,6,,non,483077
acier en bottes pour la Compagnie des Indes,1,,non,483077
acier et clous,1,,non,483077
acier et fer,356,,non,483077
acier fondu en carreaux ou en tôle,5,,non,483077
acier fondu forgé,1,,non,483077
acier fondu forgé et fer carbonaté,0,,oui,483077
acier forgé,7,,non,483077
acons,1,,non,483077
acons démontés,20,,non,483077
acons démontés en gabare,2,,non,483077
acorus,5,,non,483077
acuirson,1,,non,483077
acume de cuivre,1,,non,483077
adatais,3,,non,483077
affûts,2,,non,483077
affûts de bois,1,,non,483077
affûts de canons,11,,non,483077
affûts de fer,1,,non,483077
affûts de fusils,1,,non,483077
affûts de fûts à canons,1,,non,483077
affûts et canons,1,,non,483077
agaric,139,,non,483077
agaric amadouvier,6,,non,483077
agaric amadouvier brut,4,,non,483077
agaric amadouvier brut et préparé,12,,non,483077
agaric amadouvier préparé,6,,non,483077
agaric brut et préparé,6,,non,483077
agaric de mélèze,4,,non,483077
agaric et amadouvier,0,,oui,483077
agaric fin,1,,non,483077
agaric gros,3,,non,483077
agate,11,,non,483077
agate autre que chique et ouvrages,2,,non,483077
agate autre que chique et ouvrée,0,,oui,483077
agate brute,4,,non,483077
agate chique et ouvrée,0,,oui,483077
agate en pierres,1,,non,483077
agate fine,1,,non,483077
agate montée,1,,non,483077
agate ouvrée,0,,oui,483077
agneaux,118,,non,483077
agneaux communs,8,,non,483077
agneaux en vie,5,,non,483077
agneaux et cabris,1,,non,483077
agneaux mérinos et métis,7,,non,483077
agnelines et crottelins,1,,non,483077
agobille,1,,non,483077
agoutals,4,,non,483077
agoutals de bois,5,,non,483077
agrément,15,,non,483077
agrément au quart,3,,non,483077
agrément d'argent,2,,non,483077
agrément d'or,1,,non,483077
agrément d'or et d'argent,5,,non,483077
agrément de fil,9,,non,483077
agrément de fil et de soie,3,,non,483077
agrément de fleur,1,,non,483077
agrément de soie,57,,non,483077
agrément de soie et d'argent,1,,non,483077
agrément de soie et fil,0,,oui,483077
agrément de soie or et argent faux,1,,non,483077
agréments de soie et milleret,1,,non,483077
agréments et milleret,1,,non,483077
agrès,12,,non,483077
agrès apparaux de navire et embarcations,6,,non,483077
agrès apparaux et embarcations,2,,non,483077
agrès de navire,0,,oui,483077
agrès de navire en voile,0,,oui,483077
agrès de navire et jeux de voile,10,,non,483077
agrès et apparaux,1,,non,483077
agrès et apparaux d'or navire,1,,non,483077
agrès et bâtiments de mer,10,,non,483077
agrès et embarcations,8,,non,483077
agrès et voile de navire,1,,non,483077
agrès et voiles de navire,0,,oui,483077
aigles,1,,non,483077
aigre de cèdre,9,,non,483077
aigre de cidre,5,,non,483077
aigre de vitriol,17,,non,483077
aigrettes,10,,non,483077
aigrettes de fil d'or et d'argent,1,,non,483077
aigrettes de soie,1,,non,483077
aigrettes de soie et argent,1,,non,483077
aigrettes et bavolets,1,,non,483077
aiguières d'étain,1,,non,483077
aiguilles,210,,non,483077
aiguilles à boîtes,1,,non,483077
aiguilles à coudre,61,,non,483077
aiguilles à coudre voiles,1,,non,483077
aiguilles à ralingue,1,,non,483077
aiguilles à tabac,1,,non,483077
aiguilles à toile,1,,non,483077
aiguilles d'emballage,2,,non,483077
aiguilles de mercerie fine,1,,non,483077
aiguilles epars de sapin,1,,non,483077
aiguilles et épingles,1,,non,483077
aiguilles et épingles de mercerie fine,3,,non,483077
aiguilles et mercerie fine,2,,non,483077
aiguilles grosses,1,,non,483077
aiguilles pour voile,37,,non,483077
aiguillettes,1,,non,483077
ail,2,,non,483077
ailes,4,,non,483077
ailes de fléaux,1,,non,483077
ailes de moulins,1,,non,483077
ailor,1,,non,483077
ails,204,,non,483077
ails à fauches,1,,non,483077
ails blancs à casser,1,,non,483077
aimant,1,,non,483077
ains à pêcher,43,,non,483077
ains et lignes à pêcher,2,,non,483077
airain,6,,non,483077
airain non ouvré,4,,non,483077
ajustements,37,,non,483077
ajustements de femme,5,,non,483077
ajustements de soie,2,,non,483077
alambics,17,,non,483077
alambics d'étain,16,,non,483077
alambics de cuivre,2,,non,483077
alambics de terre,1,,non,483077
alana,2,,non,483077
alazar,2,,non,483077
albâtre,5,,non,483077
albâtre brut,3,,non,483077
albâtre et marbre brut et poli,21,,non,483077
albâtre moulé poli ou sculpté,6,,non,483077
alcalis autre que natron et soude,2,,non,483077
alcalis salin,1,,non,483077
alènes,5,,non,483077
alibanies,96,,non,483077
alizari,16,,non,483077
alizari et garance,165,,non,483077
alizari sèche,7,,non,483077
alkermés,1,,non,483077
alkermès en grains,23,,non,483077
allaya,84,,non,483077
alleaux,1,,non,483077
allemande de poil,10,,non,483077
allumettes,54,,non,483077
allumettes à vin,29,,non,483077
allumettes de coton,1,,non,483077
allumettes de mêche soufrée,1,,non,483077
allumettes droguées,3,,non,483077
allumettes épicée,2,,non,483077
allumettes opérées et soufrées,1,,non,483077
allumettes soufrées,12,,non,483077
almagro ou crayon rouge,1,,non,483077
almanachs,1,,non,483077
almanachs brochés,2,,non,483077
almanachs en blancs,1,,non,483077
almanachs enjolivés,1,,non,483077
almanachs reliés,1,,non,483077
aloès,229,,non,483077
aloès cabalin,6,,non,483077
aloès commun,1,,non,483077
aloès et opium,2,,non,483077
aloès hépatique,1,,non,483077
aloès moyen,2,,non,483077
aloiset,1,,non,483077
alose,2,,non,483077
alose fumée,1,,non,483077
alose salée,5,,non,483077
aloues,1,,non,483077
alouettes,4,,non,483077
alpargate,37,,non,483077
alphabets,1,,non,483077
alpiste,20,,non,483077
alpiste et millet,9,,non,483077
alquifoux,479,,non,483077
alquifoux en galène,2,,non,483077
alquifoux et mine de plomb,36,,non,483077
alquifoux mine de plomb ou graphite,23,,non,483077
alquifoux ou mine de plomb,1,,non,483077
alquifoux sable plombifère,1,,non,483077
alquitra,3,,non,483077
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,,non,483077
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,,oui,483077
alto basses contrebasses guitare lyres violes violons,2,,non,483077
alto basses contrebasses guitares lyres violes violons,0,,oui,483077
alto bassons guitare violons,3,,non,483077
alto bassons guitares violons,0,,oui,483077
aluchiabanis,2,,non,483077
alun,1873,,non,483077
alun à cordonnier,1,,non,483077
alun autre que brûlé ou calciné,2,,non,483077
alun bon,2,,non,483077
alun brûlé,1,,non,483077
alun commun,1,,non,483077
alun de glace,1,,non,483077
alun de roche,5,,non,483077
alun de Rome,3,,non,483077
alun de Rome fin rosé,1,,non,483077
alun de Rouen,2,,non,483077
alun de Surde,2,,non,483077
alun du Levant,1,,non,483077
alun en dracy,1,,non,483077
alun en rame,1,,non,483077
alun gâté,1,,non,483077
alun ordinaire,1,,non,483077
alvés,2,,non,483077
amadou,227,,non,483077
amadou et agaric amadouvier,7,,non,483077
amandes,1206,,non,483077
amandes à la praline,4,,non,483077
amandes amères,1,,non,483077
amandes arachis noisettes noix noyaux,2,,non,483077
amandes cassée,6,,non,483077
amandes cassées,383,,non,483077
amandes cassées ou en coque,3,,non,483077
amandes courtes,1,,non,483077
amandes douces,4,,non,483077
amandes en coque,298,,non,483077
amandes et figue et raisin,24,,non,483077
amandes et pelures et prunes et raisin,1,,non,483077
amandes et pruneaux,2,,non,483077
amandes et raisin sec,2,,non,483077
amandes et raisin sec et savon,1,,non,483077
amandes et savon,2,,non,483077
amandes et sucre,1,,non,483077
amandes et verdet,1,,non,483077
amandes et vert-de-gris,0,,oui,483077
amandes fraîches,1,,non,483077
amandes longues,1,,non,483077
amandes mondées,2,,non,483077
amandes sèches,64,,non,483077
amandes sèches et figue sèche et ???,9,,non,483077
amandes sèches et figue sèche et raisin sec,135,,non,483077
amaril,1,,non,483077
amarine,1,,non,483077
ambrain à grande barrique,1,,non,483077
ambre,42,,non,483077
ambre blanc,1,,non,483077
ambre brut,1,,non,483077
ambre carabé,21,,non,483077
ambre carabé jaune,2,,non,483077
ambre en grains,1,,non,483077
ambre et corail,1,,non,483077
ambre gris,36,,non,483077
ambre gris castoréum civette musc,0,,oui,483077
ambre jaune,72,,non,483077
ambre moulu,2,,non,483077
ameny,1,,non,483077
amer,3,,non,483077
amer de laine,1,Lainage,non,9470
amertis,4,,non,483077
ameublement,2,,non,483077
ameublement de chitte,1,,non,483077
ami de toilé,1,,non,483077
amidon,1165,,non,483077
amidon alun,1,,non,483077
amidon en grains,1,,non,483077
amidon en poudre,1,,non,483077
amidon et poudre à poudrer,1,,non,483077
ammoniac,7,,non,483077
ammoniac et sel,21,,non,483077
ammonium,5,,non,483077
amomum,11,,non,483077
amomum et fèves de tonka et noix de ravensara,2,,non,483077
amomum verum,2,,non,483077
amurca,4,,non,483077
anabasse,120,,non,483077
anabasse ; bajutapau,3,,non,483077
anabasse ; corat ; nicaneas ; platille,2,,non,483077
anacardes,2,,non,483077
anacoste,3,,non,483077
ananas,1,,non,483077
ananas confit,2,,non,483077
ananas et pommes de grenade,1,,non,483077
ananas planté,1,,non,483077
anatomie,1,,non,483077
anatose,3,,non,483077
anches de tonneaux,2,,non,483077
anchois,851,,non,483077
anchois câpres et olives,10,,non,483077
anchois câpres etc.,1,,non,483077
anchois câpres olives,1,,non,483077
anchois et boutargue,13,,non,483077
anchois et câpres,5,,non,483077
anchois et sardes,1,,non,483077
anchois et sardines,5,,non,483077
anchois mariné,6,,non,483077
anchois mariné et salé,39,,non,483077
anchois salé et mariné,2,,non,483077
anchois salés,5,,non,483077
anchois salés et marinés,9,,non,483077
ancres,5,,non,483077
ancres de chaudon,1,,non,483077
ancres de fer,552,,non,483077
ancres de fer à chaudrons,1,,non,483077
ancres de fer au-dessus de 250 kilogrammes,1,,non,483077
ancres de fer de 250 kilogrammes et au-dessous,1,,non,483077
ancres de fer et embarcations,2,,non,483077
ancres et embarcations,5,,non,483077
ancres et grappins de fer,1,,non,483077
ancres gravelées,1,,non,483077
ancres neuves,3,,non,483077
ancres vides,4,,non,483077
ancres vieilles,1,,non,483077
ancres vieilles vides,1,,non,483077
andolium,2,,non,483077
andouilles,43,,non,483077
andouillette,1,,non,483077
ânes,175,,non,483077
ânes et ânesses,9,,non,483077
ânes et mulets,11,,non,483077
ânesses,1,,non,483077
angélique,28,,non,483077
angélique du Rozème,1,,non,483077
anguilles,23,,non,483077
anguilles et truites,1,,non,483077
anguilles fraîches,1,,non,483077
anguilles marinées,1,,non,483077
anguilles salées,22,,non,483077
anille,1,,non,483077
animaux,5,,non,483077
anis,520,,non,483077
anis et rac et rhum etc.,2,,non,483077
anis et sucre,1,,non,483077
anis étoilé,0,,oui,483077
anis vert,93,,non,483077
anis vert à distiller,2,,non,483077
anisette,113,,non,483077
anisette au fiasque,6,,non,483077
anisette de Bordeaux,2,,non,483077
anneau de cuivre,1,,non,483077
anneau de fer,2,,non,483077
anneaux de cuivre,1,,non,483077
anneaux de fer,1,,non,483077
ânon,2,,non,483077
anspects,124,,non,483077
anspects de 3 à 4 pieds,1,,non,483077
anspects de bois,27,,non,483077
anspects de sapin,1,,non,483077
antale,3,,non,483077
antale et cauris,1,,non,483077
antchibanis,9,,non,483077
antenelle,1,,non,483077
antennes,2,,non,483077
antennes et mâts de bateaux,1,,non,483077
antimoine,221,,non,483077
antimoine cru,27,,non,483077
antimoine métallique et sulfuré,2,,non,483077
antimoine préparé,2,,non,483077
antimoine vert,1,,non,483077
antofle,1,,non,483077
antofle de girofle,11,,non,483077
apasier,1,,non,483077
apier,3,,non,483077
apios,7,,non,483077
apparaux et bâtiments de mer,38,,non,483077
apprêtée à toiler les livres,1,,non,483077
apprêtée pour parchemins,1,,non,483077
arachis olives fraîches,1,,non,483077
arains,6,,non,483077
arak,17,,non,483077
arbalètes,1,,non,483077
arbalètrrie et cartes marines,1,,non,483077
arbres,7,,non,483077
arbres à fruits,2,,non,483077
arbres à planter,142,,non,483077
arbres châtaignier,4,,non,483077
arbres d' ???,1,,non,483077
arbres d'auban,1,,non,483077
arbres de sapin,1,,non,483077
arbres et arbrisseaux,25,,non,483077
arbres et arbrisseaux à fruits,1,,non,483077
arbres et arbrisseaux sauvages,1,,non,483077
arbres et arbustes,6,,non,483077
arbres et plants,1,,non,483077
arbres fruitiers,87,,non,483077
arbres marronniers à planter,1,,non,483077
arbres nains,1,,non,483077
arbres tilleul,3,,non,483077
arbrisseaux,9,,non,483077
arbustes,3,,non,483077
arcanette,1,,non,483077
arcanie,1,,non,483077
arcanson,4,,non,483077
arcanum duplicatum,2,,non,483077
archets de violons,1,,non,483077
archets et violon,1,,non,483077
archiabanis,1,,non,483077
arçons de bas de bois,1,,non,483077
arçons de bois,1,,non,483077
arçons de selles,14,,non,483077
arçons démontés,1,,non,483077
ardoise,364,,non,483077
ardoise à piler,1,,non,483077
ardoise commune,2,,non,483077
ardoise dite chérubin et à mortier,1,,non,483077
ardoise dite grande voisine,1,,non,483077
ardoise dite moyenne voisine,1,,non,483077
ardoise dite petite voisine,1,,non,483077
ardoise dite voisine grande moyenne et petite,2,,non,483077
ardoise en carreaux,1,,non,483077
ardoise en carreaux et d'1 pied carré,1,,non,483077
ardoise en carreaux ou en table,7,,non,483077
ardoise en livret,1,,non,483077
ardoise encadrée,1,,non,483077
ardoise encadrée et en livret,1,,non,483077
ardoise non travaillée,1,,non,483077
ardoise pour fenêtre,6,,non,483077
ardoise pour toiture,8,,non,483077
ardoise pour toiture au kilogramme,1,,non,483077
ardoise pour toiture au nombre,2,,non,483077
ardoise verte,1,,non,483077
ardoises,0,,oui,483077
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,,non,483077
arelles de baleine,1,,non,483077
argent,11,,non,483077
argent battu,1,,non,483077
argent battu et en feuille,2,,non,483077
argent battu filé laminé et tiré,3,,non,483077
argent brisé et en lingots et en masses,1,,non,483077
argent brûlé,2,,non,483077
argent brut,1,,non,483077
argent brut en lingot et en masse ouvrages détruits,2,,non,483077
argent carragoux,2,,non,483077
argent en barils,1,,non,483077
argent en barres,3,,non,483077
argent en lingots,18,,non,483077
argent en lingots par Calais,1,,non,483077
argent et or,238,,non,483077
argent et or billon,1,,non,483077
argent faux,9,,non,483077
argent faux en fil cantilles etc.,2,,non,483077
argent faux et or faux,53,,non,483077
argent faux et or faux traits,1,,non,483077
argent fin,1,,non,483077
argent monnayé et nogat d'or,4,,non,483077
argent talari,0,,oui,483077
argent vif,3,,non,483077
argenterie,732,,non,483077
argenterie épée,7,,non,483077
argenterie et bijouterie,14,,non,483077
argenterie et bijouterie et orfèvrerie,1,,non,483077
argenterie et orfévrerie,0,,oui,483077
argenterie et orfèvrerie,122,,non,483077
argenterie et orfèvrerie vermeil,37,,non,483077
argenterie neuve,4,,non,483077
argenterie vieille,12,,non,483077
argile et terre pour engrais,15,,non,483077
arins,1,,non,483077
aristoloche,68,,non,483077
armement de tables,3,,non,483077
armes,251,,non,483077
armes à feu,367,,non,483077
armes à feu de guerre,2,,non,483077
armes à feu de guerre et de traite,1,,non,483077
armes à feu de guerre portatives,2,,non,483077
armes à feu de luxe,4,,non,483077
armes à feu de luxe ou de traite,3,,non,483077
armes à feu de munitions,2,,non,483077
armes à feu de munitions fines,4,,non,483077
armes à feu de traite,1,,non,483077
armes à feu et artillerie,1,,non,483077
armes à feu et de traite,1,,non,483077
armes à feu et fusils,1,,non,483077
armes armureries,1,,non,483077
armes autres que de guerre à feu,1,,non,483077
armes autres que de guerre blanches,1,,non,483077
armes blanches,201,,non,483077
armes blanches de guerre,1,,non,483077
armes blanches de guerre et de traite,1,,non,483077
armes blanches de luxe,2,,non,483077
armes blanches de luxe ou de traite,3,,non,483077
armes blanches de traite,1,,non,483077
armes de chasse ou de luxe à feu,2,,non,483077
armes de chasse ou de luxe blanches,2,,non,483077
armes de guerre,2,,non,483077
armes différentes,1,,non,483077
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,,non,483077
armes et munitions,9,,non,483077
armes lames,1,,non,483077
armes remontrances,1,,non,483077
armoires,57,,non,483077
armoires ayant servi,1,,non,483077
armoires d'acajou,12,,non,483077
armoires de bois,1,,non,483077
armoires de bois de noyer,1,,non,483077
armoires de bois de sapin peintes,1,,non,483077
armoires de bois des Indes,1,,non,483077
armoires de chêne,9,,non,483077
armoires de chêne ornée,1,,non,483077
armoires de noyer,9,,non,483077
armoires de sapin,3,,non,483077
armoires et commodes,1,,non,483077
armoires vieilles,2,,non,483077
armoisin,46,,non,483077
armure de fer,1,,non,483077
armure vieille,1,,non,483077
arnas,1,,non,483077
arpois,1,,non,483077
arquebuse,1,,non,483077
arrangas,1,,non,483077
arrosoirs,6,,non,483077
arrosoirs de bois,2,,non,483077
arrosoirs de cuivre,1,,non,483077
arrosoirs de fer,1,,non,483077
arrosoirs de fer-blanc,6,,non,483077
arrosoirs de sapin,1,,non,483077
arrosoirs de terre,1,,non,483077
arrowroot,1,,non,483077
arséniate de potasse,2,,non,483077
arsenic,411,,non,483077
arsenic métallique,6,,non,483077
artichauts,79,,non,483077
artichauts champignons et truffes,2,,non,483077
artichauts confits,68,,non,483077
artichauts frais,17,,non,483077
artichauts marinés,2,,non,483077
artichauts secs,6,,non,483077
artifice,5,,non,483077
artifice fusées etc.,1,,non,483077
artillerie,6,,non,483077
asa fœtida,123,,non,483077
asperges,9,,non,483077
asperges confites,1,,non,483077
asperges et scorsonères,1,,non,483077
asphaltum,19,,non,483077
assiette,1,,non,483077
assiette de Biarritz,1,,non,483077
assiette de bois,1,,non,483077
assiette de faïence,8,,non,483077
assiette de porcelaine,3,,non,483077
assiette de porcelaine des Indes,1,,non,483077
assiette de terre,6,,non,483077
assiette et plats de terre,1,,non,483077
asustum,1,,non,483077
atastes,1,,non,483077
atlas,2,,non,483077
atlas à la feuille d'or,1,,non,483077
atlas et instruments de marine,1,,non,483077
atlas jaspé,1,,non,483077
attaches de cuivre,1,,non,483077
attelles de colliers,14,,non,483077
aube,1,,non,483077
auchinoise,2,,non,483077
auclimes,2,,non,483077
auf,117,,non,483077
auf ouvré,0,,oui,483077
auf travaillé,0,,oui,483077
auf travaillé en cordes,0,,oui,483077
augemy,2,,non,483077
auges,3,,non,483077
auges de carreaux,2,,non,483077
augustins,2,,non,483077
aurcsats,1,,non,483077
aurcsats étoile,1,,non,483077
aussière,4,,non,483077
autel de marbre,2,,non,483077
avelanèdes,58,,non,483077
avelines,8,,non,483077
avelines et noisettes sèches,22,,non,483077
avelines faînes noisettes noix,1,,non,483077
avelines noisettes noix,5,,non,483077
avirons,639,,non,483077
avirons bruts,17,,non,483077
avirons de 12 pieds,1,,non,483077
avirons de 18 pieds,1,,non,483077
avirons de 30 pieds,1,,non,483077
avirons de 5 pieds,1,,non,483077
avirons de 8 à 12 pieds,1,,non,483077
avirons de bois,51,,non,483077
avirons de bois façonné,1,,non,483077
avirons de chêne,1,,non,483077
avirons de sapin,1,,non,483077
avirons et perches de bois,3,,non,483077
avirons et rames bruts,2,,non,483077
avirons et rames de bois,1,,non,483077
avirons et rames de bois façonné,2,,non,483077
avirons et rames façonnés,5,,non,483077
avirons polis,1,,non,483077
avoine,498,,non,483077
avoine en gerbes,1,,non,483077
avoine et haricots,1,,non,483077
avoine et orge etc.,1,,non,483077
avoine mondée,1,,non,483077
avoine moulée,1,,non,483077
azur,729,,non,483077
azur commun,197,,non,483077
azur et bleu de Prusse,9,,non,483077
azur et cobalt,20,,non,483077
azur fin,13,,non,483077
azur gros,22,,non,483077
babassis,1,,non,483077
babouches,90,,non,483077
babouches de maroquin,2,,non,483077
bacs d'1 aime,1,,non,483077
bacs de pierre,1,,non,483077
bacs de pierre bleue,1,,non,483077
bacs de pierre d'1 aime,1,,non,483077
bacs de pierre de 4 aimes,1,,non,483077
bacs de pierre de demi d'aime,1,,non,483077
bacs de pierre de moindre classe,1,,non,483077
bacs de pierre de trois-quart d'aime,1,,non,483077
bacs de pierre en dessous d'1 aime,1,,non,483077
bacs de pierre en dessus d'1 aime,1,,non,483077
badiane,60,,non,483077
badiane ou anis étoilé de la Chine,0,,oui,483077
baffetas,10,,non,483077
baffetas blanc,19,,non,483077
baffetas bleu,26,,non,483077
baffetas des Indes,2,,non,483077
bagarot,1,,non,483077
bagues,5,,non,483077
bagues à pierres fausses,1,,non,483077
bagues d'argent,2,,non,483077
bagues d'or,1,,non,483077
bagues de cuivre,2,,non,483077
bagues de laiton,1,,non,483077
bagues de verre,3,,non,483077
baguettes,6,,non,483077
baguettes à chandelle,1,,non,483077
baguettes à étoffe,2,,non,483077
baguettes d'étain,2,,non,483077
baguettes de bois,1,,non,483077
baguettes de bois doré,1,,non,483077
baguettes de cuivre,3,,non,483077
baguettes de fer à fusil,1,,non,483077
baguettes de fusil,47,,non,483077
bahuts,24,,non,483077
baie de laurier,28,,non,483077
baies de buis,1,,non,483077
baies de genévrier à distiller,2,,non,483077
baies de genièvre,6,,non,483077
baignes,3,,non,483077
baignoires,2,,non,483077
baignoires d'acajou,1,,non,483077
baignoires de cuivre,4,,non,483077
baignoires de sapin,1,,non,483077
baignoires de tôle,2,,non,483077
baigots,1,,non,483077
baillarge,5,,non,483077
bailles,1,,non,483077
baïonnettes,13,,non,483077
bais de bois de chêne,1,,non,483077
bajutapau,230,,non,483077
bajutapau commun,1,,non,483077
bajutapau des Indes,1,,non,483077
"bajutapau, canelis, etc.",3,,non,483077
bakeliau et stockfis,0,,oui,483077
balais,123,,non,483077
balais communs,5,,non,483077
balais coupés,3,,non,483077
balais de bois,39,,non,483077
balais de brandes,1,,non,483077
balais de bruyère,13,,non,483077
balais de chanvre,1,,non,483077
balais de crin,12,,non,483077
balais de foyer,1,,non,483077
balais de jonc,50,,non,483077
balais de jonc petits,1,,non,483077
balais de laine à laver les planchers,1,,non,483077
balais de millet,2,,non,483077
balais de paille,2,,non,483077
balais de paille de riz,6,,non,483077
balais de palme,295,,non,483077
balais de palme petits,1,,non,483077
balais de plumes,3,,non,483077
balais de poil,2,,non,483077
balais de riz,5,,non,483077
balais de soie,7,,non,483077
balais de soie de porcs,18,,non,483077
balais de toile,1,,non,483077
balais du roi,1,,non,483077
balais fins,1,,non,483077
balais grands de palme,2,,non,483077
balais ou ramons,1,,non,483077
balais petits,1,,non,483077
balance,8,,non,483077
balance à la romaine,1,,non,483077
balance complète,1,,non,483077
balance de bois,1,,non,483077
balance de cuivre,8,,non,483077
balance de cuivre jaune,1,,non,483077
balance de fer,4,,non,483077
balance et poids de cuivre,1,,non,483077
balance et romaine,2,,non,483077
balance et ses poids,1,,non,483077
balance ou fléaux en fer,1,,non,483077
balance petite,1,,non,483077
balance romaine,3,,non,483077
balauste,0,,oui,483077
balcon de fer,1,,non,483077
baleine,125,,non,483077
baleine apprêtée,1,,non,483077
baleine coupée,641,,non,483077
baleine coupée en fanon,11,,non,483077
baleine coupée et en fanon,12,,non,483077
baleine de sarde,18,,non,483077
baleine en fanon,278,,non,483077
baleine en fanon et de sarde,1,,non,483077
baleine non sciée,1,,non,483077
baleine taillée,1,,non,483077
balles,1,,non,483077
balles à jouer,3,,non,483077
balles d'osier,3,,non,483077
balles de fer et canons de fer,2,,non,483077
balles de fer uni,1,,non,483077
balles de jonc,1,,non,483077
balles de palme,1,,non,483077
balles de plomb,8,,non,483077
balles et dragées de plomb,1,,non,483077
balles vides,1,,non,483077
balustres,12,,non,483077
bamboches,1,,non,483077
bambous,8,,non,483077
banastron,1,,non,483077
banc à couper la paille,1,,non,483077
banc de sapin,1,,non,483077
bandages,4,,non,483077
bandages de peaux,5,,non,483077
bandages pour soldats,1,,non,483077
bandanas des Indes,1,,non,483077
bandanas et mousseline et Nankin de soieries des Indes,0,,oui,483077
bandeaux,4,,non,483077
banderoles,1,,non,483077
banderoles de cuir,2,,non,483077
bandes de cabrouets de fer,3,,non,483077
bandes de charrettes,1,,non,483077
bandes de fer,7,,non,483077
bandes de fer à tombereaux,1,,non,483077
bandes de roues de fer,1,,non,483077
bandes de tulles brodées,1,,non,483077
bandes et barres de fer,8,,non,483077
bandoulières garnies d'argent,1,,non,483077
banjoin,0,,oui,483077
bannes et bannettes d'osier,1,,non,483077
bannettes d'osier,1,,non,483077
bannettes de cuir,1,,non,483077
bannière de Damas,1,,non,483077
banquette,4,,non,483077
baquelets,1,,non,483077
baquets,2,,non,483077
baquets à jeter l'eau,1,,non,483077
baquets de cuivre,5,,non,483077
baquets de fer,1,,non,483077
baquets de rechange,1,,non,483077
baquets de sapin,2,,non,483077
baracan,172,,non,483077
baracan aune,1,,non,483077
baracan d'Abbeville,1,,non,483077
baracan de laine,14,,non,483077
baracan de laine et de poil,2,,non,483077
baracan de Lille,1,,non,483077
baracan de poil,64,,non,483077
barail,0,,oui,483077
baras,1,,non,483077
barat de laine,1,,non,483077
