pays,orthographic_normalization_class,note,nbr_occurences_source,nbr_occurences_ortho
,,,2576,2576
?,???,,13,22
??,???,,1,22
???,???,,2,22
**,???,,1,22
***,???,,1,22
3 evêchés,3 évêchés,,60,65
3 évéchés,3 évêchés,,5,65
4 villes anséatiques,Les 4 villes hanséatiques,,108,566
4 villes Anséatiques,Les 4 villes hanséatiques,,48,566
4 Villes Anséatiques,Les 4 villes hanséatiques,,50,566
Afrique,Afrique,,43,43
Alemagne Pologne,Allemagne-Pologne,,1,1206
Alexandrette,Alexandrette,,5,5
Alger,Alger,,46,46
allemagne,Allemagne,,417,13652
Allemagne,Allemagne,,12987,13652
Allemagne et la Pologne,Allemagne-Pologne,,43,1206
Allemagne et Lorraine,Allemagne-Lorraine,,3,125
Allemagne et Pologne,Allemagne-Pologne,,509,1206
Allemagne et Pologne - par terre,Allemagne et Pologne - par terre,,2,2
Allemagne la Loraine et le pays de Liege,Allemagne-Lorraine-Pays de Liège,,50,1247
Allemagne Lorraine et pays de Liège,Allemagne-Lorraine-Pays de Liège,,1,1247
Allemagne Pologne,Allemagne-Pologne,,5,1206
Allemagne-Pologne,Allemagne-Pologne,,411,1206
"Allemagne, la Lorraine et le pays de Liège",Allemagne-Lorraine-Pays de Liège,,2,1247
"Allemagne, Lorraine et le Païs",Allemagne-Lorraine-Pays de Liège,,728,1247
"Allemagne, Lorraine et le Païs de liege",Allemagne-Lorraine-Pays de Liège,,39,1247
"Allemagne, Lorraine et le païs de Liège",Allemagne-Lorraine-Pays de Liège,,7,1247
"Allemagne, Lorraine et Païs de Liege",Allemagne-Lorraine-Pays de Liège,,407,1247
allemagneetpologne,Allemagne-Pologne,,35,1206
Allemange,Allemagne,,1,13652
Alllemagne,Allemagne,,2,13652
allmagne,Allemagne,,1,13652
Allmagne-Pologne,Allemagne-Pologne,,22,1206
Alsace,Alsace,,359,359
Alsace et 3 évéchés,Alsace et les 3 évêchés,,3,3
Alsace et Lorraine,Alsace-Lorraine,,3,4
Amérique,Amérique,,262,272
Amériques,Amériques,,29,29
Amiens,Amiens,,2,2
Angleterr,Angleterre,,1,22115
angleterre,Angleterre,,1009,22115
Angleterre,Angleterre,,19016,22115
Angleterre en vertu de licences,Angleterre en vertu de licences,,101,444
Angleterre et Cologne,Angleterre et Cologne,,1,1
Angleterre et flotte anglaise,Angleterre et flotte anglaise,,49,49
Angleterre et ses colonies,Angleterre et ses colonies,,398,398
Angleterre et ses colonies de l'Inde,Angleterre et ses colonies de l'Inde,,832,832
Angleterre par bâtimens licenciés ou autre autorisation spéciale,Angleterre par bâtiments licenciés ou autre autorisation spéciale,,55,55
Angleterre y compris l'Ecosse et l'Irlande,Angleterre y compris l'Écosse et l'Irlande,,145,145
