quantity_unit_ortho,source_bdc,nbr_bdc_quantity_unit_ortho,quantity_unit_ajustees,nbr_bdc_quantity_unit_ajustees,u_conv,q_conv,incertitude_unit,source_hambourg,missing,needs_more_details,remarque_unit
,1,325,,1023,,,,,,,
????,1,4,????,51,,,1,0,,0,
???? an,1,1,????,51,,,1,0,,0,
???? aunes,1,2,????,51,,,1,0,,0,
???? aunes ou livres,1,1,????,51,,,1,0,,0,
???? b,1,1,????,51,,,1,0,,0,
???? bann,1,1,????,51,,,1,0,,0,
???? bar,1,1,????,51,,,1,0,,0,
???? boileaux,1,1,????,51,,,1,0,,0,
???? boir x,1,1,????,51,,,1,0,,0,
???? boisses,1,1,????,51,,,1,0,,0,
???? boucoud,1,1,????,51,,,1,0,,0,
???? boue(c)s,1,1,????,51,,,1,0,,0,
???? boul,1,1,????,51,,,1,0,,0,
???? bout s,1,1,????,51,,,1,0,,0,
???? bouteilles,1,1,????,51,,,1,0,,0,
???? caps,1,1,????,51,,,1,0,,0,
???? cha,1,1,????,51,,,1,0,,0,
???? charres,1,1,????,51,,,1,0,,0,
???? cou,0,1,????,51,,,1,0,,0,
???? de la bour.,1,1,????,51,,,1,0,,0,
???? grosses,1,1,????,51,,,1,0,,0,
???? lc dit peut être fausse valeur,1,1,????,51,,,1,0,,0,
???? livres,1,1,????,51,,,1,0,,0,
???? livres x,1,1,????,51,,,1,0,,0,
???? lotes,1,1,????,51,,,1,0,,0,
???? m,1,1,????,51,,,1,0,,0,
???? malls,1,1,????,51,,,1,0,,0,
???? maq s,1,1,????,51,,,1,0,,0,
???? mo,1,1,????,51,,,1,0,,0,
???? mot,1,1,????,51,,,1,0,,0,
???? mottes,1,1,????,51,,,1,0,,0,
???? p,1,1,????,51,,,1,0,,0,
???? paquets,1,1,????,51,,,1,0,,0,
???? pièces,1,1,????,51,,,1,0,,0,
???? po/ans,1,1,????,51,,,1,0,,0,
???? quar,1,1,????,51,,,1,0,,0,
???? rien,1,1,????,51,,,1,0,,0,
???? scdes,1,1,????,51,,,1,0,,0,
???? teinpettes,1,1,????,51,,,1,0,,0,
???? tonnage,1,1,????,51,,,1,0,,0,
???? tonneaux,1,1,????,51,,,1,0,,0,
???? tonnes,1,1,????,51,,,1,0,,0,
???? tours,1,1,????,51,,,1,0,,0,
???? w,1,1,????,51,,,1,0,,0,
???? wades,1,1,????,51,,,1,0,,0,
???? wagues,1,1,????,51,,,1,0,,0,
???? weltes,1,1,????,51,,,1,0,,0,
?ans,1,1,,1023,,,,,,,
#,1,1,,1023,,,,,,,
# valeur,0,1,,1023,,,,,,,
450 feuilles,1,1,450 feuilles,1,feuilles,450,,,,,
600 feuilles,1,1,600 feuilles,1,feuilles,600,,,,,
à charnière d'or,1,1,pièces,124,pièces,1,,0,1,0,"vérification dans la source, il est indiqué « à charnière d'or »"
à répétition,1,1,pièces,124,pièces,1,,0,,0,
aimes,1,4,aimes,4,kg,148,,0,,0,Doursther : Tierce=nom donné par les allemands à Aime: de 130 à 166 litres -> 148 litres
alvrames,1,1,,1023,,,,,,,unité difficilement lisible dans la source
ancre,1,4,ancre,4,kg,37,,0,1,0,p27 doursther : en usage en Allemagne et en hollande formant le quart de l'aime
andouilles,1,1,,1023,,,,,,,
anée,1,3,anée pour les liquides,3,kg,81.959999,,,,,p43 doursther : voir anée -> P28 -> prendre mesure de Lyon
arrobes,1,4,arrobe,4,kg,12.23749975,,,,,Doursther : l'arrobe représente 25 livres (page 40)
arts,1,1,,1023,,,,,,,
atlas,1,1,atlas,1,pièces,1,,,,,
aune,1,1,aunes de paris,10,cm,118.84,,,,,Wikipedia
aunes,1,9,aunes de paris,10,cm,118.84,,0,,0,Wikipedia
aunes carrées,1,1,,1023,,,,,,,
avirons,1,2,pièces,124,pièces,1,,,,,
baille du poids,1,1,bailles,6,litres,14.625,,,,,
bailles,1,4,bailles,6,litres,14.625,,0,,0,p44 doursther numéro du dictionnaire
baines,1,2,,1023,,,,,,,
baïonnettes,1,1,pièces,124,pièces,1,,0,,0,
bales d'haricots,1,1,balles,9,contenant,1,,,,,
balle,1,7,balles,9,contenant,1,,,,,p56 doursther
balle et 900 livres,1,1,balles,9,contenant,1,,,,,
ballon,1,7,ballon,7,contenant,1,,,,,
ballot petit,1,1,,1023,,,,,,,
ballots,1,11,ballot,11,contenant,1,,,,,
bannes,1,4,banne,4,contenant,1,,,,,
baquet,1,1,baquet,1,contenant,1,,,,,
barattes,1,1,,1023,,,,,,,
barbançons,1,2,pièces,124,pièces,1,,0,,0,
barbots,1,1,,1023,,,,,,,
barbues,1,3,,1023,,,,,,,
bards,1,1,bard,1,contenant,1,,0,1,0,
baril de 3,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
baril gros,1,1,,1023,,,,,,,
baril petit,1,1,,1023,,,,,,,
barillets,1,4,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
barils,1,19,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
barils de 100 livres,1,2,barils,11,kg,48.949999,,,,,
barils de 450 feuilles,1,6,barils,11,feuilles,450,,,,,
barils de 600 feuilles,1,1,barils,11,feuilles,600,,,,,
barils de 64 pots,1,1,,1023,,,,,,1,
barils de grand modèle 330,1,1,barils,11,kg,161.5349967,,,,1,
barils double,1,4,,1023,,,,,,1,
barils en saumure,1,1,,1023,,,,,,1,
barils feuiller,1,1,,1023,,,,,,1,
barils grand modèle,1,1,,1023,,,,,,,
barils gros,1,1,,1023,,,,,,,
barils ordinaires,1,1,,1023,,,,,,1,
barils petit modèle,1,1,,1023,,,,,,,
barils petits,1,11,,1023,,,,,,1,
barils petits de 300,1,1,barils,11,kg,146.849997,,,,1,
barils simple,1,2,,1023,,,,,,1,
barques,1,1,barriques,2,,,,,,1,nécessite le contenu et le lieu d'émission
barraux,1,1,,1023,,,,0,1,0,
barreaux,1,3,barral vin de Montpellier,3,kg,25.35,,0,,0,p57 doursther
barres,1,2,,1023,,,,0,1,0,
barrique,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
barriques,1,13,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
barriques à 400 L.,1,1,,1023,,,,,,,
barriques à 500 L.,1,1,,1023,,,,,,,
barriques en bottes,1,1,,1023,,,,,,,
barriques en bouteilles,1,2,,1023,,,,,,,
barriques grosses,1,1,,1023,,,,,,,
barriques nantaises,1,1,,1023,,,,,,,
barriques poids de 1000 livres,1,1,barriques,2,kg,489.49999,,,,,
bas,1,1,,1023,,,,,,,
basin double,1,1,,1023,,,,,,,
basses,1,1,,1023,,,,,,,
bassines,1,1,,1023,,,,,,,
bassins,1,3,,1023,,,,,,,
bateaux,1,3,contenant,3,contenant,1,1,,,,
bâtons,1,2,bâtons,2,pièces,1,,0,1,0,
battes,1,1,bailles,6,litres,14.625,,,,,
bazannes,1,1,pièces,124,pièces,1,,0,,0,
bertilles,1,1,,1023,,,,,,,
bêtes,1,1,bêtes,1,pièces,1,,,,,
bichets,1,1,bichets de Lyon,1,litres,31.9,,0,,0,p66 doursther
billes,1,2,billes,2,pièces,1,,,,,
billets,1,1,billets,1,pièces,1,,0,,0,
billons,1,1,billons,1,pièces,1,,,,,
billots,0,1,,1023,,,,,,,
bines,1,1,,1023,,,,0,1,0,
birges,1,1,,1023,,,,0,1,0,
boëtes,1,8,boîtes,16,contenant,1,,,,,
boëtes de 3 livres,1,1,,1023,,,,,,,
bœufs,1,2,pièces,124,pièces,1,,0,,0,
boisseau,1,15,boisseau,15,litres,12.695,,,,,Wikipédia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
boîtes,1,8,boîtes,16,contenant,1,,,,,
bolliches,1,1,,1023,,,,,,,
bonnets,1,2,pièces,124,pièces,1,,0,,0,
bordage,1,1,pièces,124,pièces,1,,,,,
botes,,0,,0,,,,,,1,
botiches,1,3,,1023,,,,,,,
bottes,1,6,,1023,,,,,,1,
bottes à 68 veltes,1,1,,1023,,,,,,,
boucaux,1,12,,1023,,,,,,,
boucs,1,3,pièces,124,pièces,1,,,,,
boules,1,2,,1023,,,,,,,
bouquets,1,1,,1023,,,,,,,
bourdillons,1,1,pièces,124,pièces,1,,,,,
bourriques,1,1,pièces,124,pièces,1,,,,,
bout,1,1,,1023,,,,,,,
boutades,1,2,,1023,,,,,,,
bouteilles,1,9,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
bouteilles + muids + pintes,1,1,,1023,,,,,,1,
bouteilles de pinte,1,3,,1023,,,,,,1,
bouteilles ou le livres,1,1,,1023,,,,,,1,
bouts,1,3,,1023,,,,,,,"vérification dans la source, il s'agit de « bouts »"
brancard,1,1,,1023,,,,0,1,0,
brases,,0,,0,,,,,,,
brassées,1,1,,1023,,,,0,1,0,p83 doursther = brasses ?
brasses,1,3,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
brilles,1,1,,1023,,,,,,,
brins,1,3,,1023,,,,,,,
briques,1,2,,1023,,,,,,,
bûches,1,4,bûches,4,pièces,1,,,,,???
cabas,1,2,cabas,2,contenant,1,,,,,
cabillon,1,1,,1023,,,,0,1,0,
cahiers,1,1,,1023,,,,,,,
caisses,1,8,caisses,9,contenant,1,,,,,
caisses de 50 L.,1,1,,1023,,,,,,,
caisses ordinaires,1,1,caisses,9,contenant,1,,,,,
caissons,1,2,caissons,2,contenant,1,,,,,
canastre,1,1,,1023,,,,,,1,"Doursther : 1 canastre représente la 70e partie de la pipe, page 91"
canes,1,2,,1023,,,,,,,
canevettes,1,10,canevette,10,contenant,,,,,,"Canevette = petit coffre pour le vin ou les liqueurs, voir Wikipédia"
cannades,1,1,,1023,,,,,,,
cannées,1,1,,1023,,,,,,,
cannelles,1,5,,1023,,,,,,,
cannes,1,3,cannes,3,cm,194.89999,,,,,"p94 doursther, correspond à la toise"
cannes en carré,1,1,,1023,,,,,,,
cannettes,1,5,,1023,,,,,,,
canques,1,1,,1023,,,,,,,
caps,1,2,,1023,,,,0,1,0,Doursther : voir cab page 88
caques,1,2,caques,2,kg,13.6,,,,,"p100 doursther : équivalent au baril, en anglais cade/cag"
caratello,1,1,,1023,,,,,,,
cargaisons,1,2,,1023,,,,,,,
carpes,1,1,pièces,124,pièces,1,,0,,0,
carre,1,1,,1023,,,,,,,
carreaux,1,7,carreaux,7,litres,102.831,,,,1,"Doursther : voir page 102, 1 carreau = 3 pieds cubes de Paris = 3*34,277 L (voir Wikipédia pied cube)"
cartier du pied de 480 livres,1,1,,1023,,,,,,,
cartieres,1,2,,1023,,,,0,1,0,p103 voir quartière
cartons,1,1,,1023,,,,,,,
cartroles,1,1,,1023,,,,,,,
castes,1,1,,1023,,,,,,,
cave,1,3,,1023,,,,,,,
cavelles,1,2,,1023,,,,,,,
cavettes,1,1,,1023,,,,,,,
cent,1,8,,1023,,,,,1,,"p107 doursther, 10.2833 stères, 300 pieds cubes de paris"
cent au grand,1,1,,1023,,,,,,,
cent au grand compte,1,2,,1023,,,,,,,
cent au grand nombre,1,1,,1023,,,,,,,
centaine,1,3,centaine,3,pièces,100,,,,,
cercles,1,1,,1023,,,,,,,
chaises,1,1,chaises,1,pièces,1,,,,,
chaldres,1,6,,1023,,,,,,,"il semble qu'il s'agisse de chaldres, une unité de mesure du charbon selon le cnrtl"
chalon,1,2,pièces,124,pièces,1,,,,,
chamois,1,1,pièces,124,pièces,1,,0,,0,
chanterice,1,1,,1023,,,,,,,
chantourné,1,1,,1023,,,,,,,
chapeaux,1,3,chapeaux,3,pièces,,,0,1,0,
chapons,1,1,,1023,,,,,,,
chardées,1,1,,1023,,,,0,1,0,
charge de 300 livres,1,1,charges,1,kg,146.849997,,,,,
charge de chenal,1,2,,1023,,,,,,,
chargées,1,1,,1023,,,,,,,
charges,1,5,,1023,,,,0,1,0,
chariots,1,5,chariots,5,litres,1028.31,,,,,"Doursther : 1 chariot = 10 carreaux = 30 pieds cubes de Paris = 30*34,277 L (voir wikipédia pied cube)"
charretées,1,19,charretées,19,litres,1920,,,,,"www.genefourneau.com/mesure.html , =1,92 stères"
charrettes,1,6,,1023,,,,,,,
chars,1,4,chars,4,litres,548.4400000000001,,0,,0,"p111 doursther, mesure de genève"
charte,1,1,,1023,,,,,,,
chartils,1,2,,1023,,,,,,,
cheldes,1,2,,1023,,,,,,,
chemises,1,1,pièces,124,pièces,1,,,,,
chevaux,1,1,pièces,124,pièces,1,,0,,0,
chevrier,1,1,,1023,,,,,,,
chevrons,1,2,,1023,,,,,,,
chipons de 300 livres,1,1,chipons,1,kg,146.849997,,,,,
chopes,1,1,,1023,,,,0,1,0,
choux,1,1,choux,1,pièces,1,,0,,0,
ciel,1,1,,1023,,,,,,,
citrons,1,1,citrons,1,pièces,1,,,,,
classer,1,1,,1023,,,,,,,
cloches,1,1,,1023,,,,,,,
coffre,1,4,coffres,4,contenant,1,,,,,
coffrets,1,1,coffrets,1,contenant,1,,,,,
colis,1,2,,1023,,,,,,,
collé,1,1,,1023,,,,,,,
colonnes,1,2,,1023,,,,,,,
communes,1,5,en nombre,15,pièces,1,,,,,
conques,1,1,conques,1,litres,41.060001,,0,,0,doursther : 41.06 litres p119
coquilles,1,1,,1023,,,,,,,
corde,1,4,cordes,4,litres,3839.055,,0,,0,p123 doursther
cordons,1,1,,1023,,,,0,1,0,
costés,,0,,0,,,,,,,
cotes,,0,pièces,0,pièces,1,,,,,
cottes,1,11,,1023,,,,,,,
couffe,1,1,,1023,,,,,,,
coupes,1,4,coupes,4,contenant,1,,0,,0,
coupons,1,4,,1023,,,,0,1,0,
courbes,1,1,,1023,,,,,,,
couteaux,1,1,,1023,,,,,,,
couverts,1,1,,1023,,,,,,,
couvertures,1,2,pièces,124,pièces,1,,0,,0,
croix,1,2,,1023,,,,,,,
cruche,1,3,cruches,3,pièces,1,,0,,0,
cuirs,1,4,pièces,124,pièces,1,,,,,
cuirs entier,1,1,pièces,124,pièces,1,,,,,
cuirs entiers,1,1,pièces,124,pièces,1,,,,,
dame-jeannes,1,4,pièces,124,pièces,1,,,,,
de,1,1,en nombre,15,pièces,1,,0,,0,
de selle,1,1,en nombre,15,pièces,1,,0,,0,
décagramme,1,1,décagramme,1,kg,.01,,,,,
décimètres,1,1,décimètres,1,cm,10,,,,,
demi,1,1,demi pièces,16,pièces,.5,,,,,
demi barriques,1,4,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
demi bottes,1,2,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
demi bouteilles,1,6,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
demi caisses,1,3,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
demi charge,1,3,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
demi cuirs,1,5,demi pièces,16,pièces,.5,,,,,
demi meule,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
