simplification,nbr_occurences_simplification,metric,conv_simplification_to_metric,incertitude_unit,source_hambourg,missing,needs_more_details,remarque_unit,nbr_occurences_metric
charretées,220,litres,1920,,,,0,"www.genefourneau.com/mesure.html , =1,92 stères",7130
chars,146,litres,548.4400000000001,,0,,0,"p111 doursther, mesure de genève",7130
charte,2,,,,,,1,,189342
chartils,2,,,,,,1,,189342
cheldes,2,,,,,,1,,189342
chevrier,1,,,,,,1,,189342
chevrons,2,,,,,,1,,189342
chopes,1,,,,,,1,,189342
choux,1,nombre,1,,0,,0,,72687
citrons,1,nombre,1,,,,0,,72687
classer,1,,,,,,1,,189342
cloches,1,,,,,,1,,189342
cm,13,,,,,,1,,189342
coffres,26,contenant,1,,,,0,,3178
coffrets,1,contenant,1,,,,0,,3178
colis,5,,,,,,1,,189342
collé,1,,,,,,1,,189342
conques,216,litres,41.06,,0,,0,doursther : 41.06 litres p119,7130
coquilles,1,,,,,,1,,189342
cordes,69,litres,3839.0549,,0,,0,p123 doursther,7130
cordons,1,,,,,,1,,189342
cottes,37,,,,,,1,,189342
couffe,1,,,,,,1,,189342
coupes,30,contenant,1,,0,,0,,3178
coupons,28,,,,,,1,,189342
courbes,1,,,,,,1,,189342
couteaux,1,,,,,,1,,189342
couverts,1,,,,,,1,,189342
croix,2,,,,,,1,,189342
cruches,9,nombre,1,,0,,0,,72687
da ?,1,,,,,,1,,189342
de navire ???,1,,,,,,1,,189342
demi charge,4,kg,73.425,,,,0,D'après Doursther (France). Aussi la valeure choisie par Werner,286169
demi pièces,25,nombre,.5,,0,,0,,72687
demi planches,3,nombre,.5,,,,0,,72687
demi planches en barils,1,,,,,,1,,189342
deniers,0,,,,,,1,,189342
deniers ?,1,,,,,,1,,189342
devants,2,,,,,,1,,189342
dierons ?,1,,,,,,1,,189342
données ?,1,,,,,,1,,189342
doubles cavelles,1,,,,,,1,,189342
doublures,1,nombre,1,,0,,0,,72687
douelles,0,nombre,1,,,,0,,72687
dourgs,1,,,,,,1,,189342
draps,3,,,,,,1,,189342
droits,13,,,,,,1,,189342
drugnes,1,,,,,,1,,189342
E',1,,,,,,1,,189342
écuelles,2,,,,,,1,,189342
émines,5,,,,,,1,,189342
en,3,,,,,,1,,189342
en argent,1,nombre,1,,,,0,,72687
en feuilles,1,feuilles,1,,0,,0,,224
en nombre,5,nombre,1,,0,,0,,72687
facs,1,,,,,,1,,189342
fagots,11,,,,,,1,,189342
faix,270,,,,,,1,Pas dans Doursther,189342
fanègues,27,,,,,,1,,189342
fannes,1,,,,,,1,,189342
fanons,1,nombre,1,,0,,0,,72687
fardeaux,1,,,,,,1,,189342
fartraux,1,,,,,,1,,189342
fau,1,,,,,,1,,189342
feittots,1,,,,,,1,,189342
ferquins,1,,,,,,1,,189342
fers,2,,,,,,1,,189342
fés,1,,,,,,1,,189342
feuillards,2,,,,,,1,,189342
feuilles,223,feuilles,1,,,,0,,224
feuilles doubles,1,nombre,1,,,,0,,72687
feuillet,4,,,,,,1,,189342
feuillettes,9,kg,134.11,,0,,0,p161 doursther,286169
fez,3,,,,,,1,,189342
fils,1,,,,,,1,,189342
fioles,69,,,,,,1,,189342
flacons,179,contenant,1,,0,,0,,3178
fléau,1,,,,,,1,,189342
flûtes,5,nombre,1,,,,0,,72687
fonçailles,8,,,,,,1,,189342
fontaine,1,,,,,,1,,189342
fourneaux,2,nombre,1,,,,0,,72687
fournitures,113,,,,,,1,Que pour du bois et des cercles à tonneaux ; pas dans les Doursther,189342
fours,6,nombre,1,,,,0,,72687
fraques ?????,1,,,,,,1,,189342
frequier,5,,,,,,1,,189342
frequin,46,,,,,,1,,189342
frequins,1,,,,,,1,,189342
fres,1,,,,,,1,,189342
fromages,1,nombre,1,,,,0,,72687
fusils,3,nombre,1,,0,,0,,72687
futailles,53,kg,391.6,,,,0,,286169
futs,2,,,,,,1,,189342
garbes,1,,,,,,1,,189342
garde feux,2,,,,,,1,,189342
garnitures,42,,,,,,1,,189342
gennes ?,1,,,,,,1,,189342
gerbes,2,,,,,,1,,189342
gobelets,5,nombre,1,,,,0,,72687
gommes,7,,,,,,1,,189342
gonnes,29,,,,,,1,,189342
gousses,1,,,,,,1,,189342
grains,1,,,,,,1,,189342
grande caisse,3,,,,,,1,,189342
grands,6,nombre,1,,0,,0,,72687
grenier,5,,,,,,1,,189342
gros flacons,1,,,,,,1,,189342
grosses,1339,nombre,144,,,,0,"p175 doursther, 12 douzaines",72687
grosses barriques,6,,,,,,1,,189342
grosses paires,1,,,,,,1,,189342
grosses pièces,1,,,,,,1,,189342
grosses pipes,1,,,,,,1,,189342
grosseur,2,,,,,,1,,189342
guindeau,1,nombre,1,,,,0,,72687
habits,1,,,,,,1,,189342
haches,1,,,,,,1,,189342
halles,1,,,,,,1,,189342
Hambourg,10,,,,,,1,,189342
horloges,1,nombre,1,,,,0,,72687
Houlle,1,,,,,,1,,189342
huitres,1,nombre,1,,0,,0,,72687
hume,1,,,,,,1,,189342
imi de berne,1,litres,3.503,,0,,0,p597 doursther -> voir Imi p186,7130
issarions,2,,,,,,1,,189342
jarres,10,,,,,,1,,189342
jattes,4,,,,,,1,,189342
jeux,7,nombre,1,,,,0,,72687
jez,15,litres,137.11,,,,0,"Doursther page 190, 1 jez = 137,11 L",7130
jupes,1,,,,,,1,,189342
jutte,19,kg,60,,0,1,0,"Doursther page 193, la jutte pesait environ 60kg",286169
kg,23,,,,,,,,189342
kilogrammes,12182,kg,1,,,,0,,286169
lames,1,,,,,,1,,189342
last,128,,,,,,1,,189342
le pied cube,8,,,,,,1,,189342
le reste,3,,,,,,1,,189342
lest,2,,,,,,1,,189342
leths,47,,,,,,1,,189342
liens,2,,,,,,1,,189342
lingot,1,,,,,,1,,189342
litres,1237,litres,1,,,,0,,7130
livres,259102,kg,.4895,,,,0,,286169
livres ou pièces,1,,,,,,1,,189342
livrets,1,,,,,,1,,189342
lordins,16,,,,,,1,,189342
madriers,7,nombre,1,,,,0,pièces ??,72687
madures,1,,,,,,1,,189342
main,5,,,,,,1,,189342
maindes,3,,,,,,1,,189342
malles,40,contenant,1,,0,,0,,3178
manades,2,,,,,,1,,189342
manches,1,,,,,,1,,189342
mannes,59,contenant,1,,,,0,http://books.google.fr/books?id=9HM7AQAAIAAJ&pg=PA56&lpg=PA56&dq=mannes+de+charbon&source=bl&ots=WmK7GL1a82&sig=iO8oAqn4W-S8Bhi-28ohNUZPaP8&hl=fr&sa=X&ei=ULG2U76SNaz20gWTpoCYCQ&ved=0CFIQ6AEwCQ#v=onepage&q=mannes%20de%20charbon&f=false,3178
marcs,685,kg,.2447,,,,0,,286169
mare ?,1,,,,,,1,,189342
mares,1,,,,,,1,,189342
masses,54,,,,,,1,,189342
mats,4,nombre,1,,0,,0,,72687
mèches,1,nombre,1,,,,0,,72687
merrain,2,,,,,,1,,189342
mesures,154,litres,14.63,,0,,0,doursther p279,7130
mètre,122,cm,100,,,,0,,10781
meule,1,,,,,,1,,189342
meules,4,,,,,,1,,189342
migères,6,,,,,,1,,189342
mille,3,nombre,1000,,,,0,,72687
millerolles,2198,litres,61.4658,,,,0,"Doursther p. 280 Mesure de capacité pour liquide en usage à Marseille et Toulon dit 64. On préfère Savary qui dit que c'est 66 pintes (à 0,9313 litres la pinte)",7130
milliers au grand compte,92,,,,,,1,,189342
mines,46,litres,76.172,,0,,0,Wikipedia,7130
minots,22,litres,38.086,,0,,0,Wikipedia,7130
minots et muids et septiers,4,,,,,,1,,189342
moitié,1,,,,,,1,,189342
molles,1,,,,,,1,,189342
monds,38,kg,1250,,0,,0,p298 doursther,286169
monts,61,kg,1250,,,,0,p298 doursther,286169
morceaux,9,nombre,1,,0,,0,,72687
mortiers,4,,,,,,1,,189342
morues,1,nombre,1,,,,0,,72687
mottes,2,,,,,,1,,189342
mouchoirs,1,nombre,1,,,,0,,72687
mouts,1,,,,,,1,,189342
moutte,3,,,,,,1,,189342
muids,0,,,,,,1,,189342
muids + septiers,1,,,,,,1,,189342
muids + septiers + minots + boisseau,1,,,,,,1,,189342
muids de paris,0,,,,,,,,189342
muids du Poulinguen,1,,,,,,1,,189342
muids en bouteilles,3,,,,,,1,,189342
muids encerclés,4,,,,,,1,,189342
niasses,1,,,,,,1,,189342
nombre,46685,nombre,1,,,,0,,72687
onces,175,kg,.0306,,,,0,,286169
ordinaires,18,nombre,1,,,,0,,72687
outres,2,,,,,,1,,189342
outres de peaux de boucs,173,,,,,,,,189342
pains,46,nombre,1,,,,0,,72687
paires petites,1,,,,,,1,,189342
palles,1,,,,,,1,,189342
palme,4,cm,26.3952,,,,0,Doursther et http://aviatechno.net/unites/pieds.php,10781
panal,1,,,,,,1,,189342
panaux,3,,,,,,1,,189342
panier,327,contenant,1,,,,0,,3178
panneaux,4,,,,,,1,,189342
pans,9,,,,,,1,,189342
paquets,435,contenant,1,,,,0,,3178
par cube,1,,,,,,1,,189342
pasgas,1,,,,,,1,,189342
pattes,1,,,,,,1,,189342
patz,1,,,,,,1,,189342
paumes,3,cm,8.120000000000001,,,,0,Doursther page 392,10781
peaux,6,nombre,1,,0,,0,,72687
pelaux,2,,,,,,1,,189342
perches,71,,,,,,1,,189342
pesant,1,,,,,,1,,189342
petit ballot,1,,,,,,1,,189342
petit sac,1,,,,,,1,,189342
petite caisse,2,,,,,,1,,189342
petites bouteilles,2,,,,,,1,,189342
petites caisses,3,,,,,,1,,189342
petites cruches,1,,,,,,1,,189342
petits,26,nombre,1,,,,0,,72687
petits barils,52,,,,,,1,,189342
petoltons,1,,,,,,1,,189342
pezant,3,,,,,,1,,189342
pièce de 28,1,,,,,,1,,189342
pièce double,1,,,,,,1,,189342
pièces,24088,nombre,1,,0,,0,,72687
pièces fonçailles,2,,,,,,1,,189342
pièces pour barriques,1,,,,,,1,,189342
pieds,1,,,,,,1,,189342
pieds cubes,19,litres,34.277,,,,0,Wikipedia,7130
pieds de roi,209,cm,32.484,,,,0,p426 doursther,10781
Pieriers,2,,,,,,1,,189342
pierres,8,nombre,1,,,,0,,72687
pilan,1,,,,,,1,,189342
pinte,0,litres,.9521000000000001,,,,0,Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur,7130
pintes,7937,,,,,,1,,189342
pipe,701,litres,411.327,,,,0,Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur,7130
pipes,0,,,,,,,,189342
pipettes,1,contenant,1,,0,,0,,3178
pipot,0,,,,,,1,,189342
planches,1,,,,,,,,189342
plaques,7,,,,,,1,,189342
plateaux,1,,,,,,1,,189342
pochées,11,,,,,,1,,189342
poches,5,,,,,,1,,189342
Poenion,1,,,,,,1,,189342
poids,3,,,,,,1,,189342
poignées,54,,,,0,,1,,189342
poinçons,264,litres,201.16,,,,0,Doursther page 447,7130
pommiers,1,,,,,,1,,189342
postes,1,,,,,,1,,189342
pot,0,,,,,,1,,189342
potiches,18,,,,,,1,,189342
potiches petites,1,,,,,,1,,189342
pots,0,,,,,,1,,189342
poulets,1,,,,,,1,,189342
poutrelles,1,nombre,1,,,,0,"vérification dans la source, il s'agit de « poutrelles »",72687
poutres,2,nombre,1,,,,0,,72687
prises,4,,,,,,1,,189342
quart,97,,,,,,1,,189342
quartaut,7,litres,68.55500000000001,,,,0,"1 quartaut correspond à environ 68 litres, source Wikipédia",7130
quartiers,47,,,,,,1,,189342
quartiers mesure de blaye,3,,,,,,1,,189342
quarts,450,,,,,,1,,189342
queue,9,litres,411.327,,,,0,"Doursther page 468, queue = pipe",7130
quiconir,1,,,,,,1,,189342
quinquets,1,,,,,,1,,189342
quint,2,kg,.0038,,,,0,Doursther page 468,286169
quintaux de Saint-Domingue,1,,,,,,1,,189342
quintaux des colonies françaises,4,,,,,,1,,189342
radeaux,1,,,,,,1,,189342
rame ou aunes,1,,,,,,1,,189342
rames,2048,,,1,,,1,Doursther : mesure pour le papier. Entre 360 et 500 feuilles. Mais il y en aussi pour les draps... Épaisseur de 20 mains ? Réglé par Savary qui dit 500 feuilles,189342
rasières,55,,,,,,1,,189342
réchauds,1,,,,,,1,,189342
retz,4,litres,30.5,,,,0,Doursther page 477,7130
robes,3,nombre,1,,0,1,0,,72687
rolle,1,,,,,,1,,189342
rondelles,1,,,,,,1,,189342
rouleaux,68,,,,,,1,Pas dans Doursther,189342
sabres,9,nombre,1,,0,,0,,72687
sacs,211,,,,,,1,,189342
sanegues,2,,,,,,1,,189342
sannées,1,,,,,,1,,189342
saumes,3,,,,,,,,189342
saumon,1,,,,,,1,,189342
saur,1,,,,,,1,,189342
seaux,1,,,,,,1,,189342
selles,1,,,,,,1,,189342
sennes,2,nombre,1,,0,,0,,72687
serges,1,nombre,1,,0,1,0,,72687
services,26,nombre,1,,0,1,0,,72687
serviettes,1,nombre,1,,,,0,,72687
setier,170,litres,152.343,,,,0,wikipédia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur,7130
simple,2,,,,,,1,,189342
solives,1,,,,,,1,,189342
somme,9,,,,,,1,,189342
sommées,11,,,,,,1,,189342
sommiers,7,,,,,,1,,189342
sors,1,,,,,,1,,189342
sortes,1,,,,,,1,,189342
sous,1,,,,,,1,,189342
stères,42,litres,1000,,,,0,"Doursther page 519, 1 stère = 1 mètre cube",7130
tableaux,2,,,,,,1,,189342
tables,0,nombre,1,,,,0,,72687
taille petit,1,,,,,,1,,189342
taques ?,1,,,,,,1,,189342
tasses,13,,,,,,1,,189342
teintures,8,,,,,,1,,189342
tierçons,535,,,,,,1,,189342
tierçons et demi,1,,,,,,1,,189342
tiers,1,,,,,,1,,189342
timbres,23,,,,,,1,,189342
timpettes,1,,,,,,1,,189342
tinéa,1,,,,,,1,,189342
tinettes,1,,,,,,1,,189342
tinnes,2,,,,,,1,,189342
toises,39,cm,194.9,,0,,0,Wikipedia,10781
toisons,1,,,,,,1,,189342
tomes,3,,,,,,1,,189342
tommes,2,,,,,,1,,189342
tones,1,,,,,,1,,189342
tonne,115,,,,,,1,,189342
tonneaux,5684,kg,2569.875,,,,0,,286169
tonneaux de haut,1,,,,,,1,,189342
tonneaux de ville,1,,,,,,1,,189342
tonneaux fonds,1,,,,,,1,,189342
topettes,7,contenant,1,,,,0,,3178
torche,3,,,,,,1,,189342
torches,8,,,,,,1,,189342
traques,251,nombre,3,,,,0,Dictionnaire de la marine françois (books.google.fr),72687
treilles,2,,,,,,1,,189342
tuiles,2,nombre,1,,,,0,,72687
urnes,1,,,,,,1,,189342
valeur,181,,,,,,1,,189342
vals,1,,,,,,1,,189342
varres,1,,,,,,1,,189342
veaux,1,,,,,,1,,189342
veltes,2,litres,7.430000000000001,,,,0,Dourshter : mesure de Paris,7130
verges,0,litres,7.430000000000001,,0,,0,p581 : <=> veltes,7130
verres,2,,,,,,1,,189342
vogues,1,,,,,,1,,189342
voitures,23,nombre,1,,,,0,,72687
vollilles,1,nombre,1,,0,,0,loïc charles,72687
wagons,8,,,,,,1,,189342
