origine,origine_norm_ortho
?,?
3 Evêchés,Trois-Évêchés
Abbeville,Abbeville
Acheté à Lisbonne en faisant route pour la côte d'or,Acheté à Lisbonne en faisant route pour la côte d'or
Aédon,Aédon
Agde,Agde
Agen,Agen
Agenois,Agenois
Agénois,Agenois
Aix,Aix
Alençon,Alençon
Alep,Alep
Alicante,Alicante
Aligre,Aligre
Allemagne,Allemagne
Alsace,Alsace
Amérique,Amérique
Amérique espagnole,Amérique espagnole
Amienois,Amiénois
Amiénois,Amiénois
Amiens,Amiens
Angers,Angers
Angleterre,Angleterre
Angoulême,Angoulême
Angoumoins,Angoumois
Angoumois,Angoumois
Anjou,Anjou
Annonay,Annonay
Arbois Franche comté,Arbois Franche comté
Argenton,Argenton
Arles,Arles
Armagnac,Armagnac
Artois,Artois
Aubenas,Aubenas
Aubenton,Aubenton
Aulnay,Aulnay
Aunis,Aunis
Auvergne,Auvergne
Aux Voyageurs,Aux Voyageurs
Auxonne,Auxonne
Avignon,Avignon
Baccarat,Baccarat
Barbarie,Barbarie
Barcelone,Barcelone
Barrege,Barrege
Barsac,Barsac
Baujolais,Baujolais
Bayonne,Beaujolais
Bearn,Béarn
Béarn,Béarn
Béarn et Languedoc,Béarn et Languedoc
Béarn la Guyenne,Béarn la Guyenne
Beauce,Beauce
Beaufort,Beaufort
Beaujolais,Beaujolais
Beaussird,Beaussird
Beauvais,Beauvais
Beauvoisin,Beauvoisin
Belesine,Belesine
Bernay,Bernay
Berri,Berry
Berry,Berry
Bidache,Bidache
Bigor,Bigorre
Bigorre,Bigorre
Blaye,Blaye
Bolbec,Bolbec
Bordeaux,Bordeaux
Bordeaux Bourgogne,Bordeaux Bourgogne
Bordeaux Champagne,Bordeaux Champagne
Bordeaux d'Espagne,Bordeaux d'Espagne
Bordeaux et Provence,Bordeaux et Provence
Bordeaux et Sault,Bordeaux et Sault
Bordeaux Franche comté,Bordeaux Franche comté
Bordeaux Guyenne,Bordeaux Guyenne
Bordeaux Languedoc,Bordeaux Languedoc
Bouillon,Bouillon
Boulogne,Boulogne
Boulonais,Boulonais
Bourbonais,Bourbonnais
Bourbonnais,Bourbonnais
Bourbonnois,Bourbonnais
Bourges,Bourges
Bourgogne,Bourgogne
Bournay,Bournay
Brême,Brême
Bremen,Brême
Brésil,Brésil
Bretagne,Bretagne
Brouage,Brouage
Bureau du roy,Bureau du roy
Caen,Caen
Calais,Calais
Cambraisis,Cambrésis
Cambray,Cambrésis
Cambresis,Cambrésis
Cambrésis,Cambrésis
Cap breton,Cap breton
Cap français,Cap français
Cap françois,Cap français
Capbreton,Cap breton
Carcassonne,Carcassonne
Caroline,Caroline
Castillon,Castillon
