source,orthographic,source_bdc,nbr_occurences_source,nbr_occurences_orthographic
mottes,mottes,1,2,2
moute,moutte,1,2,3
mouts,mouts,1,1,1
mouttes,moutte,1,1,3
movres,movres,1,1,1
moyenes,moyenne,1,1,4
moyenne pièces,moyenne pièces,1,1,1
moyennes,moyenne,1,2,4
Muid,muids,1,227,4783
muid,muids,1,110,4783
muid de 120 livres,muid de 120 livres,1,8,8
"muid de 62,5 pintes","muid de 62,5 pintes",1,24,24
muides,muids,1,14,4783
Muids,muids,1,1150,4783
muids,muids,1,3281,4783
Muids + pintes et bouteilles,muids + pintes et bouteilles,1,25,25
Muids + Septiers,muids + septiers,1,1,1
Muids + Septiers + Minots,muids + septiers + minots,1,4,4
Muids + Septiers + Minots + boisseau,muids + septiers + minots + boisseau,1,1,1
Muids de Comté,muids de Comté,1,1,1
Muids de Paris,muids de Paris,1,6,6
muids du Poulinguen,muids du Poulinguen,1,1,1
muids en bouteilles,muids en bouteilles,1,3,3
muids encerclés,muids encerclés,1,4,4
Muids le demy,muids le demi,1,1,1
muids ordinaires,muids ordinaires,1,1,1
muidss,muids,1,1,4783
mulle,malles,1,1,40
mulleroles,milleroles,1,1,2306
mur,onces,1,1,178
Nb,nombre,1,1,11424
nicasses,niasses,1,1,1
noisseaux,boisseau,1,1,1524
Nom,en nombre,1,1,19279
nom,nombre,1,1,11424
Nomb re,nombre,1,1,11424
nombne,nombre,1,1,11424
Nombre,nombre,1,4372,11424
nombre,nombre,1,5812,11424
Nombres,nombre,1,1160,11424
nombres,nombre,1,42,11424
Nombres?,nombre,1,1,11424
nuliers ?,nuliers ?,1,1,1
oedinaire,ordinaire,0,0,0
Once,onces,1,3,178
Onces,onces,1,56,178
onces,onces,1,118,178
onces estimées,onces estimées,1,1,1
ordinaires,ordinaire,0,0,0
outres,outres,1,2,2
ouvrée,ouvrée,1,1,1
Pacquet,paquets,1,10,445
pacquet,paquets,1,2,445
Pacquets,paquets,1,2,445
pacquets,paquets,1,22,445
pacquets (de 1000),paquets de 1000,1,1,1
pagniers,paniers,1,1,339
Pains,pains,1,10,47
pains,pains,1,37,47
pair,paires,1,2,3046
Paire,paires,1,126,3046
paire,paires,1,44,3046
Paires,paires,1,901,3046
paires,paires,1,1927,3046
Païres,paires,1,1,3046
paires petites,paires petites,1,1,1
Pairs,paires,1,2,3046
pairs,paires,1,41,3046
pales,poêles,1,1,1
palles,palles,1,1,1
palme,palme,1,2,2
palmes,palmes,1,2,2
Pamiers,paniers,1,5,339
Panal,pot,1,1,1
panal,panal,1,1,1
panaux,panneaux,1,3,7
paneaux,panneaux,1,1,7
panes,pans,1,2,12
panicons,paniers,1,1,339
Panier,paniers,1,13,339
panier,paniers,1,12,339
Paniers,paniers,1,57,339
paniers,paniers,1,231,339
Panneaux,panneaux,1,2,7
panneaux,panneaux,1,1,7
Pannier,paniers,1,2,339
pannier,paniers,1,1,339
Panniers,paniers,1,5,339
panniers,paniers,1,11,339
Pans,pans,1,1,12
pans,pans,1,9,12
paque,paquets,1,2,445
paqué,paquets,1,1,445
PAQUET,paquets,1,1,445
Paquet,paquets,1,12,445
paquet,paquets,1,21,445
Paquets,paquets,1,81,445
paquets,paquets,1,291,445
Paquets 100 faix,paquets 100 faix,1,1,1
paquets estimés,paquets estimés,1,1,1
Par cube,par cube,1,1,1
pasqus,pasgas,1,1,1
Pattes,pattes,1,1,1
patz,patz,1,1,1
paumes,paumes,1,3,3
peintes,peintes,1,1,1
Pelaux,pelaux,1,1,2
pelaux,pelaux,1,1,2
pelotons,petoltons,1,1,1
pesant,pesant,1,1,1
Petit balot,petit ballot,1,1,1
Petit baril,barils petits,1,1,61
petit baril,barils petits,1,3,61
Petit sac,petit sac,1,1,1
petite,petits,1,2,24
Petite caisse,petite caisse,1,1,2
petite caisse,petite caisse,1,1,2
petite pièces,petite pièces,1,1,1
petites,petits,1,6,24
petites barils,barils petits,1,1,61
petites bouteilles,petites bouteilles,1,2,2
Petites caisses,petites caisses,1,1,3
petites caisses,petites caisses,1,2,3
Petites cruches,petites cruches,1,1,1
Petits,petits,1,1,24
petits,petits,1,15,24
petits barils,barils petits,1,28,61
Petits barrils,barils petits,1,4,61
petits barrils,barils petits,1,2,61
petits paniers,paniers petits,1,1,1
pezam,pezant,1,1,3
Pezant,pezant,1,2,3
Phioles,fioles,1,2,69
PI,pièces,1,1,24871
Piaires,paires,1,1,3046
Piè,pièces,1,1,24871
piè,pièces,1,4,24871
Piece,pièces,1,2,24871
piece,pièces,1,46,24871
piéce,pièces,1,5,24871
Pièce,pièces,1,1727,24871
pièce,pièces,1,298,24871
Pièce double,pièce double,1,1,1
Pieces,pièces,1,2004,24871
pieces,pièces,1,2083,24871
Piéces,pièces,1,1,24871
piéces,pièces,1,61,24871
PIèces,pièces,1,151,24871
Pièces,pièces,1,4534,24871
pièces,pièces,1,13932,24871
pîeces,pièces,1,1,24871
Pièces estimées,pièces,1,4,24871
Pièces grosses,pièces grosses,1,1,1
Pièces pour barriques,pièces pour barriques,1,1,1
Piècs,pièces,1,1,24871
piècs,pièces,1,1,24871
Piècves,pièces,1,1,24871
Pied,pieds,1,3,214
pied,pieds,1,4,214
Pieds,pieds,1,32,214
pieds,pieds,1,175,214
Pieds courants,pieds courants,1,1,1
Pieds cubes,pieds cubes,1,3,19
pieds cubes,pieds cubes,1,16,19
Pieriers,Pieriers,1,2,2
Pierre,pierre,1,1,6
pierre,pierre,1,3,6
Pierres,pierre,0,0,6
pierres,pierre,1,2,6
Pieu,pièces,1,1,24871
pilan,pilan,1,1,1
pinçons,poinçons,1,4,264
Pinte,pintes,1,5,795
pinte,pintes,1,149,795
Pintes,pintes,1,221,795
pintes,pintes,1,419,795
Pipe,pipe,1,7,375
pipe,pipe,1,4,375
Pipes,pipe,1,61,375
pipes,pipe,1,302,375
pipes de 2 bariques,pipe de 2 barriques,1,1,1
Pipes ordinaires,pipe ordinaire,1,1,1
pipet,pipe,1,1,375
pipettes,pipettes,1,1,1
pipots,pipot,1,11,11
pites,pintes,1,1,795
planches,planches,1,1,1
Plateaux,plateaux,1,1,1
pliures,pliures,1,1,1
pnier,panier,1,1,1
Pochées,pochées,1,11,11
pochées,poches,1,2,5
Poches,poches,1,2,5
poches,poches,1,1,5
Poenion,poinçons,1,1,264
Pognées,pognées,1,1,1
poiçons,poinçons,1,1,264
poids,poids,1,3,3
poigné,poignées,1,5,59
Poignée,poignées,1,6,59
Poignées,poignées,1,17,59
poignées,poignées,1,30,59
Poignés,poignées,1,1,59
Poincon,poinçons,1,2,264
poincon,poinçons,1,1,264
Poinçon,poinçons,1,3,264
poinçon,poinçons,1,8,264
Poincons,poinçons,1,4,264
poincons,poinçons,1,3,264
Poinçons,poinçons,1,37,264
poinçons,poinçons,1,199,264
poinEau,poinçons,1,1,264
poires,paires,1,1,3046
Poisseaux,boisseaux,1,1,1
Pors,pots,1,1,1579
postes,postes,1,1,1
postiches petites,potiches petites,1,1,1
Pot,pots,1,28,1579
pot,pots,1,14,1579
potiches,potiches,1,18,18
Pots,pots,1,581,1579
pots,pots,1,954,1579
poulets,poulets,0,0,0
pour cent,pour cent,1,1,1
pouteries,poutrelles,1,1,1
poutres,poutre,1,2,2
Prises,prises,1,1,4
prises,prises,1,3,4
quares,quart,1,1,99
quars de Barils,quart de barils,1,1,1
Quart,quart,1,85,99
quart,quart,1,13,99
quart de charge,quart de charge,1,1,1
Quarteaux,quartaut,1,2,8
quarteaux,quartaut,1,6,8
Quartier,quartiers,1,1,58
quartier,quartiers,1,2,58
Quartieres,quartiers,1,4,58
quartieres,quartiers,1,2,58
Quartiers,quartiers,1,28,58
quartiers,quartiers,1,21,58
Quartiers mesure de Blaye,quartiers mesure de blaye,1,3,3
quartillons,cabillons,1,1,1
Quarts,quarts,1,247,456
quarts,quarts,1,208,456
Quarts??,quarts,1,1,456
Queue,queues,1,1,9
Queues,queues,1,3,9
queues,queues,1,5,9
quiconir,quiconir,1,1,1
quinal,quintal,1,1,2800
quinquets,quinquets,1,1,1
Quintal,quintal,1,817,2800
quintal,quintal,1,1982,2800
Quintaux,quintaux,1,427,14791
quintaux,quintaux,1,14362,14791
quintaux de Saint-Domingue,quintaux de Saint-Domingue,1,1,1
quintaux des colonies françaises,quintaux des colonies françaises,1,4,4
quintaux métriques,quintaux métriques,1,7,7
Quinteaux,quintaux,1,2,14791
quints,quints,1,2,2
radeaux,radeaux,1,1,1
Rame,rames,1,26,2111
rame,rames,1,108,2111
rame ou aunes,rame ou aunes,1,1,1
Rames,rames,1,563,2111
rames,rames,1,1414,2111
Rapé,râpé,1,1,1
rasières,rasières,1,1,56
Raziere,rasières,1,2,56
Razière,rasières,1,1,56
Razieres,rasières,1,4,56
razieres,rasières,1,1,56
Razières,rasières,1,2,56
razières,rasières,1,45,56
rest.,rets,1,2,6
rets,rets,1,2,6
retz,rets,1,2,6
robes,robes,1,4,4
rode,rodes,1,1,71
roder,rodes,1,1,71
rodes,rodes,1,66,71
rodes ?,rodes,1,1,71
rodes ???,rodes,1,1,71
Rolle,rolle,1,1,1
Rondelles,rondelles,1,1,1
rouleau,rouleaux,1,3,68
Rouleaux,rouleaux,1,3,68
rouleaux,rouleaux,1,60,68
ruleaux,rouleaux,1,2,68
Sac,sacs,1,6,213
sac,sacs,1,1,213
Sacs,sacs,1,46,213
sacs,sacs,1,156,213
Sacs de 2800 boisseaux,sacs de 2800 boisseaux,1,1,1
sacs petits,sacs petits,1,1,1
saix,faix,1,1,290
sanegues,sanegues,1,2,2
sannées,sannées,1,1,1
Saumes,saumes,1,3,3
Saur,saur,1,1,1
Saus,sacs,1,4,213
seaux,seaux,1,1,1
Secheldes,cheldes,1,1,2
selles,selles,1,1,1
sennes,sennes,0,0,0
Septier,setiers,1,9,170
septier,setiers,1,7,170
Septiers,setiers,1,30,170
septiers,setiers,1,66,170
septires,setiers,1,1,170
serges,serges,1,1,1
sergiers,services,1,1,27
service,services,1,2,27
Services,services,1,10,27
services,services,1,14,27
Serviettes,serviettes,0,0,0
Setiers,setiers,1,3,170
setiers,setiers,1,44,170
setiés,setiers,1,1,170
settier,setiers,1,1,170
Settiers,setiers,1,5,170
settiers,setiers,1,3,170
Sixain,sixains,1,1,62
Sixaine,sixains,1,1,62
Sixaines,sixains,1,4,62
sixaines,sixains,1,12,62
Sixains,sixains,1,11,62
sixains,sixains,1,7,62
sixieme de baril,sixième de baril,1,1,1
sixtaines,sixains,1,4,62
sizaines,sixains,1,1,62
sizains,sixains,1,10,62
Somme,somme,1,1,9
sommée,sommées,1,1,11
Sommées,sommées,1,2,11
sommées,sommées,1,8,11
Sommes,somme,1,4,9
sommes,somme,1,4,9
sommiers,sommiers,1,7,7
sors,sors,1,1,1
sortes,sortes,1,1,1
soue,sous,1,1,2
Sous,sous,1,1,2
stère,stères,1,16,42
stères,stères,1,26,42
stimées,estimé,1,1,352
stoc,livres,1,1,249229
taille petit,taille petit,1,1,1
taques ?,taques ?,1,1,1
Tarsonde,tierçons,1,1,540
Tasses,tasses,1,1,13
tasses,tasses,1,12,13
Taupettes,topettes,1,4,7
Teinture,teintures,0,0,0
teintures,teintures,0,0,0
testes,têtes,0,0,0
thonnaux,tonneaux,1,3,5823
thonneau,tonneaux,1,4,5823
Thonneaux,tonneaux,1,28,5823
thonneaux,tonneaux,1,13,5823
tierçns,tierçons,1,2,540
TIERCON,tierçons,1,1,540
Tiercon,tierçons,1,3,540
tiercon,tierçons,1,18,540
Tierçon,tierçons,1,48,540
tierçon,tierçons,1,15,540
Tiercone,tierçons,1,1,540
Tiercons,tierçons,1,7,540
tiercons,tierçons,1,70,540
Tierçons,tierçons,1,171,540
tierçons,tierçons,1,195,540
tiercons et demy,tierçons et demi,1,1,1
Tiercours,tierçons,1,2,540
Tiercous,tierçons,1,2,540
Tierions,tierçons,1,1,540
tierions ?,tierçons,1,1,540
tiers,tiers,1,1,1
Tiersous,tierçons,1,2,540
timbre,timbres,1,1,23
Timbres,timbres,1,3,23
timbres,timbres,1,19,23
Times,tinnes,1,1,2
Timpettes,timpettes,1,1,1
tinéa,tinéa,1,1,1
tinettes,tinettes,1,1,1
tinnes,tinnes,1,1,2
Toises,toises,1,8,40
toises,toises,1,32,40
Toisons,toisons,1,1,1
Tomes,tomes,1,1,3
tomes,tomes,1,2,3
Tommes,tommes,1,1,2
tommes,tommes,1,1,2
tonaux,tonneaux,1,6,5823
toneaux,tonneaux,1,1,5823
Tones?,tones,1,1,1
tonnaux,tonneaux,1,1,5823
Tonne,tonne,1,6,117
tonne,tonne,1,9,117
Tonneau,tonneaux,1,566,5823
tonneau,tonneaux,1,18,5823
Tonneaux,tonneaux,1,2816,5823
tonneaux,tonneaux,1,2365,5823
Tonneaux a 20 qu,tonneaux a 20 quarts,1,1,1
tonneaux de 2000 livres,tonneaux de 2000 livres,1,1,1
Tonneaux de 5250 livres,tonneaux de 5250 livres,1,1,1
Tonneaux de haut,tonneaux de haut,1,1,1
Tonneaux de ville,tonneaux de ville,1,1,1
tonneaux fonds,tonneaux fonds,1,1,1
Tonneaux?,tonneaux,1,1,5823
Tonnes,tonne,1,26,117
tonnes,tonne,1,76,117
tonneux,tonneaux,1,1,5823
topettes,topettes,1,1,7
Torche,torches,1,3,8
Torches,torches,1,3,8
torches,torches,1,1,8
Touches,torches,1,1,8
Toupette,topettes,1,1,7
Toyette?,topettes,1,1,7
Tracques,traques,1,2,254
Traque,traques,1,5,254
traque,traques,1,12,254
Traques,traques,1,64,254
traques,traques,1,171,254
Treilles,treilles,1,1,2
treittes,treilles,1,1,2
unité,unité,1,7,7
Unités,nombre,1,2,11424
unités,nombre,1,31,11424
urnes,urnes,1,1,1
val,valeur,1,1,71
valeur,valeur,1,19,71
valeurs,valeur,1,51,71
vals,vals,1,1,1
varres,varres,1,1,1
Vbarils,barils,1,1,7404
vbarils,barils,1,1,7404
veaux,veaux,1,1,1
velles,veltes,1,1,920
Velte,veltes,1,110,920
velte,veltes,1,8,920
Veltes,veltes,1,346,920
veltes,veltes,1,454,920
Veltes le demi,veltes le demi,1,1,1
veltres,veltes,1,1,920
Verges,verges,1,45,68
verges,verges,1,23,68
verres,verres,1,2,2
vie?,pièces,1,1,24871
vieux?,pièces,1,1,24871
Vivants,vivants,1,1,1
vogue,vogues,0,0,1
vogues,vogues,1,1,1
voiture,voitures,1,1,23
Voitures,voitures,1,1,23
voitures,voitures,1,20,23
vollilles,vollilles,1,1,1
voyes,voyes,1,2,2
W,w,1,2,2
wagons,wagons,1,8,8
yunes,yunes,1,1,1
