simplification,nbr_occurences_simpl,sourcename,note,nbr_occurences_sourcename
Pêches à la Morue en Islande,1,Divers,,2748
Pêches côtières (Hareng),2,Divers,,2748
Pêches côtières (Maquereaux),2,Divers,,2748
Pêches côtières (Sardines),1,Divers,,2748
Pêches étrangères,17,Divers,,2748
Pêches françaises,42,Divers,,2748
Pérou,6,Outre-mers,,20443
Petites Îles,597,France,,7966
Philippines,1,Outre-mers,,20443
Piémont,1590,Italie,,108182
Piémont et Savoie,340,Italie,,108182
Piémont par mer,1,Italie,,108182
Piémont par terre,1,Italie,,108182
Poitou,1,France,,7966
Pologne,305,Allemagne,,24559
Pologne-Genève,1,Allemagne,,24559
Ports de la Baltique,1,Nord,,27167
Ports et pays de France à l'instar de l'étranger,2,,,723
Portugal,15596,Portugal,,15607
Prises et saisies,1305,Divers,,2748
Prusse,4743,Prusse,,4745
Prusse – par mer,2,Prusse,,4745
Riga,3,Nord,,27167
Rio de la Plata,14,Outre-mers,,20443
Rome et Venise,2,Italie,,108182
Rotterdam,6,Hollande,,79492
Rouen,1,France,,7966
Royaume d'Étrurie,1153,Italie,,108182
Royaume de Sardaigne,5909,Italie,,108182
Royaume de Sardaigne – par mer,2,Italie,,108182
Royaume de Sardaigne – par terre,2,Italie,,108182
Russie,6725,Russie,,6725
Saint-Domingue,5749,Colonies,,53153
Saint-Jean de Luz,9,France,,7966
Saint-Thomas,11,Outre-mers,,20443
Salonique,5,Levant,,26367
"Salonique, Archipel et Satali",17,Levant,,26367
Sardaigne,2202,Italie,,108182
Savoie,12044,Italie,,108182
Savoie et Piémont,11483,Italie,,108182
Sénégal,318,Outre-mers,,20443
Sénégal français,8,Colonies,,53153
Sidon,5,Levant,,26367
Sidon et Acre,15,Levant,,26367
Smyrne,35,Levant,,26367
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,Nord,,27167
Strasbourg,1,France,,7966
Suède,11402,Suède,,11580
Suède et ses colonies,178,Suède,,11580
Suisse,14302,Suisse,,21172
Tobago,807,Outre-mers,,20443
Tobago et Sainte-Lucie,2,Outre-mers,,20443
Toscane,636,Italie,,108182
Tripoli de Syrie,15,Levant,,26367
Trois Évêchés,788,France,,7966
Turquie,34,Levant,,26367
Vénézuela,14,Outre-mers,,20443
Venise,1989,Italie,,108182
Villes hanséatiques,4969,Villes hanséatiques,,4969
Voitures diverses,2,Divers,,2748
Ypres,1,Flandres,,25982
