marchandises,marchandises_norm_ortho,état_du_travail,nbr_occurences_marchandises
,,,1
?,???,,1
? ; blanc,??? blanc,,1
? ; brun,??? brun,,1
? ; diverses,??? diverses,,1
? De fer,??? de fer,,1
? De morue,??? de morue,,1
? De nacre de perle,??? de nacre de perle,,1
? Forts de fer,??? forts de fer,,1
? Gras,??? gras,,1
? Pieds,??? pieds,,1
? Pruneaux,??? pruneaux,,1
? Raisin sec,??? raisins secs,,1
??,???,,1
???,???,,1
??? de boutard,??? de boutard,,1
??? fer...,??? fer,,1
??? Ferre en carte,???,,1
?sse,???sse,,1
?ufs,?ufs,,1
... d'Argents,... d'argent,,1
...caille de Tortue,écaille de tortue,,1
...copes,écope,,1
...gouttoir à Fondre,égouttoirs à fondre,,1
...Licanes,licanias,,1
...pars,espars,,1
...pars de Sapin,espars de sapin,,1
...parts,espars,,1
...pice,épice,,1
...pice de Curons,épice de Curons,,1
...pice Douce,épice douce,,1
...tain,étain,,1
...tain en bloc,étain en bloc,,1
...tain Ouvre,étain ouvré,,1
...tain vieux,étain vieux,,1
...tains vieux,étain vieux,,1
...tamine,étamine,,1
...toupe,étoupes,,1
"//////Betes de somme, principalement en mules et mulets",bêtes de somme principalement en mules et mulets,,1
"//////Betes,principalement en mules et mulets",bêtes principalement en mules et mulets,,1
//////Passementerie,passementerie,,1
///Articles réunis///D'une valeur moindre de 2000 fr chacun,articles réunis d'une valeur moindre de 2000 francs chacun,,1
///Articles réunis///D'une valeur moindre de 2000 francs chacun,articles réunis d'une valeur moindre de 2000 francs chacun,,1
///Betes de somme///Anes,bêtes de somme ânes,,1
///Bêtes de Somme///Anes,bêtes de somme ânes,,1
///Betes de somme///Chevaux,bêtes de somme chevaux,,1
///Bêtes de Somme///Chevaux,bêtes de somme chevaux,,1
///Betes de somme///Cheveaux,bêtes de somme chevaux,,1
"///Bêtes de Somme///Mules, mulets et chevaux",bêtes de somme mules mulets et chevaux,,1
///Betes de somme///Mulets,bêtes de somme mulets,,1
///Bêtes de Somme///Mulets,bêtes de somme mulets,,1
///Drogues diverses///Drogues diverses réunies,drogues diverses drogues diverses réunies,,1
///Drogues diverses///Drogues réunies,drogues diverses drogues réunies,,1
///Drogues Diverses///Drogues réunies,drogues diverses drogues réunies,,1
///Drogues diverses///Gommes diverses,drogues diverses gomme diverse,,1
///Drogues Diverses///Gommes diverses,drogues diverses gommes diverses,,1
///Drogues diverses///Huile et essence de térébenthine,drogues diverses huile et essence de térébenthine,,1
///Drogues diverses///Huile et essence de Térébenthine,drogues diverses huile et essence de térébenthine,,1
///Drogues diverses///Sels chimiques,drogues diverses sel chimique,,1
///Drogues Diverses///Sels chimiques,drogues diverses sel chimique,,1
///Drogues médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,,1
///Drogues Médicinales///Drogues médicinales réunies,drogues médicinales drogues médicinales réunies,,1
///Drogues médicinales///Drogues réunies,drogues médicinales drogues réunies,,1
///Drogues Médicinales///Drogues réunies,drogues médicinales drogues réunies,,1
