numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Acier en barre,,134,450,Allemagne,,livres,,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Anneau de fer,,2513,8976,Espagne,,livres,,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Armes (sabres),,160,40,St Esprit,,en nombre,,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Beurre,,2475,3300,Hollande,,en nombre,13597,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Beurre,,11122,13496,Hollande,,livres,13597,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Bierre,,270,5,Hollande,,muids,,,,,,,1
7,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Bierre,,270,60,Hollande,,pintes,,,,,,,2
8,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Bois feuillard,,2467,1645,Béarn,,paquets,3373,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Bois feuillard,,906,604,Béarn,,paquets,3373,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Bois merrain,,400,2580,Béarn,,douzaines,,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Boucans en bottes,,304,76,Béarn,,en nombre,,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Planches de pin,,245,700,Marencin,,en nombre,,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Bonneterie (bonnet de fil),,1680,35,Bordeaux,,douzaines,,,,,,,1
14,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Bonneterie (bonnet de fil),,1680,105,Bordeaux,,livres,,,,,,,2
15,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Bonneterie (bonnet de fil),,117,39,Béarn,,paires,,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Bouchons de liège,,148,37000,Marencin,,en nombre,,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Bouteilles en Dame Jeanne,,210,70,St Esprit,,en nombre,,,,,,,0
18,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Bray gras,,1638,16380,Marencin,,livres,10548,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Bray gras,,8910,89100,Marencin,,livres,10548,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Bray sec,,1320,26400,Marencin,,livres,4045,,,,,,0
21,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Bray sec,,2725,54500,Marencin,,livres,4045,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Goudron,,1688,37980,Marencin,,livres,2008,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Goudron,,320,7200,Marencin,,livres,2008,,,,,,0
24,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Chairs salées (bœuf),,802,2006,Bordeaux,,livres,,,,,,,0
25,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Chairs cuisses d'oyes,,8195,8195,Béarn,,livres,10170,,,,,,0
26,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Chairs cuisses d'oyes,,1975,1975,Béarn,,livres,10170,,,,,,0
27,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Chairs jambon,,19990,30755,Béarn,,livres,41064,,,,,,0
28,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Chairs jambon,,21074,32422,Béarn,,livres,41064,,,,,,0
29,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Chairs lard salé,,731,1625,Béarn,,livres,2598,,,,,,0
30,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Chairs lard salé,,1867,4150,Béarn,,livres,2598,,,,,,0
31,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Chairs salé de porc,,9650,19300,Béarn,,livres,11250,,,,,,0
32,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Chairs salé de porc,,1600,3200,Béarn,,livres,11250,,,,,,0
33,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Chocolat,,120,60,St Esprit,,livres,,,,,,,0
34,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Cordages,,12640,31600,St Esprit,,livres,14080,,,,,,0
35,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Cordages,,1440,3600,St Esprit,,livres,14080,,,,,,0
36,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Cuivre ouvré,,130,,St Esprit,,,,,,,,,0
37,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Drogues médicinales,,456,,Languedoc,,,,,,,,,0
38,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Drogue pour la peinture brun rouge,,1713,11420,Hollande,,livres,5844,,,,,,0
39,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Drogue pour la peinture brun rouge,,4131,27543,Hollande,,livres,5844,,,,,,0
40,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Drogue pour la peinture féruse,,1008,2016,Hollande,,livres,,,,,,,0
41,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Ocre jeanne,,338,1690,Hollande,,livres,,,,,,,0
42,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Noir de fumée,,347,,Hollande,,,,,,,,,0
43,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Eau de vie d'Andaye,,864,822,St Esprit,,bouteilles,2304,,,,,,0
44,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Eau de vie d'Andaye,,1440,1152,St Esprit,,bouteilles,2304,,,,,,0
45,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Eau de vie d'Andaye,,148,"0,5",St Esprit,,muids,,,,,,,1
46,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Eau de vie d'Andaye,,148,32,St Esprit,,pintes,,,,,,,2
47,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Eau de vie simple,,22572,101,Marsan,,muids,62868,,,,,,1
48,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Eau de vie simple,,22572,56,Marsan,,pintes,62868,,,,,,2
49,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Eau de vie simple,,40296,"279,25",Marsan,,muids,62868,,,,,,1
50,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,20,Eau de vie simple,,40296,48,Marsan,,pintes,62868,,,,,,2
51,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Eau de vie simple,,5052,35,Armagnac,,muids,,,,,,,1
52,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Eau de vie simple,,5052,24,Armagnac,,pintes,,,,,,,2
53,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Eau de vie simple,,8532,"59,25",La Rochelle,,muids,,,,,,,0
54,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Epicerie (canelle),,408,68,Hollande,,livres,,,,,,,0
55,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,20,Epicerie (poivre en grain),,250,167,Hollande,,livres,,,,,,,0
56,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,21,Farine,,4895,23300,Béarn la Guyenne,,livres,18055,,,,,,0
57,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,21,Farine,,13160,62680,Béarn la Guyenne,,livres,18055,,,,,,0
58,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,21,Farine gruau,,283,2360,Béarn la Guyenne,,,,,,,,"Pas d'unité, sans doute des livres",0
59,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,21,Fer en barre,,7200,40000,Espagne,,livres,15210,,,,,,0
60,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,21,Fer en barre,,8010,44500,Espagne,,livres,15210,,,,,,0
61,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,21,Fer blanc ouvré,,300,,St Esprit,,,350,,,,,,0
62,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,21,Fer blanc ouvré,,50,,St Esprit,,,350,,,,,,0
63,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,21,Fil à voile,,1336,1215,St Esprit,,livres,,,,,,,0
64,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,21,Fromage,,518,740,Hollande,,livres,749,,,,,,0
65,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,21,Fromage,,231,330,Hollande,,livres,749,,,,,,0
