numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Acier,Marseille,Angleterre,3000,livres,"0,35",1050,0,
2,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Ajamis,Marseille,Angleterre,100,pièces,9,900,0,
3,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Alun,Marseille,Angleterre,32130,livres,"0,2",6426,0,
4,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Amandes,Marseille,Angleterre,2782,livres,"0,2",556,"-0,4",
5,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Amidon,Marseille,Angleterre,1036,livres,"0,2",207,"-0,2",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bas de coton,Marseille,Angleterre,100,livres,5,500,0,
7,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bas de soye,Marseille,Angleterre,50,livres,40,2000,0,
8,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Beuf salé,Marseille,Angleterre,26,barils,60,1560,0,
9,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bled froment,Marseille,Angleterre,1250,charges,24,30000,0,
10,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bois fustel,Marseille,Angleterre,2017,livres,"0,1",201,"-0,7",
11,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bois de noyer,Marseille,Angleterre,255,pièces,6,1530,0,
12,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Bouchons de liege,Marseille,Angleterre,120,livres,3,360,0,
13,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Cacao,Marseille,Angleterre,1274,livres,1,1274,0,
14,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Caffé,Marseille,Angleterre,9163,livres,"0,75",6872,"-0,25",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Capres,Marseille,Angleterre,4521,livres,"0,3",1356,"-0,3",
16,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Ceruze,Marseille,Angleterre,350,livres,"0,25",87,"-0,5",
17,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Chaises de paille,Marseille,Angleterre,13,douzaines,12,156,0,
18,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Chandelles,Marseille,Angleterre,2088,livres,"0,4",835,"-0,2",
19,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,1,1764,Exports,Chanvre peigné,Marseille,Angleterre,2100,livres,"0,3",630,0,
20,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Chapeaux poil et laine,Marseille,Angleterre,24,douzaines,60,1440,0,
21,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Cire blanche,Marseille,Angleterre,725,livres,"1,5",1087,"-0,5",
22,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Coton en laine,Marseille,Angleterre,4000,livres,1,4000,0,
23,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Cotonne,Marseille,Angleterre,16,pièces,40,640,0,
24,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Couperose,Marseille,Angleterre,1200,livres,"0,09",108,0,
25,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Cuirs de bœuf tannés,Marseille,Angleterre,800,livres,"0,6",480,0,
26,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Dorure fine,Marseille,Angleterre,10,livres,100,1000,0,
27,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Draperie ordinaire,Marseille,Angleterre,1888,livres,5,9440,0,
28,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Draperie petite,Marseille,Angleterre,100,livres,"2,5",250,0,
29,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Drogueries,Marseille,Angleterre,1459,livres,1,1459,0,
30,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Eau de la Reine d'hongrie,Marseille,Angleterre,170,livres,"0,75",255,"127,5",erreur de calcul
31,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Eau de vie,Marseille,Angleterre,2841,livres,"0,25",710,"-0,25",
32,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Echalottes,Marseille,Angleterre,205,livres,"0,1",20,"-0,5",
33,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Epicerie,Marseille,Angleterre,357,livres,4,1428,0,
34,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Etain ouvré,Marseille,Angleterre,300,livres,2,600,0,
35,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Fer en barres,Marseille,Angleterre,2000,livres,"0,15",300,0,
36,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Fer en cercles,Marseille,Angleterre,5074,livres,"0,25",1018,"-250,5",erreur de calcul
37,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Galles,Marseille,Angleterre,700,livres,"1,5",1050,0,
38,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Gaudron,Marseille,Angleterre,2500,livres,"0,15",375,0,
39,Pascal Fontaine,Archives de la CCI de Marseille - I 23,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1764.csv,Local,2,1764,Exports,Grabeau d'indigo,Marseille,Angleterre,1500,livres,3,4500,0,
