line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,,,,,,,,,,,,
2523,Local,1747,Nantes,,Angleterre,Imports,beuf salé,,,2130,,71,barils,30,Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2524,Local,1747,Nantes,,Angleterre,Imports,beurre,,,"7934,5",,31738,livres,"0,25",Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,erreur de calcul (noté 7404),0,,,,,,,,,,,,,,,,,,,,,
2525,Local,1747,Nantes,,Angleterre,Imports,chandelle,,,18,,47,livres,"0,4",Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,,"-0,800000000000001",,,,,,,,,,,,,,,,,,,,,
2526,Local,1747,Nantes,,Angleterre,Imports,charbon de terre,,,7970,,797,bariques,10,Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2527,Local,1747,Nantes,,Angleterre,Imports,crin ,,,687,,1147,livres,"0,6",Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,,"-1,19999999999993",,,,,,,,,,,,,,,,,,,,,
2528,Local,1747,Nantes,,Angleterre,Imports,cuirs verts en poil,,,55552,,3472,pièces,16,Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2529,Local,1747,Nantes,,Angleterre,Imports,fromage,,,75,,250,livres,"0,3",Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2530,Local,1747,Nantes,,Angleterre,Imports,morue seche,,,750,,3000,livres,"0,25",Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2531,Local,1747,Nantes,,Angleterre,Imports,suif,,,197,,5475,livres,"0,036",Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,"Noté au 100, mais prix au 1000","-0,0999999999999943",,,,,,,,,,,,,,,,,,,,,
2532,Local,1747,Nantes,,Dannemarck,Imports,beuf sallé,,,600,,20,barils,30,Nantes -- 1747 --  Imports -- AD44_C706,,1,,,,,,,Noté au 100 par erreur,0,,,,,,,,,,,,,,,,,,,,,
