line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
7968,Local,1733,Nantes,,Angleterre,Imports,ancres vuides,,,2600,,100,en nombre,26,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7969,Local,1733,Nantes,,Angleterre,Imports,barriques vuides,,,880,,11,en nombre,80,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7970,Local,1733,Nantes,,Angleterre,Imports,bœuf sallé,,,414986,,18863,Bariles,22,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7971,Local,1733,Nantes,,Angleterre,Imports,beurre sallé,,,18208,,72835,Livre poids,2.25,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-145670.75,,,,,,,,,
7972,Local,1733,Nantes,,Angleterre,Imports,chevaux vieux,,,1250,,250,en nombre,5,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7973,Local,1733,Nantes,,Angleterre,Imports,cuirs verds en poil,,,3158,,15792,en nombre,20,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-312682,,,,,,,,,
7974,Local,1733,Nantes,,Angleterre,Imports,crin,,,156,,520,Livre poids,30,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-15444,,,,,,,,,
7975,Local,1733,Nantes,,Angleterre,Imports,cire jaune,,,2080,,130,Livre poids,16,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7976,Local,1733,Nantes,,Angleterre,Imports,charbon de terre,,,7615,,1523,Barique,5,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7977,Local,1733,Nantes,,Angleterre,Imports,Chandelle,,,2557,,9190,Livre poids,30,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-273143,,,,,,,,,
7978,Local,1733,Nantes,,Angleterre,Imports,Fromage,,,2082,,26025,Livre poids,8,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-206118,,,,,,,,,
7979,Local,1733,Nantes,,Angleterre,Imports,Huile de poisson,,,23600,,118125,Livre poids,100,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-11788900,,,,,,,,,
7980,Local,1733,Nantes,,Angleterre,Imports,Huile de lin,,,2250,,7000,Livre poids,25,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-172750,,,,,,,,,
7981,Local,1733,Nantes,,Angleterre,Imports,Lard,,,51750,,2875,Livre poids,18,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7982,Local,1733,Nantes,,Angleterre,Imports,Laine en Suin,,,37928,,34480,Livre poids,1,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,3448,,,,,,,,,
7983,Local,1733,Nantes,,Angleterre,Imports,Planches de sapin,,,56,,70,en nombre,80,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-5544,,,,,,,,,
7984,Local,1733,Nantes,,Angleterre,Imports,saumon sallé,,,,,,,,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7985,Local,1733,Nantes,,Angleterre,Imports,Suif,,,45772.1,,152575,Livre poids,30,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-4531477.9,,,,,,,,,
7986,Local,1733,Nantes,,Flandre Impérialle,Imports,Ancres de fer,,,,,,,,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7987,Local,1733,Nantes,,Flandre Impérialle,Imports,Beurre,,,25,,100,Livre poids,25,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-2475,,,,,,,,,
7988,Local,1733,Nantes,,Flandre Impérialle,Imports,Bierre,,,240,,10,Barique,24,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7989,Local,1733,Nantes,,Flandre Impérialle,Imports,clouds de fer,,,1725,,6900,Livre poids,25,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-170775,,,,,,,,,
7990,Local,1733,Nantes,,Flandre Impérialle,Imports,fromage,,,3775,,18875,Livre poids,,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,3775,,,,,,,,,
7991,Local,1733,Nantes,,Flandre Impérialle,Imports,Huile de lin,,,,,3000,Livre poids,25,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-75000,,,,,,,,,
7992,Local,1733,Nantes,,Flandre Impérialle,Imports,morüe,,,,,5775,Livre poids,14,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-80850,,,,,,,,,
7993,Local,1733,Nantes,,Flandre Impérialle,Imports,mesrain a pipes,,,,,,,,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7994,Local,1733,Nantes,,Flandre Impérialle,Imports,poivre,,,,,8110,Livre poids,,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7995,Local,1733,Nantes,,Flandre Impérialle,Imports,Planches de sapin,,,68.16,,86,en nombre,80,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-6811.84,,,,,,,,,
7996,Local,1733,Nantes,,Flandre Impérialle,Imports,ruban de fil,,,274,,137,Livre poids,40,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,-5206,,,,,,,,,
7997,Local,1733,Nantes,,Flandre Impérialle,Imports,tapisserie vieille,,,,,,,,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7998,Local,1733,Nantes,,Flandre Impérialle,Imports,tableaux a brodures unies,,,,,,,,Nantes -- 1733 --  Imports -- AD44_C706,,1,,,,,,,,0,,,,,,,,,
7999,Local,1733,Nantes,,Hollande,Imports,Aiguilles à coudre,,,75,,15,Livre poids,5,Nantes -- 1733 --  Imports -- AD44_C706,,2,,,,,,,,0,,,,,,,,,
8000,Local,1733,Nantes,,Hollande,Imports,Aiguilles a voiles,,,,,5250,en nombre,,Nantes -- 1733 --  Imports -- AD44_C706,,2,,,,,,,,0,,,,,,,,,
8001,Local,1733,Nantes,,Hollande,Imports,Acier,,,33,,110,Barril,3,Nantes -- 1733 --  Imports -- AD44_C706,,2,,,,,,,,-297,,,,,,,,,
8002,Local,1733,Nantes,,Hollande,Imports,ancres de fer,,,43128,,179700,Livre poids,24,Nantes -- 1733 --  Imports -- AD44_C706,,2,,,,,,,,-4269672,,,,,,,,,
8003,Local,1733,Nantes,,Hollande,Imports,anneaux de fer,,,2640,,11000,Livre poids,24,Nantes -- 1733 --  Imports -- AD44_C706,,2,,,,,,,,-261360,,,,,,,,,
8004,Local,1733,Nantes,,Hollande,Imports,azur commun,,,11986.7,,15985,Livre poids,75,Nantes -- 1733 --  Imports -- AD44_C706,,2,,,,,,,,-1186888.3,,,,,,,,,
8005,Local,1733,Nantes,,Hollande,Imports,Amidon,,,3456,,21475,Livre poids,0.8,Nantes -- 1733 --  Imports -- AD44_C706,,2,,,,,,,,-13724,,,,,,,,,
8006,Local,1733,Nantes,,Hollande,Imports,arcenic,,,280,,1400,Livre poids,20,Nantes -- 1733 --  Imports -- AD44_C706,,2,,,,,,,,-27720,,,,,,,,,
