line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
6604,Local,1758,Marseille,,Angleterre,Exports,huile d’olive,,,108584,,271460,livres,"0,4",Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,
6605,Local,1758,Marseille,,Angleterre,Exports,Vin rouge,,,216,,27,millerolles,8,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,
6606,Local,1758,Marseille,,Espagne,Exports,acier,,,252,,721,livres,"0,35",Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,"-0,349999999999994",,,,,,,,,
6607,Local,1758,Marseille,,Espagne,Exports,ajamis,,,38655,,4295,pièces,9,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,
6608,Local,1758,Marseille,,Espagne,Exports,alun,,,3159,,26313,livres,"0,12",Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,"1,44000000000005",,,,,,,,,
6609,Local,1758,Marseille,,Espagne,Exports,amadou,,,407,,407,livres,1,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,
6609,Local,1758,Marseille,,Espagne,Exports,amandes,,,3360,,13441,livres,"0,25",Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,"-0,25",,,,,,,,,
6610,Local,1758,Marseille,,Espagne,Exports,amidon,,,2732,,13664,livres,"0,2",Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,"-0,800000000000182",,,,,,,,,
6611,Local,1758,Marseille,,Espagne,Exports,anis,,,240,,1200,livres,"0,2",Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,
6612,Local,1758,Marseille,,Espagne,Exports,arcenic,,,90,,300,livres,"0,3",Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,
6613,Local,1758,Marseille,,Espagne,Exports,aristoloche,,,73,,365,livres,"0,2",Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,
6614,Local,1758,Marseille,,Espagne,Exports,avoine,,,900,,60,charges,15,Marseille --  1758 -- Exports -- CCI_Marseille_I_23,,1,,,,,,,,0,,,,,,,,,
