line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
6455,Local,1753,Rennes,,Angleterre,Imports,bierre,,,,,30,bouteilles,"0,5",Rennes -- 1753 -- Imports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,
6456,Local,1753,Rennes,,Angleterre,Imports,bled fromen,,,,,237,tonneaux,100,10264,,1,,,,,,,,0,,,,,,,,,
6456,Local,1753,Rennes,,Angleterre,Imports,bled fromen,,,,,1800,sacs,13,10264,,1,,,,,,,,0,,,,,,,,,
6456,Local,1753,Rennes,,Angleterre,Imports,bled fromen,,,,,10264,boisseaux,5,10264,,1,,,,,,,,0,,,,,,,,,
6457,Local,1753,Rennes,,Angleterre,Imports,bled seigle,,,,,165,quarter,16,Rennes -- 1753 -- Imports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,
6458,Local,1753,Rennes,,Angleterre,Imports,canons de fer,,,,,65,livres,200,Rennes -- 1753 -- Imports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,
6459,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,763,tonneaux,40,1475,,1,,,,,,,,0,,,,,,,,,
6459,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,4182,bariques,10,1475,,1,,,,,,,,0,,,,,,,,,
6459,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,1474,barils ,6,1475,,1,,,,,,,,0,,,,,,,,,
6459,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,1789,jattes,10,1475,,1,,,,,,,,0,,,,,,,,,
6459,Local,1753,Rennes,,Angleterre,Imports,charbons de terre,,,,,431000,livres,"0,02",1475,,1,,,,,,,,0,,,,,,,,,
6460,Local,1753,Rennes,,Angleterre,Imports,chevaux harnachés,,,,,2,pièces,800,Rennes -- 1753 -- Imports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,
6461,Local,1753,Rennes,,Angleterre,Imports,cire jaune,,,,,108,livres,"1,5",Rennes -- 1753 -- Imports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,
6462,Local,1753,Rennes,,Angleterre,Imports,cordages,,,,,135576,livres,"0,4",Rennes -- 1753 -- Imports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,
6463,Local,1753,Rennes,,Angleterre,Imports,cuirs de bœuf en poil,,,,,200,pièces,21,Rennes -- 1753 -- Imports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,
6464,Local,1753,Rennes,,Angleterre,Imports,etain ouvré,,,,,1800,livres,"1,5",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6465,Local,1753,Rennes,,Angleterre,Imports,farine,,,,,3617,sacs,15,12s,,2,,,,,,,,0,,,,,,,,,
6465,Local,1753,Rennes,,Angleterre,Imports,farine,,,,,208,barils ,12,12s,,2,,,,,,,,0,,,,,,,,,
6465,Local,1753,Rennes,,Angleterre,Imports,farine,,,,,96,boisseaux,"0,8",12s,,2,,,,,,,,0,,,,,,,,,
6466,Local,1753,Rennes,,Angleterre,Imports,fromages,,,,,620,livres,"0,3",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6467,Local,1753,Rennes,,Angleterre,Imports,hardes neuves,,,1400,,7,caisses,,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,valeur estimée ,0,,,,,,,,,
6468,Local,1753,Rennes,,Angleterre,Imports,laine filée,,,,,2406,livres,"3,5",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6469,Local,1753,Rennes,,Angleterre,Imports,laine non-filée,,,,,"1752,5",livres,"2,25",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6470,Local,1753,Rennes,,Angleterre,Imports,laine peignée,,,,,179,livres,"1,25",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6471,Local,1753,Rennes,,Angleterre,Imports,laine salées,,,,,12,pièces,"0,5",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6472,Local,1753,Rennes,,Angleterre,Imports,orges,,,,,700,qartuers,5,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6473,Local,1753,Rennes,,Angleterre,Imports,paumelle,,,,,1155,boisseaux,3,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6474,Local,1753,Rennes,,Angleterre,Imports,pierres à chaux,,,,,5,tonneaux,12,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6475,Local,1753,Rennes,,Angleterre,Imports,planches de sapin,,,,,40,pièces,2,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6476,Local,1753,Rennes,,Angleterre,Imports,ploc filé,,,,,351,livres,"0,25",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6477,Local,1753,Rennes,,Angleterre,Imports,ploc non filé,,,,,413,livres,"0,15",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6478,Local,1753,Rennes,,Angleterre,Imports,plomb en saumon,,,,,929794,livres,"0,2",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6479,Local,1753,Rennes,,Angleterre,Imports,poil de bœuf,,,,,4153,livres,"0,8",Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6480,Local,1753,Rennes,,Angleterre,Imports,tabac ,,,,,271,boucauds,120,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6481,Local,1753,Rennes,,Dannemark,Imports,anspects,,,,,99,douzaines,15,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6482,Local,1753,Rennes,,Dannemark,Imports,avirons,,,,,62,paires,2,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6483,Local,1753,Rennes,,Dannemark,Imports,bled fromen,,,,,14,barils ,20,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6484,Local,1753,Rennes,,Dannemark,Imports,bled seigle,,,,,343,boisseaux,,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,la valeur unitaire est donnée à 80 livres le tonneau,0,,,,,,,,,
6485,Local,1753,Rennes,,Dannemark,Imports,bois carré,,,,,872,pièces,10,Rennes -- 1753 -- Imports -- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6486,Local,1753,Rennes,,Dannemark,Imports,bray gras,,,,,"12,5",barils,22,Rennes -- 1753 -- Imports -- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6487,Local,1753,Rennes,,Dannemark,Imports,espars,,,,,2,pièces,"2,5",Rennes -- 1753 -- Imports -- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6488,Local,1753,Rennes,,Dannemark,Imports,gaudron,,,,,797,barils,20,Rennes -- 1753 -- Imports -- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6488,Local,1753,Rennes,,Dannemark,Imports,gaudron,,,,,13,tierçons,28,Rennes -- 1753 -- Imports -- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6489,Local,1753,Rennes,,Dannemark,Imports,gaules de sapin,,,,,146,pièces,15,Rennes -- 1753 -- Imports -- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6490,Local,1753,Rennes,,Dannemark,Imports,manches de gaffe,,,,,875,pièces,"0,75",Rennes -- 1753 -- Imports -- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6491,Local,1753,Rennes,,Dannemark,Imports,mats divers,,,,,169,pièces,100,petites,,3,,,,,,,,0,,,,,,,,,
6491,Local,1753,Rennes,,Dannemark,Imports,Mats pour chaloupe,,,,,56,pièces,50,petites,,3,,,,,,,,0,,,,,,,,,
6491,Local,1753,Rennes,,Dannemark,Imports,petits mats,,,,,155,pièces,35,petites,,3,,,,,,,,0,,,,,,,,,
6491,Local,1753,Rennes,,Dannemark,Imports,bouts de mats,,,,,48,pièces,8,petites,,3,,,,,,,,0,,,,,,,,,
6492,Local,1753,Rennes,,Dannemark,Imports,maquereaux salés,,,,,34,bariques,65,Rennes -- 1753 -- Imports -- AD44_C716,,3,,,,,,,,0,,,,,,,,,
