line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5532,Local,1752,Rennes,,Angleterre,Exports,amandes,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,Local,1752,Rennes,,Angleterre,Exports,Bazin,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,Local,1752,Rennes,,Angleterre,Exports,Beure,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5535,Local,1752,Rennes,,Angleterre,Exports,Boutons,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5536,Local,1752,Rennes,,Angleterre,Exports,bouteilles de verre,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5537,Local,1752,Rennes,,Angleterre,Exports,bray,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,Local,1752,Rennes,,Angleterre,Exports,cabarets de porcelaine,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5539,Local,1752,Rennes,,Angleterre,Exports,caffé des isles,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5540,Local,1752,Rennes,,Angleterre,Exports,cassonade,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5541,Local,1752,Rennes,,Angleterre,Exports,chaises de paille,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5542,Local,1752,Rennes,,Angleterre,Exports,chandelle,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,Local,1752,Rennes,,Angleterre,Exports,chocolat,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5544,Local,1752,Rennes,,Angleterre,Exports,cidre,,,,,,,,Rennes -- 1752 -- Exports -- AD44_C716,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
