"line number","source_type","year","customs_region","customs_office","partner","export_import","product","origin","width_in_line","value","value_part_of_bundle","quantity","quantity_unit","value_per_unit","filepath","source","sheet","value_total","value_sub_total_1","value_sub_total_2","value_sub_total_3","data_collector","unverified","remarks","value_minus_unit_val_x_qty","absurd_observation","trade_deficit","trade_surplus","duty_quantity","duty_quantity_unit","duty_by_unit","duty_total","duty_part_of_bundle","duty_remarks"
1,"Local",1775,"Nantes",,"Angleterre","Exports","Cercle de Bois",,,,,413550,"briz",0.3,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,"lecture",0,,,,,,,,,
2,"Local",1775,"Nantes",,"Angleterre","Exports","Cotton en laine",,,,,1400,"livres",1.62,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
3,"Local",1775,"Nantes",,"Angleterre","Exports","Eau de vie",,,,,622,"veltes",4.5,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
4,"Local",1775,"Nantes",,"Angleterre","Exports","Etoffe de soye",,,,,103,"piece",60,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
5,"Local",1775,"Nantes",,"Angleterre","Exports","Mousseline",,,,,5,"piece",90,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
6,"Local",1775,"Nantes",,"Angleterre","Exports","Ozier",,,,,104000,"brins",0.000833333333333333,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
7,"Local",1775,"Nantes",,"Angleterre","Exports","Sel",,,,,93,"muids",84,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
8,"Local",1775,"Nantes",,"Angleterre","Exports","Toile batiste",,,,,18,"piece",30,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
9,"Local",1775,"Nantes",,"Angleterre","Exports","Vin de Bordeaux",,,,,248,"bouteille",0.7,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
10,"Local",1775,"Nantes",,"Angleterre","Exports","Vin de liqueur",,,,,307,"bouteille",1.5,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
11,"Local",1775,"Nantes",,"Danemark","Exports","Bray",,,,,2000,"livres",0.2,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
12,"Local",1775,"Nantes",,"Danemark","Exports","caffé des isles",,,,,32412,"livres",0.85,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
13,"Local",1775,"Nantes",,"Danemark","Exports","Eau de vie",,,,,1479,"velte",4.5,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
14,"Local",1775,"Nantes",,"Danemark","Exports","Etoffe de soye",,,,,3,"piece",60,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
15,"Local",1775,"Nantes",,"Danemark","Exports","gans communs",,,,,60,"livres",8,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",1,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
16,"Local",1775,"Nantes",,"Danemark","Exports","indigo",,,,,1636,"livres",7.25,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
17,"Local",1775,"Nantes",,"Danemark","Exports","marchandises meslées",,,170,,,,,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
18,"Local",1775,"Nantes",,"Danemark","Exports","ocre",,,,,20,"barique",14,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
19,"Local",1775,"Nantes",,"Danemark","Exports","plâtre",,,,,20,"barique",10,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
20,"Local",1775,"Nantes",,"Danemark","Exports","Sel",,,,,598,"muids",84,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
21,"Local",1775,"Nantes",,"Danemark","Exports","Sucre brut",,,,,29000,"livres",0.27,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
22,"Local",1775,"Nantes",,"Danemark","Exports","sucre terré",,,,,24500,"livres",0.43,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
23,"Local",1775,"Nantes",,"Danemark","Exports","Thé",,,,,4471,"livres",1.75,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
24,"Local",1775,"Nantes",,"Danemark","Exports","vin hors",,,,,1.25,"tonneaux",400,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
25,"Local",1775,"Nantes",,"Danemark","Exports","Vinaigre",,,,,35,"bariques",29,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
26,"Local",1775,"Nantes",,"Danemark","Exports","Vinaigre",,,,,2,"tierçons",19,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
27,"Local",1775,"Nantes",,"Espagne","Exports","Bas de fil",,,,,947,"livres",5,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
28,"Local",1775,"Nantes",,"Espagne","Exports","bas de laine",,,,,350,"livres",6,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
29,"Local",1775,"Nantes",,"Espagne","Exports","baudriers",,,,,192,"livres",1.1,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
30,"Local",1775,"Nantes",,"Espagne","Exports","Beurre",,,,,1652,"livres",0.5,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
31,"Local",1775,"Nantes",,"Espagne","Exports","Bougie",,,,,113,"livres",2.7,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
32,"Local",1775,"Nantes",,"Espagne","Exports","Cacao",,,,,12750,"livres",0.52,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
33,"Local",1775,"Nantes",,"Espagne","Exports","Caffé des Isles",,,,,3558,"livres",0.85,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
34,"Local",1775,"Nantes",,"Espagne","Exports","canelle",,,,,1103,"livres",4.25,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
35,"Local",1775,"Nantes",,"Espagne","Exports","Cercles de Bois",,,,,193200,"pièces",0.3,"sources/Local/Nantes -- 1775 -- Exports -- AD44_C717","AD44 C717",2,,,,,"Marion Merville & Jules Oudot",,,0,,,,,,,,,
