line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,valeur calculée,value,,,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
4543,Local,1768,Nantes,,Angleterre,Imports,Alun,,,14625,,,,,16250,livres,"0,1875",Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,"Autre prix à 0,2 livre",0,,,,,,,,,
4544,Local,1768,Nantes,,Angleterre,Imports,ancres vuides,,,250,,,,,200,en nombre,"1,25",Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4545,Local,1768,Nantes,,Angleterre,Imports,Bœuf salé,,,17670,,,,,465,barrils,38,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4545,Local,1768,Nantes,,Angleterre,Imports,Bœuf salé,,,5265,,,,,81,barrils,65,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4545,Local,1768,Nantes,,Angleterre,Imports,Bœuf salé,,,111968,,,,,559840,livres,"0,2",Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4546,Local,1768,Nantes,,Angleterre,Imports,beurre,,,7280,,,,,182,barrils,40,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4546,Local,1768,Nantes,,Angleterre,Imports,beurre,,,4800,,,,,300,frequins,16,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4546,Local,1768,Nantes,,Angleterre,Imports,beurre,,,48080,,,,,120200,livres,"0,4",Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4547,Local,1768,Nantes,,Angleterre,Imports,Bois merrain à pipes,,,390,,,,,650,douelle,"0,6",Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4548,Local,1768,Nantes,,Angleterre,Imports,bois merrain à teindre moulu,,,1040,,,,,5200,livres,"0,225",,,,,,,,,,,0,,,,,,,,,
4549,Local,1768,Nantes,,Angleterre,Imports,chaises de poste,,,400,,,,,1,en nombre,400,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4550,Local,1768,Nantes,,Angleterre,Imports,Chandelle,,,1280,,,,,80,caisses,16,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4550,Local,1768,Nantes,,Angleterre,Imports,Chandelle,,,1265,,,,,2530,livres,"0,5",Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4551,Local,1768,Nantes,,Angleterre,Imports,cheveaux,,,2000,,,,,5,en nombre,400,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4552,Local,1768,Nantes,,Angleterre,Imports,chiens,,,1152,,,,,16,en nombre,72,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4553,Local,1768,Nantes,,Angleterre,Imports,crin,,,335,,,,,335,livres,1,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4554,Local,1768,Nantes,,Angleterre,Imports,cuirs en poil,,,45180,,,,,1506,en nombre,30,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
