line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
5977,Local,1753,Rennes,,Angleterre,Exports,Amandes,,,,,24,balles,24,Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5978,Local,1753,Rennes,,Angleterre,Exports,amidon,,,,,1710,livres,"0,2",Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5979,Local,1753,Rennes,,Angleterre,Exports,beure,,,,,6080,livres,"0,5",Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5980,Local,1753,Rennes,,Angleterre,Exports,boisseries,,,,,12,douzaines,"0,6",Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5981,Local,1753,Rennes,,Angleterre,Exports,beurre de bœuf,,,,,200,livres,"0,25",Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5982,Local,1753,Rennes,,Angleterre,Exports,Bray,,,,,9,barils,25,Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5983,Local,1753,Rennes,,Angleterre,Exports,brignolles,,,,,48,,"0,6",Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,Unité ?,0,,,,,,,,,
5984,Local,1753,Rennes,,Angleterre,Exports,caffé des isles,,,,,9972,livres,"0,9",Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5985,Local,1753,Rennes,,Angleterre,Exports,capres,,,,,24,pots,4,Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5986,Local,1753,Rennes,,Angleterre,Exports,chaises de pailles,,,,,509,pièces,1,Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5987,Local,1753,Rennes,,Angleterre,Exports,chandelle,,,,,5600,livres,"0,45",Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5988,Local,1753,Rennes,,Angleterre,Exports,Cheveux,,,,,30,livres,6,Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5989,Local,1753,Rennes,,Angleterre,Exports,Cidre,,,,,459,bariques,20,Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5990,Local,1753,Rennes,,Angleterre,Exports,Confitures,,,,,200,livres,1,Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5991,Local,1753,Rennes,,Angleterre,Exports,Cordages,,,,,200,livres,25,Rennes -- 1753 -- Exports-- AD44_C716,,1,,,,,,,,0,,,,,,,,,
5992,Local,1753,Rennes,,Angleterre,Exports,couty,,,,,100,aunes,"2,25",Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
5993,Local,1753,Rennes,,Angleterre,Exports,cuivre ouvré,,,,,2,livres,"1,5",Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
5994,Local,1753,Rennes,,Angleterre,Exports,cuirs de bœuf en poil,,,,,241,pièces,14,;,,2,,,,,,,,0,,,,,,,,,
5995,Local,1753,Rennes,,Angleterre,Exports,cuirs de bœuf tannés,,,,,69,pièces,26,de,,2,,,,,,,,0,,,,,,,,,
5995,Local,1753,Rennes,,Angleterre,Exports,cuirs de bœuf tannés,,,,,530,pièces,"0,5",de,,2,,,,,,,,0,,,,,,,,,
5996,Local,1753,Rennes,,Angleterre,Exports,cuirs de genisses corroyées,,,,,30,pièces,20,,,2,,,,,,,,0,,,,,,,,,
5997,Local,1753,Rennes,,Angleterre,Exports,cuirs de vaches corroyées,,,,,29,pièces,24,,,2,,,,,,,,0,,,,,,,,,
5998,Local,1753,Rennes,,Angleterre,Exports,eau de vie,,,,,34607,veltes,"3,5",,,2,,,,,,,,0,,,,,,,,,
5999,Local,1753,Rennes,,Angleterre,Exports,epicerie,,,150,,,,,,,2,,,,,,,,0,,,,,,,,,
6000,Local,1753,Rennes,,Angleterre,Exports,figues,,,,,4,barils,12,,,2,,,,,,,,0,,,,,,,,,
6000,Local,1753,Rennes,,Angleterre,Exports,figues,,,,,2,cabas,3,,,2,,,,,,,,0,,,,,,,,,
6000,Local,1753,Rennes,,Angleterre,Exports,figues,,,,,50,livres,"0,25",,,2,,,,,,,,0,,,,,,,,,
6001,Local,1753,Rennes,,Angleterre,Exports,fil de rennes,,,,,16,livres,"1,25",Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6002,Local,1753,Rennes,,Angleterre,Exports,filain,,,,,14165,livres,"0,25",Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6003,Local,1753,Rennes,,Angleterre,Exports,fruits cruds,,,,,112,paniers,4,2046,,2,,,,,,,,0,,,,,,,,,
6003,Local,1753,Rennes,,Angleterre,Exports,fruits cruds,,,2046,,,,,2046,,2,,,,,,,,0,,,,,,,,,
6004,Local,1753,Rennes,,Angleterre,Exports,fruits secs,,,,,23,barils,6,5,,2,,,,,,,,0,,,,,,,,,
6004,Local,1753,Rennes,,Angleterre,Exports,fruits secs,,,,,16675,livres,"0,25",5,,2,,,,,,,,0,,,,,,,,,
6005,Local,1753,Rennes,,Angleterre,Exports,funain,,,,,1600,livres,"0,4",Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6006,Local,1753,Rennes,,Angleterre,Exports,goudron,,,,,2,barils,22,Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6007,Local,1753,Rennes,,Angleterre,Exports,graisse,,,,,7290,livres,"0,3",Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6008,Local,1753,Rennes,,Angleterre,Exports,Huile dolive,,,,,3,bariques,300,8,,2,,,,,,,,0,,,,,,,,,
6008,Local,1753,Rennes,,Angleterre,Exports,Huile dolive,,,,,677,pots,"2,5",8,,2,,,,,,,,0,,,,,,,,,
6009,Local,1753,Rennes,,Angleterre,Exports,Indigo,,,,,10,livres,5,Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6010,Local,1753,Rennes,,Angleterre,Exports,Marchandises meslés,,,512,,,,,Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6011,Local,1753,Rennes,,Angleterre,Exports,Merceries,,,70,,,,,Rennes -- 1753 -- Exports-- AD44_C716,,2,,,,,,,,0,,,,,,,,,
6012,Local,1753,Rennes,,Angleterre,Exports,Miel,,,,,1,barique,50,L,,2,,,,,,,,0,,,,,,,,,
6012,Local,1753,Rennes,,Angleterre,Exports,Miel,,,,,18700,livres,"0,4",L,,2,,,,,,,,0,,,,,,,,,
6013,Local,1753,Rennes,,Angleterre,Exports,morue seche,,,,,8350,livres,"0,3",Rennes -- 1753 -- Exports-- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6014,Local,1753,Rennes,,Angleterre,Exports,noix,,,,,22,milliers,"1,5",Rennes -- 1753 -- Exports-- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6015,Local,1753,Rennes,,Angleterre,Exports,Papier Blanc,,,,,430,rames,6,Rennes -- 1753 -- Exports-- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6016,Local,1753,Rennes,,Angleterre,Exports,Papier Gris,,,,,18,rames,4,Rennes -- 1753 -- Exports-- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6017,Local,1753,Rennes,,Angleterre,Exports,peaux de veau corroyés,,,,,38,douzaines,28,Rennes -- 1753 -- Exports-- AD44_C716,,3,,,,,,,,0,,,,,,,,,
6018,Local,1753,Rennes,,Angleterre,Exports,poivre,,,,,137,livres,"1,2",Rennes -- 1753 -- Exports-- AD44_C716,,3,,,,,,,,0,,,,,,,,,
