numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,arcenic,Hollande,2733,9112,livres,0.3,-0.600000000000364,arrondi
2,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,alun,Hollande,480,3000,livres,0.16,0,en quintal
3,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,azur fin,Hollande,15250,3050,livres,5,0,
4,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,azur commun,Hollande,6312,10521,livres,0.6,-0.600000000001273,arrondi
5,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,amidon,Hollande,1000,5000,livres,0.2,0,
6,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,argent vif,Hollande,35675,7135,livres,5,0,
7,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,aloes,Hollande,312,250,livres,1.25,-0.5,arrondi
8,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,ancres de fer,Hollande,1780,8900,livres,0.2,0,
9,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,arquifou,Hollande,6300,42000,livres,0.15,0,
10,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,1,bled froment,Hollande,20700,900,charges,23,0,
11,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,beurre,Hollande,5950,23800,livres,0.25,0,
12,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bierre,Hollande,42,2,barriques,21,0,
13,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bierre,Hollande,6060,121200,livres,0.05,0,
14,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,baume de capahû,Hollande,1000,200,livres,5,0,
15,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,borax,Hollande,150,100,livres,1.5,0,
16,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bas de laine,Hollande,130,52,paires,2.5,0,
17,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bas de fil,Hollande,1250,250,livres,5,0,
18,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,baleines coupées,Hollande,74408,15665,livres,4.75,-0.75,arrondi
19,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bois de gerofle,Hollande,412,1650,livres,0.25,-0.5,en quintal
20,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bois jaune,Hollande,150,3000,livres,0.05,0,en pourcentage
21,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bois à teindre,Hollande,5062,40500,livres,0.125,-0.5,en pourcentage
22,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bois de sandal moulû,Hollande,4037,16150,livres,0.25,-0.5,en pourcentage
23,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bois de fernambourg,Hollande,300,1200,livres,0.25,0,
24,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bois de ste marthe,Hollande,5992,39950,livres,0.15,-0.5,en pourcentage
25,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bois de campeche,Hollande,83962,559750,livres,0.15,-0.5,en pourcentage
26,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,bois de bresil,Hollande,43930,219650,livres,0.2,0,
27,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1740.csv,Local,1740,Imports,Marseille,2,chocolat,Hollande,750,250,livres,3,0,
