numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,Argent vif,hollande,881.5,205,livres,4.3,0,
2,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,azur commun,hollande,305.2,545,livres,0.56,0,
3,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,amidon,hollande,13.5,90,livres,0.15,0,
4,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,arcenic,hollande,46.75,275,livres,0.17,0,
5,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,acier,hollande,35,100,livres,0.35,0,
6,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,borax,hollande,85,50,livres,1.7,0,
7,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,bas de coton,hollande,65,13,livres,5,0,
8,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,baleine coupée,hollande,4836,1612,livres,3,0,
9,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,bierre,hollande,160,2,livres,80,0,
10,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,canelle,hollande,9012,1502,livres,6,0,
11,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,chair salée,hollande,74.8,440,livres,0.17,0,
12,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,colle de poisson,hollande,310,62,livres,5,0,
13,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,colle forte,hollande,244,610,livres,0.4,0,
14,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,cuir de roussy,hollande,235.2,294,livres,0.8,0,
15,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,cuivre,hollande,19617.5,20650,livres,0.95,0,
16,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1730.csv,Local,1730,Imports,Marseille,1,ceruze,hollande,109.9,785,livres,0.14,0,
